* Measurement data measured by REW V5.20
* Source: ASIO ASIO4ALL v2, USB PnP Audio Device 1. Timing signal peak level -31,9 dBFS, measurement signal peak level -39,5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 07-dic-2020 20:28:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,1902 ms (65 mm, 2,57 in) using estimated IR delay relative to Acoustic reference on 2: xCORE USB Audio 2.0  2 with no timing offset
* Measurement: Moondrop SSP R 2020 dic 7
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	75.350	66.1976
20.299999	75.444	65.6447
20.600000	75.535	65.1041
20.900000	75.623	64.5760
21.200001	75.710	64.0597
21.400000	75.767	63.7215
21.799999	75.878	63.0570
22.000000	75.933	62.7297
22.400000	76.041	62.0835
22.700001	76.119	61.6052
23.000000	76.197	61.1321
23.299999	76.272	60.6647
23.600000	76.346	60.2034
24.000000	76.442	59.5984
24.299999	76.513	59.1527
24.700001	76.604	58.5691
25.000000	76.672	58.1387
25.400000	76.761	57.5739
25.799999	76.848	57.0176
26.200001	76.934	56.4680
26.500000	76.997	56.0591
26.900000	77.081	55.5168
27.200001	77.142	55.1116
27.600000	77.223	54.5728
28.000000	77.301	54.0356
28.500000	77.397	53.3677
29.000000	77.489	52.7065
29.500000	77.578	52.0543
30.000000	77.664	51.4117
30.400000	77.732	50.9033
30.700001	77.782	50.5243
31.100000	77.847	50.0203
31.500000	77.912	49.5168
32.000000	77.989	48.8876
32.500000	78.063	48.2614
33.000000	78.133	47.6449
33.500000	78.200	47.0464
34.000000	78.264	46.4731
34.500000	78.328	45.9264
35.000000	78.393	45.3995
35.500000	78.460	44.8779
36.000000	78.530	44.3444
36.500000	78.599	43.7866
37.000000	78.664	43.2019
37.500000	78.724	42.5992
38.200001	78.794	41.7622
38.700001	78.835	41.1976
39.500000	78.891	40.3981
40.000000	78.925	39.9716
40.599998	78.969	39.5243
41.200001	79.021	39.1233
41.799999	79.082	38.7338
42.500000	79.161	38.2528
43.099998	79.233	37.7965
43.700001	79.303	37.2979
44.400002	79.380	36.6781
45.000000	79.440	36.1304
45.500000	79.486	35.6715
46.200001	79.546	35.0341
46.799999	79.592	34.4990
47.500000	79.642	33.8945
48.200001	79.689	33.3140
48.700001	79.722	32.9119
49.400002	79.768	32.3603
50.000000	79.806	31.8934
50.799999	79.856	31.2775
51.500000	79.899	30.7458
52.200001	79.940	30.2204
53.000000	79.986	29.6237
53.799999	80.032	29.0261
54.500000	80.070	28.5013
55.200001	80.106	27.9761
56.000000	80.144	27.3802
57.000000	80.187	26.6531
58.000000	80.227	25.9529
59.000000	80.267	25.2725
60.000000	80.307	24.5987
60.799999	80.338	24.0600
61.500000	80.363	23.5897
62.200001	80.387	23.1225
63.000000	80.413	22.5953
64.000000	80.444	21.9488
65.000000	80.473	21.3147
66.000000	80.500	20.6918
67.000000	80.525	20.0831
68.000000	80.549	19.4908
69.000000	80.574	18.9110
70.000000	80.598	18.3355
71.000000	80.621	17.7623
72.000000	80.643	17.1941
73.000000	80.664	16.6287
74.000000	80.684	16.0663
75.000000	80.701	15.5150
76.199997	80.720	14.8730
77.500000	80.741	14.1949
78.800003	80.763	13.5233
80.000000	80.783	12.8876
81.199997	80.799	12.2406
82.500000	80.810	11.5587
83.800003	80.817	10.9052
85.000000	80.822	10.3291
86.199997	80.827	9.7836
87.500000	80.835	9.2212
88.500000	80.844	8.8022
90.000000	80.866	8.1398
91.199997	80.882	7.5267
92.500000	80.883	6.8288
93.800003	80.869	6.2090
95.000000	80.858	5.7276
96.199997	80.854	5.2818
97.500000	80.858	4.7782
98.800003	80.860	4.2273
100.000000	80.855	3.7103
101.500000	80.843	3.1128
103.000000	80.834	2.5569
104.400002	80.827	2.0439
106.000000	80.819	1.4582
107.500000	80.811	0.9259
109.000000	80.805	0.3915
110.599998	80.797	-0.2209
112.000000	80.783	-0.7586
113.800003	80.763	-1.4069
115.000000	80.753	-1.8478
117.199997	80.725	-2.7372
118.000000	80.706	-3.0430
120.599998	80.654	-3.7284
122.000000	80.656	-4.0719
124.099998	80.662	-4.7842
125.000000	80.658	-5.1044
126.500000	80.646	-5.6079
128.000000	80.631	-6.0840
131.500000	80.598	-7.0694
132.000000	80.595	-7.2121
134.000000	80.577	-7.8191
136.000000	80.549	-8.4142
138.000000	80.519	-8.9509
140.000000	80.493	-9.5027
143.000000	80.441	-10.3466
145.000000	80.403	-10.8482
147.500000	80.367	-11.4382
150.000000	80.334	-12.0987
152.500000	80.291	-12.7144
155.000000	80.255	-13.2686
157.500000	80.227	-13.8249
160.000000	80.199	-14.4345
162.500000	80.157	-15.0958
165.000000	80.097	-15.6347
167.500000	80.051	-16.1016
170.000000	80.001	-16.5939
172.500000	79.960	-16.9790
175.000000	79.939	-17.5167
177.500000	79.895	-18.1549
180.000000	79.840	-18.6729
182.500000	79.794	-19.1626
185.000000	79.738	-19.6424
187.500000	79.692	-20.0040
190.000000	79.660	-20.4602
192.500000	79.613	-20.9323
195.000000	79.572	-21.3057
197.500000	79.547	-21.7649
200.000000	79.501	-22.3120
203.000000	79.427	-22.7734
206.000000	79.372	-23.1409
209.000000	79.323	-23.5705
212.000000	79.270	-24.0070
214.000000	79.236	-24.2797
218.000000	79.172	-24.8619
220.000000	79.136	-25.1615
224.000000	79.058	-25.7212
227.000000	79.001	-26.1104
230.000000	78.943	-26.4947
233.000000	78.889	-26.8615
236.000000	78.840	-27.2942
240.000000	78.762	-27.8522
243.000000	78.711	-28.2023
247.000000	78.648	-28.6978
250.000000	78.602	-29.0256
254.000000	78.534	-29.5268
258.000000	78.454	-29.9115
262.000000	78.383	-30.2932
265.000000	78.333	-30.6061
269.000000	78.260	-31.0548
272.000000	78.203	-31.3369
276.000000	78.136	-31.6822
280.000000	78.072	-32.0598
285.000000	77.985	-32.5306
290.000000	77.905	-32.9227
295.000000	77.832	-33.3484
300.000000	77.762	-33.7774
304.000000	77.693	-34.1539
307.000000	77.639	-34.3982
311.000000	77.568	-34.7014
315.000000	77.504	-34.9729
320.000000	77.428	-35.3511
325.000000	77.343	-35.7045
330.000000	77.260	-36.0239
335.000000	77.181	-36.3383
340.000000	77.115	-36.6986
345.000000	77.040	-37.0708
350.000000	76.968	-37.3531
355.000000	76.895	-37.6324
360.000000	76.828	-37.9192
365.000000	76.752	-38.2201
370.000000	76.680	-38.4485
375.000000	76.616	-38.7204
382.000000	76.520	-39.1080
387.000000	76.453	-39.3527
395.000000	76.360	-39.7047
400.000000	76.306	-40.0172
406.000000	76.208	-40.3151
412.000000	76.120	-40.5427
418.000000	76.043	-40.7863
425.000000	75.956	-41.0397
431.000000	75.890	-41.2709
437.000000	75.817	-41.5283
444.000000	75.737	-41.7696
450.000000	75.668	-41.9840
455.000000	75.609	-42.1792
462.000000	75.524	-42.4409
468.000000	75.455	-42.6180
475.000000	75.382	-42.8030
482.000000	75.307	-43.0186
487.000000	75.252	-43.1742
494.000000	75.169	-43.3852
500.000000	75.100	-43.5212
508.000000	75.034	-43.7412
515.000000	74.971	-43.9089
522.000000	74.910	-44.0879
530.000000	74.834	-44.3183
538.000000	74.754	-44.4971
545.000000	74.688	-44.6350
552.000000	74.629	-44.8092
560.000000	74.559	-44.9822
570.000000	74.475	-45.1350
580.000000	74.389	-45.3370
590.000000	74.303	-45.4547
600.000000	74.222	-45.4846
608.000000	74.174	-45.7211
615.000000	74.121	-45.8951
622.000000	74.071	-46.0009
630.000000	74.011	-46.1292
640.000000	73.942	-46.2701
650.000000	73.876	-46.3822
660.000000	73.808	-46.4654
670.000000	73.750	-46.5494
680.000000	73.698	-46.6896
690.000000	73.644	-46.7497
700.000000	73.611	-46.8480
710.000000	73.542	-46.9333
720.000000	73.479	-46.9362
730.000000	73.429	-46.9357
740.000000	73.386	-47.0266
750.000000	73.344	-47.0131
762.000000	73.301	-47.0013
775.000000	73.254	-47.0533
788.000000	73.216	-46.9316
800.000000	73.205	-46.8500
812.000000	73.162	-46.9578
825.000000	73.129	-46.9456
838.000000	73.117	-46.9955
850.000000	73.109	-46.9571
862.000000	73.105	-46.8801
875.000000	73.108	-46.8589
885.000000	73.117	-46.8594
900.000000	73.148	-46.9496
912.000000	73.154	-46.8714
925.000000	73.181	-46.8198
938.000000	73.214	-46.8514
950.000000	73.252	-46.8816
962.000000	73.295	-46.9139
975.000000	73.352	-46.9672
988.000000	73.428	-47.0124
1000.000000	73.512	-47.0692
1015.000000	73.565	-47.4812
1030.000000	73.647	-47.8347
1044.000000	73.730	-48.1492
1060.000000	73.828	-48.5928
1075.000000	73.925	-49.1074
1090.000000	74.010	-49.6168
1106.000000	74.104	-50.2192
1120.000000	74.206	-50.9029
1138.000000	74.315	-51.7699
1150.000000	74.385	-52.3846
1172.000000	74.508	-53.5327
1180.000000	74.550	-53.9568
1206.000000	74.681	-55.4345
1220.000000	74.753	-56.1034
1241.000000	74.854	-57.2594
1250.000000	74.898	-57.7722
1265.000000	74.973	-58.6457
1280.000000	75.042	-59.4999
1315.000000	75.206	-61.6111
1320.000000	75.233	-61.9434
1340.000000	75.326	-63.2146
1360.000000	75.417	-64.5299
1380.000000	75.504	-65.8556
1400.000000	75.601	-67.1255
1430.000000	75.694	-69.1891
1450.000000	75.767	-70.5697
1475.000000	75.855	-72.2838
1500.000000	75.927	-73.9404
1525.000000	76.026	-75.7177
1550.000000	76.111	-77.4604
1575.000000	76.185	-79.1699
1600.000000	76.251	-80.8646
1625.000000	76.340	-82.6146
1650.000000	76.422	-84.3400
1675.000000	76.499	-86.0585
1700.000000	76.581	-87.6726
1725.000000	76.655	-89.5332
1750.000000	76.735	-91.2971
1775.000000	76.820	-93.0425
1800.000000	76.913	-94.8043
1825.000000	76.988	-96.5694
1850.000000	77.068	-98.3299
1875.000000	77.158	-100.1154
1900.000000	77.259	-101.9569
1925.000000	77.336	-103.7456
1950.000000	77.424	-105.5401
1975.000000	77.515	-107.3664
2000.000000	77.604	-109.2186
2030.000000	77.727	-111.4883
2060.000000	77.846	-113.7691
2090.000000	77.971	-116.0470
2120.000000	78.087	-118.4015
2140.000000	78.165	-119.9893
2180.000000	78.333	-123.1472
2200.000000	78.421	-124.7440
2240.000000	78.573	-128.0212
2270.000000	78.702	-130.5078
2300.000000	78.834	-133.0052
2330.000000	78.949	-135.5716
2360.000000	79.077	-138.1889
2400.000000	79.242	-141.7670
2430.000000	79.369	-144.3775
2470.000000	79.534	-147.9692
2500.000000	79.650	-150.7447
2540.000000	79.821	-154.4950
2580.000000	79.982	-158.2546
2620.000000	80.138	-162.1196
2650.000000	80.249	-165.0831
2690.000000	80.395	-168.9995
2720.000000	80.499	-172.0177
2760.000000	80.635	-176.1022
2800.000000	80.759	179.8572
2850.000000	80.916	174.6225
2900.000000	81.055	169.3879
2950.000000	81.189	164.0143
3000.000000	81.320	158.6312
3040.000000	81.391	154.2709
3070.000000	81.450	151.0017
3110.000000	81.526	146.6032
3150.000000	81.580	142.1924
3200.000000	81.646	136.6826
3250.000000	81.694	131.1042
3300.000000	81.729	125.5419
3350.000000	81.744	119.9562
3400.000000	81.751	114.3113
3450.000000	81.740	108.7721
3500.000000	81.720	103.1872
3550.000000	81.683	97.7210
3600.000000	81.635	92.2886
3650.000000	81.573	86.8349
3700.000000	81.497	81.4550
3750.000000	81.418	76.1847
3820.000000	81.301	68.8967
3870.000000	81.201	63.7967
3950.000000	81.046	55.7199
4000.000000	80.950	50.7540
4060.000000	80.828	44.8563
4120.000000	80.709	39.0312
4180.000000	80.602	33.2883
4250.000000	80.470	26.5963
4310.000000	80.363	20.9407
4370.000000	80.250	15.3080
4440.000000	80.123	8.7832
4500.000000	80.022	3.2199
4550.000000	79.937	-1.4006
4620.000000	79.823	-7.8052
4680.000000	79.736	-13.2802
4750.000000	79.625	-19.6613
4820.000000	79.521	-26.0240
4870.000000	79.451	-30.5177
4940.000000	79.362	-36.7823
5000.000000	79.291	-42.1283
5080.000000	79.196	-49.3335
5150.000000	79.116	-55.5597
5220.000000	79.042	-61.7882
5300.000000	78.963	-68.9720
5380.000000	78.890	-76.0470
5450.000000	78.837	-82.2698
5520.000000	78.786	-88.5084
5600.000000	78.722	-95.6429
5700.000000	78.662	-104.4769
5800.000000	78.617	-113.4095
5900.000000	78.585	-122.2887
6000.000000	78.555	-131.2347
6080.000000	78.534	-138.3712
6150.000000	78.527	-144.6241
6220.000000	78.529	-150.9126
6300.000000	78.533	-158.1227
6400.000000	78.548	-167.0978
6500.000000	78.576	-176.1948
6600.000000	78.613	174.7109
6700.000000	78.659	165.5609
6800.000000	78.724	156.3196
6900.000000	78.794	146.9982
7000.000000	78.869	137.5922
7100.000000	78.967	128.1067
7200.000000	79.082	118.5104
7300.000000	79.195	108.6938
7400.000000	79.322	98.7491
7500.000000	79.442	88.5995
7620.000000	79.590	76.1812
7750.000000	79.742	62.4786
7880.000000	79.873	48.4165
8000.000000	79.981	35.1653
8120.000000	80.053	21.6974
8250.000000	80.101	6.9324
8380.000000	80.122	-7.9464
8500.000000	80.120	-21.7669
8620.000000	80.125	-35.7089
8750.000000	80.145	-51.1226
8850.000000	80.178	-63.4233
9000.000000	80.193	-83.0836
9120.000000	80.064	-100.0421
9250.000000	79.644	-119.1575
9380.000000	78.882	-137.7904
9500.000000	77.945	-153.5804
9620.000000	76.912	-167.6937
9750.000000	75.804	178.6228
9880.000000	74.773	166.2285
10000.000000	73.911	155.5720
10150.000000	72.952	142.9285
10300.000000	72.144	130.5520
10440.000000	71.443	118.9789
10600.000000	70.683	106.2812
10750.000000	70.055	94.6477
10900.000000	69.514	83.1323
11060.000000	69.000	70.9221
11200.000000	68.599	60.1348
11380.000000	68.142	46.3004
11500.000000	67.870	37.1414
11720.000000	67.459	20.2607
11800.000000	67.331	14.0763
12060.000000	66.986	-6.0430
12200.000000	66.856	-16.9384
12410.000000	66.702	-33.4813
12500.000000	66.658	-40.5552
12650.000000	66.627	-52.4166
12800.000000	66.628	-64.4358
13150.000000	66.784	-92.9569
13200.000000	66.823	-97.1084
13400.000000	67.016	-113.7939
13600.000000	67.276	-130.7476
13800.000000	67.595	-148.1503
14000.000000	67.957	-165.9712
14300.000000	68.653	166.5421
14500.000000	69.216	147.3452
14750.000000	70.002	121.9919
15000.000000	70.837	94.7642
15250.000000	71.634	65.1099
15500.000000	72.222	32.7275
15750.000000	72.397	-1.6626
16000.000000	72.020	-36.5256
16250.000000	71.179	-69.9028
16500.000000	70.059	-100.8435
16750.000000	68.853	-129.2981
17000.000000	67.701	-155.8721
17250.000000	66.660	179.0181
17500.000000	65.772	154.8546
17750.000000	65.022	131.1995
18000.000000	64.395	107.8976
18250.000000	63.921	84.5354
18500.000000	63.618	61.0510
18750.000000	63.468	36.8951
19000.000000	63.464	11.6814
19250.000000	63.602	-15.1292
19500.000000	63.801	-44.4833
19750.000000	63.841	-77.5676
20000.000000	63.360	-113.9019
