* Measurement data measured by REW V5.20 Beta 60
* Source: ASIO ASIO4ALL v2, USB PnP Audio Device 1. Timing signal peak level -30,8 dBFS, measurement signal peak level -41,4 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 27-ago-2020 13:08:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,2728 ms (94 mm, 3,68 in) using estimated IR delay relative to Acoustic reference on 1: xCORE USB Audio 2.0  1 with no timing offset
* Measurement: Tin HiFi T2 Plus L 2020 ago 27
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	81.263	31.9225
20.299999	81.280	31.3748
20.600000	81.296	30.8373
20.900000	81.311	30.3094
21.200001	81.325	29.7905
21.400000	81.335	29.4494
21.799999	81.352	28.7792
22.000000	81.360	28.4503
22.400000	81.374	27.8062
22.700001	81.383	27.3358
23.000000	81.390	26.8772
23.299999	81.397	26.4306
23.600000	81.403	25.9961
24.000000	81.411	25.4347
24.299999	81.416	25.0261
24.700001	81.422	24.4961
25.000000	81.427	24.1083
25.400000	81.433	23.6026
25.799999	81.438	23.1084
26.200001	81.443	22.6247
26.500000	81.446	22.2686
26.900000	81.450	21.8029
27.200001	81.453	21.4605
27.600000	81.456	21.0132
28.000000	81.458	20.5766
28.500000	81.461	20.0454
29.000000	81.463	19.5291
29.500000	81.464	19.0262
30.000000	81.466	18.5350
30.400000	81.469	18.1496
30.700001	81.472	17.8648
31.100000	81.476	17.4908
31.500000	81.478	17.1235
32.000000	81.481	16.6738
32.500000	81.483	16.2342
33.000000	81.485	15.8037
33.500000	81.485	15.3814
34.000000	81.484	14.9676
34.500000	81.481	14.5643
35.000000	81.477	14.1741
35.500000	81.471	13.7996
36.000000	81.466	13.4417
36.500000	81.460	13.0989
37.000000	81.455	12.7685
37.500000	81.449	12.4487
38.200001	81.442	12.0208
38.700001	81.436	11.7341
39.500000	81.429	11.3176
40.000000	81.429	11.0800
40.599998	81.435	10.7993
41.200001	81.447	10.4970
41.799999	81.463	10.1480
42.500000	81.479	9.6747
43.099998	81.488	9.2307
43.700001	81.489	8.7836
44.400002	81.481	8.2925
45.000000	81.471	7.9116
45.500000	81.462	7.6209
46.200001	81.451	7.2435
46.799999	81.443	6.9382
47.500000	81.436	6.5964
48.200001	81.429	6.2665
48.700001	81.426	6.0361
49.400002	81.422	5.7173
50.000000	81.419	5.4453
50.799999	81.416	5.0838
51.500000	81.412	4.7704
52.200001	81.409	4.4615
53.000000	81.405	4.1141
53.799999	81.399	3.7717
54.500000	81.393	3.4750
55.200001	81.386	3.1817
56.000000	81.377	2.8537
57.000000	81.364	2.4608
58.000000	81.351	2.0878
59.000000	81.339	1.7284
60.000000	81.329	1.3725
60.799999	81.321	1.0826
61.500000	81.313	0.8236
62.200001	81.304	0.5641
63.000000	81.291	0.2773
64.000000	81.273	-0.0547
