* Measurement data measured by REW V5.20
* Source: ASIO ASIO4ALL v2, USB PnP Audio Device 1. Timing signal peak level -23,7 dBFS, measurement signal peak level -33,0 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 19-oct-2020 20:33:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,2077 ms (71 mm, 2,81 in) using estimated IR delay relative to Acoustic reference on 1: xCORE USB Audio 2.0  1 with no timing offset
* Measurement: Tin HiFi T4 L 2020 oct 19
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.008	23.9580
20.299999	89.014	23.3018
20.600000	89.018	22.6599
20.900000	89.021	22.0323
21.200001	89.023	21.4186
21.400000	89.025	21.0170
21.799999	89.027	20.2317
22.000000	89.028	19.8477
22.400000	89.029	19.0960
22.700001	89.028	18.5457
23.000000	89.028	18.0062
23.299999	89.027	17.4766
23.600000	89.026	16.9561
24.000000	89.023	16.2752
24.299999	89.021	15.7738
24.700001	89.017	15.1167
25.000000	89.014	14.6323
25.400000	89.009	13.9973
25.799999	89.003	13.3744
26.200001	88.996	12.7633
26.500000	88.991	12.3125
26.900000	88.982	11.7211
27.200001	88.976	11.2848
27.600000	88.967	10.7124
28.000000	88.957	10.1507
28.500000	88.943	9.4640
29.000000	88.928	8.7948
29.500000	88.912	8.1432
30.000000	88.896	7.5088
30.400000	88.885	7.0131
30.700001	88.878	6.6477
31.100000	88.867	6.1682
31.500000	88.856	5.6969
32.000000	88.842	5.1184
32.500000	88.827	4.5510
33.000000	88.812	3.9947
33.500000	88.795	3.4497
34.000000	88.778	2.9158
34.500000	88.760	2.3929
35.000000	88.741	1.8806
35.500000	88.722	1.3784
36.000000	88.703	0.8859
36.500000	88.683	0.4031
37.000000	88.662	-0.0702
37.500000	88.641	-0.5342
38.200001	88.612	-1.1690
38.700001	88.591	-1.6123
39.500000	88.556	-2.3051
40.000000	88.534	-2.7284
40.599998	88.508	-3.2280
41.200001	88.481	-3.7196
41.799999	88.455	-4.2044
42.500000	88.423	-4.7605
43.099998	88.397	-5.2277
43.700001	88.370	-5.6851
44.400002	88.339	-6.2060
45.000000	88.311	-6.6419
45.500000	88.288	-6.9976
46.200001	88.255	-7.4838
46.799999	88.227	-7.8894
47.500000	88.194	-8.3510
48.200001	88.161	-8.8025
48.700001	88.137	-9.1200
49.400002	88.104	-9.5573
50.000000	88.075	-9.9248
50.799999	88.037	-10.4030
51.500000	88.004	-10.8106
52.200001	87.971	-11.2102
53.000000	87.934	-11.6602
53.799999	87.895	-12.1052
54.500000	87.860	-12.4896
55.200001	87.825	-12.8678
56.000000	87.784	-13.2902
57.000000	87.733	-13.8038
58.000000	87.682	-14.3042
59.000000	87.630	-14.7938
60.000000	87.578	-15.2707
60.799999	87.536	-15.6406
61.500000	87.499	-15.9552
62.200001	87.462	-16.2617
63.000000	87.420	-16.6039
64.000000	87.369	-17.0224
65.000000	87.317	-17.4329
66.000000	87.266	-17.8367
67.000000	87.215	-18.2342
68.000000	87.166	-18.6230
69.000000	87.117	-18.9993
70.000000	87.068	-19.3612
71.000000	87.020	-19.7108
72.000000	86.972	-20.0511
73.000000	86.925	-20.3839
74.000000	86.878	-20.7090
75.000000	86.831	-21.0270
76.199997	86.774	-21.4026
77.500000	86.709	-21.8016
78.800003	86.644	-22.1842
80.000000	86.585	-22.5211
81.199997	86.527	-22.8535
82.500000	86.465	-23.2179
83.800003	86.402	-23.5783
85.000000	86.343	-23.8994
86.199997	86.285	-24.2116
87.500000	86.221	-24.5412
88.500000	86.172	-24.7834
90.000000	86.098	-25.1218
91.199997	86.041	-25.3766
92.500000	85.981	-25.6449
93.800003	85.923	-25.9070
95.000000	85.872	-26.1449
96.199997	85.822	-26.3841
97.500000	85.770	-26.6480
98.800003	85.715	-26.9079
100.000000	85.663	-27.1298
101.500000	85.598	-27.3757
103.000000	85.537	-27.6058
104.400002	85.482	-27.8240
106.000000	85.417	-28.0732
107.500000	85.356	-28.2960
109.000000	85.296	-28.5091
110.599998	85.232	-28.7306
112.000000	85.178	-28.9219
113.800003	85.108	-29.1654
115.000000	85.062	-29.3243
117.199997	84.981	-29.6095
118.000000	84.952	-29.7201
120.599998	84.847	-30.0730
122.000000	84.788	-30.2113
124.099998	84.707	-30.4021
125.000000	84.673	-30.4880
126.500000	84.617	-30.6294
128.000000	84.562	-30.7666
131.500000	84.436	-31.0904
132.000000	84.419	-31.1390
134.000000	84.345	-31.3308
136.000000	84.270	-31.4883
138.000000	84.199	-31.6160
140.000000	84.132	-31.7484
143.000000	84.033	-31.9589
145.000000	83.966	-32.0922
147.500000	83.884	-32.2478
150.000000	83.802	-32.3902
152.500000	83.731	-32.5341
155.000000	83.664	-32.6795
157.500000	83.598	-32.7924
160.000000	83.536	-32.8890
162.500000	83.479	-33.0026
165.000000	83.419	-33.1339
167.500000	83.358	-33.2308
170.000000	83.300	-33.3131
172.500000	83.240	-33.4131
175.000000	83.176	-33.5132
177.500000	83.111	-33.5798
180.000000	83.051	-33.6257
182.500000	82.995	-33.6865
185.000000	82.938	-33.7625
187.500000	82.880	-33.8251
190.000000	82.824	-33.8756
192.500000	82.766	-33.9385
195.000000	82.703	-33.9890
197.500000	82.643	-34.0215
200.000000	82.585	-34.0429
203.000000	82.521	-34.0793
206.000000	82.456	-34.1492
209.000000	82.389	-34.1926
212.000000	82.326	-34.2258
214.000000	82.285	-34.2463
218.000000	82.210	-34.2781
220.000000	82.173	-34.2994
224.000000	82.099	-34.3289
227.000000	82.046	-34.3499
230.000000	81.991	-34.3731
233.000000	81.937	-34.3722
236.000000	81.889	-34.3699
240.000000	81.827	-34.4003
243.000000	81.778	-34.4287
247.000000	81.713	-34.4618
250.000000	81.662	-34.4679
254.000000	81.601	-34.4422
258.000000	81.544	-34.4455
262.000000	81.488	-34.4615
265.000000	81.446	-34.4807
269.000000	81.390	-34.4981
272.000000	81.349	-34.4973
276.000000	81.296	-34.4895
280.000000	81.244	-34.4825
285.000000	81.180	-34.4719
290.000000	81.119	-34.4663
295.000000	81.058	-34.4987
300.000000	80.994	-34.4933
304.000000	80.953	-34.4637
307.000000	80.923	-34.4574
311.000000	80.883	-34.4488
315.000000	80.844	-34.4431
320.000000	80.795	-34.4483
325.000000	80.748	-34.4719
330.000000	80.699	-34.4821
335.000000	80.655	-34.4716
340.000000	80.611	-34.4728
345.000000	80.568	-34.4586
350.000000	80.528	-34.4526
355.000000	80.487	-34.4784
360.000000	80.445	-34.4939
365.000000	80.408	-34.4921
370.000000	80.374	-34.5134
375.000000	80.337	-34.5380
382.000000	80.288	-34.5493
387.000000	80.252	-34.5687
395.000000	80.191	-34.5737
400.000000	80.158	-34.5716
406.000000	80.120	-34.6132
412.000000	80.082	-34.6471
418.000000	80.047	-34.6774
425.000000	80.007	-34.7186
431.000000	79.973	-34.7575
437.000000	79.943	-34.7997
444.000000	79.910	-34.8497
450.000000	79.882	-34.8877
455.000000	79.859	-34.9212
462.000000	79.825	-34.9839
468.000000	79.800	-35.0117
475.000000	79.778	-35.0705
482.000000	79.754	-35.1276
487.000000	79.738	-35.1748
494.000000	79.716	-35.2511
500.000000	79.703	-35.3340
508.000000	79.681	-35.3828
515.000000	79.668	-35.4405
522.000000	79.651	-35.5265
530.000000	79.642	-35.6063
538.000000	79.629	-35.7249
545.000000	79.614	-35.7897
552.000000	79.601	-35.8498
560.000000	79.586	-35.9320
570.000000	79.570	-36.0508
580.000000	79.558	-36.2048
590.000000	79.544	-36.3306
600.000000	79.533	-36.4359
608.000000	79.527	-36.5775
615.000000	79.518	-36.6943
622.000000	79.510	-36.7770
630.000000	79.506	-36.8852
640.000000	79.499	-37.0542
650.000000	79.496	-37.1972
660.000000	79.495	-37.3544
670.000000	79.495	-37.4914
680.000000	79.496	-37.6492
690.000000	79.499	-37.8145
700.000000	79.502	-37.9961
710.000000	79.504	-38.1301
720.000000	79.512	-38.2752
730.000000	79.522	-38.4197
740.000000	79.536	-38.5164
750.000000	79.566	-38.6261
762.000000	79.614	-38.9494
775.000000	79.635	-39.4743
788.000000	79.618	-39.8597
800.000000	79.615	-39.9836
812.000000	79.628	-40.0239
825.000000	79.661	-40.1745
838.000000	79.703	-40.3546
850.000000	79.747	-40.5403
862.000000	79.799	-40.7416
875.000000	79.866	-41.0051
885.000000	79.921	-41.2158
900.000000	80.001	-41.5274
912.000000	80.082	-41.7966
925.000000	80.169	-42.0984
938.000000	80.260	-42.4371
950.000000	80.347	-42.7878
962.000000	80.437	-43.1445
975.000000	80.537	-43.5695
988.000000	80.637	-43.9918
1000.000000	80.733	-44.4119
