* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 2, 2021 2:55:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Quarks L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.537247	-177.1660
20.299999	87.570694	-177.1255
20.600000	87.616043	-177.2434
20.900000	87.654259	-177.5125
21.200001	87.676529	-177.8701
21.400000	87.680450	-178.0956
21.799999	87.671326	-178.4465
22.000000	87.664925	-178.5631
22.400000	87.662712	-178.7309
22.700001	87.667374	-178.8184
23.000000	87.674881	-178.9026
23.299999	87.684753	-178.9894
23.600000	87.694702	-179.0598
24.000000	87.709335	-179.1285
24.299999	87.724037	-179.1893
24.700001	87.744743	-179.3112
25.000000	87.755249	-179.4377
25.400000	87.758705	-179.6308
25.799999	87.747238	-179.7612
26.200001	87.731956	-179.8021
26.500000	87.724907	-179.7923
26.900000	87.721939	-179.7529
27.200001	87.724030	-179.7364
27.600000	87.729820	-179.7401
28.000000	87.734344	-179.7572
28.500000	87.744576	-179.8023
29.000000	87.762169	-179.8889
29.500000	87.784454	179.9261
30.000000	87.797333	179.6643
30.400000	87.799171	179.4254
30.700001	87.794403	179.2581
31.100000	87.781960	179.0663
31.500000	87.766022	178.9248
32.000000	87.747192	178.8605
32.500000	87.744453	178.8808
33.000000	87.761314	178.8925
33.500000	87.786438	178.7922
34.000000	87.801224	178.6055
34.500000	87.805931	178.4177
35.000000	87.805717	178.2939
35.500000	87.808647	178.1967
36.000000	87.811073	178.0938
36.500000	87.808418	177.9913
37.000000	87.806107	177.9417
37.500000	87.814941	177.9073
38.200001	87.833916	177.7475
38.700001	87.833923	177.5582
39.500000	87.814178	177.4084
40.000000	87.810577	177.4297
40.599998	87.821243	177.4034
41.200001	87.829323	177.2623
41.799999	87.820488	177.1080
42.500000	87.799217	177.0642
43.099998	87.794983	177.1003
43.700001	87.804710	177.0697
44.400002	87.810455	176.9105
45.000000	87.804512	176.7775
45.500000	87.803093	176.6979
46.200001	87.809113	176.5399
46.799999	87.804260	176.3163
47.500000	87.778214	176.1469
48.200001	87.764114	176.1849
48.700001	87.776558	176.1893
49.400002	87.798386	176.0113
50.000000	87.791321	175.8083
50.799999	87.772331	175.6945
51.500000	87.777077	175.7019
52.200001	87.791092	175.5890
53.000000	87.787849	175.3651
53.799999	87.768127	175.2429
54.500000	87.756248	175.2228
55.200001	87.757210	175.1827
56.000000	87.756203	175.0514
57.000000	87.737228	174.9094
58.000000	87.725662	174.8481
59.000000	87.720474	174.7632
60.000000	87.728241	174.6407
60.799999	87.723434	174.4396
61.500000	87.710182	174.3081
62.200001	87.699875	174.2208
63.000000	87.686935	174.1384
64.000000	87.678085	174.1414
65.000000	87.693863	174.0331
66.000000	87.678642	173.7803
67.000000	87.651657	173.6795
68.000000	87.632256	173.5906
69.000000	87.621506	173.5317
70.000000	87.621086	173.4186
71.000000	87.618919	173.2412
72.000000	87.605835	173.0865
73.000000	87.591797	173.0316
74.000000	87.583206	172.9841
75.000000	87.571297	172.9296
76.199997	87.557175	172.7999
77.500000	87.536369	172.5919
78.800003	87.523239	172.3822
80.000000	87.518311	172.1446
81.199997	87.522606	172.1286
82.500000	87.512115	172.0460
83.800003	87.520920	172.2081
85.000000	87.443985	172.1916
86.199997	87.451538	172.0483
87.500000	87.309181	171.9545
88.500000	87.461151	170.7939
90.000000	86.764824	170.0121
91.199997	87.215279	172.8634
92.500000	87.285469	170.5921
93.800003	87.361404	171.0869
95.000000	87.337158	170.7640
96.199997	87.357651	170.9778
97.500000	87.295235	170.8903
98.800003	87.294487	170.8325
100.000000	87.240105	170.3995
101.500000	87.209137	170.5084
103.000000	87.210533	170.2787
104.400002	87.205795	170.2645
106.000000	87.171265	170.2159
107.500000	87.143860	170.1512
109.000000	87.123016	170.0132
110.599998	87.101097	169.8350
112.000000	87.087631	169.7206
113.800003	87.060806	169.6681
115.000000	87.045341	169.6120
117.199997	87.009010	169.5034
118.000000	86.995842	169.4418
120.599998	86.958572	169.2725
122.000000	86.937836	169.2374
124.099998	86.899338	169.1480
125.000000	86.882385	169.1072
126.500000	86.852600	169.0258
128.000000	86.834106	168.9453
131.500000	86.773743	168.7664
132.000000	86.764900	168.7695
134.000000	86.733871	168.6966
136.000000	86.703056	168.6098
138.000000	86.669907	168.5526
140.000000	86.635986	168.4492
143.000000	86.586281	168.3839
145.000000	86.554840	168.3205
147.500000	86.505081	168.2610
150.000000	86.449509	168.3157
152.500000	86.429260	168.0663
155.000000	86.396515	167.9797
157.500000	86.360832	167.9369
160.000000	86.327896	167.8986
162.500000	86.299355	167.8422
165.000000	86.265167	167.7863
167.500000	86.230698	167.7390
170.000000	86.196220	167.6877
172.500000	86.136589	167.7009
175.000000	86.094345	167.6330
177.500000	86.049324	167.6944
180.000000	86.009338	167.5870
182.500000	85.951134	167.6514
185.000000	85.895119	167.6276
187.500000	85.855598	167.6406
190.000000	85.803970	167.6714
192.500000	85.765892	167.7139
195.000000	85.690292	167.6404
197.500000	85.666672	167.5523
200.000000	85.678650	167.5840
203.000000	85.579193	167.7200
206.000000	85.514931	167.7953
209.000000	85.460770	167.7925
212.000000	85.414772	167.8207
214.000000	85.376038	167.8470
218.000000	85.326660	167.9207
220.000000	85.297188	167.8842
224.000000	85.240677	168.0861
227.000000	85.206970	168.1207
230.000000	85.176041	168.2065
233.000000	85.135338	168.2749
236.000000	85.093323	168.4022
240.000000	85.043839	168.4594
243.000000	84.987358	168.4835
247.000000	84.942619	168.6660
250.000000	84.896622	168.8172
254.000000	84.846573	168.8833
258.000000	84.791168	168.9900
262.000000	84.734879	169.1682
265.000000	84.691383	169.2188
269.000000	84.643677	169.3797
272.000000	84.601410	169.4680
276.000000	84.555893	169.5793
280.000000	84.499901	169.7581
285.000000	84.430801	169.9023
290.000000	84.369904	170.0915
295.000000	84.307022	170.3035
300.000000	84.246346	170.5928
304.000000	84.189407	170.6929
307.000000	84.155746	170.7935
311.000000	84.104759	171.0166
315.000000	84.056557	171.1954
320.000000	83.995720	171.4202
325.000000	83.933189	171.6631
330.000000	83.872490	171.9246
335.000000	83.816002	172.1716
340.000000	83.752960	172.4240
345.000000	83.697510	172.6776
350.000000	83.637634	172.9507
355.000000	83.574341	173.2469
360.000000	83.520638	173.5309
365.000000	83.457733	173.8989
370.000000	83.408699	174.1189
375.000000	83.360458	174.3652
382.000000	83.288895	174.7710
387.000000	83.240479	175.1151
395.000000	83.161537	175.5922
400.000000	83.102417	175.9786
406.000000	83.064926	176.2869
412.000000	83.002220	176.6317
418.000000	82.948700	177.0684
425.000000	82.891251	177.4431
431.000000	82.840988	177.9662
437.000000	82.785934	178.3649
444.000000	82.743797	178.8539
450.000000	82.712585	179.3171
455.000000	82.650009	179.5789
462.000000	82.602936	-179.9708
468.000000	82.585907	-179.8979
475.000000	82.537628	-179.3949
482.000000	82.478996	-178.8226
487.000000	82.452469	-178.5513
494.000000	82.367126	-178.0299
500.000000	82.374641	-177.8451
508.000000	82.319336	-177.2552
515.000000	82.230583	-176.5080
522.000000	82.200569	-176.3700
530.000000	82.159019	-175.7397
538.000000	82.111450	-175.0048
545.000000	82.031303	-174.6202
552.000000	82.009354	-173.8022
560.000000	81.948097	-173.4774
570.000000	81.896637	-172.5225
580.000000	81.862114	-171.6970
590.000000	81.811195	-170.9312
600.000000	81.756561	-170.1850
608.000000	81.735077	-169.6141
615.000000	81.706825	-169.0549
622.000000	81.680222	-168.5360
630.000000	81.659477	-167.8629
640.000000	81.622826	-167.0065
650.000000	81.574257	-166.2667
660.000000	81.566566	-165.4532
670.000000	81.536758	-164.6777
680.000000	81.509178	-163.8464
690.000000	81.492844	-162.9766
700.000000	81.475533	-162.3568
710.000000	81.449669	-161.3635
720.000000	81.421051	-160.5079
730.000000	81.425827	-159.6551
740.000000	81.406975	-158.8780
750.000000	81.406960	-157.9234
762.000000	81.390038	-156.9744
775.000000	81.371147	-155.9170
788.000000	81.365005	-154.7869
800.000000	81.358093	-153.6346
812.000000	81.366974	-152.7031
825.000000	81.377411	-151.6241
838.000000	81.399818	-150.5178
850.000000	81.411415	-149.5091
862.000000	81.449776	-148.4678
875.000000	81.467255	-147.3775
885.000000	81.494972	-146.4561
900.000000	81.563583	-145.2205
912.000000	81.618286	-144.2480
925.000000	81.680840	-143.2995
938.000000	81.742264	-142.2110
950.000000	81.805725	-141.1674
962.000000	81.869186	-140.3015
975.000000	81.918182	-139.3080
988.000000	82.015793	-138.2835
1000.000000	82.153671	-137.2637
1015.000000	82.167938	-136.4585
1030.000000	82.248375	-135.5478
1044.000000	82.337547	-134.6363
1060.000000	82.446503	-133.6824
1075.000000	82.561325	-132.8512
1090.000000	82.686386	-132.0602
1106.000000	82.812408	-131.2935
1120.000000	82.933174	-130.7074
1138.000000	83.077942	-129.9498
1150.000000	83.184410	-129.5341
1172.000000	83.352859	-128.7686
1180.000000	83.420624	-128.4633
1206.000000	83.618973	-127.7126
1220.000000	83.725639	-127.3591
1241.000000	83.885170	-126.8117
1250.000000	83.951874	-126.6255
1265.000000	84.065018	-126.3359
1280.000000	84.171265	-126.0618
1315.000000	84.398140	-125.4329
1320.000000	84.432571	-125.2994
1340.000000	84.559296	-124.9896
1360.000000	84.683044	-124.6286
1380.000000	84.797935	-124.2415
1400.000000	84.913002	-123.8786
1430.000000	85.073425	-123.3279
1450.000000	85.183754	-122.9810
1475.000000	85.312874	-122.5831
1500.000000	85.441864	-122.0721
1525.000000	85.573936	-121.5826
1550.000000	85.705971	-121.1248
1575.000000	85.843773	-120.6703
1600.000000	85.984436	-120.2180
1625.000000	86.125336	-119.7639
1650.000000	86.254105	-119.4002
1675.000000	86.349007	-118.9328
1700.000000	86.486031	-118.2313
1725.000000	86.644760	-117.6799
1750.000000	86.793762	-117.2007
1775.000000	86.950195	-116.6755
