* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 10, 2020 3:55:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Starfield L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.555466	-162.2416
20.299999	89.616211	-162.9993
20.600000	89.630630	-163.7390
20.900000	89.605293	-164.2490
21.200001	89.575409	-164.4164
21.400000	89.572464	-164.3814
21.799999	89.619560	-164.2173
22.000000	89.666527	-164.2301
22.400000	89.773430	-164.6728
22.700001	89.823280	-165.2758
23.000000	89.829910	-165.9178
23.299999	89.809982	-166.4441
23.600000	89.784706	-166.8207
24.000000	89.770432	-167.2400
24.299999	89.770287	-167.6996
24.700001	89.750778	-168.6093
25.000000	89.685852	-169.3631
25.400000	89.533714	-170.0702
25.799999	89.371704	-170.0299
26.200001	89.308487	-169.3990
26.500000	89.357399	-168.9763
26.900000	89.510162	-169.0135
27.200001	89.627586	-169.6241
27.600000	89.713577	-170.9547
28.000000	89.691132	-172.2704
28.500000	89.588585	-173.1602
29.000000	89.550201	-173.2049
29.500000	89.639008	-173.2230
30.000000	89.769722	-173.8816
30.400000	89.827644	-174.8203
30.700001	89.821968	-175.5652
31.100000	89.756958	-176.3390
31.500000	89.661217	-176.6891
32.000000	89.569458	-176.5526
32.500000	89.559601	-176.2724
33.000000	89.592499	-176.3843
33.500000	89.588142	-176.9025
34.000000	89.519974	-177.3242
34.500000	89.462189	-177.3255
35.000000	89.486816	-177.2014
35.500000	89.578598	-177.5859
36.000000	89.641602	-178.6096
36.500000	89.613594	-179.8148
37.000000	89.518433	179.4087
37.500000	89.430878	179.2521
38.200001	89.420013	179.6362
38.700001	89.504234	179.8367
39.500000	89.695572	179.1601
40.000000	89.729172	178.1150
40.599998	89.599899	177.0455
41.200001	89.400604	177.2260
41.799999	89.355240	178.2310
42.500000	89.493378	178.2915
43.099998	89.506256	177.1140
43.700001	89.371521	176.3813
44.400002	89.312012	176.6122
45.000000	89.419388	176.1946
45.500000	89.445900	175.1548
46.200001	89.330925	174.4886
46.799999	89.354744	175.0572
47.500000	89.526619	174.5616
48.200001	89.401978	173.6051
48.700001	89.236397	174.5503
49.400002	89.379486	176.3744
50.000000	89.470306	175.0011
50.799999	88.616989	174.1069
51.500000	88.076630	-178.0040
52.200001	89.071152	-172.7771
53.000000	89.873367	-178.1705
53.799999	89.403091	176.4592
54.500000	89.003120	176.0129
55.200001	88.987259	174.8464
56.000000	88.816757	172.3049
57.000000	88.669914	171.6923
58.000000	88.808502	170.5123
59.000000	88.806427	170.0022
60.000000	88.930008	170.3278
60.799999	88.986847	169.9812
61.500000	88.928185	169.7217
62.200001	88.831490	169.8389
63.000000	88.750786	170.0015
64.000000	88.642563	169.8036
65.000000	88.572388	169.5110
66.000000	88.518219	168.7058
67.000000	88.431076	168.3425
68.000000	88.444229	168.5122
69.000000	88.537857	168.3154
70.000000	88.510933	167.5921
71.000000	88.384239	167.8476
72.000000	88.388458	168.0552
73.000000	88.305702	167.4796
74.000000	88.196259	167.4767
75.000000	88.176926	167.1954
76.199997	88.123138	166.7729
77.500000	88.128990	166.0215
78.800003	87.936546	166.2538
80.000000	88.125732	166.7070
81.199997	87.980240	165.2026
82.500000	87.872231	166.2765
83.800003	87.853050	165.8597
85.000000	87.784958	165.9920
86.199997	87.746689	166.3224
87.500000	87.810730	165.7003
88.500000	87.654015	165.3570
90.000000	87.666306	165.1050
91.199997	87.449799	164.8995
92.500000	87.467438	165.2834
93.800003	87.392960	165.6786
95.000000	87.488281	165.4202
96.199997	87.360214	165.1479
97.500000	87.315125	164.8323
98.800003	87.145119	164.9583
100.000000	87.163040	164.5415
101.500000	87.105965	163.8510
103.000000	86.954643	162.8745
104.400002	87.040947	163.7149
106.000000	86.932571	163.4454
107.500000	87.016205	164.1888
109.000000	86.877365	164.2556
110.599998	86.812477	164.2869
112.000000	86.626549	164.1848
113.800003	86.616974	164.1213
115.000000	86.522766	164.1205
117.199997	86.732567	163.3430
118.000000	86.546219	162.7803
120.599998	86.509087	164.3489
122.000000	86.414291	163.9713
124.099998	86.348656	164.3424
125.000000	86.301750	164.2960
126.500000	86.347054	164.0182
128.000000	86.112625	164.4743
131.500000	86.122055	164.4075
132.000000	86.140686	164.4467
134.000000	86.037201	163.9443
136.000000	86.015221	164.1206
138.000000	85.905365	165.3824
140.000000	85.781082	165.0200
