* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 27, 2021 2:23:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Sony MH750
* Measurement: Jun 27 14:23:26
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	77.788	166.389
20.586	77.740	165.899
20.885	77.693	165.487
21.189	77.622	165.079
21.497	77.555	164.649
21.810	77.502	164.184
22.127	77.446	163.682
22.449	77.379	163.151
22.776	77.313	162.602
23.107	77.253	162.044
23.443	77.188	161.479
23.784	77.127	160.903
24.130	77.074	160.314
24.481	77.025	159.712
24.837	76.972	159.105
25.198	76.905	158.504
25.565	76.846	157.917
25.937	76.795	157.351
26.314	76.739	156.809
26.697	76.690	156.297
27.085	76.631	155.814
27.479	76.557	155.360
27.879	76.496	154.926
28.284	76.423	154.502
28.696	76.355	154.080
29.113	76.296	153.660
29.537	76.222	153.242
29.966	76.144	152.825
30.402	76.061	152.406
30.844	75.982	151.977
31.293	75.916	151.539
31.748	75.844	151.094
32.210	75.768	150.646
32.678	75.673	150.189
33.154	75.597	149.715
33.636	75.533	149.223
34.125	75.459	148.736
34.621	75.386	148.278
35.125	75.314	147.857
35.636	75.245	147.459
36.154	75.185	147.074
36.680	75.126	146.718
37.214	75.062	146.400
37.755	74.986	146.088
38.304	74.899	145.740
38.861	74.807	145.372
39.427	74.686	145.046
40.000	74.568	144.767
40.582	74.493	144.455
41.172	74.414	144.064
41.771	74.317	143.672
42.379	74.221	143.354
42.995	74.151	143.054
43.620	74.087	142.708
44.255	74.006	142.365
44.898	73.915	142.093
45.552	73.827	141.852
46.214	73.747	141.595
46.886	73.662	141.344
47.568	73.569	141.095
48.260	73.472	140.823
48.962	73.357	140.568
49.674	73.237	140.340
50.397	73.145	140.081
51.130	73.060	139.826
51.874	72.981	139.631
52.628	72.904	139.425
53.394	72.801	139.189
54.170	72.699	139.026
54.958	72.622	138.916
55.758	72.547	138.777
56.569	72.471	138.605
57.391	72.390	138.398
58.226	72.293	138.173
59.073	72.194	137.970
59.932	72.105	137.771
60.804	72.007	137.555
61.688	71.898	137.348
62.586	71.798	137.204
63.496	71.718	137.074
64.420	71.632	136.918
65.357	71.535	136.803
66.307	71.436	136.662
67.272	71.338	136.544
68.250	71.247	136.463
69.243	71.148	136.399
70.250	71.057	136.317
71.272	70.939	136.138
72.309	70.831	136.226
73.360	70.769	135.952
74.427	70.644	135.785
75.510	70.583	136.061
76.608	70.503	135.842
77.723	70.401	135.977
78.853	70.315	135.880
80.000	70.206	136.300
81.164	70.223	136.120
82.344	70.079	135.532
83.542	69.968	135.612
84.757	69.873	135.415
85.990	69.764	135.334
87.241	69.637	135.346
88.510	69.538	135.434
89.797	69.423	135.513
91.103	69.333	135.767
92.428	69.307	135.744
93.773	69.180	135.564
95.137	69.116	135.707
96.520	69.004	135.615
97.924	68.942	135.643
99.349	68.826	135.444
100.794	68.701	135.483
102.260	68.589	135.681
103.747	68.506	135.795
105.256	68.408	135.966
106.787	68.341	135.856
108.340	68.256	135.914
109.916	68.176	135.992
111.515	68.070	136.315
113.137	67.918	136.448
114.783	67.814	136.075
116.452	67.790	135.973
118.146	67.646	136.594
119.865	67.905	130.011
121.608	67.346	136.814
123.377	67.398	136.710
125.171	67.365	136.940
126.992	67.246	137.799
128.839	67.147	137.326
130.713	66.987	137.224
132.615	66.890	137.768
134.543	66.830	137.681
136.500	66.770	138.096
138.486	66.672	138.292
140.500	66.567	138.363
142.544	66.493	138.517
144.617	66.402	138.625
146.721	66.324	138.828
148.855	66.281	139.304
151.020	66.111	138.928
153.217	66.033	139.230
155.445	65.951	140.105
157.706	65.878	140.894
160.000	66.135	139.594
162.327	65.797	141.016
164.688	65.708	140.776
167.084	65.661	140.797
169.514	65.481	141.462
171.980	65.315	141.616
174.481	65.184	141.900
177.019	65.091	142.095
179.594	64.944	142.500
182.206	64.872	142.785
184.856	64.843	143.007
187.545	64.829	143.418
190.273	64.754	143.570
193.041	64.684	143.985
195.849	64.636	144.110
198.697	64.550	144.419
201.587	64.431	144.813
204.520	64.384	145.179
207.494	64.335	145.638
210.512	64.253	145.853
213.574	64.152	146.106
216.681	64.061	146.286
219.833	63.947	146.780
223.030	63.881	147.190
226.274	63.807	147.798
229.565	63.737	148.122
232.905	63.675	148.459
236.292	63.610	148.920
239.729	63.535	149.159
243.216	63.472	149.680
246.754	63.383	149.760
250.343	63.281	150.270
253.984	63.201	150.724
257.678	63.126	151.588
261.426	63.099	151.973
265.229	63.048	152.022
269.087	62.958	152.583
273.001	62.865	153.066
276.972	62.799	153.625
281.000	62.715	154.135
285.088	62.642	154.777
289.234	62.621	155.445
293.441	62.581	155.580
297.710	62.479	155.990
302.040	62.390	156.490
306.433	62.316	157.174
310.890	62.259	157.901
315.412	62.172	158.857
320.000	62.058	159.450
324.655	62.066	161.350
329.377	62.147	162.314
334.168	62.285	162.854
339.028	62.349	162.936
343.959	62.368	162.398
348.962	62.268	162.397
354.038	62.257	162.440
359.188	62.202	162.672
364.412	62.129	162.958
369.713	62.039	163.290
375.090	61.970	163.694
380.546	61.910	164.198
386.081	61.854	164.688
391.697	61.799	165.153
397.395	61.750	165.687
403.175	61.694	166.257
409.039	61.645	166.856
414.989	61.587	167.259
421.025	61.526	167.831
427.149	61.473	168.437
433.362	61.452	169.271
439.665	61.423	169.702
446.060	61.374	170.328
452.548	61.356	171.088
459.131	61.391	171.368
465.809	61.300	171.678
472.584	61.256	172.245
479.458	61.204	172.929
486.432	61.207	173.539
493.507	61.109	173.709
500.686	61.062	174.700
507.968	61.052	175.402
515.357	61.023	175.966
522.853	60.989	176.563
530.458	60.908	177.159
538.174	60.906	178.113
546.002	60.866	178.581
553.943	60.843	179.485
562.001	60.827	-179.776
570.175	60.813	-179.184
578.469	60.769	-178.473
586.883	60.779	-177.654
595.419	60.695	-177.051
604.080	60.692	-176.114
612.866	60.695	-175.321
621.780	60.697	-174.695
630.824	60.603	-173.919
640.000	60.669	-172.756
649.309	60.629	-172.024
658.753	60.605	-171.032
668.335	60.714	-169.986
678.056	60.719	-169.477
687.919	60.724	-168.680
697.925	60.709	-168.110
708.076	60.708	-167.172
718.376	60.738	-166.304
728.825	60.741	-165.451
739.426	60.767	-164.603
750.181	60.780	-163.776
761.093	60.799	-162.822
772.163	60.826	-161.940
783.394	60.867	-160.921
794.789	60.911	-160.234
806.349	60.931	-159.303
818.078	60.985	-158.761
829.977	60.932	-157.198
842.050	61.062	-156.349
854.297	61.124	-155.376
866.724	61.247	-154.897
879.330	61.255	-153.726
892.120	61.368	-152.890
905.097	61.417	-152.403
918.262	61.530	-151.429
931.618	61.590	-150.551
945.169	61.721	-149.922
958.917	61.797	-149.245
972.864	61.849	-149.023
987.015	61.914	-148.333
1001.371	61.974	-147.972
1015.937	62.002	-146.711
1030.714	62.030	-145.831
1045.706	62.200	-144.440
1060.916	62.315	-143.800
1076.347	62.444	-143.362
1092.003	62.577	-142.603
1107.887	62.701	-142.129
1124.001	62.844	-141.678
1140.350	62.972	-141.250
1156.937	63.073	-140.664
1173.765	63.206	-140.425
1190.838	63.304	-139.868
1208.159	63.491	-138.953
1225.732	63.625	-139.273
1243.561	63.781	-139.290
1261.649	63.863	-138.780
1280.000	63.962	-138.949
1298.618	64.052	-138.550
1317.507	64.162	-138.098
1336.670	64.265	-137.833
1356.113	64.345	-137.761
1375.838	64.484	-137.635
1395.850	64.522	-137.279
1416.153	64.582	-136.212
1436.751	64.762	-136.044
1457.649	64.894	-136.014
1478.851	65.040	-135.697
1500.362	65.191	-135.460
1522.185	65.346	-135.214
1544.326	65.541	-134.885
1566.789	65.705	-134.540
1589.578	65.966	-133.776
1612.699	66.149	-133.283
1636.156	66.173	-133.457
1659.955	66.077	-133.436
1684.099	65.948	-133.147
1708.595	65.879	-132.786
1733.447	65.874	-132.747
1758.661	65.915	-132.729
1784.241	66.026	-132.614
1810.193	66.231	-131.573
1836.523	66.415	-131.381
1863.236	66.612	-131.136
1890.338	66.802	-131.002
1917.833	66.990	-130.794
1945.729	67.131	-130.810
1974.030	67.364	-130.126
2002.743	67.563	-130.187
2031.873	67.774	-130.279
2061.428	67.931	-130.178
2091.412	68.160	-130.129
2121.832	68.310	-130.158
2152.695	68.455	-130.753
2184.007	68.543	-130.401
2215.774	68.727	-130.286
2248.003	68.915	-130.343
2280.701	69.067	-130.427
2313.874	69.231	-130.480
2347.530	69.380	-129.672
2381.676	69.604	-129.329
2416.318	69.908	-128.766
2451.464	70.263	-128.862
2487.122	70.615	-129.224
2523.298	71.024	-130.266
2560.000	71.265	-131.536
2597.236	71.570	-132.679
2635.014	71.838	-134.196
2673.341	72.084	-135.758
2712.226	72.210	-137.532
2751.676	72.433	-138.968
2791.700	72.602	-140.418
2832.306	72.751	-142.356
2873.503	72.902	-143.732
2915.299	73.032	-146.411
2957.703	73.129	-147.841
3000.724	73.198	-149.497
3044.370	73.278	-151.321
3088.652	73.312	-153.629
3133.577	73.362	-155.428
3179.156	73.430	-157.247
3225.398	73.443	-159.253
3272.312	73.474	-161.141
3319.909	73.397	-163.486
3368.198	73.342	-165.259
3417.190	73.278	-166.928
3466.894	73.178	-168.984
3517.321	73.027	-170.368
3568.482	72.884	-171.577
3620.387	72.724	-172.773
3673.046	72.682	-174.131
3726.472	72.514	-175.342
3780.675	72.401	-176.381
3835.666	72.343	-177.782
3891.457	72.223	-178.975
3948.060	72.118	-179.783
4005.486	72.043	179.439
4063.747	72.010	177.698
4122.855	71.822	176.625
4182.824	71.636	175.874
4243.664	71.421	174.487
4305.390	71.141	173.939
4368.013	70.880	173.011
4431.547	70.670	173.054
4496.005	70.412	172.158
4561.401	70.153	171.875
4627.749	69.985	171.043
4695.061	69.710	170.271
4763.352	69.438	169.903
4832.637	69.257	169.951
4902.929	69.041	169.457
4974.244	68.876	169.281
5046.596	68.709	168.475
5120.000	68.543	167.987
5194.472	68.284	168.146
5270.027	68.040	167.856
5346.682	67.773	168.101
5424.451	67.521	167.974
5503.352	67.193	168.126
5583.399	66.812	169.231
5664.612	66.517	170.029
5747.006	66.209	171.154
5830.598	65.955	172.185
5915.406	65.695	172.878
6001.447	65.528	174.222
6088.740	65.288	175.344
6177.303	65.163	176.461
6267.154	65.055	177.673
6358.312	64.838	178.798
6450.796	64.711	179.846
6544.625	64.608	-178.352
6639.818	64.545	-176.918
6736.397	64.433	-175.627
6834.380	64.367	-174.283
6933.789	64.345	-172.461
7034.643	64.401	-170.947
7136.964	64.409	-169.172
7240.773	64.436	-167.789
7346.093	64.532	-166.013
7452.944	64.733	-164.752
7561.350	64.963	-163.247
7671.332	65.120	-162.367
7782.915	65.483	-161.406
7896.120	65.754	-161.199
8010.971	66.144	-161.804
8127.493	66.461	-162.157
8245.711	67.011	-163.939
8365.647	67.553	-166.919
8487.328	67.981	-171.742
8610.779	68.336	-177.332
8736.026	68.471	175.449
8863.095	68.250	166.969
8992.011	67.656	159.756
9122.803	66.813	153.690
9255.497	65.790	148.444
9390.121	64.629	145.806
9526.704	63.533	144.694
9665.273	62.415	143.940
9805.857	61.379	144.524
9948.487	60.377	146.686
10093.191	59.371	148.855
10240.000	59.042	153.857
10388.944	58.325	154.826
10540.055	57.564	157.600
10693.363	56.930	161.084
10848.902	56.350	164.478
11006.703	55.790	168.039
11166.799	55.481	172.873
11329.224	55.172	176.625
11494.012	54.803	-178.650
11661.195	54.667	-174.448
11830.812	54.570	-170.221
12002.895	54.523	-165.569
12177.480	54.594	-161.173
12354.606	54.815	-156.551
12534.309	55.128	-152.434
12716.624	55.521	-147.706
12901.592	56.197	-143.990
13089.250	56.879	-140.892
13279.637	57.957	-138.408
13472.794	59.184	-138.291
13668.760	60.597	-140.746
13867.577	61.980	-148.571
14069.285	62.915	-163.024
14273.928	62.677	178.133
14481.547	61.091	163.805
14692.186	59.224	155.466
14905.889	57.420	153.613
15122.700	55.855	153.768
15342.664	54.535	156.531
15565.829	53.320	160.320
15792.239	52.097	164.530
16021.942	50.874	169.411
16254.986	50.049	174.817
16491.422	49.618	179.412
16731.295	49.924	-176.228
16974.656	50.379	-172.203
17221.559	51.162	-170.240
17472.053	52.491	-171.494
17726.189	54.052	179.240
17984.021	54.786	159.039
18245.605	52.978	135.696
18510.994	49.568	122.544
18780.242	46.107	120.949
19053.408	42.921	123.960
19330.547	40.051	129.543
19611.715	37.500	138.380
19896.975	34.985	148.838
