* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 9, 2022 8:50:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Ola L
* Measurement: Ola L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.931	73.1024
20.299999	97.026	72.4437
20.600000	97.120	71.7814
20.900000	97.210	71.1175
21.200001	97.299	70.4553
21.400000	97.356	70.0161
21.799999	97.469	69.1431
22.000000	97.523	68.7097
22.400000	97.628	67.8511
22.700001	97.702	67.2193
23.000000	97.773	66.6053
23.299999	97.840	66.0150
23.600000	97.906	65.4495
24.000000	97.993	64.7285
24.299999	98.058	64.2021
24.700001	98.146	63.5041
25.000000	98.210	62.9773
25.400000	98.293	62.2714
25.799999	98.371	61.5721
26.200001	98.444	60.8915
26.500000	98.497	60.3974
26.900000	98.566	59.7601
27.200001	98.617	59.2959
27.600000	98.685	58.6899
28.000000	98.752	58.0903
28.500000	98.835	57.3363
29.000000	98.911	56.5732
29.500000	98.980	55.8225
30.000000	99.042	55.1230
30.400000	99.091	54.6120
30.700001	99.131	54.2496
31.100000	99.189	53.7692
31.500000	99.250	53.2669
32.000000	99.324	52.5921
32.500000	99.390	51.8901
33.000000	99.447	51.2099
33.500000	99.499	50.5764
34.000000	99.553	49.9786
34.500000	99.608	49.3903
35.000000	99.662	48.7999
35.500000	99.713	48.2140
36.000000	99.761	47.6443
36.500000	99.808	47.0946
37.000000	99.854	46.5605
37.500000	99.899	46.0361
38.200001	99.960	45.3133
38.700001	100.001	44.8055
39.500000	100.063	44.0130
40.000000	100.100	43.5345
40.599998	100.142	42.9802
41.200001	100.183	42.4431
41.799999	100.224	41.9135
42.500000	100.271	41.2971
43.099998	100.307	40.7745
43.700001	100.342	40.2650
44.400002	100.380	39.6897
45.000000	100.411	39.2102
45.500000	100.437	38.8195
46.200001	100.472	38.2875
46.799999	100.502	37.8438
47.500000	100.537	37.3333
48.200001	100.571	36.8246
48.700001	100.594	36.4645
49.400002	100.625	35.9719
50.000000	100.650	35.5623
50.799999	100.683	35.0266
51.500000	100.710	34.5636
52.200001	100.734	34.1141
53.000000	100.761	33.6282
53.799999	100.788	33.1671
54.500000	100.813	32.7733
55.200001	100.839	32.3840
56.000000	100.870	31.9430
57.000000	100.909	31.3870
58.000000	100.946	30.8173
59.000000	100.980	30.2509
60.000000	101.009	29.7036
60.799999	101.031	29.2769
61.500000	101.048	28.9123
62.200001	101.063	28.5600
63.000000	101.079	28.1741
64.000000	101.098	27.7108
65.000000	101.116	27.2574
66.000000	101.133	26.8053
67.000000	101.149	26.3529
68.000000	101.162	25.9094
69.000000	101.175	25.4866
70.000000	101.189	25.0858
71.000000	101.205	24.7020
72.000000	101.221	24.3315
73.000000	101.238	23.9749
74.000000	101.254	23.6309
75.000000	101.270	23.2924
76.199997	101.288	22.8860
77.500000	101.306	22.4429
78.800003	101.325	21.9890
80.000000	101.343	21.5514
81.199997	101.360	21.0931
82.500000	101.375	20.5789
83.800003	101.383	20.0645
85.000000	101.384	19.6168
86.199997	101.380	19.2141
87.500000	101.375	18.8296
88.500000	101.371	18.5636
90.000000	101.367	18.1951
91.199997	101.367	17.9120
92.500000	101.369	17.6099
93.800003	101.371	17.3104
95.000000	101.373	17.0358
96.199997	101.374	16.7645
97.500000	101.373	16.4772
98.800003	101.371	16.2007
100.000000	101.369	15.9573
101.500000	101.367	15.6708
103.000000	101.369	15.4016
104.400002	101.373	15.1533
106.000000	101.380	14.8583
107.500000	101.385	14.5698
109.000000	101.389	14.2693
110.599998	101.391	13.9314
112.000000	101.391	13.6270
113.800003	101.384	13.2485
115.000000	101.374	13.0236
117.199997	101.350	12.7075
118.000000	101.341	12.6223
120.599998	101.322	12.3651
122.000000	101.317	12.2010
124.099998	101.312	11.9393
125.000000	101.312	11.8303
126.500000	101.312	11.6539
128.000000	101.312	11.4790
131.500000	101.306	11.0524
132.000000	101.304	10.9880
134.000000	101.299	10.7222
136.000000	101.294	10.4529
138.000000	101.287	10.1989
140.000000	101.279	9.9660
143.000000	101.265	9.6367
145.000000	101.254	9.4205
147.500000	101.237	9.1550
150.000000	101.217	8.9118
152.500000	101.192	8.7159
155.000000	101.169	8.5679
157.500000	101.151	8.4301
160.000000	101.137	8.2629
162.500000	101.124	8.0619
165.000000	101.108	7.8482
167.500000	101.089	7.6434
170.000000	101.065	7.4670
172.500000	101.040	7.3256
175.000000	101.018	7.2015
177.500000	100.999	7.0802
180.000000	100.983	6.9595
182.500000	100.969	6.8358
185.000000	100.955	6.7043
187.500000	100.937	6.5589
190.000000	100.917	6.4041
192.500000	100.896	6.2551
195.000000	100.876	6.1220
197.500000	100.857	6.0062
200.000000	100.841	5.9082
203.000000	100.824	5.8143
206.000000	100.808	5.7308
209.000000	100.792	5.6271
212.000000	100.769	5.4962
214.000000	100.749	5.4099
218.000000	100.704	5.2952
220.000000	100.681	5.2703
224.000000	100.644	5.2356
227.000000	100.618	5.1930
230.000000	100.593	5.1385
233.000000	100.566	5.0798
236.000000	100.536	5.0170
240.000000	100.493	4.9261
243.000000	100.456	4.8615
247.000000	100.398	4.8165
250.000000	100.349	4.8480
