* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 4, 2021 3:51:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tanchjim Tanya
* Measurement: Sep 4
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.4	-119.9155
20.299999	88.5	-120.5770
20.600000	88.6	-121.1705
20.900000	88.7	-121.7441
21.200001	88.8	-122.3807
21.400000	88.9	-122.8840
21.799999	89.0	-124.0939
22.000000	89.1	-124.7807
22.400000	89.1	-126.2022
22.700001	89.2	-127.1709
23.000000	89.2	-127.9398
23.299999	89.2	-128.4830
23.600000	89.2	-128.8480
24.000000	89.2	-129.2078
24.299999	89.3	-129.5204
24.700001	89.4	-130.1068
25.000000	89.4	-130.6740
25.400000	89.5	-131.5189
25.799999	89.6	-132.3478
26.200001	89.6	-133.1046
26.500000	89.7	-133.6423
26.900000	89.7	-134.3675
27.200001	89.7	-134.9405
27.600000	89.8	-135.7366
28.000000	89.8	-136.5205
28.500000	89.9	-137.4098
29.000000	89.9	-138.1951
29.500000	89.9	-138.9500
30.000000	90.0	-139.7376
30.400000	90.0	-140.3807
30.700001	90.1	-140.8490
31.100000	90.1	-141.4312
31.500000	90.1	-141.9640
32.000000	90.2	-142.5968
32.500000	90.2	-143.2498
33.000000	90.3	-143.9494
33.500000	90.3	-144.6755
34.000000	90.4	-145.3952
34.500000	90.4	-146.0956
35.000000	90.5	-146.7836
35.500000	90.5	-147.4680
36.000000	90.5	-148.1523
36.500000	90.5	-148.8411
37.000000	90.6	-149.5413
37.500000	90.6	-150.2527
38.200001	90.6	-151.2415
38.700001	90.6	-151.9199
39.500000	90.6	-152.9419
40.000000	90.7	-153.5479
40.599998	90.7	-154.2497
41.200001	90.7	-154.9302
41.799999	90.7	-155.5964
42.500000	90.7	-156.3602
43.099998	90.8	-157.0020
43.700001	90.8	-157.6327
44.400002	90.8	-158.3599
45.000000	90.8	-158.9776
45.500000	90.8	-159.4853
46.200001	90.8	-160.1790
46.799999	90.8	-160.7525
47.500000	90.8	-161.3928
48.200001	90.8	-162.0050
48.700001	90.8	-162.4322
49.400002	90.8	-163.0282
50.000000	90.8	-163.5445
50.799999	90.8	-164.2374
51.500000	90.8	-164.8237
52.200001	90.8	-165.3564
53.000000	90.7	-165.8785
53.799999	90.7	-166.3315
54.500000	90.7	-166.7130
55.200001	90.7	-167.1156
56.000000	90.7	-167.6193
57.000000	90.7	-168.2858
58.000000	90.7	-168.9193
59.000000	90.7	-169.4550
60.000000	90.7	-169.9319
60.799999	90.7	-170.3498
61.500000	90.8	-170.7476
62.200001	90.8	-171.1471
63.000000	90.8	-171.5899
64.000000	90.8	-172.1323
65.000000	90.8	-172.6815
66.000000	90.8	-173.2629
67.000000	90.9	-173.8770
68.000000	90.9	-174.5030
69.000000	90.9	-175.1079
70.000000	90.9	-175.6604
71.000000	90.9	-176.1562
72.000000	91.0	-176.6179
73.000000	91.0	-177.1293
74.000000	91.0	-177.8145
75.000000	91.0	-178.6504
76.199997	90.9	-179.6001
77.500000	90.8	179.5438
78.800003	90.8	178.7554
80.000000	90.7	178.0347
81.199997	90.7	177.3177
82.500000	90.7	176.5538
83.800003	90.6	175.8218
85.000000	90.6	175.1934
86.199997	90.5	174.6159
87.500000	90.5	174.0373
88.500000	90.4	173.6183
90.000000	90.4	173.0251
91.199997	90.4	172.5732
92.500000	90.3	172.1002
93.800003	90.3	171.6443
95.000000	90.2	171.2368
96.199997	90.2	170.8372
97.500000	90.1	170.4121
98.800003	90.1	170.0005
100.000000	90.1	169.6380
101.500000	90.0	169.2114
103.000000	90.0	168.8124
104.400002	89.9	168.4583
106.000000	89.9	168.0674
107.500000	89.8	167.7120
109.000000	89.8	167.3603
110.599998	89.8	166.9488
112.000000	89.7	166.5098
113.800003	89.7	165.8269
115.000000	89.6	165.3352
117.199997	89.6	164.4553
118.000000	89.6	164.1562
120.599998	89.5	163.4471
122.000000	89.5	163.3316
124.099998	89.3	163.2887
125.000000	89.3	163.2337
126.500000	89.2	163.0576
128.000000	89.2	162.8026
