* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -16.3 dBFS, measurement signal peak level -15.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 13, 2022 5:57:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0928 ms (-32 mm, -1.25 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter R with no timing offset
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.529823	-158.1508
20.299999	98.537033	-158.7607
20.600000	98.543167	-159.3372
20.900000	98.550529	-159.8844
21.200001	98.560593	-160.4215
21.400000	98.567787	-160.7873
21.799999	98.578506	-161.5404
22.000000	98.579735	-161.9196
22.400000	98.571205	-162.6409
22.700001	98.558807	-163.1088
23.000000	98.549042	-163.4985
23.299999	98.548676	-163.8461
23.600000	98.558365	-164.2073
24.000000	98.578033	-164.7877
24.299999	98.584763	-165.3033
24.700001	98.570297	-166.0068
25.000000	98.544868	-166.4491
25.400000	98.511581	-166.8577
25.799999	98.505264	-167.1673
26.200001	98.525330	-167.6243
26.500000	98.534775	-168.1530
26.900000	98.504456	-169.0138
27.200001	98.439049	-169.5701
27.600000	98.318275	-169.8881
28.000000	98.231094	-169.6133
28.500000	98.269035	-169.0103
29.000000	98.435455	-169.2214
29.500000	98.567307	-170.5676
30.000000	98.548447	-172.2694
30.400000	98.449982	-173.2332
30.700001	98.371140	-173.5958
31.100000	98.309448	-173.7897
31.500000	98.304520	-173.9972
32.000000	98.324394	-174.6028
32.500000	98.309349	-175.4181
33.000000	98.262138	-176.0470
33.500000	98.228897	-176.4266
34.000000	98.226562	-176.7972
34.500000	98.228050	-177.2951
35.000000	98.212296	-177.8131
35.500000	98.187935	-178.2262
36.000000	98.170700	-178.5694
36.500000	98.158478	-178.9352
37.000000	98.139549	-179.3320
37.500000	98.111481	-179.7029
38.200001	98.070442	179.8522
38.700001	98.045212	179.5397
39.500000	98.003876	178.9801
40.000000	97.972359	178.6131
40.599998	97.930244	178.2049
41.200001	97.893768	177.8423
41.799999	97.867111	177.4503
42.500000	97.829514	176.9047
43.099998	97.780045	176.4997
43.700001	97.735832	176.2565
44.400002	97.714676	176.0095
45.000000	97.704773	175.6623
45.500000	97.683861	175.3287
46.200001	97.641350	174.9454
46.799999	97.609650	174.6804
47.500000	97.575012	174.3396
48.200001	97.532547	174.0073
48.700001	97.502663	173.8023
49.400002	97.465858	173.5041
50.000000	97.431175	173.2257
50.799999	97.382050	172.9012
51.500000	97.345955	172.6230
52.200001	97.306694	172.3214
53.000000	97.263107	172.0482
53.799999	97.234344	171.7124
54.500000	97.189667	171.3503
55.200001	97.138466	171.1988
56.000000	97.133217	171.0266
57.000000	97.092682	170.1972
58.000000	96.953636	169.9055
59.000000	96.904366	170.0188
60.000000	96.867096	169.8194
60.799999	96.839111	169.6947
61.500000	96.817009	169.4660
62.200001	96.773560	169.2275
63.000000	96.724243	169.0894
64.000000	96.677887	168.8560
65.000000	96.618866	168.6211
66.000000	96.567986	168.4333
67.000000	96.517662	168.2283
68.000000	96.468704	168.0412
69.000000	96.418167	167.8651
70.000000	96.369499	167.7151
71.000000	96.320732	167.5472
72.000000	96.266747	167.3948
73.000000	96.216743	167.2754
74.000000	96.169281	167.1169
75.000000	96.116165	166.9850
76.199997	96.062843	166.8507
77.500000	95.999611	166.6875
78.800003	95.939651	166.5665
80.000000	95.882233	166.4619
81.199997	95.826241	166.3582
82.500000	95.766754	166.2644
83.800003	95.707611	166.1508
85.000000	95.659149	166.0903
86.199997	95.608421	165.9722
87.500000	95.553368	165.9111
88.500000	95.505630	165.8280
90.000000	95.437607	165.8525
91.199997	95.390564	165.7871
92.500000	95.332703	165.7487
93.800003	95.277832	165.7245
95.000000	95.228745	165.7088
96.199997	95.180801	165.7100
97.500000	95.130249	165.6724
98.800003	95.071846	165.6777
100.000000	95.027679	165.6821
101.500000	94.968895	165.6758
103.000000	94.914612	165.6840
104.400002	94.875160	165.6817
106.000000	94.794952	165.6048
107.500000	94.739899	165.7831
109.000000	94.687714	165.8326
110.599998	94.629181	165.9052
112.000000	94.588120	165.9549
113.800003	94.533081	166.2170
115.000000	94.510399	166.0560
117.199997	94.400169	166.3332
118.000000	94.373848	166.3281
120.599998	94.281548	166.6593
122.000000	94.233826	166.6134
124.099998	94.175690	166.7870
125.000000	94.153076	166.8733
126.500000	94.115295	166.9719
128.000000	94.079880	167.1151
131.500000	93.997070	167.2252
132.000000	93.973663	167.2216
134.000000	93.921768	167.4383
136.000000	93.872444	167.5411
138.000000	93.809212	167.6621
140.000000	93.754898	167.7704
143.000000	93.644012	168.0017
145.000000	93.602364	168.2150
147.500000	93.530449	168.4862
150.000000	93.444427	168.7580
152.500000	93.364288	169.1144
155.000000	93.283844	169.4725
157.500000	93.207802	169.9241
160.000000	93.130440	170.4119
162.500000	93.069603	171.1089
165.000000	93.008636	171.7946
