* Measurement data measured by REW V5,19
* Source: Mikrofon (Xonar U7), MICROPHONE (Huvudvolym), L, volume: 0,400
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 2021-maj-11 16:01:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Elecom EHP-CAP20 tips L + stock cable (3.5mm)
* Measurement: Sony MH750
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	96.049	-19.651
20.586	96.029	-19.804
20.885	95.976	-20.147
21.189	95.913	-20.556
21.497	95.842	-20.998
21.810	95.767	-21.458
22.127	95.690	-21.931
22.449	95.611	-22.418
22.776	95.533	-22.925
23.107	95.454	-23.454
23.443	95.376	-24.005
23.784	95.299	-24.575
24.130	95.223	-25.161
24.481	95.148	-25.754
24.837	95.075	-26.346
25.198	95.003	-26.929
25.565	94.932	-27.496
25.937	94.862	-28.043
26.314	94.794	-28.566
26.697	94.726	-29.067
27.085	94.658	-29.552
27.479	94.589	-30.027
27.879	94.517	-30.499
28.284	94.440	-30.966
28.696	94.358	-31.423
29.113	94.269	-31.861
29.537	94.176	-32.274
29.966	94.082	-32.667
30.402	93.988	-33.050
30.844	93.895	-33.434
31.293	93.803	-33.828
31.748	93.712	-34.234
32.210	93.622	-34.652
32.678	93.533	-35.080
33.154	93.444	-35.515
33.636	93.356	-35.951
34.125	93.268	-36.380
34.621	93.180	-36.796
35.125	93.093	-37.194
35.636	93.006	-37.575
36.154	92.919	-37.942
36.680	92.832	-38.296
37.214	92.742	-38.641
37.755	92.651	-38.981
38.304	92.557	-39.317
38.861	92.459	-39.647
39.427	92.359	-39.967
40.000	92.258	-40.276
40.582	92.157	-40.580
41.172	92.058	-40.884
41.771	91.959	-41.191
42.379	91.862	-41.496
42.995	91.766	-41.795
43.620	91.672	-42.087
44.255	91.578	-42.372
44.898	91.484	-42.645
45.552	91.388	-42.903
46.214	91.292	-43.148
46.886	91.195	-43.384
47.568	91.096	-43.615
48.260	90.995	-43.846
48.962	90.893	-44.075
49.674	90.790	-44.300
50.397	90.687	-44.519
51.130	90.584	-44.731
51.874	90.481	-44.938
52.628	90.379	-45.139
53.394	90.276	-45.329
54.170	90.173	-45.506
54.958	90.069	-45.670
55.758	89.965	-45.827
56.569	89.861	-45.981
57.391	89.756	-46.132
58.226	89.649	-46.279
59.073	89.542	-46.418
59.932	89.434	-46.550
60.804	89.327	-46.677
61.688	89.220	-46.797
62.586	89.114	-46.911
63.496	89.008	-47.016
64.420	88.902	-47.110
65.357	88.796	-47.193
66.307	88.691	-47.263
67.272	88.586	-47.324
68.250	88.482	-47.380
69.243	88.378	-47.434
70.250	88.274	-47.487
71.272	88.169	-47.536
72.309	88.063	-47.578
73.360	87.958	-47.609
74.427	87.854	-47.627
75.510	87.751	-47.634
76.608	87.650	-47.630
77.723	87.549	-47.617
78.853	87.449	-47.595
80.000	87.350	-47.565
81.164	87.251	-47.531
82.344	87.152	-47.496
83.542	87.054	-47.462
84.757	86.957	-47.428
85.990	86.859	-47.394
87.241	86.762	-47.361
88.510	86.662	-47.320
89.797	86.562	-47.263
