* Measurement data measured by REW V5.20.4
* Source:
* Format:
* Dated: 2021/12/25 19:43:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 18.8 dB
* Note: 
* Measurement: Variations S2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 95.511 -154.8657
20.299999 95.522 -155.6875
20.600000 95.531 -156.4927
20.900000 95.538 -157.2795
21.200001 95.542 -158.0456
21.400000 95.544 -158.5433
21.799999 95.546 -159.5036
22.000000 95.547 -159.9657
22.400000 95.548 -160.8573
22.700001 95.551 -161.5052
23.000000 95.554 -162.1444
23.299999 95.558 -162.7819
23.600000 95.561 -163.4214
24.000000 95.561 -164.2746
24.299999 95.558 -164.9074
24.700001 95.550 -165.7293
25.000000 95.541 -166.3242
25.400000 95.529 -167.0889
25.799999 95.516 -167.8292
26.200001 95.504 -168.5560
26.500000 95.495 -169.0967
26.900000 95.482 -169.8136
27.200001 95.471 -170.3479
27.600000 95.456 -171.0539
28.000000 95.438 -171.7491
28.500000 95.414 -172.5943
29.000000 95.388 -173.4022
29.500000 95.363 -174.1710
30.000000 95.342 -174.9150
30.400000 95.327 -175.5056
30.700001 95.317 -175.9501
31.100000 95.302 -176.5438
31.500000 95.285 -177.1327
32.000000 95.261 -177.8508
32.500000 95.235 -178.5422
33.000000 95.208 -179.2063
33.500000 95.181 -179.8438
34.000000 95.154 179.5433
34.500000 95.127 178.9477
35.000000 95.102 178.3577
35.500000 95.076 177.7652
36.000000 95.048 177.1723
36.500000 95.017 176.5888
37.000000 94.984 176.0248
37.500000 94.949 175.4854
38.200001 94.901 174.7676
38.700001 94.869 174.2714
39.500000 94.822 173.4789
40.000000 94.793 172.9754
40.599998 94.756 172.3661
41.200001 94.716 171.7628
41.799999 94.674 171.1746
42.500000 94.623 170.5111
43.099998 94.579 169.9633
43.700001 94.534 169.4377
44.400002 94.481 168.8514
45.000000 94.438 168.3659
45.500000 94.402 167.9697
46.200001 94.352 167.4266
46.799999 94.310 166.9712
47.500000 94.262 166.4474
48.200001 94.215 165.9268
48.700001 94.180 165.5554
49.400002 94.131 165.0366
50.000000 94.087 164.5974
50.799999 94.025 164.0328
51.500000 93.971 163.5654
52.200001 93.917 163.1180
53.000000 93.858 162.6205
53.799999 93.800 162.1317
54.500000 93.751 161.7083
55.200001 93.701 161.2854
56.000000 93.644 160.8027
57.000000 93.569 160.2120
58.000000 93.493 159.6489
59.000000 93.417 159.1148
60.000000 93.341 158.6035
60.799999 93.281 158.2061
61.500000 93.228 157.8674
62.200001 93.174 157.5416
63.000000 93.113 157.1879
64.000000 93.036 156.7689
65.000000 92.960 156.3650
66.000000 92.884 155.9682
67.000000 92.807 155.5781
68.000000 92.728 155.2023
69.000000 92.650 154.8434
70.000000 92.573 154.4944
71.000000 92.498 154.1490
72.000000 92.422 153.8067
73.000000 92.346 153.4718
74.000000 92.270 153.1490
75.000000 92.194 152.8411
76.199997 92.102 152.4925
77.500000 92.003 152.1359
78.800003 91.905 151.7959
80.000000 91.814 151.4976
81.199997 91.722 151.2200
82.500000 91.624 150.9392
83.800003 91.525 150.6695
85.000000 91.433 150.4342
86.199997 91.341 150.2163
87.500000 91.242 149.9984
88.500000 91.167 149.8422
90.000000 91.054 149.6268
91.199997 90.965 149.4698
92.500000 90.868 149.3156
93.800003 90.773 149.1778
95.000000 90.686 149.0615
96.199997 90.600 148.9510
97.500000 90.506 148.8375
98.800003 90.412 148.7359
100.000000 90.324 148.6575
101.500000 90.215 148.5832
103.000000 90.106 148.5345
104.400002 90.007 148.5087
106.000000 89.895 148.4986
107.500000 89.793 148.5042
109.000000 89.693 148.5231
110.599998 89.586 148.5599
112.000000 89.493 148.6078
113.800003 89.373 148.6912
115.000000 89.294 148.7582
117.199997 89.152 148.8951
118.000000 89.101 148.9495
120.599998 88.938 149.1507
122.000000 88.852 149.2777
124.099998 88.725 149.4950
125.000000 88.671 149.5972
126.500000 88.582 149.7775
128.000000 88.494 149.9684
131.500000 88.292 150.4563
132.000000 88.264 150.5315
134.000000 88.153 150.8452
136.000000 88.047 151.1779
138.000000 87.944 151.5296
140.000000 87.845 151.8980
143.000000 87.703 152.4666
145.000000 87.611 152.8493
147.500000 87.500 153.3388
150.000000 87.396 153.8573
152.500000 87.296 154.4081
155.000000 87.201 154.9799
157.500000 87.109 155.5593
160.000000 87.021 156.1405
162.500000 86.938 156.7299
165.000000 86.858 157.3336
167.500000 86.783 157.9529
170.000000 86.712 158.5817
172.500000 86.646 159.2107
175.000000 86.584 159.8361
177.500000 86.525 160.4583
180.000000 86.472 161.0786
182.500000 86.423 161.6980
185.000000 86.378 162.3151
187.500000 86.337 162.9286
190.000000 86.300 163.5391
192.500000 86.267 164.1454
195.000000 86.237 164.7435
197.500000 86.211 165.3318
200.000000 86.188 165.9120
203.000000 86.165 166.5992
206.000000 86.145 167.2748
209.000000 86.129 167.9352
212.000000 86.116 168.5794
214.000000 86.108 169.0009
218.000000 86.096 169.8276
220.000000 86.092 170.2332
224.000000 86.087 171.0273
227.000000 86.087 171.6061
230.000000 86.090 172.1683
233.000000 86.094 172.7133
236.000000 86.101 173.2424
240.000000 86.112 173.9241
243.000000 86.123 174.4163
247.000000 86.139 175.0459
250.000000 86.153 175.4990
254.000000 86.175 176.0824
258.000000 86.198 176.6473
262.000000 86.222 177.1939
265.000000 86.240 177.5892
