* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 4, 2021 4:51:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.416420	-124.9874
20.600000	106.485085	-125.6911
20.900000	106.547577	-126.3312
21.200001	106.607872	-126.9768
21.400000	106.647125	-127.4130
21.799999	106.722885	-128.2904
22.000000	106.759262	-128.7253
22.400000	106.829453	-129.5743
22.700001	106.880638	-130.1869
23.000000	106.931122	-130.7809
23.299999	106.980827	-131.3615
23.600000	107.029228	-131.9335
24.000000	107.090630	-132.6835
24.299999	107.134209	-133.2330
24.700001	107.189804	-133.9437
25.000000	107.230270	-134.4614
25.400000	107.282639	-135.1368
25.799999	107.331772	-135.7982
26.200001	107.376434	-136.4393
26.500000	107.407501	-136.9012
26.900000	107.448181	-137.4944
27.200001	107.479828	-137.9328
27.600000	107.524147	-138.5327
28.000000	107.568764	-139.1663
28.500000	107.619804	-139.9905
29.000000	107.664352	-140.7875
29.500000	107.708252	-141.5108
30.000000	107.757156	-142.1778
30.400000	107.798370	-142.7028
30.700001	107.827827	-143.1009
31.100000	107.862564	-143.6336
31.500000	107.891808	-144.1556
32.000000	107.924324	-144.7834
32.500000	107.957077	-145.3945
33.000000	107.991264	-146.0045
33.500000	108.025246	-146.6089
34.000000	108.057823	-147.1917
34.500000	108.088684	-147.7480
35.000000	108.117004	-148.2867
35.500000	108.141876	-148.8152
36.000000	108.164154	-149.3357
36.500000	108.186050	-149.8507
37.000000	108.208946	-150.3648
37.500000	108.232346	-150.8764
38.200001	108.263718	-151.5706
38.700001	108.284599	-152.0438
39.500000	108.315399	-152.7778
40.000000	108.333000	-153.2317
40.599998	108.353409	-153.7704
41.200001	108.374107	-154.2971
41.799999	108.394775	-154.8088
42.500000	108.416954	-155.3862
43.099998	108.433578	-155.8699
43.700001	108.448410	-156.3534
44.400002	108.464401	-156.9216
45.000000	108.477547	-157.4024
45.500000	108.488060	-157.7878
46.200001	108.501984	-158.2905
46.799999	108.513824	-158.6908
47.500000	108.527489	-159.1535
48.200001	108.537483	-159.6301
48.700001	108.541977	-159.9576
49.400002	108.551819	-160.3679
50.000000	108.568466	-160.7075
50.799999	108.591507	-161.2119
51.500000	108.600967	-161.6553
52.200001	108.610603	-162.0471
53.000000	108.634399	-162.5090
53.799999	108.657715	-163.0127
54.500000	108.669411	-163.4183
55.200001	108.673737	-163.8051
56.000000	108.670479	-164.2630
57.000000	108.682930	-164.8697
58.000000	108.712395	-165.6154
59.000000	108.706451	-166.1693
60.000000	108.705612	-166.4671
60.799999	108.713913	-166.8901
61.500000	108.712044	-167.3313
62.200001	108.714355	-167.6829
63.000000	108.731346	-168.0202
64.000000	108.742409	-168.4783
65.000000	108.734291	-168.9210
66.000000	108.731216	-169.3636
67.000000	108.732353	-169.7864
68.000000	108.737938	-170.1877
69.000000	108.741943	-170.6391
70.000000	108.739555	-171.0813
71.000000	108.739479	-171.4793
72.000000	108.738640	-171.8854
73.000000	108.735649	-172.2738
74.000000	108.735741	-172.6741
75.000000	108.732178	-173.0554
76.199997	108.733307	-173.4752
77.500000	108.726624	-173.9512
78.800003	108.725319	-174.3920
80.000000	108.725128	-174.8255
81.199997	108.715843	-175.2315
82.500000	108.713562	-175.6534
83.800003	108.708366	-176.1230
85.000000	108.703041	-176.4845
86.199997	108.696213	-176.8880
87.500000	108.689110	-177.3081
88.500000	108.684158	-177.6177
90.000000	108.675171	-178.0659
91.199997	108.666649	-178.4414
92.500000	108.658905	-178.8201
93.800003	108.647362	-179.1800
95.000000	108.639061	-179.5465
96.199997	108.631088	-179.9045
97.500000	108.624458	179.7651
98.800003	108.610123	179.3969
100.000000	108.601921	179.1004
101.500000	108.584747	178.6904
103.000000	108.572006	178.2926
104.400002	108.565598	177.9576
106.000000	108.545845	177.5801
107.500000	108.532349	177.1913
109.000000	108.519371	176.8376
110.599998	108.497635	176.4393
112.000000	108.487968	176.1058
113.800003	108.461487	175.6552
115.000000	108.453636	175.4277
117.199997	108.425461	174.9406
118.000000	108.418427	174.7337
120.599998	108.399307	174.1670
122.000000	108.369827	173.8816
124.099998	108.345993	173.4222
125.000000	108.335709	173.2492
126.500000	108.316261	172.9613
128.000000	108.297028	172.6703
131.500000	108.258240	171.9609
132.000000	108.249741	171.8503
134.000000	108.221069	171.4743
136.000000	108.197510	171.1370
138.000000	108.167336	170.7359
140.000000	108.141891	170.3964
143.000000	108.100723	169.8707
145.000000	108.071259	169.5276
147.500000	108.037155	169.0828
150.000000	108.001144	168.6469
152.500000	107.965393	168.2621
155.000000	107.925491	167.8531
157.500000	107.890572	167.4694
160.000000	107.850967	167.0682
162.500000	107.813248	166.6958
165.000000	107.774406	166.3260
167.500000	107.733536	165.9565
170.000000	107.693329	165.5967
172.500000	107.652786	165.2409
175.000000	107.612358	164.9198
177.500000	107.567856	164.5677
180.000000	107.527725	164.2256
182.500000	107.482613	163.9219
185.000000	107.439911	163.6040
187.500000	107.395584	163.3078
190.000000	107.350655	162.9977
192.500000	107.305206	162.7143
195.000000	107.266098	162.4235
197.500000	107.219849	162.1678
200.000000	107.172234	161.8468
203.000000	107.121193	161.5507
206.000000	107.064415	161.2252
209.000000	107.012329	160.9177
212.000000	106.956726	160.6346
214.000000	106.920387	160.4328
218.000000	106.844872	160.0558
220.000000	106.808189	159.8652
224.000000	106.733505	159.5077
227.000000	106.674530	159.2571
230.000000	106.617561	158.9984
233.000000	106.555679	158.7714
236.000000	106.502159	158.5164
240.000000	106.431664	158.2250
243.000000	106.366936	158.0361
247.000000	106.298431	157.7350
250.000000	106.242416	157.5607
254.000000	106.164360	157.2964
258.000000	106.081673	157.0420
262.000000	106.006790	156.7858
265.000000	105.943726	156.5982
269.000000	105.863068	156.4085
272.000000	105.805359	156.2331
276.000000	105.720924	156.0172
280.000000	105.647629	155.8622
285.000000	105.549400	155.6449
290.000000	105.450745	155.4300
295.000000	105.351227	155.2659
300.000000	105.247040	155.0810
304.000000	105.174965	154.9534
307.000000	105.114502	154.8533
311.000000	105.031929	154.7762
315.000000	104.953011	154.6866
320.000000	104.858231	154.5704
325.000000	104.758904	154.4734
330.000000	104.658836	154.3854
335.000000	104.561325	154.3327
340.000000	104.460022	154.3094
345.000000	104.359863	154.2866
350.000000	104.270287	154.2403
355.000000	104.174309	154.2861
360.000000	104.078110	154.2966
365.000000	103.986000	154.2875
370.000000	103.887802	154.3181
375.000000	103.789581	154.3365
382.000000	103.665009	154.4188
387.000000	103.566353	154.4982
395.000000	103.420403	154.6070
400.000000	103.325714	154.7133
406.000000	103.212517	154.8833
412.000000	103.105392	155.0204
418.000000	102.996109	155.2177
425.000000	102.866989	155.4360
431.000000	102.765587	155.6575
437.000000	102.662094	155.8777
444.000000	102.540833	156.1558
450.000000	102.439362	156.4497
455.000000	102.355141	156.6133
462.000000	102.238022	157.0017
468.000000	102.133598	157.2708
475.000000	102.023338	157.6454
482.000000	101.909996	158.0606
487.000000	101.832443	158.3104
494.000000	101.719040	158.7584
500.000000	101.626343	159.0876
508.000000	101.507828	159.6398
515.000000	101.403893	160.0742
522.000000	101.302200	160.5765
530.000000	101.185570	161.1152
538.000000	101.075813	161.7159
545.000000	100.982445	162.2593
552.000000	100.887680	162.7840
560.000000	100.785782	163.4099
570.000000	100.660217	164.2559
580.000000	100.537048	165.1194
590.000000	100.423256	165.9574
600.000000	100.305916	166.8961
608.000000	100.225731	167.6166
615.000000	100.146492	168.2875
622.000000	100.079536	168.9477
630.000000	100.002747	169.7283
640.000000	99.910828	170.7220
650.000000	99.823662	171.7808
660.000000	99.739594	172.7554
670.000000	99.663544	173.7910
680.000000	99.596466	174.8703
690.000000	99.532120	175.9770
700.000000	99.467743	177.0210
710.000000	99.411423	178.1941
720.000000	99.365524	179.2489
730.000000	99.330238	-179.5894
740.000000	99.292168	-178.4922
750.000000	99.263100	-177.3132
