* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 13, 2021 2:06:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.576233	25.6883
20.600000	95.573891	25.1727
20.900000	95.562141	24.7459
21.200001	95.549866	24.3382
21.400000	95.543579	24.0672
21.799999	95.538795	23.5157
22.000000	95.541260	23.2328
22.400000	95.556183	22.6530
22.700001	95.574745	22.2088
23.000000	95.596878	21.7621
23.299999	95.619408	21.3219
23.600000	95.639359	20.8999
24.000000	95.658867	20.3855
24.299999	95.668083	20.0421
24.700001	95.675034	19.6328
25.000000	95.678047	19.3462
25.400000	95.681183	18.9676
25.799999	95.685097	18.5748
26.200001	95.691338	18.1624
26.500000	95.697983	17.8423
26.900000	95.708595	17.4090
27.200001	95.716438	17.0879
27.600000	95.724525	16.6848
28.000000	95.729424	16.3294
28.500000	95.734352	15.9531
29.000000	95.742210	15.5935
29.500000	95.750854	15.1780
30.000000	95.753769	14.6978
30.400000	95.751427	14.3056
30.700001	95.749306	14.0276
31.100000	95.749405	13.6844
31.500000	95.753975	13.3595
32.000000	95.761696	12.9586
32.500000	95.765411	12.5672
33.000000	95.764351	12.1984
33.500000	95.761635	11.8361
34.000000	95.757362	11.4560
34.500000	95.749710	11.0753
35.000000	95.742142	10.7392
35.500000	95.741898	10.4525
36.000000	95.749321	10.1640
36.500000	95.754814	9.8390
37.000000	95.750427	9.5116
37.500000	95.740685	9.2294
38.200001	95.737778	8.8610
38.700001	95.743027	8.5373
39.500000	95.739410	7.9752
40.000000	95.730049	7.7112
40.599998	95.723999	7.4828
41.200001	95.722321	7.2510
41.799999	95.717216	6.9817
42.500000	95.711128	6.6294
43.099998	95.707855	6.2547
43.700001	95.694977	5.8436
44.400002	95.670563	5.4927
45.000000	95.663383	5.3116
45.500000	95.668770	5.1428
46.200001	95.671844	4.8315
46.799999	95.662361	4.5690
47.500000	95.646469	4.2644
48.200001	95.623291	3.9258
48.700001	95.606842	3.7362
49.400002	95.611504	3.5612
50.000000	95.639160	3.3413
50.799999	95.650314	2.9086
51.500000	95.617989	2.6463
52.200001	95.585686	2.5241
53.000000	95.572021	2.3067
53.799999	95.554985	1.9702
54.500000	95.529076	1.7505
55.200001	95.524963	1.5600
56.000000	95.544197	1.0616
57.000000	95.514511	0.7059
58.000000	95.540726	1.1462
59.000000	95.477852	0.3269
60.000000	95.226814	-0.1484
60.799999	95.273727	0.0152
61.500000	95.415016	-0.4901
62.200001	95.450600	-0.9258
63.000000	95.419830	-0.7147
64.000000	95.404999	-0.8080
65.000000	95.370682	-1.4259
66.000000	95.369125	-1.7593
67.000000	95.349564	-1.9282
68.000000	95.323006	-2.0921
69.000000	95.309212	-2.4002
70.000000	95.294640	-2.6015
71.000000	95.272461	-2.8292
72.000000	95.242859	-3.1138
73.000000	95.229004	-3.3156
74.000000	95.219856	-3.4948
75.000000	95.194023	-3.7417
76.199997	95.162918	-3.9384
77.500000	95.150063	-4.0829
78.800003	95.122925	-4.4692
80.000000	95.085236	-4.8416
81.199997	95.086411	-4.8414
82.500000	95.063545	-5.0999
83.800003	95.023071	-5.2731
85.000000	95.012970	-5.5337
86.199997	94.985954	-5.6775
87.500000	94.969986	-5.8616
88.500000	94.949890	-6.0308
90.000000	94.908569	-6.1382
91.199997	94.886246	-6.3300
92.500000	94.867310	-6.5221
93.800003	94.845520	-6.6847
95.000000	94.820702	-6.8806
96.199997	94.796837	-7.0298
97.500000	94.776344	-7.1834
98.800003	94.754341	-7.3149
100.000000	94.738075	-7.4977
101.500000	94.694786	-7.6325
103.000000	94.666702	-7.8253
104.400002	94.638268	-7.9937
106.000000	94.599503	-8.1385
107.500000	94.571350	-8.3095
109.000000	94.543510	-8.4427
110.599998	94.520416	-8.5980
112.000000	94.489182	-8.7034
113.800003	94.446770	-8.8469
115.000000	94.444595	-8.9276
117.199997	94.385361	-9.0922
118.000000	94.371445	-9.4195
120.599998	94.456650	-9.2481
122.000000	94.256546	-9.3702
124.099998	94.255753	-9.6415
125.000000	94.241814	-9.5707
126.500000	94.196831	-9.7460
128.000000	94.178574	-9.8278
131.500000	94.116203	-9.9453
132.000000	94.109703	-9.9812
134.000000	94.070084	-10.1334
136.000000	94.026527	-10.2039
138.000000	93.999252	-10.2698
140.000000	93.960167	-10.3675
143.000000	93.911079	-10.4612
145.000000	93.870979	-10.5249
147.500000	93.829987	-10.6076
150.000000	93.779366	-10.6604
152.500000	93.739326	-10.7458
155.000000	93.694946	-10.8015
157.500000	93.653824	-10.8698
160.000000	93.612335	-10.8406
162.500000	93.556892	-10.9374
165.000000	93.530495	-10.9275
167.500000	93.484940	-10.9526
170.000000	93.442238	-10.9887
172.500000	93.402397	-10.9742
175.000000	93.359879	-10.9745
177.500000	93.317429	-10.9762
180.000000	93.275352	-11.0972
182.500000	93.245216	-10.9495
185.000000	93.206322	-10.9895
187.500000	93.175743	-10.8979
190.000000	93.128090	-10.9489
192.500000	93.089424	-10.8091
195.000000	93.060028	-11.0247
197.500000	93.018280	-10.7815
200.000000	92.993370	-10.7449
203.000000	92.954399	-10.7189
206.000000	92.908707	-10.6468
209.000000	92.866333	-10.5886
212.000000	92.825874	-10.5104
214.000000	92.803246	-10.4762
218.000000	92.751068	-10.3968
220.000000	92.729492	-10.2971
224.000000	92.674423	-10.2422
227.000000	92.637955	-10.1134
230.000000	92.605591	-10.0629
233.000000	92.568398	-9.9395
236.000000	92.540100	-9.8322
240.000000	92.437744	-10.2985
243.000000	92.471016	-9.6443
247.000000	92.423561	-9.5055
250.000000	92.376831	-9.3217
254.000000	92.332405	-9.2857
258.000000	92.293510	-9.0323
262.000000	92.247276	-8.9409
265.000000	92.222290	-8.8012
269.000000	92.177216	-8.6163
272.000000	92.157776	-8.4999
276.000000	92.117149	-8.3712
280.000000	92.077805	-8.1984
285.000000	92.029037	-7.9288
290.000000	91.980217	-7.7553
295.000000	91.935280	-7.5482
300.000000	91.839226	-7.3946
304.000000	91.875214	-7.1943
307.000000	91.834900	-6.9788
311.000000	91.802795	-6.7665
315.000000	91.770630	-6.5913
320.000000	91.723717	-6.3339
325.000000	91.687019	-6.0289
330.000000	91.653473	-5.7949
335.000000	91.616394	-5.5116
340.000000	91.567078	-5.1658
345.000000	91.543625	-4.8247
350.000000	91.519806	-4.3924
355.000000	91.510239	-4.1137
360.000000	91.496704	-3.8979
365.000000	91.493401	-3.6529
370.000000	91.476227	-3.4943
375.000000	91.465355	-3.3265
382.000000	91.427948	-3.0571
387.000000	91.397095	-2.8833
395.000000	91.350197	-2.4961
400.000000	91.326561	-2.2302
406.000000	91.302689	-1.9902
412.000000	91.279434	-1.6583
418.000000	91.250229	-1.3568
425.000000	91.224701	-0.9988
431.000000	91.206932	-0.7699
437.000000	91.181107	-0.5099
444.000000	91.164604	-0.1436
450.000000	91.143570	0.1295
455.000000	91.120850	0.3436
462.000000	91.102264	0.6541
468.000000	91.085426	0.8949
475.000000	91.054291	1.2080
482.000000	91.033966	1.4971
487.000000	91.009659	1.7186
494.000000	90.977081	2.0548
500.000000	90.955818	2.3024
508.000000	90.928627	2.7220
515.000000	90.898521	3.0641
522.000000	90.874115	3.3771
530.000000	90.846375	3.8079
538.000000	90.822113	4.2512
545.000000	90.797302	4.5559
552.000000	90.777512	4.9333
560.000000	90.755806	5.3359
570.000000	90.727028	5.8397
580.000000	90.708679	6.3715
590.000000	90.676956	6.9313
600.000000	90.653381	7.4701
608.000000	90.637566	7.8997
615.000000	90.622307	8.2453
622.000000	90.603523	8.6644
630.000000	90.588425	9.1100
640.000000	90.569458	9.6371
650.000000	90.553749	10.2328
660.000000	90.551201	10.8705
670.000000	90.522400	11.3444
680.000000	90.508400	11.9422
690.000000	90.497360	12.5285
700.000000	90.485870	13.1033
710.000000	90.479324	13.6702
720.000000	90.471573	14.3953
730.000000	90.464630	14.8988
740.000000	90.459061	15.4836
750.000000	90.454292	16.1163
762.000000	90.451340	16.8406
775.000000	90.457123	17.6426
788.000000	90.464310	18.4863
800.000000	90.471107	19.2475
812.000000	90.478210	19.9941
825.000000	90.499870	20.8483
838.000000	90.515213	21.6982
850.000000	90.541451	22.4816
862.000000	90.565964	23.2108
875.000000	90.603920	24.0556
885.000000	90.629364	24.7248
900.000000	90.661026	25.3655
912.000000	90.718010	26.4606
925.000000	90.767151	27.2910
938.000000	90.829041	28.0847
950.000000	90.883942	28.8131
962.000000	90.946335	29.5953
975.000000	91.018959	30.3052
988.000000	91.089806	31.0431
1000.000000	91.167305	31.7281
1015.000000	91.258621	32.5290
1030.000000	91.356171	33.2776
1044.000000	91.453438	33.9309
1060.000000	91.569382	34.6725
1075.000000	91.679977	35.2866
1090.000000	91.786346	35.8677
1106.000000	91.906387	36.4461
1120.000000	92.013153	36.9014
1138.000000	92.150078	37.4653
1150.000000	92.241219	37.7412
1172.000000	92.407028	38.2796
1180.000000	92.464828	38.4567
1206.000000	92.653358	38.9363
1220.000000	92.750595	39.1581
1241.000000	92.892380	39.4577
1250.000000	92.950287	39.5501
1265.000000	93.048180	39.6971
1280.000000	93.139374	39.8497
1315.000000	93.341766	40.0744
1320.000000	93.360733	40.1000
1340.000000	93.476807	40.1947
1360.000000	93.576508	40.2611
1380.000000	93.667252	40.4327
1400.000000	93.758430	40.4028
1430.000000	93.877800	40.4958
1450.000000	93.954247	40.5718
1475.000000	94.044983	40.6698
1500.000000	94.124657	40.7487
1525.000000	94.199486	40.9244
1550.000000	94.278229	41.0667
1575.000000	94.349480	41.2750
1600.000000	94.424362	41.4577
1625.000000	94.490471	41.6686
1650.000000	94.561035	41.9310
1675.000000	94.628784	42.1919
1700.000000	94.705399	42.4539
1725.000000	94.777916	42.7223
1750.000000	94.855988	43.0059
1775.000000	94.932816	43.3102
1800.000000	95.021523	43.5679
1825.000000	95.094925	43.8866
1850.000000	95.179398	44.1792
1875.000000	95.265396	44.4564
1900.000000	95.355949	44.7310
1925.000000	95.451050	44.9944
1950.000000	95.544907	45.2393
1975.000000	95.640602	45.5284
2000.000000	95.739738	45.7285
2030.000000	95.860901	45.9938
2060.000000	95.984428	46.2212
2090.000000	96.115128	46.4044
2120.000000	96.244537	46.5837
2140.000000	96.331024	46.6711
2180.000000	96.512238	46.7909
2200.000000	96.601494	46.8353
2240.000000	96.780655	46.8627
2270.000000	96.917717	46.8345
2300.000000	97.056381	46.7739
2330.000000	97.191849	46.6450
2360.000000	97.326164	46.4716
2400.000000	97.507057	46.1962
2430.000000	97.637268	45.9052
2470.000000	97.808525	45.4821
2500.000000	97.932236	45.0944
2540.000000	98.089676	44.5206
2580.000000	98.236847	43.8876
2620.000000	98.380165	43.1313
2650.000000	98.476143	42.5756
2690.000000	98.593811	41.7158
2720.000000	98.675949	41.0823
2760.000000	98.768982	40.1797
2800.000000	98.849388	39.2276
2850.000000	98.930099	38.0489
2900.000000	98.984985	36.8383
2950.000000	99.019875	35.6351
3000.000000	99.032791	34.4847
3040.000000	99.031418	33.5858
3070.000000	99.020660	32.9329
