* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 11, 2021 7:35:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ANC off L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.867836	-173.0182
20.600000	100.868042	-173.2085
20.900000	100.865784	-173.3989
21.200001	100.863434	-173.6242
21.400000	100.861328	-173.7965
21.799999	100.853958	-174.1721
22.000000	100.848373	-174.3604
22.400000	100.835030	-174.7044
22.700001	100.826508	-174.9128
23.000000	100.822586	-175.0800
23.299999	100.825142	-175.2226
23.600000	100.833931	-175.3652
24.000000	100.850555	-175.5932
24.299999	100.861359	-175.8013
24.700001	100.867027	-176.1096
25.000000	100.863419	-176.3358
25.400000	100.851395	-176.5954
25.799999	100.838997	-176.7968
26.200001	100.833473	-176.9701
26.500000	100.834763	-177.1112
26.900000	100.839684	-177.3390
27.200001	100.841934	-177.5373
27.600000	100.838997	-177.8040
28.000000	100.830124	-178.0306
28.500000	100.819405	-178.2269
29.000000	100.819336	-178.3854
29.500000	100.828384	-178.6050
30.000000	100.834305	-178.9240
30.400000	100.831223	-179.2142
30.700001	100.825081	-179.4223
31.100000	100.815857	-179.6647
31.500000	100.810165	-179.8693
32.000000	100.810265	179.8941
32.500000	100.814079	179.6444
33.000000	100.815262	179.3779
33.500000	100.811554	179.1105
34.000000	100.804436	178.8563
34.500000	100.796448	178.6236
35.000000	100.790504	178.4170
35.500000	100.788872	178.2268
36.000000	100.790634	178.0281
36.500000	100.791344	177.8045
37.000000	100.787224	177.5692
37.500000	100.779587	177.3473
38.200001	100.771942	177.0611
38.700001	100.770393	176.8492
39.500000	100.766556	176.5028
40.000000	100.762657	176.3133
40.599998	100.760338	176.1030
41.200001	100.758194	175.8678
41.799999	100.749489	175.6121
42.500000	100.732590	175.3507
43.099998	100.721397	175.1581
43.700001	100.714348	174.9444
44.400002	100.704079	174.6664
45.000000	100.695114	174.4439
45.500000	100.691544	174.2639
46.200001	100.688248	173.9808
46.799999	100.676666	173.7323
47.500000	100.652710	173.5223
48.200001	100.632553	173.3953
48.700001	100.624969	173.2947
49.400002	100.617592	173.0776
50.000000	100.606659	172.8362
50.799999	100.582581	172.5322
51.500000	100.562843	172.3433
52.200001	100.552147	172.1690
53.000000	100.534241	171.9164
53.799999	100.499489	171.7415
54.500000	100.481438	171.6826
55.200001	100.484962	171.5170
56.000000	100.482178	171.1156
57.000000	100.446434	170.6495
58.000000	100.413452	170.3667
59.000000	100.390930	170.0765
60.000000	100.357178	169.7730
60.799999	100.326584	169.6201
61.500000	100.308762	169.4540
62.200001	100.282990	169.1550
63.000000	100.229881	168.8382
64.000000	100.188477	168.6936
65.000000	100.182587	168.4150
66.000000	100.140373	168.0900
67.000000	100.097504	167.8843
68.000000	100.062782	167.5737
69.000000	100.021614	167.2881
70.000000	99.986450	167.0281
71.000000	99.947021	166.7668
72.000000	99.911392	166.5689
73.000000	99.873581	166.3332
74.000000	99.825836	166.1099
75.000000	99.789169	165.8927
76.199997	99.747574	165.5859
77.500000	99.682877	165.3280
78.800003	99.641396	165.0496
80.000000	99.575569	164.8268
81.199997	99.547127	164.6673
82.500000	99.474854	164.4671
83.800003	99.480644	164.4406
85.000000	99.381340	163.8801
86.199997	99.306671	163.7811
87.500000	99.261475	163.5057
88.500000	99.215698	163.4278
90.000000	99.140793	163.1990
91.199997	99.088654	163.0083
92.500000	99.014816	162.9427
93.800003	98.979950	162.8010
95.000000	98.918129	162.5408
96.199997	98.849312	162.4987
97.500000	98.805534	162.4399
98.800003	98.754959	162.2229
100.000000	98.692421	162.1637
101.500000	98.628807	161.9951
103.000000	98.561897	161.8721
104.400002	98.496376	161.9395
106.000000	98.419640	161.7227
107.500000	98.348450	161.6690
109.000000	98.285004	161.6432
110.599998	98.205292	161.5858
112.000000	98.146339	161.4911
113.800003	98.062836	161.5287
115.000000	98.008560	161.5094
117.199997	97.907394	161.4524
118.000000	97.877075	161.4467
120.599998	97.751404	161.7147
122.000000	97.673149	161.4949
124.099998	97.588966	161.6196
125.000000	97.535370	161.6801
126.500000	97.458977	161.8142
128.000000	97.391296	162.0139
131.500000	97.259537	162.5873
132.000000	97.246246	162.6578
134.000000	97.192383	162.8261
136.000000	97.131302	163.0563
138.000000	97.074745	163.1826
140.000000	97.005203	163.3430
143.000000	96.916710	163.5476
145.000000	96.851555	163.7501
147.500000	96.775894	164.0014
150.000000	96.691864	164.2439
152.500000	96.617798	164.4937
155.000000	96.548782	164.7988
157.500000	96.475571	165.1309
160.000000	96.400429	165.3751
162.500000	96.330208	165.6929
165.000000	96.256477	166.0243
167.500000	96.207916	166.1309
170.000000	96.111710	166.7573
172.500000	96.036896	167.0135
175.000000	95.956139	167.4128
177.500000	95.846786	167.8078
180.000000	95.741920	168.5231
182.500000	95.637680	169.3077
185.000000	95.563416	170.6161
187.500000	95.586411	171.8321
190.000000	95.660469	172.7924
192.500000	95.720200	173.2503
195.000000	95.786667	173.5157
197.500000	95.826256	173.6909
200.000000	95.806129	173.9974
203.000000	95.827225	174.3498
206.000000	95.821747	174.6384
209.000000	95.812241	174.9928
212.000000	95.815514	175.3876
214.000000	95.811874	175.6135
218.000000	95.813507	176.1835
220.000000	95.820610	176.4470
224.000000	95.830315	176.9282
227.000000	95.836243	177.3251
230.000000	95.853561	177.7512
233.000000	95.854149	177.9596
236.000000	95.871361	178.3318
240.000000	95.884308	178.5589
243.000000	95.897072	179.1120
247.000000	95.907272	179.6036
250.000000	95.908096	-179.9546
254.000000	95.959053	-179.3332
258.000000	96.015579	-178.7922
262.000000	96.092506	-178.4403
265.000000	96.142799	-178.1986
269.000000	96.196991	-177.9482
272.000000	96.247116	-177.9395
276.000000	96.280777	-177.6812
280.000000	96.324860	-177.5650
285.000000	96.389610	-177.3639
290.000000	96.444252	-177.1482
295.000000	96.482254	-176.9660
300.000000	96.536545	-176.8048
304.000000	96.580658	-176.6508
307.000000	96.607727	-176.5926
311.000000	96.644493	-176.4294
315.000000	96.701324	-176.3314
320.000000	96.741348	-176.2476
325.000000	96.795441	-176.1549
330.000000	96.862167	-176.0715
335.000000	96.917099	-175.9925
340.000000	96.971848	-176.0013
345.000000	97.028465	-175.9597
350.000000	97.078140	-175.9967
355.000000	97.136192	-176.0343
360.000000	97.194275	-176.1086
365.000000	97.244827	-176.2035
370.000000	97.297577	-176.2485
375.000000	97.342606	-176.3494
382.000000	97.416054	-176.5350
387.000000	97.460129	-176.6653
395.000000	97.526772	-176.9353
400.000000	97.567223	-177.0768
406.000000	97.627098	-177.3230
412.000000	97.663681	-177.6027
418.000000	97.704849	-177.8546
425.000000	97.742775	-178.0305
431.000000	97.778259	-178.1372
437.000000	97.814529	-178.2087
444.000000	97.871155	-178.2410
450.000000	97.915619	-178.1498
455.000000	97.944054	-178.1275
462.000000	97.980499	-178.0022
468.000000	98.005791	-177.9787
475.000000	98.041084	-177.9557
482.000000	98.066605	-177.8514
487.000000	98.086578	-177.8315
494.000000	98.110535	-177.7520
500.000000	98.126534	-177.7229
508.000000	98.135239	-177.5900
515.000000	98.162430	-177.6426
522.000000	98.190353	-177.5021
530.000000	98.201096	-177.4315
538.000000	98.217789	-177.3556
545.000000	98.227051	-177.2587
552.000000	98.232391	-177.1778
560.000000	98.237289	-177.0626
570.000000	98.239456	-176.9378
580.000000	98.241241	-176.7470
590.000000	98.242767	-176.5757
600.000000	98.236877	-176.4137
608.000000	98.226906	-176.2616
615.000000	98.220711	-176.0760
622.000000	98.212425	-175.8990
630.000000	98.195061	-175.7597
640.000000	98.185760	-175.4647
650.000000	98.162567	-175.2090
660.000000	98.145432	-174.9396
670.000000	98.115067	-174.6633
680.000000	98.084404	-174.2432
690.000000	98.080421	-173.8230
700.000000	98.061783	-173.6709
710.000000	98.025764	-173.5676
720.000000	97.986366	-173.5679
730.000000	97.928490	-173.7362
740.000000	97.891083	-173.9573
