* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 12, 2021 12:49:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: V14 (0000)
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.120117	10.9939
20.600000	104.124428	10.5307
20.900000	104.124237	10.1629
21.200001	104.127510	9.8207
21.400000	104.132950	9.5906
21.799999	104.149513	9.0977
22.000000	104.158821	8.8294
22.400000	104.175095	8.2559
22.700001	104.182129	7.8114
23.000000	104.184067	7.3732
23.299999	104.181984	6.9547
23.600000	104.178322	6.5619
24.000000	104.175873	6.0685
24.299999	104.177948	5.7006
24.700001	104.184021	5.1802
25.000000	104.185440	4.7618
25.400000	104.173035	4.2028
25.799999	104.137268	3.7453
26.200001	104.084724	3.5090
26.500000	104.046928	3.5065
26.900000	104.019440	3.6609
27.200001	104.024902	3.7895
27.600000	104.064453	3.7925
28.000000	104.124313	3.4831
28.500000	104.196655	2.6669
29.000000	104.248901	1.5782
29.500000	104.282249	0.4132
30.000000	104.294975	-0.7071
30.400000	104.284401	-1.4989
30.700001	104.264557	-1.9848
31.100000	104.230766	-2.4531
31.500000	104.205292	-2.7493
32.000000	104.203537	-3.0647
32.500000	104.227203	-3.5406
33.000000	104.244484	-4.2044
33.500000	104.236893	-4.8768
34.000000	104.213737	-5.3919
34.500000	104.192245	-5.7655
35.000000	104.175911	-6.1260
35.500000	104.158173	-6.5460
36.000000	104.139420	-7.0070
36.500000	104.128922	-7.4840
37.000000	104.130760	-7.9854
37.500000	104.136627	-8.5075
38.200001	104.130760	-9.1793
38.700001	104.114288	-9.5663
39.500000	104.082550	-10.1169
40.000000	104.064598	-10.5070
40.599998	104.044952	-11.0371
41.200001	104.028030	-11.5730
41.799999	104.015793	-12.0619
42.500000	104.006218	-12.5872
43.099998	103.994675	-13.0477
43.700001	103.973846	-13.5174
44.400002	103.944901	-14.0218
45.000000	103.928864	-14.4255
45.500000	103.922180	-14.7892
46.200001	103.909607	-15.3587
46.799999	103.888275	-15.8417
47.500000	103.859222	-16.3423
48.200001	103.834541	-16.8163
48.700001	103.818642	-17.1633
49.400002	103.797318	-17.6682
50.000000	103.778152	-18.1335
50.799999	103.742233	-18.7581
51.500000	103.706924	-19.1950
52.200001	103.686218	-19.5715
53.000000	103.665771	-20.1281
53.799999	103.618271	-20.7198
54.500000	103.574196	-21.1032
55.200001	103.547493	-21.4400
56.000000	103.522232	-21.8665
57.000000	103.480331	-22.4694
58.000000	103.416504	-23.1883
59.000000	103.359634	-23.7337
60.000000	103.352600	-24.2578
60.799999	103.334305	-24.7575
61.500000	103.301010	-25.0941
62.200001	103.272713	-25.3703
63.000000	103.244911	-25.7656
64.000000	103.192413	-26.3321
65.000000	103.133858	-26.8384
66.000000	103.080948	-27.3567
67.000000	103.024277	-27.8634
68.000000	102.971718	-28.3435
69.000000	102.928085	-28.8238
70.000000	102.892967	-29.2882
71.000000	102.853088	-29.7392
72.000000	102.804947	-30.1728
73.000000	102.755302	-30.6019
74.000000	102.710861	-31.0293
75.000000	102.662415	-31.4871
76.199997	102.601059	-31.9759
77.500000	102.540710	-32.5208
78.800003	102.468857	-33.0014
80.000000	102.405197	-33.4154
81.199997	102.340294	-33.8579
82.500000	102.264580	-34.2959
83.800003	102.194633	-34.6732
85.000000	102.120224	-34.9527
86.199997	102.052017	-35.1680
87.500000	101.987663	-35.3118
88.500000	101.939743	-35.3312
90.000000	101.908722	-35.3601
91.199997	101.913437	-35.4417
92.500000	101.955627	-35.4399
93.800003	101.987305	-35.9163
95.000000	102.014725	-36.6122
96.199997	102.026802	-37.4096
97.500000	101.995522	-38.1303
98.800003	101.933441	-38.9025
100.000000	101.884308	-39.5487
101.500000	101.810143	-40.2677
103.000000	101.736946	-40.8845
104.400002	101.664322	-41.4573
106.000000	101.585373	-42.0580
107.500000	101.508789	-42.5608
109.000000	101.436798	-43.0632
110.599998	101.355934	-43.5505
112.000000	101.286598	-43.9545
113.800003	101.200661	-44.4374
115.000000	101.144165	-44.7469
117.199997	101.043404	-45.2886
118.000000	101.006676	-45.4818
120.599998	100.912445	-46.0682
122.000000	100.847656	-46.2989
124.099998	100.774147	-46.8428
125.000000	100.743462	-47.0683
126.500000	100.688934	-47.4433
128.000000	100.630943	-47.8359
131.500000	100.488091	-48.7075
132.000000	100.466866	-48.8271
134.000000	100.382919	-49.2798
136.000000	100.298782	-49.7110
138.000000	100.216789	-50.1433
140.000000	100.133713	-50.5341
143.000000	100.010048	-51.1039
145.000000	99.929527	-51.4559
147.500000	99.829742	-51.8738
150.000000	99.735207	-52.2707
152.500000	99.639771	-52.6782
155.000000	99.544121	-53.0783
157.500000	99.450798	-53.4753
160.000000	99.359421	-53.8471
162.500000	99.262733	-54.2112
165.000000	99.167557	-54.5428
167.500000	99.072464	-54.8590
170.000000	98.974136	-55.1396
172.500000	98.878326	-55.4102
175.000000	98.779755	-55.6404
177.500000	98.678619	-55.8350
180.000000	98.585152	-55.9560
182.500000	98.477303	-55.9850
185.000000	98.377769	-55.8733
187.500000	98.296616	-55.6122
190.000000	98.244888	-55.1729
192.500000	98.260605	-54.6467
195.000000	98.332581	-54.4729
197.500000	98.434875	-54.8333
200.000000	98.486252	-55.6502
203.000000	98.470924	-56.7670
206.000000	98.402817	-57.7280
209.000000	98.313240	-58.4863
212.000000	98.215813	-59.0945
214.000000	98.151886	-59.4328
218.000000	98.027779	-60.0133
220.000000	97.968483	-60.2678
224.000000	97.854538	-60.7335
227.000000	97.774315	-61.0478
230.000000	97.694107	-61.3403
233.000000	97.616058	-61.6133
236.000000	97.543961	-61.8738
240.000000	97.451828	-62.2240
243.000000	97.375885	-62.4444
247.000000	97.287239	-62.7438
250.000000	97.223450	-62.9583
254.000000	97.138458	-63.2487
258.000000	97.058273	-63.5206
262.000000	96.977577	-63.7675
265.000000	96.921638	-63.9717
269.000000	96.845642	-64.1977
272.000000	96.791153	-64.3772
276.000000	96.721329	-64.6065
280.000000	96.650528	-64.8472
285.000000	96.566063	-65.1051
290.000000	96.486557	-65.3559
295.000000	96.408325	-65.6076
300.000000	96.333580	-65.8699
304.000000	96.273819	-66.0424
307.000000	96.231239	-66.1900
311.000000	96.175911	-66.3650
315.000000	96.121559	-66.5467
