* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 12, 2021 12:44:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: VX 001
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.996857	12.1852
20.600000	106.971619	11.4303
20.900000	106.952370	10.6217
21.200001	106.950989	9.7931
21.400000	106.964363	9.2756
21.799999	107.027100	8.4124
22.000000	107.073349	8.0867
22.400000	107.178574	7.6371
22.700001	107.246414	7.4404
23.000000	107.286568	7.3288
23.299999	107.289284	7.2741
23.600000	107.255096	7.2465
24.000000	107.173225	7.1698
24.299999	107.109238	6.9898
24.700001	107.052948	6.4527
25.000000	107.043755	5.7986
25.400000	107.073792	4.6960
25.799999	107.135468	3.6198
26.200001	107.209862	2.8878
26.500000	107.266075	2.6542
26.900000	107.331779	2.6766
27.200001	107.364914	2.8071
27.600000	107.370110	2.9115
28.000000	107.321045	2.8121
28.500000	107.207108	2.4216
29.000000	107.118820	1.8725
29.500000	107.129898	1.1719
30.000000	107.222870	0.2483
30.400000	107.294586	-0.5741
30.700001	107.316101	-1.1256
31.100000	107.290253	-1.6369
31.500000	107.222626	-1.8511
32.000000	107.138344	-1.9278
32.500000	107.097015	-2.2087
33.000000	107.090485	-2.8582
33.500000	107.094978	-3.5931
34.000000	107.109695	-4.0609
34.500000	107.141418	-4.2750
35.000000	107.167595	-4.5444
35.500000	107.149002	-5.0389
36.000000	107.081665	-5.6104
36.500000	107.013275	-6.0526
37.000000	106.995590	-6.3889
37.500000	107.026947	-6.7930
38.200001	107.061584	-7.4912
38.700001	107.045204	-7.8842
39.500000	107.002930	-8.3273
40.000000	106.989525	-8.7331
40.599998	106.971458	-9.3488
41.200001	106.951103	-9.8477
41.799999	106.943924	-10.2025
42.500000	106.933983	-10.6963
43.099998	106.897842	-11.1864
43.700001	106.856941	-11.5834
44.400002	106.843285	-12.0086
45.000000	106.843224	-12.4651
45.500000	106.830551	-12.8448
46.200001	106.800621	-13.2648
46.799999	106.780243	-13.6074
47.500000	106.755096	-14.0909
48.200001	106.721664	-14.5453
48.700001	106.701431	-14.8145
49.400002	106.680115	-15.1917
50.000000	106.659393	-15.5299
50.799999	106.629082	-15.9644
