* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 10, 2022 5:06:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: S2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.903870	160.3417
20.600000	106.878540	159.6266
20.900000	106.847580	158.9827
21.200001	106.816902	158.3417
21.400000	106.797630	157.9117
21.799999	106.761459	157.0447
22.000000	106.743881	156.6111
22.400000	106.708214	155.7562
22.700001	106.680214	155.1367
23.000000	106.651276	154.5388
23.299999	106.621857	153.9584
23.600000	106.592308	153.3869
24.000000	106.552650	152.6238
24.299999	106.522408	152.0466
24.700001	106.481339	151.2761
25.000000	106.450645	150.7067
25.400000	106.411324	149.9682
25.799999	106.374794	149.2524
26.200001	106.339882	148.5483
26.500000	106.312897	148.0216
26.900000	106.273338	147.3207
27.200001	106.240219	146.7999
27.600000	106.192627	146.1191
28.000000	106.143967	145.4556
28.500000	106.086288	144.6403
29.000000	106.033867	143.8236
29.500000	105.984207	143.0033
30.000000	105.933502	142.1965
30.400000	105.891052	141.5734
30.700001	105.858368	141.1219
31.100000	105.814484	140.5385
31.500000	105.771179	139.9674
32.000000	105.718254	139.2542
32.500000	105.665390	138.5302
33.000000	105.610367	137.8014
33.500000	105.552689	137.0853
34.000000	105.494377	136.3925
34.500000	105.437820	135.7164
35.000000	105.383278	135.0434
35.500000	105.329315	134.3721
36.000000	105.275284	133.7141
36.500000	105.221893	133.0762
37.000000	105.169380	132.4508
37.500000	105.116272	131.8280
38.200001	105.038506	130.9667
38.700001	104.982300	130.3695
39.500000	104.897339	129.4294
40.000000	104.846405	128.8347
40.599998	104.783653	128.1245
41.200001	104.719208	127.4439
41.799999	104.656204	126.7927
42.500000	104.585060	126.0330
43.099998	104.522186	125.3684
43.700001	104.455978	124.7123
44.400002	104.378975	123.9820
45.000000	104.316757	123.3758
45.500000	104.266830	122.8707
46.200001	104.196220	122.1594
46.799999	104.133537	121.5562
47.500000	104.060211	120.8698
48.200001	103.990082	120.1968
