* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 29, 2022 5:46:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Overcrimp
* Measurement: S3 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.700531	-137.5678
20.600000	100.750763	-138.2370
20.900000	100.800087	-138.8592
21.200001	100.848877	-139.5063
21.400000	100.880234	-139.9532
21.799999	100.937859	-140.8708
22.000000	100.963547	-141.3335
22.400000	101.008514	-142.2507
22.700001	101.037529	-142.9207
23.000000	101.063797	-143.5712
23.299999	101.088722	-144.2016
23.600000	101.113701	-144.8137
24.000000	101.149094	-145.6061
24.299999	101.177811	-146.1871
24.700001	101.218620	-146.9494
25.000000	101.249725	-147.5136
25.400000	101.289368	-148.2549
25.799999	101.324135	-148.9799
26.200001	101.352463	-149.6840
26.500000	101.369659	-150.1969
26.900000	101.389076	-150.8609
27.200001	101.402847	-151.3472
27.600000	101.423073	-151.9900
28.000000	101.446945	-152.6416
28.500000	101.479660	-153.4870
29.000000	101.507507	-154.3525
29.500000	101.524231	-155.1825
30.000000	101.532837	-155.9200
30.400000	101.540169	-156.4459
30.700001	101.548492	-156.8252
31.100000	101.563202	-157.3432
31.500000	101.578514	-157.8949
32.000000	101.592285	-158.6138
32.500000	101.598587	-159.3092
33.000000	101.602524	-159.9411
33.500000	101.608841	-160.5209
34.000000	101.617004	-161.0825
34.500000	101.624161	-161.6406
35.000000	101.630142	-162.1918
35.500000	101.637573	-162.7375
36.000000	101.647896	-163.2902
36.500000	101.659042	-163.8538
37.000000	101.667694	-164.4095
37.500000	101.672890	-164.9288
38.200001	101.678741	-165.5795
38.700001	101.685356	-166.0196
39.500000	101.699799	-166.7645
40.000000	101.708679	-167.2671
40.599998	101.718781	-167.8851
41.200001	101.729691	-168.5022
41.799999	101.740189	-169.1184
42.500000	101.746986	-169.8335
43.099998	101.746239	-170.4274
43.700001	101.741577	-170.9918
44.400002	101.735977	-171.6147
45.000000	101.733620	-172.1372
45.500000	101.732391	-172.5832
46.200001	101.726624	-173.2262
46.799999	101.715820	-173.7561
47.500000	101.703392	-174.3093
48.200001	101.697960	-174.8418
48.700001	101.694115	-175.2514
49.400002	101.679207	-175.8454
50.000000	101.659691	-176.3143
50.799999	101.638069	-176.8633
51.500000	101.626328	-177.3343
52.200001	101.614586	-177.8456
53.000000	101.594063	-178.4757
53.799999	101.569153	-179.0565
54.500000	101.556656	-179.4937
55.200001	101.546158	-179.9644
56.000000	101.512955	179.4926
57.000000	101.489822	178.9509
58.000000	101.487305	178.2567
59.000000	101.433670	178.1193
60.000000	101.455711	178.0667
60.799999	101.440491	177.1683
61.500000	101.369759	176.4142
62.200001	101.336212	176.0070
63.000000	101.347282	175.5304
64.000000	101.315659	174.9562
65.000000	101.279427	174.5214
66.000000	101.250755	173.8960
67.000000	101.220016	173.3917
68.000000	101.190491	172.9130
69.000000	101.154945	172.4128
70.000000	101.123672	171.9088
71.000000	101.090874	171.4520
72.000000	101.055901	170.9891
73.000000	101.023987	170.5254
74.000000	100.993134	170.0549
75.000000	100.947472	169.6461
76.199997	100.901825	169.1522
77.500000	100.861588	168.5465
78.800003	100.824249	168.1150
80.000000	100.780563	167.6564
81.199997	100.721313	167.1284
82.500000	100.668640	166.6408
83.800003	100.616547	166.2114
85.000000	100.571922	165.7740
86.199997	100.527817	165.3547
87.500000	100.477844	164.9140
88.500000	100.431625	164.5902
90.000000	100.370354	164.0901
91.199997	100.324478	163.7199
92.500000	100.270424	163.3301
93.800003	100.219147	162.9670
95.000000	100.164307	162.6096
96.199997	100.114464	162.2235
97.500000	100.051537	161.8589
98.800003	100.008965	161.5610
100.000000	99.953682	161.2263
101.500000	99.889503	160.8348
103.000000	99.817871	160.4864
104.400002	99.757393	160.1524
106.000000	99.683823	159.8060
107.500000	99.609589	159.4685
109.000000	99.534943	159.1973
110.599998	99.456627	158.9587
112.000000	99.387100	158.7724
113.800003	99.298241	158.5887
115.000000	99.246872	158.5297
117.199997	99.175293	158.4678
118.000000	99.147438	158.4085
120.599998	99.138947	157.8470
122.000000	99.088669	157.8992
124.099998	99.027153	157.3503
125.000000	99.001404	157.1566
126.500000	98.939651	156.8692
128.000000	98.884750	156.5342
131.500000	98.739769	155.9628
132.000000	98.719528	155.8889
134.000000	98.628830	155.6154
136.000000	98.543121	155.3472
138.000000	98.458046	155.1686
140.000000	98.367599	155.0123
143.000000	98.254738	154.8800
145.000000	98.188019	154.7763
147.500000	98.111481	154.5917
150.000000	98.029938	154.3548
152.500000	97.944191	154.1561
155.000000	97.856445	153.9407
157.500000	97.765610	153.7676
160.000000	97.676468	153.5974
162.500000	97.586891	153.4756
165.000000	97.497406	153.3265
167.500000	97.410698	153.2275
170.000000	97.318604	153.1289
172.500000	97.231430	153.0387
175.000000	97.142647	152.9802
177.500000	97.050163	152.9489
180.000000	96.950493	152.7242
182.500000	96.883972	152.8355
185.000000	96.796967	152.8329
187.500000	96.714424	152.8352
190.000000	96.631317	152.8687
192.500000	96.548225	152.8889
195.000000	96.471001	152.8918
197.500000	96.387543	152.9830
200.000000	96.311005	153.0414
203.000000	96.223099	153.1137
206.000000	96.130081	153.1877
209.000000	96.040932	153.2826
212.000000	95.951195	153.4022
214.000000	95.897888	153.4801
218.000000	95.779800	153.6565
220.000000	95.725952	153.7360
224.000000	95.617264	153.9494
227.000000	95.539314	154.1246
230.000000	95.457405	154.2833
233.000000	95.380363	154.4570
236.000000	95.309692	154.6722
240.000000	95.220749	154.2475
243.000000	95.127968	155.0899
247.000000	95.038170	155.3954
250.000000	94.969955	155.6152
254.000000	94.880997	155.8995
258.000000	94.795288	156.2261
262.000000	94.705666	156.5435
265.000000	94.649239	156.7759
269.000000	94.568741	157.1227
272.000000	94.506844	157.3476
276.000000	94.436684	157.7313
280.000000	94.362312	158.0604
285.000000	94.274460	158.5093
290.000000	94.188171	158.9712
295.000000	94.100990	159.4018
300.000000	93.982063	159.4348
304.000000	93.964828	160.2977
307.000000	93.922340	160.5388
311.000000	93.868805	160.9269
315.000000	93.812057	161.3160
320.000000	93.748543	161.7899
325.000000	93.687057	162.2545
330.000000	93.627487	162.7371
335.000000	93.570190	163.2353
340.000000	93.515228	163.6934
345.000000	93.467575	164.1806
350.000000	93.416695	164.6743
355.000000	93.369377	165.1457
360.000000	93.344788	165.6374
365.000000	93.285080	166.0784
370.000000	93.241302	166.5443
375.000000	93.202774	167.0154
382.000000	93.154816	167.6540
387.000000	93.119652	168.1263
395.000000	93.072243	168.8375
400.000000	93.040291	169.2855
406.000000	93.007843	169.8127
412.000000	92.979057	170.3344
418.000000	92.942123	170.8427
425.000000	92.916878	171.4317
431.000000	92.892761	171.9457
437.000000	92.868340	172.4649
444.000000	92.845650	173.0138
450.000000	92.825638	173.5188
455.000000	92.811668	173.9001
462.000000	92.789398	174.4752
468.000000	92.774231	174.9454
475.000000	92.759361	175.4854
482.000000	92.737419	176.0471
487.000000	92.733383	176.4029
494.000000	92.718323	176.9265
500.000000	92.709755	177.3580
508.000000	92.700165	177.9262
515.000000	92.690292	178.4299
522.000000	92.677948	178.9463
530.000000	92.677719	179.5070
538.000000	92.669220	-179.9877
545.000000	92.665733	-179.4845
552.000000	92.662781	-178.9871
560.000000	92.658966	-178.4742
570.000000	92.656334	-177.8245
580.000000	92.656479	-177.1620
590.000000	92.658081	-176.5117
600.000000	92.648682	-175.9003
608.000000	92.656303	-175.4053
615.000000	92.662994	-174.9791
622.000000	92.662209	-174.5421
630.000000	92.669678	-174.0239
640.000000	92.672859	-173.4235
650.000000	92.682053	-172.8440
660.000000	92.725021	-172.3937
670.000000	92.695755	-171.6179
680.000000	92.706863	-171.0030
690.000000	92.712685	-170.4038
700.000000	92.723373	-169.7967
710.000000	92.737038	-169.1422
720.000000	92.737839	-168.5443
730.000000	92.749214	-167.8229
740.000000	92.761902	-167.1341
750.000000	92.766342	-166.3324
762.000000	92.779587	-165.2047
775.000000	92.821976	-163.5407
788.000000	93.064255	-161.3340
800.000000	93.510780	-161.5798
812.000000	93.587738	-162.9859
825.000000	93.536583	-163.5044
838.000000	93.477676	-163.2003
850.000000	93.462280	-162.7228
862.000000	93.469887	-162.1310
875.000000	93.493332	-161.4650
885.000000	93.523735	-160.9669
900.000000	93.525658	-160.4812
912.000000	93.625900	-159.6662
925.000000	93.685989	-159.0500
938.000000	93.751205	-158.4671
950.000000	93.820892	-157.9352
962.000000	93.887169	-157.4232
975.000000	93.963844	-156.9375
988.000000	94.048576	-156.4245
1000.000000	94.122513	-156.0080
1015.000000	94.224838	-155.4784
1030.000000	94.332703	-155.0313
1044.000000	94.433701	-154.6658
1060.000000	94.550064	-154.2608
1075.000000	94.666466	-153.9103
1090.000000	94.779320	-153.6279
1106.000000	94.899406	-153.4005
1120.000000	95.004593	-153.2361
1138.000000	95.136475	-153.0737
1150.000000	95.227798	-153.0200
1172.000000	95.388702	-152.9725
1180.000000	95.447441	-152.9719
1206.000000	95.626228	-153.0681
1220.000000	95.711632	-153.1509
1241.000000	95.844574	-153.3575
1250.000000	95.897346	-153.4399
1265.000000	95.981018	-153.6433
1280.000000	96.061043	-153.8538
1315.000000	96.228348	-154.4388
1320.000000	96.250603	-154.6394
1340.000000	96.328110	-154.8969
1360.000000	96.396950	-155.2727
1380.000000	96.439194	-155.7874
1400.000000	96.504669	-156.0853
1430.000000	96.560837	-156.6905
1450.000000	96.584785	-157.0697
1475.000000	96.595749	-157.5024
1500.000000	96.590195	-157.7663
1525.000000	96.575264	-157.9307
1550.000000	96.568733	-157.8083
1575.000000	96.612717	-157.4823
1600.000000	96.723724	-157.3403
1625.000000	96.850533	-157.7391
1650.000000	96.925888	-158.5102
1675.000000	96.943565	-159.3246
1700.000000	96.921944	-160.0376
1725.000000	96.875549	-160.6130
1750.000000	96.817436	-161.0286
1775.000000	96.745659	-161.3166
1800.000000	96.662193	-161.4826
1825.000000	96.580482	-161.3496
1850.000000	96.509132	-161.0282
1875.000000	96.474655	-160.5160
1900.000000	96.501480	-159.9485
1925.000000	96.580383	-159.6978
1950.000000	96.661003	-159.9083
1975.000000	96.694351	-160.4159
2000.000000	96.683502	-160.9532
2030.000000	96.628784	-161.4787
2060.000000	96.548798	-161.8545
2090.000000	96.452293	-162.0099
2120.000000	96.352882	-162.0026
2140.000000	96.290634	-161.8879
2180.000000	96.197784	-161.5346
2200.000000	96.164413	-161.3601
2240.000000	96.120674	-161.2275
2270.000000	96.068649	-161.3010
2300.000000	95.990685	-161.3884
2330.000000	95.894928	-161.3926
2360.000000	95.790382	-161.3338
2400.000000	95.646912	-161.2775
2430.000000	95.512665	-161.3512
2470.000000	95.244736	-161.1705
2500.000000	95.002502	-160.6490
2540.000000	94.700287	-159.1402
2580.000000	94.463959	-157.1163
2620.000000	94.304588	-154.9803
2650.000000	94.215981	-153.3346
2690.000000	94.133064	-151.1414
2720.000000	94.088737	-149.4751
2760.000000	94.046074	-147.2582
2800.000000	94.027435	-144.9353
2850.000000	94.045792	-141.9635
2900.000000	94.098656	-138.9835
2950.000000	94.191055	-135.7828
3000.000000	94.341805	-132.4265
3040.000000	94.517960	-129.6361
3070.000000	94.687225	-127.5226
3110.000000	94.967506	-124.8053
3150.000000	95.307549	-122.1760
3200.000000	95.810486	-119.2630
3250.000000	96.399292	-116.8302
3300.000000	97.056328	-115.0213
3350.000000	97.755371	-114.0055
3400.000000	98.459709	-113.7761
3450.000000	99.148003	-114.2882
3500.000000	99.803452	-115.5253
3550.000000	100.397125	-117.3666
3600.000000	100.912453	-119.7562
3650.000000	101.337669	-122.4816
3700.000000	101.663109	-125.4412
3750.000000	101.887657	-128.4149
3820.000000	102.060326	-132.3313
3870.000000	102.108940	-134.7829
3950.000000	102.114426	-138.1695
4000.000000	102.093781	-139.9832
4060.000000	102.054901	-141.9426
4120.000000	102.008469	-143.6961
4180.000000	101.962250	-145.3503
4250.000000	101.903793	-147.2019
4310.000000	101.849609	-148.7327
4370.000000	101.793655	-150.2930
4440.000000	101.714340	-152.2240
4500.000000	101.630081	-154.0031
4550.000000	101.532425	-155.6667
4620.000000	101.277878	-158.1731
4680.000000	100.955437	-159.9366
4750.000000	100.510567	-161.2507
4820.000000	100.038513	-161.7354
4870.000000	99.698921	-161.6371
4940.000000	99.223984	-160.8762
5000.000000	98.851532	-159.3892
5080.000000	98.463196	-156.8245
5150.000000	98.218964	-154.1133
5220.000000	98.080132	-151.1217
5300.000000	98.056244	-147.5505
5380.000000	98.176353	-144.0899
5450.000000	98.388214	-141.3252
5520.000000	98.689941	-138.9176
5600.000000	99.133194	-136.7109
5700.000000	99.791641	-135.0546
5800.000000	100.521500	-134.7088
5900.000000	101.271713	-135.8058
6000.000000	101.991341	-138.4021
6080.000000	102.500916	-141.5868
6150.000000	102.860580	-145.1424
6220.000000	103.103745	-149.3069
6300.000000	103.200890	-154.5219
