* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 29, 2022 5:47:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: S3 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.600006	-137.1546
20.600000	100.638458	-138.0285
20.900000	100.658806	-138.7868
21.200001	100.675652	-139.4932
21.400000	100.689339	-139.9421
21.799999	100.726791	-140.8165
22.000000	100.750458	-141.2522
22.400000	100.803802	-142.1267
22.700001	100.844765	-142.7793
23.000000	100.883858	-143.4201
23.299999	100.919907	-144.0452
23.600000	100.952492	-144.6577
24.000000	100.989998	-145.4659
24.299999	101.013382	-146.0689
24.700001	101.039108	-146.8589
25.000000	101.056725	-147.4290
25.400000	101.082703	-148.1523
25.799999	101.115265	-148.8498
26.200001	101.152321	-149.5504
26.500000	101.178619	-150.0843
26.900000	101.205841	-150.7850
27.200001	101.219299	-151.2773
27.600000	101.232635	-151.8647
28.000000	101.248833	-152.3895
28.500000	101.280838	-153.0538
29.000000	101.317429	-153.8353
29.500000	101.341896	-154.7214
30.000000	101.349205	-155.5870
30.400000	101.350670	-156.2014
30.700001	101.354889	-156.6178
31.100000	101.367882	-157.1453
31.500000	101.387161	-157.6800
32.000000	101.411247	-158.3788
32.500000	101.427818	-159.0840
33.000000	101.436363	-159.7561
33.500000	101.440277	-160.3849
34.000000	101.442177	-160.9792
34.500000	101.443527	-161.5441
35.000000	101.446350	-162.0809
35.500000	101.452469	-162.5980
36.000000	101.461983	-163.1099
36.500000	101.473114	-163.6257
37.000000	101.484146	-164.1425
37.500000	101.495049	-164.6512
38.200001	101.512604	-165.3494
38.700001	101.526619	-165.8554
39.500000	101.542786	-166.7024
40.000000	101.544739	-167.2373
40.599998	101.541382	-167.8575
41.200001	101.537926	-168.4540
41.799999	101.537849	-169.0367
42.500000	101.541756	-169.7057
43.099998	101.544342	-170.2799
43.700001	101.539772	-170.8453
44.400002	101.527748	-171.4382
45.000000	101.525093	-171.8941
45.500000	101.531364	-172.2970
46.200001	101.538261	-172.9371
46.799999	101.529900	-173.4886
47.500000	101.508530	-174.0581
48.200001	101.486069	-174.5793
48.700001	101.473099	-174.9424
49.400002	101.465202	-175.4622
50.000000	101.464783	-175.9600
50.799999	101.454185	-176.6571
51.500000	101.436729	-177.1845
52.200001	101.423355	-177.6650
53.000000	101.403427	-178.2231
53.799999	101.378471	-178.7366
54.500000	101.363564	-179.1954
55.200001	101.352081	-179.6780
56.000000	101.340805	179.8153
57.000000	101.307892	179.2835
58.000000	101.269775	178.8004
59.000000	101.238777	177.6691
60.000000	101.143394	176.7405
60.799999	101.142639	176.7670
61.500000	101.189316	176.6204
62.200001	101.180176	176.2139
63.000000	101.127998	175.8363
64.000000	101.110352	175.2108
65.000000	101.089577	174.5278
66.000000	101.068977	174.1399
67.000000	101.035789	173.6380
68.000000	100.993813	173.1143
69.000000	100.961189	172.6259
70.000000	100.924995	172.1997
71.000000	100.889275	171.7226
72.000000	100.854271	171.2172
73.000000	100.831009	170.7491
74.000000	100.800957	170.2565
75.000000	100.753929	169.8602
76.199997	100.707954	169.4206
77.500000	100.651093	168.8760
78.800003	100.605232	168.3396
80.000000	100.559631	167.8636
81.199997	100.520081	167.4079
82.500000	100.459106	166.8987
83.800003	100.408028	166.4578
85.000000	100.366791	166.0345
86.199997	100.314095	165.6265
87.500000	100.249222	165.1951
88.500000	100.208191	164.8545
90.000000	100.141747	164.3968
91.199997	100.084106	164.0662
92.500000	100.022049	163.6403
93.800003	99.962715	163.3631
95.000000	99.904396	163.1195
96.199997	99.840179	162.8578
97.500000	99.786934	162.5837
98.800003	99.750168	162.4595
100.000000	99.722168	162.2673
101.500000	99.682449	161.9213
103.000000	99.641365	161.5190
104.400002	99.593994	161.0939
106.000000	99.534775	160.6619
107.500000	99.473022	160.2479
109.000000	99.406517	159.8725
110.599998	99.332932	159.5028
112.000000	99.270531	159.1816
113.800003	99.183746	158.8395
