* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 18, 2021 2:55:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.348999	-179.7475
20.600000	104.342979	179.7205
20.900000	104.332176	179.2399
21.200001	104.320869	178.7529
21.400000	104.313141	178.4217
21.799999	104.295753	177.7591
22.000000	104.285812	177.4389
22.400000	104.264618	176.8426
22.700001	104.250084	176.4400
23.000000	104.238693	176.0622
23.299999	104.230682	175.6860
23.600000	104.224365	175.2889
24.000000	104.213226	174.7106
24.299999	104.199730	174.2533
24.700001	104.174484	173.6520
25.000000	104.153229	173.2313
25.400000	104.127556	172.7181
25.799999	104.108467	172.2316
26.200001	104.092949	171.7324
26.500000	104.079132	171.3399
26.900000	104.052841	170.8107
27.200001	104.026733	170.4306
27.600000	103.988335	169.9710
28.000000	103.954071	169.5615
28.500000	103.927200	169.0596
29.000000	103.915565	168.4815
29.500000	103.904404	167.8102
30.000000	103.879379	167.1245
30.400000	103.848152	166.6311
30.700001	103.821159	166.3104
31.100000	103.785271	165.9398
31.500000	103.753250	165.5983
32.000000	103.719009	165.1504
32.500000	103.686661	164.6459
33.000000	103.651443	164.1038
33.500000	103.612823	163.5652
34.000000	103.573112	163.0571
34.500000	103.534119	162.5809
35.000000	103.495750	162.1262
35.500000	103.457397	161.6855
36.000000	103.418976	161.2552
36.500000	103.380417	160.8309
37.000000	103.340393	160.4108
37.500000	103.297455	160.0049
38.200001	103.235840	159.4879
38.700001	103.196846	159.1416
39.500000	103.142593	158.5291
40.000000	103.102188	158.1111
40.599998	103.041451	157.6699
41.200001	102.980820	157.3288
41.799999	102.931351	156.9666
42.500000	102.872818	156.3610
43.099998	102.808197	155.7769
43.700001	102.744904	155.2917
44.400002	102.697021	154.8322
45.000000	102.665573	154.4284
45.500000	102.628654	154.0984
46.200001	102.558998	153.7123
46.799999	102.496895	153.4004
47.500000	102.427071	152.9438
48.200001	102.355873	152.4400
48.700001	102.308121	152.1211
49.400002	102.249123	151.7323
50.000000	102.197723	151.4151
50.799999	102.118149	151.0112
51.500000	102.045868	150.6761
52.200001	101.979897	150.3297
53.000000	101.907730	149.8937
53.799999	101.823608	149.4564
54.500000	101.748215	149.1516
55.200001	101.698036	148.8464
56.000000	101.660248	148.3047
57.000000	101.567474	147.6713
58.000000	101.450867	147.5032
59.000000	101.343987	147.2835
60.000000	101.236519	146.9088
60.799999	101.160110	146.5909
61.500000	101.093765	146.3413
62.200001	101.030800	146.1134
63.000000	100.962143	145.8038
64.000000	100.871857	145.4732
65.000000	100.790840	145.2401
66.000000	100.685387	144.9076
67.000000	100.572289	144.6658
68.000000	100.492729	144.3766
69.000000	100.400002	144.1015
70.000000	100.307671	143.9467
71.000000	100.218987	143.6661
72.000000	100.124580	143.4223
73.000000	100.036629	143.2338
74.000000	99.938919	143.0457
75.000000	99.840965	142.8593
76.199997	99.731117	142.6674
77.500000	99.626816	142.4716
78.800003	99.502312	142.2965
80.000000	99.402977	142.1078
81.199997	99.295586	141.9576
82.500000	99.179878	141.9343
83.800003	99.068291	141.8376
85.000000	98.965363	141.7155
86.199997	98.865845	141.6659
87.500000	98.755196	141.5701
88.500000	98.676430	141.5795
90.000000	98.559097	141.5410
91.199997	98.455841	141.4938
92.500000	98.353279	141.4868
93.800003	98.258080	141.5232
95.000000	98.159470	141.5071
96.199997	98.065285	141.5764
97.500000	97.976173	141.6305
98.800003	97.880562	141.6938
100.000000	97.793625	141.7653
101.500000	97.684273	141.8517
103.000000	97.578949	141.9876
104.400002	97.487709	142.0834
106.000000	97.382568	142.2118
107.500000	97.276566	142.3677
109.000000	97.185150	142.5027
110.599998	97.089294	142.6876
112.000000	96.999237	142.7871
113.800003	96.890221	143.0131
115.000000	96.830132	143.2026
117.199997	96.697929	143.4691
118.000000	96.653152	143.5662
120.599998	96.526772	143.9723
122.000000	96.440506	144.1619
124.099998	96.335258	144.4669
125.000000	96.289490	144.5906
126.500000	96.215843	144.7984
128.000000	96.147377	145.0242
131.500000	95.986259	145.5659
132.000000	95.965851	145.6547
134.000000	95.876427	145.9772
136.000000	95.796783	146.2948
138.000000	95.711861	146.6433
140.000000	95.635963	146.9723
143.000000	95.524269	147.4792
145.000000	95.453484	147.8253
147.500000	95.367661	148.2588
150.000000	95.284233	148.6518
152.500000	95.210091	149.0808
155.000000	95.130333	149.4972
157.500000	95.060562	149.9074
160.000000	94.994537	150.2922
162.500000	94.928490	150.7293
165.000000	94.866135	151.1094
167.500000	94.807449	151.5173
170.000000	94.747444	151.9094
172.500000	94.694756	152.2980
175.000000	94.641060	152.6943
177.500000	94.592026	153.0667
180.000000	94.543129	153.4229
182.500000	94.494698	153.8057
185.000000	94.454567	154.1461
187.500000	94.412514	154.5022
190.000000	94.371078	154.8550
192.500000	94.330574	155.1754
195.000000	94.290138	155.5375
197.500000	94.253288	155.8407
200.000000	94.220566	156.1929
203.000000	94.175667	156.5382
206.000000	94.136841	156.9157
209.000000	94.099236	157.2892
212.000000	94.061394	157.6559
214.000000	94.035088	157.8740
218.000000	93.989403	158.3486
220.000000	93.969368	158.5544
224.000000	93.920418	159.0023
227.000000	93.894966	159.3232
230.000000	93.867004	159.6416
233.000000	93.834976	159.9417
236.000000	93.802895	160.2279
240.000000	93.766510	160.6312
243.000000	93.737343	160.9319
247.000000	93.700249	161.3221
250.000000	93.672310	161.5969
254.000000	93.634682	161.9823
258.000000	93.601234	162.3530
262.000000	93.570381	162.7446
265.000000	93.545395	163.0029
269.000000	93.516403	163.3794
272.000000	93.490387	163.6576
276.000000	93.464172	164.0195
280.000000	93.437660	164.3855
285.000000	93.408539	164.8208
290.000000	93.383316	165.2477
295.000000	93.368027	165.6613
300.000000	93.348778	166.0283
304.000000	93.326721	166.2582
307.000000	93.312653	166.4570
311.000000	93.285789	166.6855
315.000000	93.261871	166.9646
320.000000	93.237106	167.2846
325.000000	93.206917	167.6066
330.000000	93.176033	167.9179
335.000000	93.147720	168.2444
340.000000	93.124268	168.5539
345.000000	93.093048	168.8891
350.000000	93.068062	169.2065
355.000000	93.043976	169.4924
360.000000	93.018860	169.8249
365.000000	92.993446	170.1152
370.000000	92.963577	170.4125
375.000000	92.935204	170.6640
382.000000	92.900345	171.0908
387.000000	92.871841	171.3935
395.000000	92.826111	171.8862
400.000000	92.797218	172.1804
406.000000	92.770958	172.5419
412.000000	92.744400	172.9224
418.000000	92.712067	173.2646
425.000000	92.675865	173.7149
431.000000	92.648994	174.0582
