* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 9 Jul, 2021 4:32:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Jul 9 16:32:44
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 63.704, 76.285
10.293, 63.811, 75.760
10.443, 63.921, 74.988
10.595, 64.089, 73.901
10.749, 64.256, 72.682
10.905, 64.370, 71.565
11.064, 64.456, 70.448
11.225, 64.532, 69.255
11.388, 64.593, 68.033
11.554, 64.632, 66.916
11.722, 64.651, 65.890
11.892, 64.663, 64.984
12.065, 64.668, 64.188
12.241, 64.679, 63.463
12.419, 64.695, 62.801
12.599, 64.718, 62.158
12.782, 64.745, 61.507
12.968, 64.776, 60.783
13.157, 64.804, 60.002
13.348, 64.822, 59.154
13.543, 64.827, 58.280
13.740, 64.816, 57.391
13.939, 64.789, 56.560
14.142, 64.752, 55.804
14.348, 64.710, 55.167
14.557, 64.674, 54.633
14.768, 64.649, 54.199
14.983, 64.644, 53.803
15.201, 64.657, 53.395
15.422, 64.691, 52.925
15.646, 64.734, 52.345
15.874, 64.781, 51.658
16.105, 64.826, 50.868
16.339, 64.861, 50.028
16.577, 64.888, 49.180
16.818, 64.908, 48.360
17.063, 64.926, 47.602
17.311, 64.947, 46.899
17.563, 64.975, 46.237
17.818, 65.010, 45.591
18.077, 65.050, 44.935
18.340, 65.090, 44.270
18.607, 65.127, 43.610
18.877, 65.159, 42.979
19.152, 65.187, 42.403
19.431, 65.217, 41.890
19.713, 65.251, 41.415
20.000, 65.290, 40.942
20.291, 65.330, 40.435
20.586, 65.365, 39.874
20.885, 65.386, 39.271
21.189, 65.389, 38.673
21.497, 65.373, 38.143
21.810, 65.345, 37.733
22.127, 65.316, 37.456
22.449, 65.298, 37.284
22.776, 65.296, 37.152
23.107, 65.313, 36.983
23.443, 65.341, 36.716
23.784, 65.374, 36.324
24.130, 65.402, 35.816
24.481, 65.420, 35.225
24.837, 65.425, 34.596
25.198, 65.419, 33.974
25.565, 65.406, 33.394
25.937, 65.389, 32.875
26.314, 65.374, 32.423
26.697, 65.363, 32.033
27.085, 65.360, 31.690
27.479, 65.364, 31.375
27.879, 65.375, 31.075
28.284, 65.388, 30.789
28.696, 65.403, 30.535
29.113, 65.424, 30.328
29.537, 65.459, 30.147
29.966, 65.512, 29.909
30.402, 65.574, 29.505
30.844, 65.624, 28.885
31.293, 65.638, 28.152
31.748, 65.613, 27.514
32.210, 65.576, 27.128
32.678, 65.565, 26.915
33.154, 65.588, 26.603
33.636, 65.607, 26.007
34.125, 65.573, 25.293
34.621, 65.486, 24.880
35.125, 65.408, 25.002
35.636, 65.404, 25.374
36.154, 65.464, 25.460
36.680, 65.514, 25.118
37.214, 65.510, 24.689
37.755, 65.485, 24.459
38.304, 65.474, 24.268
38.861, 65.438, 23.928
39.427, 65.343, 23.859
40.000, 65.270, 24.585
40.582, 65.362, 25.574
41.172, 65.568, 25.661
41.771, 65.703, 24.844
42.379, 65.732, 24.313
42.995, 65.827, 24.317
43.620, 66.002, 23.763
44.255, 66.062, 22.589
44.898, 66.007, 22.278
45.552, 66.085, 22.810
46.214, 66.281, 22.387
46.886, 66.313, 21.136
47.568, 66.218, 20.890
48.260, 66.267, 21.176
48.962, 66.347, 20.362
49.674, 66.247, 19.487
50.397, 66.167, 19.744
51.130, 66.253, 19.655
51.874, 66.274, 18.637
52.628, 66.191, 18.174
53.394, 66.208, 18.222
54.170, 66.267, 17.570
54.958, 66.191, 16.804
55.758, 66.084, 17.109
56.569, 66.141, 17.651
57.391, 66.222, 17.063
58.226, 66.133, 16.363
59.073, 66.056, 16.656
59.932, 66.118, 16.699
60.804, 66.163, 16.094
61.688, 66.185, 15.464
62.586, 66.173, 14.747
63.496, 66.126, 14.632
64.420, 66.188, 14.736
65.357, 66.220, 14.161
66.307, 66.140, 14.070
67.272, 66.128, 14.458
68.250, 66.145, 14.437
69.243, 66.137, 14.222
70.250, 66.116, 13.909
71.272, 66.099, 13.625
72.309, 66.102, 13.276
73.360, 66.111, 12.929
74.427, 66.121, 12.526
75.510, 66.096, 12.274
76.608, 66.068, 12.371
77.723, 66.091, 12.739
78.853, 66.164, 12.475
80.000, 66.094, 11.998
81.164, 66.040, 12.359
82.344, 66.078, 12.443
83.542, 66.086, 12.073
84.757, 66.050, 11.888
85.990, 66.040, 11.821
87.241, 66.038, 11.799
88.510, 66.069, 11.682
89.797, 66.082, 11.377
91.103, 66.081, 11.180
92.428, 66.065, 10.906
93.773, 66.035, 11.135
95.137, 66.089, 11.112
96.520, 66.068, 10.918
97.924, 66.066, 11.075
99.349, 66.093, 10.974
100.794, 66.065, 10.756
102.260, 66.054, 10.846
103.747, 66.065, 10.816
105.256, 66.073, 10.752
106.787, 66.086, 10.822
108.340, 66.105, 10.814
109.916, 66.118, 10.696
111.515, 66.087, 10.571
113.137, 66.084, 10.659
114.783, 66.090, 10.482
116.452, 66.108, 10.398
118.146, 66.105, 10.132
119.865, 66.102, 10.214
121.608, 66.119, 9.984
123.377, 66.068, 10.207
125.171, 66.133, 10.357
126.992, 66.139, 10.116
128.839, 66.125, 10.087
130.713, 66.106, 10.066
132.615, 66.110, 10.223
134.543, 66.142, 10.144
136.500, 66.172, 9.995
138.486, 66.190, 9.914
140.500, 66.200, 9.757
142.544, 66.190, 9.690
144.617, 66.194, 9.700
146.721, 66.200, 9.667
148.855, 66.201, 9.694
151.020, 66.197, 9.630
153.217, 66.197, 9.559
155.445, 66.214, 9.531
157.706, 66.225, 9.702
160.000, 66.240, 9.787
162.327, 66.236, 9.764
164.688, 66.255, 9.694
167.084, 66.282, 9.654
169.514, 66.290, 9.688
171.980, 66.305, 9.820
174.481, 66.339, 9.745
177.019, 66.355, 9.663
179.594, 66.366, 9.609
182.206, 66.382, 9.568
184.856, 66.425, 9.573
187.545, 66.463, 9.433
190.273, 66.490, 9.350
193.041, 66.517, 9.222
195.849, 66.548, 9.059
198.697, 66.592, 8.880
201.587, 66.638, 8.641
204.520, 66.674, 8.335
207.494, 66.706, 7.910
210.512, 66.749, 7.332
213.574, 66.772, 6.670
216.681, 66.782, 5.855
219.833, 66.738, 4.935
