* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 9 Jul, 2021 3:46:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Jul 9 15:46:41
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 53.432, -64.364
10.293, 53.572, -66.371
10.443, 53.713, -69.032
10.595, 53.874, -72.504
10.749, 53.993, -76.010
10.905, 53.981, -78.449
11.064, 53.888, -80.323
11.225, 53.770, -82.093
11.388, 53.618, -83.536
11.554, 53.440, -84.187
11.722, 53.246, -84.090
11.892, 53.101, -83.193
12.065, 53.013, -81.566
12.241, 53.063, -79.586
12.419, 53.240, -77.357
12.599, 53.552, -75.384
12.782, 53.969, -73.815
12.968, 54.451, -73.110
13.157, 54.943, -73.136
13.348, 55.405, -73.936
13.543, 55.799, -75.259
13.740, 56.109, -77.051
13.939, 56.320, -78.955
14.142, 56.437, -80.844
14.348, 56.462, -82.464
14.557, 56.431, -83.635
14.768, 56.360, -84.266
14.983, 56.307, -84.306
15.201, 56.302, -83.952
15.422, 56.376, -83.354
15.646, 56.528, -82.943
15.874, 56.733, -82.884
16.105, 56.961, -83.361
16.339, 57.157, -84.337
16.577, 57.300, -85.635
16.818, 57.375, -87.081
17.063, 57.383, -88.386
17.311, 57.354, -89.362
17.563, 57.319, -89.951
17.818, 57.312, -90.164
18.077, 57.369, -90.203
18.340, 57.490, -90.322
18.607, 57.658, -90.694
18.877, 57.846, -91.418
19.152, 58.026, -92.472
19.431, 58.176, -93.710
19.713, 58.295, -94.982
20.000, 58.391, -96.182
20.291, 58.475, -97.254
20.586, 58.557, -98.197
20.885, 58.641, -99.036
21.189, 58.724, -99.785
21.497, 58.807, -100.418
21.810, 58.892, -100.899
22.127, 58.991, -101.221
22.449, 59.116, -101.444
22.776, 59.269, -101.683
23.107, 59.442, -102.065
23.443, 59.615, -102.660
23.784, 59.769, -103.449
24.130, 59.888, -104.347
24.481, 59.970, -105.245
24.837, 60.020, -106.058
25.198, 60.048, -106.735
25.565, 60.063, -107.239
25.937, 60.080, -107.540
26.314, 60.120, -107.654
26.697, 60.205, -107.695
27.085, 60.342, -107.891
27.479, 60.509, -108.454
27.879, 60.663, -109.423
28.284, 60.770, -110.599
28.696, 60.829, -111.680
29.113, 60.871, -112.454
29.537, 60.935, -112.944
29.966, 61.037, -113.330
30.402, 61.166, -113.745
30.844, 61.307, -114.216
31.293, 61.453, -114.762
31.748, 61.584, -115.429
32.210, 61.668, -116.116
32.678, 61.701, -116.450
33.154, 61.751, -116.156
33.636, 61.915, -115.641
34.125, 62.186, -115.881
34.621, 62.407, -117.375
35.125, 62.426, -119.445
35.636, 62.259, -120.828
36.154, 62.087, -120.919
36.680, 62.073, -120.521
37.214, 62.183, -120.809
37.755, 62.271, -121.912
38.304, 62.282, -123.163
38.861, 62.273, -124.066
39.427, 62.309, -124.653
40.000, 62.420, -125.138
40.582, 62.610, -125.856
41.172, 62.820, -127.140
41.771, 62.952, -128.829
42.379, 62.977, -130.214
42.995, 62.977, -130.836
43.620, 63.038, -131.033
44.255, 63.153, -131.397
44.898, 63.259, -132.192
45.552, 63.288, -133.276
46.214, 63.221, -134.092
46.886, 63.155, -134.125
47.568, 63.235, -133.934
48.260, 63.410, -134.785
48.962, 63.449, -136.592
49.674, 63.309, -137.626
50.397, 63.253, -137.163
51.130, 63.429, -136.874
51.874, 63.600, -137.749
52.628, 63.638, -138.539
53.394, 63.699, -138.674
54.170, 63.823, -139.078
54.958, 63.893, -139.854
55.758, 63.917, -140.326
56.569, 64.016, -140.588
57.391, 64.181, -141.719
58.226, 64.178, -143.686
59.073, 64.011, -144.463
59.932, 64.009, -144.289
60.804, 64.066, -144.993
61.688, 64.032, -145.472
62.586, 64.088, -145.927
63.496, 64.051, -147.199
64.420, 63.932, -147.521
65.357, 64.002, -147.914
66.307, 64.015, -149.568
67.272, 63.899, -150.611
68.250, 63.888, -151.014
69.243, 63.949, -151.768
70.250, 63.974, -152.973
71.272, 63.831, -154.205
72.309, 63.547, -153.936
73.360, 63.410, -152.424
74.427, 63.391, -151.091
75.510, 63.496, -149.884
76.608, 63.627, -149.880
77.723, 63.740, -149.294
78.853, 64.069, -150.100
80.000, 64.040, -151.899
81.164, 63.999, -151.860
82.344, 64.020, -152.009
83.542, 64.076, -152.359
84.757, 64.019, -153.058
85.990, 64.049, -153.228
87.241, 64.077, -154.071
88.510, 64.129, -154.535
89.797, 64.204, -154.996
91.103, 64.308, -155.297
92.428, 64.414, -155.690
93.773, 64.450, -156.465
95.137, 64.416, -156.683
96.520, 64.443, -157.094
97.924, 64.429, -157.573
99.349, 64.449, -157.971
100.794, 64.464, -158.404
102.260, 64.474, -158.838
103.747, 64.458, -159.325
105.256, 64.441, -159.785
106.787, 64.414, -160.392
108.340, 64.427, -160.726
109.916, 64.458, -161.202
111.515, 64.511, -161.387
113.137, 64.578, -161.884
114.783, 64.538, -162.852
116.452, 64.415, -163.081
118.146, 64.380, -163.224
119.865, 64.368, -163.489
121.608, 64.351, -163.781
123.377, 64.315, -163.736
125.171, 64.372, -163.928
126.992, 64.328, -164.658
128.839, 64.246, -164.744
130.713, 64.288, -164.460
132.615, 64.345, -164.581
134.543, 64.410, -165.001
136.500, 64.435, -165.723
138.486, 64.360, -166.240
140.500, 64.344, -166.222
142.544, 64.353, -166.666
144.617, 64.337, -166.995
146.721, 64.368, -167.396
148.855, 64.353, -167.940
151.020, 64.325, -168.166
153.217, 64.326, -168.544
155.445, 64.269, -169.170
157.706, 64.201, -169.339
160.000, 64.162, -169.606
162.327, 64.087, -169.747
164.688, 64.036, -169.690
167.084, 63.993, -169.851
169.514, 63.965, -169.891
171.980, 63.952, -169.901
174.481, 63.934, -169.861
177.019, 63.921, -169.875
179.594, 63.936, -170.022
182.206, 63.948, -170.236
184.856, 63.909, -170.260
187.545, 63.871, -170.202
190.273, 63.822, -170.555
193.041, 63.797, -170.306
195.849, 63.809, -170.703
198.697, 63.740, -170.479
201.587, 63.808, -170.213
204.520, 63.837, -170.346
207.494, 63.788, -170.445
210.512, 63.711, -170.568
213.574, 63.688, -170.632
216.681, 63.707, -170.506
219.833, 63.712, -170.429
223.030, 63.678, -170.500
226.274, 63.656, -170.423
229.565, 63.678, -170.507
232.905, 63.603, -170.312
236.292, 63.578, -169.826
239.729, 63.602, -170.380
243.216, 63.619, -170.601
246.754, 63.624, -170.632
250.343, 63.584, -170.504
253.984, 63.593, -170.618
257.678, 63.579, -170.645
261.426, 63.544, -170.863
265.229, 63.554, -170.788
269.087, 63.548, -170.405
273.001, 63.494, -170.197
276.972, 63.489, -170.270
281.000, 63.485, -170.241
285.088, 63.440, -170.410
289.234, 63.414, -170.095
293.441, 63.413, -169.919
297.710, 63.400, -169.894
302.040, 63.381, -169.889
306.433, 63.376, -169.974
310.890, 63.342, -169.591
315.412, 63.391, -169.603
320.000, 63.447, -170.113
324.655, 63.442, -170.102
329.377, 63.399, -168.966
334.168, 63.221, -168.386
339.028, 63.231, -169.389
343.959, 63.243, -168.815
348.962, 63.239, -168.743
354.038, 63.227, -168.481
359.188, 63.137, -167.945
364.412, 63.343, -167.499
369.713, 63.395, -168.566
375.090, 63.337, -168.037
380.546, 63.190, -167.073
386.081, 63.196, -166.602
391.697, 63.228, -166.350
397.395, 63.211, -165.315
403.175, 63.108, -165.560
409.039, 63.181, -166.298
414.989, 63.210, -166.101
421.025, 63.193, -165.513
427.149, 63.247, -165.905
433.362, 63.137, -165.494
439.665, 63.174, -164.828
446.060, 63.187, -165.078
452.548, 63.197, -164.354
459.131, 63.232, -164.200
465.809, 63.254, -164.034
472.584, 63.240, -163.834
479.458, 63.269, -163.424
486.432, 63.257, -163.188
493.507, 63.272, -162.916
500.686, 63.310, -162.739
507.968, 63.254, -163.057
515.357, 63.172, -162.633
522.853, 63.246, -161.876
530.458, 63.359, -161.492
538.174, 63.345, -161.235
546.002, 63.354, -161.043
553.943, 63.375, -160.762
562.001, 63.389, -160.489
570.175, 63.404, -160.236
578.469, 63.410, -159.912
586.883, 63.412, -159.626
595.419, 63.434, -159.277
604.080, 63.459, -158.935
612.866, 63.470, -158.669
621.780, 63.478, -158.356
630.824, 63.482, -157.946
640.000, 63.499, -157.469
649.309, 63.522, -156.919
658.753, 63.565, -156.430
668.335, 63.621, -155.948
678.056, 63.659, -155.594
687.919, 63.706, -155.243
697.925, 63.751, -155.029
708.076, 63.742, -154.458
718.376, 63.804, -153.793
728.825, 63.833, -153.411
739.426, 63.924, -153.139
750.181, 63.985, -152.835
761.093, 64.057, -152.493
772.163, 64.131, -152.138
783.394, 64.184, -151.991
794.789, 64.246, -151.693
806.349, 64.309, -151.530
818.078, 64.343, -151.371
829.977, 64.377, -151.079
842.050, 64.423, -150.820
854.297, 64.473, -150.584
866.724, 64.492, -150.420
879.330, 64.473, -150.081
892.120, 64.468, -149.383
905.097, 64.483, -148.489
918.262, 64.559, -147.312
931.618, 64.711, -146.442
945.169, 64.870, -145.774
958.917, 65.048, -145.427
972.864, 65.195, -145.284
987.015, 65.316, -145.258
1001.371, 65.430, -145.073
1015.937, 65.556, -144.933
1030.714, 65.680, -144.830
1045.706, 65.788, -144.846
1060.916, 65.913, -144.771
1076.347, 66.049, -144.845
1092.003, 66.159, -145.138
1107.887, 66.251, -145.279
1124.001, 66.344, -145.509
1140.350, 66.415, -145.721
1156.937, 66.465, -145.897
1173.765, 66.535, -145.961
1190.838, 66.601, -146.059
1208.159, 66.612, -146.221
1225.732, 66.660, -146.056
1243.561, 66.717, -146.107
1261.649, 66.757, -145.839
1280.000, 66.816, -145.384
1298.618, 66.894, -145.208
1317.507, 66.979, -144.762
1336.670, 67.123, -144.558
1356.113, 67.259, -144.519
1375.838, 67.394, -144.833
1395.850, 67.444, -144.944
1416.153, 67.546, -144.772
1436.751, 67.629, -145.275
1457.649, 67.726, -145.783
1478.851, 67.742, -145.923
1500.362, 67.781, -145.824
1522.185, 67.800, -145.721
1544.326, 67.851, -145.421
1566.789, 67.882, -144.825
1589.578, 68.017, -144.098
1612.699, 68.231, -143.661
1636.156, 68.497, -143.755
1659.955, 68.687, -144.748
1684.099, 68.733, -145.699
1708.595, 68.754, -146.290
1733.447, 68.715, -146.341
