* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 28 Oct, 2020 4:01:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Oct 28 16:01:57
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 52.603, -61.996
10.293, 52.739, -63.232
10.443, 52.874, -64.536
10.595, 52.987, -65.626
10.749, 53.091, -66.617
10.905, 53.189, -67.462
11.064, 53.286, -68.174
11.225, 53.392, -68.746
11.388, 53.509, -69.193
11.554, 53.645, -69.586
11.722, 53.799, -69.931
11.892, 53.971, -70.329
12.065, 54.158, -70.781
12.241, 54.349, -71.351
12.419, 54.544, -72.027
12.599, 54.729, -72.812
12.782, 54.904, -73.683
12.968, 55.063, -74.607
13.157, 55.207, -75.557
13.348, 55.335, -76.508
13.543, 55.450, -77.436
13.740, 55.553, -78.334
13.939, 55.646, -79.190
14.142, 55.732, -79.999
14.348, 55.811, -80.752
14.557, 55.887, -81.438
14.768, 55.964, -82.052
14.983, 56.047, -82.594
15.201, 56.142, -83.095
15.422, 56.253, -83.579
15.646, 56.381, -84.128
15.874, 56.519, -84.778
16.105, 56.662, -85.569
16.339, 56.794, -86.493
16.577, 56.908, -87.486
16.818, 56.999, -88.480
17.063, 57.069, -89.358
17.311, 57.135, -90.052
17.563, 57.211, -90.564
17.818, 57.312, -90.933
18.077, 57.449, -91.301
18.340, 57.611, -91.797
18.607, 57.782, -92.471
18.877, 57.941, -93.315
19.152, 58.075, -94.232
19.431, 58.184, -95.076
19.713, 58.283, -95.769
20.000, 58.390, -96.333
20.291, 58.517, -96.874
20.586, 58.659, -97.536
20.885, 58.794, -98.412
21.189, 58.893, -99.456
21.497, 58.939, -100.480
21.810, 58.942, -101.256
22.127, 58.934, -101.650
22.449, 58.958, -101.712
22.776, 59.037, -101.705
23.107, 59.164, -101.892
23.443, 59.303, -102.421
23.784, 59.420, -103.223
24.130, 59.501, -104.100
24.481, 59.562, -104.882
24.837, 59.627, -105.549
25.198, 59.712, -106.212
25.565, 59.807, -106.979
25.937, 59.895, -107.832
26.314, 59.973, -108.642
26.697, 60.057, -109.310
27.085, 60.174, -109.896
27.479, 60.328, -110.610
27.879, 60.493, -111.616
28.284, 60.626, -112.869
28.696, 60.706, -114.139
29.113, 60.741, -115.157
29.537, 60.767, -115.782
29.966, 60.824, -116.105
30.402, 60.927, -116.371
30.844, 61.061, -116.858
31.293, 61.179, -117.667
31.748, 61.235, -118.612
32.210, 61.227, -119.285
32.678, 61.220, -119.397
33.154, 61.296, -119.188
33.636, 61.465, -119.360
34.125, 61.633, -120.308
34.621, 61.705, -121.639
35.125, 61.696, -122.605
35.636, 61.708, -123.004
36.154, 61.809, -123.384
36.680, 61.939, -124.229
37.214, 62.020, -125.323
37.755, 62.067, -126.187
38.304, 62.136, -126.814
38.861, 62.228, -127.498
39.427, 62.312, -128.211
40.000, 62.400, -128.805
40.582, 62.513, -129.516
41.172, 62.596, -130.548
41.771, 62.599, -131.514
42.379, 62.582, -131.956
42.995, 62.633, -132.257
43.620, 62.699, -133.057
44.255, 62.679, -134.049
44.898, 62.615, -134.447
45.552, 62.652, -134.415
46.214, 62.786, -135.017
46.886, 62.848, -136.359
47.568, 62.796, -137.270
48.260, 62.806, -137.353
48.962, 62.935, -137.679
49.674, 63.029, -138.530
50.397, 63.083, -139.067
51.130, 63.187, -139.617
51.874, 63.238, -140.541
52.628, 63.238, -140.958
53.394, 63.345, -141.436
54.170, 63.380, -143.078
54.958, 63.178, -144.101
55.758, 63.092, -143.363
56.569, 63.283, -143.477
57.391, 63.359, -145.180
58.226, 63.246, -146.039
59.073, 63.282, -145.761
59.932, 63.451, -146.418
60.804, 63.477, -147.585
61.688, 63.449, -147.900
62.586, 63.494, -147.952
63.496, 63.576, -148.158
64.420, 63.681, -148.816
65.357, 63.733, -149.912
66.307, 63.740, -151.125
67.272, 63.673, -152.256
68.250, 63.653, -152.575
69.243, 63.795, -153.717
70.250, 63.727, -155.929
71.272, 63.538, -156.620
72.309, 63.490, -157.423
73.360, 63.290, -158.424
74.427, 63.103, -159.057
75.510, 62.704, -159.508
76.608, 62.403, -157.958
77.723, 62.142, -156.138
78.853, 62.287, -152.767
80.000, 62.545, -152.476
81.164, 62.754, -151.356
82.344, 63.029, -151.783
83.542, 63.258, -151.932
84.757, 63.403, -153.333
85.990, 63.418, -153.583
87.241, 63.559, -153.979
88.510, 63.615, -155.112
89.797, 63.667, -155.629
91.103, 63.646, -156.874
92.428, 63.685, -156.433
93.773, 63.822, -157.322
95.137, 63.891, -157.997
96.520, 63.852, -158.911
97.924, 63.844, -159.004
99.349, 63.854, -159.541
100.794, 63.912, -160.107
102.260, 63.884, -160.796
103.747, 63.941, -161.372
105.256, 63.895, -161.677
106.787, 63.916, -162.165
108.340, 63.865, -162.788
109.916, 63.898, -162.788
111.515, 63.936, -163.986
113.137, 63.907, -164.547
114.783, 63.927, -164.740
116.452, 63.929, -165.011
118.146, 63.891, -166.084
119.865, 63.874, -165.852
121.608, 63.910, -166.922
123.377, 63.851, -167.090
125.171, 63.841, -167.573
126.992, 63.854, -167.752
128.839, 63.816, -168.448
130.713, 63.788, -168.893
132.615, 63.745, -169.136
134.543, 63.800, -169.181
136.500, 63.666, -169.866
138.486, 63.630, -169.956
140.500, 63.642, -170.298
142.544, 63.610, -170.662
144.617, 63.573, -170.625
146.721, 63.491, -171.109
148.855, 63.469, -171.329
151.020, 63.486, -171.697
153.217, 63.513, -172.018
155.445, 63.562, -171.811
157.706, 63.490, -171.673
160.000, 63.403, -172.308
162.327, 63.402, -172.365
164.688, 63.400, -172.576
167.084, 63.392, -172.767
169.514, 63.356, -173.583
171.980, 63.284, -174.028
174.481, 63.274, -173.798
177.019, 63.262, -174.062
179.594, 63.234, -174.449
182.206, 63.196, -174.808
184.856, 63.153, -175.045
187.545, 63.076, -175.186
190.273, 63.001, -175.250
193.041, 62.947, -175.148
195.849, 62.865, -175.181
198.697, 62.796, -175.043
201.587, 62.754, -174.517
204.520, 62.778, -174.353
207.494, 62.754, -174.253
210.512, 62.787, -174.274
213.574, 62.738, -174.344
216.681, 62.771, -174.336
219.833, 62.719, -174.103
223.030, 62.679, -174.091
226.274, 62.687, -174.288
229.565, 62.688, -174.205
232.905, 62.647, -174.154
236.292, 62.650, -174.229
239.729, 62.658, -174.240
243.216, 62.640, -174.341
246.754, 62.625, -174.246
250.343, 62.623, -174.331
253.984, 62.610, -174.475
257.678, 62.606, -174.344
261.426, 62.554, -174.331
265.229, 62.555, -174.332
269.087, 62.553, -174.194
273.001, 62.495, -174.094
276.972, 62.472, -174.052
281.000, 62.459, -174.188
285.088, 62.435, -173.899
289.234, 62.436, -173.887
293.441, 62.422, -173.869
297.710, 62.414, -173.861
302.040, 62.381, -173.661
306.433, 62.385, -173.632
310.890, 62.353, -173.461
315.412, 62.380, -173.178
320.000, 62.318, -173.336
324.655, 62.310, -173.330
329.377, 62.303, -173.286
334.168, 62.287, -172.924
339.028, 62.276, -173.138
343.959, 62.258, -172.900
348.962, 62.265, -172.452
354.038, 62.219, -172.595
359.188, 62.227, -172.423
364.412, 62.226, -172.238
369.713, 62.207, -172.189
375.090, 62.202, -172.040
380.546, 62.201, -171.718
386.081, 62.209, -171.823
391.697, 62.162, -171.551
397.395, 62.173, -171.258
403.175, 62.180, -171.135
409.039, 62.172, -170.930
414.989, 62.137, -170.579
421.025, 62.151, -170.482
427.149, 62.164, -170.476
433.362, 62.121, -170.282
439.665, 62.158, -169.973
446.060, 62.134, -169.845
452.548, 62.126, -169.251
459.131, 62.102, -169.392
465.809, 62.134, -169.051
472.584, 62.101, -168.838
479.458, 62.132, -168.574
486.432, 62.164, -168.161
493.507, 62.151, -167.925
500.686, 62.172, -167.961
507.968, 62.182, -167.585
515.357, 62.206, -167.299
522.853, 62.205, -167.311
530.458, 62.223, -167.030
538.174, 62.233, -166.750
546.002, 62.239, -166.525
553.943, 62.289, -166.167
562.001, 62.317, -166.114
570.175, 62.332, -165.860
578.469, 62.373, -165.872
586.883, 62.375, -165.921
595.419, 62.404, -165.900
604.080, 62.403, -165.925
612.866, 62.395, -165.508
621.780, 62.409, -165.512
630.824, 62.432, -165.639
640.000, 62.450, -165.461
649.309, 62.429, -165.670
658.753, 62.405, -165.699
668.335, 62.383, -165.563
678.056, 62.334, -165.147
687.919, 62.358, -165.043
697.925, 62.307, -165.273
708.076, 62.248, -165.101
718.376, 62.164, -165.291
728.825, 62.086, -165.175
739.426, 61.884, -164.728
750.181, 61.745, -163.667
761.093, 61.639, -162.031
772.163, 61.579, -160.327
783.394, 61.604, -158.631
794.789, 61.712, -156.874
806.349, 61.884, -155.553
818.078, 62.033, -154.414
829.977, 62.227, -153.188
842.050, 62.449, -152.594
854.297, 62.669, -152.371
866.724, 62.875, -152.475
879.330, 63.014, -152.913
892.120, 63.127, -152.916
905.097, 63.227, -153.218
918.262, 63.294, -153.194
931.618, 63.361, -153.191
945.169, 63.434, -152.966
958.917, 63.593, -153.056
972.864, 63.695, -153.068
987.015, 63.783, -153.448
1001.371, 63.880, -154.002
1015.937, 63.922, -154.331
1030.714, 63.941, -155.070
1045.706, 63.907, -155.537
1060.916, 63.946, -155.179
1076.347, 63.926, -155.584
1092.003, 63.899, -155.709
1107.887, 63.814, -155.096
1124.001, 63.847, -154.319
1140.350, 63.894, -154.486
1156.937, 63.901, -153.861
1173.765, 63.955, -153.467
1190.838, 64.122, -153.921
1208.159, 64.107, -153.942
1225.732, 64.117, -153.487
1243.561, 64.212, -154.030
1261.649, 64.134, -153.543
1280.000, 64.070, -153.198
1298.618, 64.148, -153.492
1317.507, 64.198, -151.906
1336.670, 64.354, -151.315
1356.113, 64.464, -151.691
1375.838, 64.538, -151.363
1395.850, 64.634, -151.073
1416.153, 64.690, -151.299
1436.751, 64.819, -151.236
1457.649, 64.886, -152.123
1478.851, 64.860, -152.497
1500.362, 64.856, -152.704
1522.185, 64.750, -153.109
1544.326, 64.695, -152.502
1566.789, 64.656, -151.623
1589.578, 64.800, -150.804
1612.699, 64.838, -150.491
1636.156, 64.896, -149.764
1659.955, 64.907, -148.929
1684.099, 64.946, -149.226
1708.595, 64.913, -148.507
1733.447, 65.042, -148.111
1758.661, 65.119, -147.657
1784.241, 65.285, -147.456
1810.193, 65.358, -146.578
1836.523, 65.491, -146.581
1863.236, 65.592, -147.774
1890.338, 65.474, -146.327
1917.833, 65.514, -145.370
1945.729, 65.681, -145.442
1974.030, 65.513, -145.197
2002.743, 65.641, -143.921
2031.873, 65.707, -142.942
2061.428, 65.833, -141.626
