* Measurement data measured by REW V5.18
* Source: ASIO MOTU M Series, In 1
* Format:   1M Log Swept Sine, 2 sweeps at -10.0 dBFS  With no timing reference
* Dated: 1 Sep, 2020 5:23:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 1 17:23:03
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 53.752, -43.728
10.293, 53.935, -46.367
10.443, 54.026, -48.806
10.595, 54.071, -51.089
10.749, 54.070, -53.086
10.905, 54.027, -54.808
11.064, 53.974, -56.092
11.225, 53.903, -56.923
11.388, 53.863, -57.364
11.554, 53.861, -57.328
11.722, 53.916, -57.089
11.892, 54.054, -56.745
12.065, 54.255, -56.454
12.241, 54.515, -56.507
12.419, 54.816, -56.873
12.599, 55.119, -57.698
12.782, 55.419, -58.915
12.968, 55.679, -60.438
13.157, 55.900, -62.214
13.348, 56.069, -64.068
13.543, 56.189, -65.953
13.740, 56.265, -67.726
13.939, 56.306, -69.354
14.142, 56.320, -70.767
14.348, 56.322, -71.972
14.557, 56.319, -72.955
14.768, 56.319, -73.757
14.983, 56.327, -74.380
15.201, 56.348, -74.853
15.422, 56.387, -75.188
15.646, 56.449, -75.390
15.874, 56.545, -75.527
16.105, 56.678, -75.648
16.339, 56.854, -75.873
16.577, 57.058, -76.312
16.818, 57.284, -77.028
17.063, 57.503, -78.070
17.311, 57.698, -79.354
17.563, 57.856, -80.810
17.818, 57.968, -82.257
18.077, 58.048, -83.557
18.340, 58.109, -84.634
18.607, 58.175, -85.443
18.877, 58.272, -86.107
19.152, 58.400, -86.769
19.431, 58.553, -87.566
19.713, 58.709, -88.603
20.000, 58.836, -89.819
20.291, 58.922, -91.058
20.586, 58.966, -92.141
20.885, 58.987, -92.895
21.189, 59.022, -93.246
21.497, 59.110, -93.343
21.810, 59.264, -93.466
22.127, 59.469, -93.893
22.449, 59.686, -94.790
22.776, 59.867, -96.133
23.107, 59.976, -97.705
23.443, 60.005, -99.186
23.784, 59.980, -100.279
24.130, 59.949, -100.855
24.481, 59.966, -101.052
24.837, 60.055, -101.219
25.198, 60.194, -101.706
25.565, 60.332, -102.648
25.937, 60.418, -103.887
26.314, 60.439, -105.086
26.697, 60.422, -105.943
27.085, 60.420, -106.396
27.479, 60.474, -106.689
27.879, 60.576, -107.166
28.284, 60.677, -107.968
28.696, 60.735, -108.892
29.113, 60.753, -109.553
29.537, 60.788, -109.747
29.966, 60.905, -109.722
30.402, 61.109, -110.033
30.844, 61.328, -111.033
31.293, 61.476, -112.567
31.748, 61.519, -114.101
32.210, 61.501, -115.174
32.678, 61.494, -115.782
33.154, 61.527, -116.291
33.636, 61.562, -116.952
34.125, 61.561, -117.528
34.621, 61.563, -117.663
35.125, 61.658, -117.564
35.636, 61.855, -118.035
36.154, 62.032, -119.508
36.680, 62.063, -121.399
37.214, 61.965, -122.705
37.755, 61.887, -123.022
38.304, 61.939, -122.987
38.861, 62.081, -123.397
39.427, 62.226, -124.379
40.000, 62.318, -125.760
40.582, 62.296, -127.255
41.172, 62.143, -127.921
41.771, 62.048, -126.992
42.379, 62.260, -125.789
42.995, 62.597, -126.644
43.620, 62.667, -128.913
44.255, 62.454, -129.807
44.898, 62.417, -128.639
45.552, 62.719, -128.329
46.214, 62.984, -130.257
46.886, 62.979, -132.526
47.568, 62.912, -133.547
48.260, 63.012, -134.503
48.962, 63.076, -137.012
49.674, 62.762, -139.644
50.397, 62.250, -139.076
51.130, 62.212, -136.169
51.874, 62.541, -135.807
52.628, 62.609, -137.389
53.394, 62.508, -138.121
54.170, 62.448, -138.755
54.958, 62.303, -139.223
55.758, 62.265, -138.808
56.569, 62.347, -139.343
57.391, 62.267, -139.954
58.226, 62.249, -139.233
59.073, 62.377, -138.779
59.932, 62.480, -138.652
60.804, 62.542, -138.719
61.688, 62.483, -138.507
62.586, 62.506, -137.620
63.496, 62.590, -138.267
64.420, 62.335, -139.547
65.357, 61.951, -138.095
66.307, 62.076, -135.055
67.272, 62.570, -134.849
68.250, 62.820, -136.744
69.243, 62.830, -137.649
70.250, 62.897, -137.393
71.272, 63.010, -137.277
72.309, 63.070, -137.124
73.360, 63.141, -136.866
74.427, 63.237, -136.717
75.510, 63.414, -136.984
76.608, 63.528, -138.104
77.723, 63.544, -138.230
78.853, 63.774, -138.001
80.000, 63.894, -139.109
81.164, 63.862, -138.880
82.344, 64.003, -139.100
83.542, 63.923, -139.991
84.757, 64.001, -139.816
85.990, 64.058, -141.567
87.241, 64.089, -141.750
88.510, 64.150, -143.119
89.797, 64.257, -142.990
91.103, 64.064, -144.872
92.428, 64.108, -141.734
93.773, 64.439, -143.467
95.137, 64.562, -144.684
96.520, 64.529, -145.217
97.924, 64.777, -145.646
99.349, 64.894, -144.787
100.794, 65.018, -146.742
102.260, 64.863, -145.869
103.747, 64.789, -146.923
105.256, 64.732, -147.098
106.787, 64.680, -148.461
108.340, 64.648, -148.297
109.916, 64.811, -149.110
111.515, 64.809, -149.160
113.137, 64.849, -150.258
114.783, 64.813, -150.089
116.452, 65.003, -150.372
118.146, 64.845, -151.982
119.865, 65.008, -151.080
121.608, 64.981, -151.986
123.377, 64.943, -150.780
125.171, 65.162, -152.540
126.992, 64.968, -152.511
128.839, 64.989, -152.622
130.713, 65.132, -153.332
132.615, 65.072, -153.189
134.543, 65.124, -153.294
136.500, 65.216, -153.895
138.486, 65.212, -153.332
140.500, 65.171, -154.046
142.544, 65.193, -154.914
144.617, 65.264, -154.784
146.721, 65.102, -155.038
148.855, 65.271, -155.879
151.020, 65.264, -155.434
153.217, 65.343, -155.779
155.445, 65.279, -156.003
157.706, 65.298, -156.987
160.000, 65.303, -157.058
162.327, 65.428, -157.489
164.688, 65.453, -157.525
167.084, 65.487, -157.586
169.514, 65.408, -157.546
171.980, 65.446, -157.931
174.481, 65.393, -158.476
177.019, 65.430, -158.627
179.594, 65.436, -158.885
182.206, 65.471, -158.756
184.856, 65.453, -156.849
187.545, 65.458, -159.047
190.273, 65.500, -159.283
193.041, 65.554, -160.386
195.849, 65.562, -160.293
198.697, 65.525, -160.320
201.587, 65.484, -160.702
204.520, 65.623, -160.669
207.494, 65.765, -159.336
210.512, 65.572, -161.439
213.574, 65.541, -161.567
216.681, 65.579, -161.305
219.833, 65.575, -161.553
223.030, 65.595, -161.620
226.274, 65.709, -161.818
229.565, 65.626, -162.308
232.905, 65.446, -161.790
236.292, 65.592, -162.258
239.729, 65.684, -162.699
243.216, 65.635, -162.986
246.754, 65.589, -163.659
250.343, 65.724, -163.843
253.984, 65.693, -163.391
257.678, 65.605, -163.377
261.426, 65.679, -163.848
265.229, 65.742, -164.015
269.087, 65.638, -164.175
273.001, 65.730, -164.195
276.972, 65.678, -164.467
281.000, 65.664, -164.475
285.088, 65.684, -164.153
289.234, 65.749, -165.145
293.441, 65.627, -165.898
297.710, 65.692, -164.481
302.040, 65.759, -165.281
306.433, 65.779, -165.389
310.890, 65.476, -165.919
315.412, 65.851, -166.036
320.000, 65.748, -165.409
324.655, 65.662, -165.655
329.377, 65.645, -165.058
334.168, 65.678, -166.062
339.028, 65.673, -166.202
343.959, 65.760, -166.681
348.962, 65.697, -166.199
354.038, 65.762, -166.557
359.188, 65.707, -165.963
364.412, 65.734, -166.102
369.713, 65.613, -165.855
375.090, 65.680, -166.851
380.546, 65.712, -166.524
386.081, 65.650, -166.916
391.697, 65.621, -166.633
397.395, 65.678, -166.519
403.175, 65.667, -166.583
409.039, 65.695, -166.555
414.989, 65.347, -168.359
421.025, 65.622, -166.590
427.149, 65.522, -166.510
433.362, 65.653, -166.342
439.665, 65.656, -166.122
446.060, 65.582, -166.293
452.548, 65.693, -166.559
459.131, 65.566, -166.277
465.809, 65.740, -167.012
472.584, 65.636, -165.901
479.458, 65.597, -166.727
486.432, 65.648, -166.429
493.507, 65.580, -166.015
500.686, 65.686, -165.630
507.968, 65.529, -165.721
515.357, 65.730, -165.962
522.853, 65.672, -165.910
530.458, 65.659, -165.840
538.174, 65.784, -164.884
546.002, 65.633, -166.025
553.943, 65.701, -165.456
562.001, 65.777, -165.176
570.175, 65.711, -165.026
