* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 2 Mar, 2021 4:36:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mar 2 16:36:52
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 65.590, 121.352
10.293, 65.631, 120.494
10.443, 65.676, 119.315
10.595, 65.763, 117.757
10.749, 65.865, 116.070
10.905, 65.969, 114.640
11.064, 66.075, 113.233
11.225, 66.174, 111.532
11.388, 66.266, 109.646
11.554, 66.336, 107.754
11.722, 66.386, 105.841
11.892, 66.416, 103.989
12.065, 66.427, 102.197
12.241, 66.429, 100.500
12.419, 66.425, 98.904
12.599, 66.426, 97.452
12.782, 66.433, 96.094
12.968, 66.455, 94.758
13.157, 66.487, 93.425
13.348, 66.529, 92.070
13.543, 66.572, 90.667
13.740, 66.614, 89.209
13.939, 66.648, 87.744
14.142, 66.674, 86.295
14.348, 66.692, 84.912
14.557, 66.712, 83.607
14.768, 66.736, 82.387
14.983, 66.773, 81.220
15.201, 66.824, 80.053
15.422, 66.889, 78.841
15.646, 66.957, 77.526
15.874, 67.021, 76.116
16.105, 67.071, 74.619
16.339, 67.098, 73.113
16.577, 67.104, 71.670
16.818, 67.092, 70.351
17.063, 67.075, 69.217
17.311, 67.066, 68.246
17.563, 67.074, 67.389
17.818, 67.105, 66.570
18.077, 67.157, 65.682
18.340, 67.217, 64.668
18.607, 67.272, 63.519
18.877, 67.312, 62.261
19.152, 67.328, 60.957
19.431, 67.318, 59.695
19.713, 67.289, 58.541
20.000, 67.249, 57.537
20.291, 67.208, 56.697
20.586, 67.178, 56.002
20.885, 67.168, 55.400
21.189, 67.182, 54.814
21.497, 67.219, 54.153
21.810, 67.269, 53.341
22.127, 67.319, 52.349
22.449, 67.353, 51.203
22.776, 67.361, 49.984
23.107, 67.342, 48.798
23.443, 67.306, 47.729
23.784, 67.267, 46.803
24.130, 67.238, 45.975
24.481, 67.220, 45.168
24.837, 67.208, 44.330
25.198, 67.194, 43.464
25.565, 67.174, 42.620
25.937, 67.154, 41.833
26.314, 67.144, 41.080
26.697, 67.144, 40.286
27.085, 67.145, 39.391
27.479, 67.129, 38.418
27.879, 67.088, 37.483
28.284, 67.033, 36.713
28.696, 66.985, 36.140
29.113, 66.964, 35.665
29.537, 66.969, 35.119
29.966, 66.981, 34.400
30.402, 66.976, 33.544
30.844, 66.944, 32.686
31.293, 66.895, 31.946
31.748, 66.845, 31.347
32.210, 66.806, 30.823
32.678, 66.776, 30.286
33.154, 66.746, 29.702
33.636, 66.706, 29.101
34.125, 66.655, 28.539
34.621, 66.599, 28.050
35.125, 66.543, 27.625
35.636, 66.488, 27.239
36.154, 66.428, 26.886
36.680, 66.362, 26.611
37.214, 66.291, 26.483
37.755, 66.228, 26.551
38.304, 66.187, 26.813
38.861, 66.186, 27.221
39.427, 66.239, 27.671
40.000, 66.357, 27.957
40.582, 66.525, 27.745
41.172, 66.676, 26.812
41.771, 66.726, 25.365
42.379, 66.641, 24.070
42.995, 66.488, 23.507
43.620, 66.362, 23.561
44.255, 66.268, 23.809
44.898, 66.159, 24.434
45.552, 66.109, 25.992
46.214, 66.292, 28.106
46.886, 66.750, 29.271
47.568, 67.298, 28.325
48.260, 67.695, 25.393
48.962, 67.796, 21.681
49.674, 67.635, 18.756
50.397, 67.414, 17.276
51.130, 67.283, 16.423
51.874, 67.188, 15.425
52.628, 67.068, 14.429
53.394, 66.934, 13.478
54.170, 66.748, 12.598
54.958, 66.518, 12.290
55.758, 66.330, 12.547
56.569, 66.193, 12.943
57.391, 66.070, 13.430
58.226, 65.932, 14.130
59.073, 65.779, 15.528
59.932, 65.715, 17.872
60.804, 65.834, 20.785
61.688, 66.227, 23.498
62.586, 66.828, 24.431
63.496, 67.369, 23.252
64.420, 67.761, 20.915
65.357, 67.993, 17.817
66.307, 68.030, 14.543
67.272, 67.926, 11.833
68.250, 67.785, 9.862
69.243, 67.653, 8.306
70.250, 67.517, 7.091
71.272, 67.392, 6.181
72.309, 67.271, 5.552
73.360, 67.185, 5.039
74.427, 67.078, 4.381
75.510, 66.946, 4.071
76.608, 66.866, 3.882
77.723, 66.796, 3.412
78.853, 66.685, 2.976
80.000, 66.584, 2.819
81.164, 66.506, 2.732
82.344, 66.460, 2.593
83.542, 66.395, 2.280
84.757, 66.333, 2.172
85.990, 66.288, 1.938
87.241, 66.223, 1.755
88.510, 66.160, 1.754
89.797, 66.120, 1.796
91.103, 66.070, 1.789
92.428, 66.030, 1.858
93.773, 65.999, 1.832
95.137, 65.978, 1.736
96.520, 65.964, 1.571
97.924, 65.954, 1.178
99.349, 65.879, 0.799
100.794, 65.813, 0.797
102.260, 65.771, 0.677
103.747, 65.734, 0.593
105.256, 65.709, 0.308
106.787, 65.663, 0.149
108.340, 65.616, 0.022
109.916, 65.563, 0.022
111.515, 65.515, 0.010
113.137, 65.472, -0.072
114.783, 65.428, -0.168
116.452, 65.389, -0.129
118.146, 65.355, -0.127
119.865, 65.304, -0.073
121.608, 65.256, -0.042
123.377, 65.221, -0.274
125.171, 65.160, -0.252
126.992, 65.154, -0.279
128.839, 65.130, -0.168
130.713, 65.099, -0.095
132.615, 65.055, 0.026
134.543, 65.018, 0.097
136.500, 64.991, 0.230
138.486, 64.965, 0.307
