* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 7, 2021 1:12:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: BL03 R
* Measurement: Oct 7
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.1	25.7239
20.299999	104.2	25.0477
20.600000	104.2	24.3834
20.900000	104.2	23.7321
21.200001	104.2	23.0955
21.400000	104.2	22.6796
21.799999	104.2	21.8680
22.000000	104.2	21.4717
22.400000	104.2	20.6964
22.700001	104.2	20.1281
23.000000	104.2	19.5696
23.299999	104.3	19.0205
23.600000	104.3	18.4805
24.000000	104.3	17.7745
24.299999	104.3	17.2551
24.700001	104.3	16.5757
25.000000	104.3	16.0757
25.400000	104.3	15.4219
25.799999	104.3	14.7826
26.200001	104.3	14.1576
26.500000	104.3	13.6978
26.900000	104.3	13.0956
27.200001	104.3	12.6516
27.600000	104.3	12.0692
28.000000	104.3	11.4973
28.500000	104.3	10.7970
29.000000	104.3	10.1123
29.500000	104.3	9.4438
30.000000	104.3	8.7932
30.400000	104.2	8.2871
30.700001	104.2	7.9164
31.100000	104.2	7.4335
31.500000	104.2	6.9610
32.000000	104.2	6.3795
32.500000	104.2	5.8013
33.000000	104.2	5.2233
33.500000	104.2	4.6468
34.000000	104.2	4.0759
34.500000	104.2	3.5137
35.000000	104.2	2.9613
35.500000	104.2	2.4198
36.000000	104.1	1.8901
36.500000	104.1	1.3725
37.000000	104.1	0.8647
37.500000	104.1	0.3652
38.200001	104.1	-0.3175
38.700001	104.0	-0.7885
39.500000	104.0	-1.5121
40.000000	104.0	-1.9530
40.599998	104.0	-2.4776
41.200001	104.0	-2.9974
41.799999	103.9	-3.5083
42.500000	103.9	-4.0900
43.099998	103.9	-4.5759
43.700001	103.8	-5.0491
44.400002	103.8	-5.5832
45.000000	103.8	-6.0264
45.500000	103.8	-6.3868
46.200001	103.7	-6.8802
46.799999	103.7	-7.2946
47.500000	103.7	-7.7705
48.200001	103.6	-8.2396
48.700001	103.6	-8.5701
49.400002	103.6	-9.0264
50.000000	103.5	-9.4131
50.799999	103.5	-9.9180
51.500000	103.5	-10.3341
52.200001	103.4	-10.7153
53.000000	103.4	-11.1187
53.799999	103.3	-11.5057
54.500000	103.3	-11.8289
55.200001	103.3	-12.1313
56.000000	103.2	-12.4620
57.000000	103.2	-12.8868
58.000000	103.2	-13.3422
59.000000	103.2	-13.8208
60.000000	103.1	-14.3119
60.799999	103.1	-14.7164
61.500000	103.1	-15.0817
62.200001	103.1	-15.4551
63.000000	103.0	-15.8871
64.000000	103.0	-16.4260
65.000000	102.9	-16.9510
66.000000	102.9	-17.4535
67.000000	102.8	-17.9355
68.000000	102.8	-18.4022
69.000000	102.7	-18.8527
70.000000	102.7	-19.2743
71.000000	102.6	-19.6654
72.000000	102.6	-20.0455
73.000000	102.5	-20.4250
74.000000	102.5	-20.7986
75.000000	102.4	-21.1646
76.199997	102.4	-21.5972
77.500000	102.3	-22.0609
78.800003	102.3	-22.5273
80.000000	102.2	-22.9687
81.199997	102.1	-23.4217
82.500000	102.1	-23.9153
83.800003	102.0	-24.3910
85.000000	101.9	-24.7910
86.199997	101.8	-25.1395
87.500000	101.7	-25.4642
88.500000	101.7	-25.6848
90.000000	101.6	-25.9749
91.199997	101.5	-26.1732
92.500000	101.4	-26.3529
93.800003	101.4	-26.4956
95.000000	101.3	-26.6062
96.199997	101.2	-26.7214
97.500000	101.2	-26.8793
98.800003	101.1	-27.0796
100.000000	101.1	-27.2975
101.500000	101.0	-27.5973
103.000000	101.0	-27.8872
104.400002	100.9	-28.1061
106.000000	100.8	-28.2798
107.500000	100.8	-28.4183
109.000000	100.7	-28.6005
110.599998	100.7	-28.8574
112.000000	100.6	-29.0920
113.800003	100.5	-29.3086
115.000000	100.5	-29.3525
117.199997	100.4	-29.1989
118.000000	100.3	-29.1034
120.599998	100.2	-29.1445
122.000000	100.2	-29.5466
124.099998	100.1	-30.3253
125.000000	100.1	-30.6185
126.500000	100.0	-31.0008
128.000000	100.0	-31.2601
131.500000	99.8	-31.6464
132.000000	99.8	-31.7003
134.000000	99.7	-31.9307
136.000000	99.6	-32.1616
138.000000	99.6	-32.3635
140.000000	99.5	-32.5288
143.000000	99.4	-32.7383
145.000000	99.3	-32.8862
147.500000	99.2	-33.0896
150.000000	99.0	-33.2740
152.500000	98.9	-33.4058
155.000000	98.8	-33.4689
157.500000	98.7	-33.4951
160.000000	98.6	-33.5417
162.500000	98.6	-33.6201
165.000000	98.5	-33.7093
167.500000	98.4	-33.7848
170.000000	98.3	-33.8240
172.500000	98.2	-33.8246
175.000000	98.1	-33.8063
177.500000	98.0	-33.7882
180.000000	97.9	-33.7777
