frequency,raw
20.00,13.29
20.20,13.32
20.40,13.35
20.61,13.38
20.81,13.41
21.02,13.43
21.23,13.43
21.44,13.43
21.66,13.45
21.87,13.53
22.09,13.55
22.31,13.55
22.54,13.55
22.76,13.56
22.99,13.58
23.22,13.58
23.45,13.55
23.69,13.55
23.92,13.55
24.16,13.55
24.40,13.55
24.65,13.55
24.89,13.58
25.14,13.58
25.39,13.60
25.65,13.61
25.91,13.61
26.16,13.61
26.43,13.61
26.69,13.63
26.96,13.67
27.23,13.67
27.50,13.67
27.77,13.67
28.05,13.68
28.33,13.73
28.62,13.69
28.90,13.67
29.19,13.70
29.48,13.71
29.78,13.68
30.08,13.72
30.38,13.73
30.68,13.73
30.99,13.75
31.30,13.79
31.61,13.78
31.93,13.74
32.24,13.75
32.57,13.79
32.89,13.79
33.22,13.79
33.55,13.79
33.89,13.79
34.23,13.82
34.57,13.82
34.92,13.79
35.27,13.79
35.62,13.79
35.97,13.77
36.33,13.74
36.70,13.73
37.06,13.73
37.43,13.72
37.81,13.67
38.19,13.69
38.57,13.73
38.95,13.73
39.34,13.73
39.74,13.71
40.14,13.67
40.54,13.67
40.94,13.67
41.35,13.67
41.76,13.64
42.18,13.60
42.60,13.55
43.03,13.50
43.46,13.49
43.90,13.49
44.33,13.47
44.78,13.40
45.23,13.37
45.68,13.33
46.13,13.31
46.60,13.31
47.06,13.30
47.53,13.28
48.01,13.28
48.49,13.29
48.97,13.26
49.46,13.23
49.96,13.20
50.46,13.19
50.96,13.14
51.47,13.11
51.99,13.04
52.51,13.00
53.03,13.00
53.56,13.00
54.10,13.00
54.64,12.95
55.18,12.94
55.74,12.94
56.29,12.91
56.86,12.88
57.42,12.84
58.00,12.79
58.58,12.74
59.16,12.73
59.76,12.71
60.35,12.63
60.96,12.58
61.57,12.58
62.18,12.58
62.80,12.56
63.43,12.51
64.07,12.43
64.71,12.37
65.35,12.34
66.01,12.35
66.67,12.39
67.33,12.40
68.01,12.39
68.69,12.32
69.37,12.27
70.07,12.22
70.77,12.15
71.48,12.10
72.19,12.09
72.91,12.06
73.64,12.03
74.38,11.99
75.12,11.92
75.87,11.87
76.63,11.85
77.40,11.85
78.17,11.84
78.95,11.76
79.74,11.72
80.54,11.67
81.35,11.61
82.16,11.54
82.98,11.49
83.81,11.48
84.65,11.48
85.50,11.43
86.35,11.38
87.22,11.31
88.09,11.28
88.97,11.20
89.86,11.13
90.76,11.03
91.66,10.98
92.58,10.95
93.51,10.93
94.44,10.85
95.39,10.79
96.34,10.75
97.30,10.74
98.28,10.67
99.26,10.61
100.25,10.57
101.25,10.55
102.27,10.51
103.29,10.51
104.32,10.48
105.37,10.45
106.42,10.42
107.48,10.39
108.56,10.34
109.64,10.26
110.74,10.19
111.85,10.11
112.97,10.06
114.10,9.97
115.24,9.91
116.39,9.86
117.55,9.89
118.73,9.83
119.92,9.77
121.12,9.70
122.33,9.65
123.55,9.60
124.79,9.58
126.03,9.49
127.29,9.43
128.57,9.38
129.85,9.31
131.15,9.25
132.46,9.17
133.79,9.11
135.12,9.05
136.48,9.00
137.84,8.99
139.22,8.96
140.61,8.91
142.02,8.84
143.44,8.81
144.87,8.73
146.32,8.65
147.78,8.60
149.26,8.58
150.75,8.57
152.26,8.53
153.78,8.48
155.32,8.42
156.88,8.38
158.44,8.35
160.03,8.32
161.63,8.29
163.24,8.22
164.88,8.14
166.53,8.06
168.19,7.95
169.87,7.81
171.57,7.65
173.29,7.56
175.02,7.48
176.77,7.38
178.54,7.26
180.32,7.18
182.13,7.17
183.95,7.10
185.79,7.03
187.65,6.94
189.52,6.90
191.42,6.86
193.33,6.86
195.27,6.81
197.22,6.72
199.19,6.60
201.18,6.53
203.19,6.50
205.23,6.47
207.28,6.44
209.35,6.40
211.44,6.33
213.56,6.21
215.69,6.14
217.85,6.07
220.03,6.00
222.23,5.93
224.45,5.89
226.70,5.85
228.96,5.83
231.25,5.78
233.57,5.77
235.90,5.73
238.26,5.65
240.64,5.59
243.05,5.53
245.48,5.44
247.93,5.40
250.41,5.36
252.92,5.32
255.45,5.26
258.00,5.19
260.58,5.16
263.19,5.15
265.82,5.07
268.48,4.99
271.16,4.89
273.87,4.84
276.61,4.81
279.38,4.79
282.17,4.72
284.99,4.65
287.84,4.57
290.72,4.48
293.63,4.38
296.57,4.28
299.53,4.18
302.53,4.09
305.55,4.00
308.61,3.91
311.69,3.88
314.81,3.88
317.96,3.88
321.14,3.82
324.35,3.73
327.59,3.63
330.87,3.57
334.18,3.53
337.52,3.52
340.90,3.48
344.30,3.42
347.75,3.35
351.23,3.29
354.74,3.24
358.28,3.14
361.87,3.04
365.49,2.98
369.14,2.98
372.83,3.00
376.56,2.97
380.33,2.87
384.13,2.77
387.97,2.70
391.85,2.67
395.77,2.65
399.73,2.63
403.72,2.59
407.76,2.53
411.84,2.47
415.96,2.39
420.12,2.36
424.32,2.32
428.56,2.27
432.85,2.19
437.18,2.13
441.55,2.12
445.96,2.07
