* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -43.4 dBFS, measurement signal peak level -15.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 26, 2021 4:08:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0.0538 ms (18 mm, 0.73 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.273972	32.3366
20.299999	96.247681	31.7676
20.600000	96.232674	31.3135
20.900000	96.233177	30.9092
21.200001	96.245621	30.4955
21.400000	96.256210	30.2092
21.799999	96.279495	29.6486
22.000000	96.292824	29.3940
22.400000	96.330833	28.9641
22.700001	96.378189	28.6742
23.000000	96.445107	28.3302
23.299999	96.523300	27.8534
23.600000	96.598694	27.2179
24.000000	96.670593	26.1755
24.299999	96.691010	25.3702
24.700001	96.677612	24.4631
25.000000	96.655037	24.0042
25.400000	96.640091	23.6805
25.799999	96.667923	23.4902
26.200001	96.733368	23.1675
26.500000	96.787315	22.7523
26.900000	96.838974	22.0069
27.200001	96.852600	21.4107
27.600000	96.842552	20.7208
28.000000	96.824890	20.2347
28.500000	96.828720	19.7926
29.000000	96.862053	19.2369
29.500000	96.886345	18.4582
30.000000	96.872742	17.6657
30.400000	96.846405	17.2040
30.700001	96.833061	16.9810
31.100000	96.839935	16.7539
31.500000	96.874657	16.4599
32.000000	96.929199	15.8438
32.500000	96.955711	15.0229
33.000000	96.939896	14.2712
33.500000	96.906624	13.7959
34.000000	96.895370	13.5702
34.500000	96.922592	13.3641
35.000000	96.969589	12.9789
35.500000	97.001884	12.4084
36.000000	97.003006	11.8245
36.500000	96.985886	11.3883
37.000000	96.977364	11.1019
37.500000	96.988983	10.8270
38.200001	97.015221	10.2655
38.700001	97.021065	9.7809
39.500000	97.011765	9.0571
40.000000	97.003403	8.6416
40.599998	96.990852	8.1761
41.200001	96.980988	7.7857
41.799999	96.985641	7.4265
42.500000	97.002579	6.9033
43.099998	97.003975	6.3778
43.700001	96.989357	5.9231
44.400002	96.973579	5.5640
45.000000	96.978989	5.3394
45.500000	96.999977	5.1155
46.200001	97.037933	4.6081
46.799999	97.046822	4.0073
47.500000	97.015320	3.4224
48.200001	96.990387	3.1399
48.700001	96.999962	2.9398
49.400002	97.016335	2.4028
50.000000	96.994873	1.8841
50.799999	96.952202	1.4866
51.500000	96.946915	1.1925
52.200001	96.940918	0.7485
53.000000	96.921402	0.2901
53.799999	96.919006	-0.2151
54.500000	96.898796	-0.7880
55.200001	96.860245	-1.2053
56.000000	96.844414	-1.5583
57.000000	96.831940	-2.1228
58.000000	96.834229	-2.5909
59.000000	96.820930	-3.2910
60.000000	96.778641	-3.5070
60.799999	96.809540	-3.7437
61.500000	96.805222	-4.2496
62.200001	96.765175	-4.5417
63.000000	96.756187	-4.7478
64.000000	96.733536	-5.3777
65.000000	96.671051	-5.7887
66.000000	96.637680	-6.1136
67.000000	96.618462	-6.4168
68.000000	96.617790	-6.8180
69.000000	96.611374	-7.1196
70.000000	96.657234	-7.5599
71.000000	96.621727	-8.4444
72.000000	96.543640	-8.4089
73.000000	96.615089	-8.6344
74.000000	96.557724	-9.4905
75.000000	96.514793	-9.3570
76.199997	96.509911	-9.9954
77.500000	96.500320	-9.8000
78.800003	96.430435	-10.8823
80.000000	96.386490	-9.7158
81.199997	96.534447	-10.7124
82.500000	96.457138	-11.3587
83.800003	96.431206	-12.5221
85.000000	96.313644	-12.9435
86.199997	96.289276	-13.2361
87.500000	96.295464	-13.5306
88.500000	96.307961	-14.0014
90.000000	96.276398	-14.4492
91.199997	96.258232	-14.8773
92.500000	96.208351	-15.0496
93.800003	96.208450	-15.6438
95.000000	96.108185	-15.9508
96.199997	96.115372	-16.0648
97.500000	96.073792	-16.5956
98.800003	96.046379	-16.8940
100.000000	96.015060	-17.2511
101.500000	95.951920	-17.6278
103.000000	95.959053	-17.8884
104.400002	95.895851	-18.5461
106.000000	95.847984	-18.8494
107.500000	95.811478	-19.1717
109.000000	95.767502	-19.5727
110.599998	95.698975	-20.0474
112.000000	95.672783	-20.0696
113.800003	95.623260	-20.7656
115.000000	95.581848	-20.8713
117.199997	95.531624	-21.5987
118.000000	95.490089	-21.5510
120.599998	95.386230	-22.1083
122.000000	95.400230	-22.3934
124.099998	95.315506	-22.6893
125.000000	95.300285	-22.8801
126.500000	95.280914	-23.1935
128.000000	95.214890	-23.5944
131.500000	95.092033	-24.1461
132.000000	95.079353	-24.2851
134.000000	95.002716	-24.7387
136.000000	94.924995	-25.1029
138.000000	94.876717	-25.1403
140.000000	94.863060	-25.0783
143.000000	94.745972	-25.5129
145.000000	94.702789	-25.6083
147.500000	94.610268	-25.7723
150.000000	94.540588	-26.0652
152.500000	94.494713	-26.2388
155.000000	94.441467	-26.3682
157.500000	94.367638	-26.5233
160.000000	94.383980	-26.8020
162.500000	94.347885	-26.7947
165.000000	94.325897	-27.1440
167.500000	94.284882	-27.5560
170.000000	94.255028	-27.8185
172.500000	94.178474	-28.2339
175.000000	94.107628	-28.6849
177.500000	94.069893	-28.8717
180.000000	94.004517	-29.3097
182.500000	93.939949	-29.5721
185.000000	93.881104	-29.8791
187.500000	93.820656	-30.1915
190.000000	93.774940	-30.3745
192.500000	93.707970	-30.6767
195.000000	93.600632	-30.8654
197.500000	93.559097	-31.1732
200.000000	93.498901	-31.2725
203.000000	93.425446	-31.4810
206.000000	93.354324	-31.6639
209.000000	93.281281	-31.8823
212.000000	93.202095	-31.9979
214.000000	93.169128	-32.0890
218.000000	93.076965	-32.1337
220.000000	93.021538	-32.2315
224.000000	92.974564	-32.4526
227.000000	92.935623	-32.6073
230.000000	92.869003	-32.8239
233.000000	92.797340	-33.0972
236.000000	92.748741	-33.1918
240.000000	92.651154	-33.3046
243.000000	92.580994	-33.5006
247.000000	92.498436	-33.7824
250.000000	92.434784	-33.7957
254.000000	92.342049	-33.8770
258.000000	92.278671	-34.0130
262.000000	92.179482	-34.1782
265.000000	92.135002	-34.0285
269.000000	92.054436	-34.1010
272.000000	91.997040	-34.1919
276.000000	91.921272	-34.4279
280.000000	91.868896	-34.2993
285.000000	91.809052	-34.1989
290.000000	91.695648	-34.4539
295.000000	91.630966	-34.6881
300.000000	91.584229	-34.6860
304.000000	91.475739	-34.7042
307.000000	91.448822	-34.9022
311.000000	91.376190	-35.0742
315.000000	91.299263	-34.9708
320.000000	91.216125	-35.0578
325.000000	91.136353	-35.1414
330.000000	91.049225	-35.1592
335.000000	90.987694	-35.2177
340.000000	90.908295	-35.1248
345.000000	90.822044	-35.1038
350.000000	90.752792	-35.1251
355.000000	90.681343	-35.0653
360.000000	90.594543	-35.0056
365.000000	90.542358	-35.0287
370.000000	90.467453	-35.0761
375.000000	90.412643	-34.8061
382.000000	90.320869	-34.9399
387.000000	90.251282	-34.9113
395.000000	90.150223	-34.7242
400.000000	90.083916	-34.6071
406.000000	90.006645	-34.5818
412.000000	89.938591	-34.5377
418.000000	89.879623	-34.3108
425.000000	89.789207	-34.2477
431.000000	89.742447	-34.0735
437.000000	89.669930	-34.2277
444.000000	89.594147	-34.0017
450.000000	89.528839	-33.9066
455.000000	89.472687	-33.7453
462.000000	89.392776	-33.5500
468.000000	89.346497	-33.5503
475.000000	89.278397	-33.3040
482.000000	89.220131	-33.2393
487.000000	89.178162	-33.0820
494.000000	89.124390	-32.8240
500.000000	89.065552	-32.5712
508.000000	88.991577	-32.3842
515.000000	88.947327	-32.4149
522.000000	88.897186	-32.0896
530.000000	88.843842	-31.8765
538.000000	88.789444	-31.8914
545.000000	88.732010	-31.4779
552.000000	88.675735	-31.4076
560.000000	88.641716	-31.0086
570.000000	88.577499	-30.8524
580.000000	88.521858	-30.5361
590.000000	88.479263	-30.2177
600.000000	88.443466	-30.0311
608.000000	88.406036	-29.8956
615.000000	88.384064	-29.9057
622.000000	88.369293	-29.8524
630.000000	88.335487	-29.7777
640.000000	88.283577	-29.9056
650.000000	88.169037	-29.9533
660.000000	88.060760	-29.9639
670.000000	87.912186	-29.7861
680.000000	87.775986	-29.3371
690.000000	87.658272	-28.3857
700.000000	87.565979	-27.7617
710.000000	87.522697	-26.8770
720.000000	87.529373	-26.0940
730.000000	87.523056	-25.3477
740.000000	87.534271	-24.7880
750.000000	87.507950	-24.2001
762.000000	87.511864	-23.6776
775.000000	87.520645	-23.1002
788.000000	87.537842	-22.5036
800.000000	87.522934	-21.8660
812.000000	87.531998	-21.3361
825.000000	87.537315	-20.7453
838.000000	87.555931	-20.0521
850.000000	87.594261	-19.7277
862.000000	87.592209	-19.0901
875.000000	87.637825	-18.3565
885.000000	87.661362	-17.9615
900.000000	87.712425	-17.3839
912.000000	87.754242	-16.8165
925.000000	87.803352	-16.2631
938.000000	87.859360	-15.7064
950.000000	87.936317	-15.3799
962.000000	88.000954	-14.7567
975.000000	88.079132	-14.4272
988.000000	88.159607	-13.9508
1000.000000	88.245605	-13.6151
1015.000000	88.369507	-13.0965
1030.000000	88.500626	-12.7096
1044.000000	88.619606	-12.5625
1060.000000	88.742264	-12.1787
1075.000000	88.887131	-12.1139
1090.000000	89.016296	-11.8365
1106.000000	89.171532	-11.8901
1120.000000	89.298576	-11.9090
1138.000000	89.470062	-11.9843
1150.000000	89.584213	-12.1282
1172.000000	89.791367	-12.3569
1180.000000	89.851357	-12.5747
1206.000000	90.071060	-13.1054
1220.000000	90.194817	-13.4375
1241.000000	90.368286	-14.0195
1250.000000	90.432198	-14.3010
1265.000000	90.536407	-14.7624
1280.000000	90.661064	-15.2610
1315.000000	90.884613	-16.3999
1320.000000	90.917160	-16.6170
1340.000000	91.038101	-17.3377
1360.000000	91.160362	-18.0540
1380.000000	91.266327	-18.8333
1400.000000	91.370766	-19.5566
1430.000000	91.532547	-20.7410
1450.000000	91.628426	-21.4898
1475.000000	91.748657	-22.4685
1500.000000	91.859276	-23.4511
1525.000000	91.973068	-24.4593
1550.000000	92.074326	-25.4648
1575.000000	92.178223	-26.4992
1600.000000	92.273857	-27.5271
1625.000000	92.369095	-28.5448
1650.000000	92.464745	-29.5579
1675.000000	92.554764	-30.5825
1700.000000	92.647537	-31.6644
1725.000000	92.726562	-32.7202
1750.000000	92.808990	-33.8156
1775.000000	92.890251	-34.8537
1800.000000	92.963943	-35.9571
1825.000000	93.041763	-37.0228
1850.000000	93.110718	-38.1045
1875.000000	93.186447	-39.1951
1900.000000	93.256020	-40.3113
1925.000000	93.322311	-41.3909
1950.000000	93.385109	-42.5337
1975.000000	93.445045	-43.6007
2000.000000	93.505844	-44.7202
2030.000000	93.570206	-46.0423
2060.000000	93.641762	-47.3540
2090.000000	93.708641	-48.6821
2120.000000	93.775261	-49.9552
2140.000000	93.818497	-50.8571
2180.000000	93.898407	-52.5545
2200.000000	93.935501	-53.4422
2240.000000	94.021912	-55.1487
2270.000000	94.078964	-56.3943
2300.000000	94.148544	-57.6015
2330.000000	94.221344	-58.8115
2360.000000	94.306862	-60.0317
2400.000000	94.431717	-61.7182
2430.000000	94.528320	-63.0939
2470.000000	94.664627	-65.0239
2500.000000	94.765099	-66.5334
2540.000000	94.894562	-68.5967
2580.000000	95.042130	-70.7291
2620.000000	95.131500	-72.9165
2650.000000	95.234268	-74.5158
2690.000000	95.380508	-76.8266
2720.000000	95.477783	-78.6918
2760.000000	95.613754	-81.3043
2800.000000	95.739777	-84.0417
2850.000000	95.890671	-87.6951
2900.000000	96.023193	-91.6248
2950.000000	96.125504	-95.8043
3000.000000	96.197533	-100.2918
3040.000000	96.219757	-104.0569
3070.000000	96.214020	-107.0172
3110.000000	96.161423	-111.0748
3150.000000	96.058769	-115.2561
3200.000000	95.846329	-120.4726
3250.000000	95.548180	-125.5818
3300.000000	95.167282	-130.4831
3350.000000	94.708481	-135.0462
3400.000000	94.198219	-139.1742
3450.000000	93.636810	-142.8651
3500.000000	93.045227	-146.1422
3550.000000	92.439934	-148.9693
3600.000000	91.806198	-151.3759
3650.000000	91.166756	-153.3517
3700.000000	90.521889	-154.9734
3750.000000	89.861588	-156.0753
3820.000000	88.961693	-156.9715
3870.000000	88.321480	-157.0672
3950.000000	87.346207	-156.3029
4000.000000	86.763634	-155.2013
4060.000000	86.128998	-153.2645
4120.000000	85.551514	-150.6112
4180.000000	85.062355	-147.3422
4250.000000	84.659744	-142.6781
4310.000000	84.517624	-138.1735
4370.000000	84.582726	-133.6661
4440.000000	84.823860	-129.3679
4500.000000	85.148178	-125.6693
4550.000000	85.546600	-122.9975
4620.000000	86.234070	-120.0226
4680.000000	86.946190	-118.5567
4750.000000	87.844025	-118.1599
4820.000000	88.775612	-119.2185
4870.000000	89.418976	-120.7812
4940.000000	90.256042	-124.1632
5000.000000	90.882980	-127.9446
5080.000000	91.548782	-134.0743
5150.000000	91.921661	-139.8910
5220.000000	92.131813	-145.7552
5300.000000	92.174667	-152.1764
5380.000000	92.076950	-158.0459
5450.000000	91.896156	-162.5278
5520.000000	91.680939	-166.4289
5600.000000	91.402138	-170.2574
5700.000000	91.048271	-174.2047
5800.000000	90.723602	-177.4484
5900.000000	90.438141	179.8716
6000.000000	90.201645	177.6271
6080.000000	90.052277	176.0650
6150.000000	89.952744	174.8898
6220.000000	89.870491	173.8399
6300.000000	89.821732	172.6589
6400.000000	89.790756	171.2816
6500.000000	89.824234	170.0330
6600.000000	89.908073	168.6898
6700.000000	90.034286	167.4382
6800.000000	90.203232	166.0697
6900.000000	90.419556	164.6543
7000.000000	90.682030	163.0541
7100.000000	90.995163	161.3051
7200.000000	91.365906	159.4149
7300.000000	91.790161	157.1831
7400.000000	92.251907	154.5331
7500.000000	92.758888	151.4968
7620.000000	93.429413	147.1158
7750.000000	94.195587	141.2374
7880.000000	94.977974	133.9176
8000.000000	95.649361	125.5942
8120.000000	96.189896	115.8026
8250.000000	96.513702	103.7184
8380.000000	96.470543	90.9953
8500.000000	96.098000	79.5951
8620.000000	95.480797	69.2536
8750.000000	94.666595	59.7092
8850.000000	93.964226	53.3778
9000.000000	92.932701	45.4097
9120.000000	92.155746	40.0812
9250.000000	91.384491	35.0817
9380.000000	90.685455	30.6426
9500.000000	90.121483	26.8742
9620.000000	89.605293	23.4654
9750.000000	89.132080	19.9609
9880.000000	88.747879	16.5803
10000.000000	88.461525	13.5043
10150.000000	88.210602	9.7690
10300.000000	88.084473	5.7074
10440.000000	88.072388	1.4240
10600.000000	88.113647	-4.0264
10750.000000	88.206497	-9.8243
10900.000000	88.330276	-16.1193
11060.000000	88.486519	-23.4448
11200.000000	88.596771	-30.5842
11380.000000	88.700882	-40.4474
11500.000000	88.716537	-47.5463
11720.000000	88.595032	-61.1348
11800.000000	88.457283	-66.0977
12060.000000	87.862740	-81.8519
12200.000000	87.435387	-89.6367
12410.000000	86.695580	-100.7033
12500.000000	86.383621	-104.7960
12650.000000	85.847038	-111.6483
12800.000000	85.333382	-117.9352
13150.000000	84.300446	-131.2767
13200.000000	84.168228	-133.1508
13400.000000	83.675545	-140.3695
13600.000000	83.222038	-147.6680
13800.000000	82.868240	-154.7569
14000.000000	82.532211	-161.9520
14300.000000	82.270554	-172.4147
14500.000000	82.238869	-179.5128
14750.000000	82.415314	170.5333
15000.000000	82.803253	159.4868
15250.000000	83.440514	147.4805
15500.000000	84.360611	133.6323
15750.000000	85.665016	118.0354
16000.000000	87.396576	99.7098
16250.000000	89.723335	77.8647
16500.000000	92.773003	50.3835
16750.000000	96.504532	12.5017
17000.000000	99.960045	-42.3818
17250.000000	100.978630	-109.3670
17500.000000	99.856430	-176.3705
17750.000000	96.489883	118.7144
18000.000000	91.475517	66.3782
18250.000000	86.517532	25.6754
18500.000000	82.052292	-9.6256
18750.000000	77.903969	-43.4666
19000.000000	73.693230	-77.1851
19250.000000	69.056297	-111.2583
19500.000000	63.081657	-140.4296
19750.000000	56.629299	-143.5394
