* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 8, 2021 3:21:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Feb 8
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.025436	2.4861
20.299999	93.016296	2.0531
20.600000	93.006767	1.6342
20.900000	92.997391	1.2280
21.200001	92.988564	0.8308
21.400000	92.982979	0.5680
21.799999	92.972069	0.0432
22.000000	92.966377	-0.2206
22.400000	92.953583	-0.7517
22.700001	92.942047	-1.1501
23.000000	92.928505	-1.5436
23.299999	92.913200	-1.9266
23.600000	92.896851	-2.2952
24.000000	92.875061	-2.7625
24.299999	92.860107	-3.0993
24.700001	92.842911	-3.5427
25.000000	92.831612	-3.8812
25.400000	92.816750	-4.3479
25.799999	92.799492	-4.8263
26.200001	92.778717	-5.2981
26.500000	92.761642	-5.6368
26.900000	92.738960	-6.0641
27.200001	92.723274	-6.3712
27.600000	92.704552	-6.7747
28.000000	92.686966	-7.1810
28.500000	92.663857	-7.6892
29.000000	92.638885	-8.1794
29.500000	92.614243	-8.6447
30.000000	92.591309	-9.0986
30.400000	92.573196	-9.4628
30.700001	92.558868	-9.7366
31.100000	92.538246	-10.0968
31.500000	92.516197	-10.4461
32.000000	92.487740	-10.8654
32.500000	92.459106	-11.2703
33.000000	92.430283	-11.6647
33.500000	92.401520	-12.0494
34.000000	92.373398	-12.4280
34.500000	92.345879	-12.8089
35.000000	92.317734	-13.1966
35.500000	92.287659	-13.5856
36.000000	92.255539	-13.9650
36.500000	92.222565	-14.3274
37.000000	92.190216	-14.6726
37.500000	92.159515	-15.0055
38.200001	92.119522	-15.4649
38.700001	92.092224	-15.7950
39.500000	92.048172	-16.3241
40.000000	92.020027	-16.6487
40.599998	91.986031	-17.0303
41.200001	91.951553	-17.4064
41.799999	91.915680	-17.7749
42.500000	91.872154	-18.1857
43.099998	91.834618	-18.5205
43.700001	91.797226	-18.8444
44.400002	91.753700	-19.2093
45.000000	91.717270	-19.5122
45.500000	91.687881	-19.7643
46.200001	91.647003	-20.1244
46.799999	91.610825	-20.4353
47.500000	91.567947	-20.7898
48.200001	91.525963	-21.1390
48.700001	91.496330	-21.3912
49.400002	91.453972	-21.7467
50.000000	91.416573	-22.0446
50.799999	91.366905	-22.4235
51.500000	91.325211	-22.7455
52.200001	91.284279	-23.0699
53.000000	91.235825	-23.4383
53.799999	91.185669	-23.7867
54.500000	91.141899	-24.0748
55.200001	91.097992	-24.3531
56.000000	91.047157	-24.6553
57.000000	90.984032	-25.0117
58.000000	90.920135	-25.3465
59.000000	90.860405	-25.6418
60.000000	90.809860	-25.9706
60.799999	90.766449	-26.2839
61.500000	90.722946	-26.5535
62.200001	90.677826	-26.7957
63.000000	90.628273	-27.0459
64.000000	90.571510	-27.3467
65.000000	90.517258	-27.6673
66.000000	90.459091	-27.9895
67.000000	90.399239	-28.2794
68.000000	90.340599	-28.5487
69.000000	90.283218	-28.8038
70.000000	90.227554	-29.0574
71.000000	90.171600	-29.3144
72.000000	90.115120	-29.5673
73.000000	90.057800	-29.8163
74.000000	89.999466	-30.0504
75.000000	89.942047	-30.2676
76.199997	89.874809	-30.5170
77.500000	89.804085	-30.7786
78.800003	89.734779	-31.0465
80.000000	89.669601	-31.2910
81.199997	89.605110	-31.5198
82.500000	89.537094	-31.7596
83.800003	89.470055	-31.9894
85.000000	89.408958	-32.1894
86.199997	89.348877	-32.3776
87.500000	89.284401	-32.5759
88.500000	89.234703	-32.7207
90.000000	89.161835	-32.9341
91.199997	89.102951	-33.1081
92.500000	89.038712	-33.2832
93.800003	88.975777	-33.4456
95.000000	88.919006	-33.5896
96.199997	88.862923	-33.7329
97.500000	88.801773	-33.8862
98.800003	88.740547	-34.0301
100.000000	88.685493	-34.1566
101.500000	88.618362	-34.3146
103.000000	88.552094	-34.4626
104.400002	88.491646	-34.5880
106.000000	88.422134	-34.7202
107.500000	88.356766	-34.8207
109.000000	88.294556	-34.9150
110.599998	88.229637	-35.0406
112.000000	88.170441	-35.1522
113.800003	88.095764	-35.2653
115.000000	88.048218	-35.3351
117.199997	87.961441	-35.4580
118.000000	87.930115	-35.4948
120.599998	87.833641	-35.6049
122.000000	87.781868	-35.6623
124.099998	87.705406	-35.7075
125.000000	87.674515	-35.7234
126.500000	87.623337	-35.7610
128.000000	87.570892	-35.8015
131.500000	87.454247	-35.8582
132.000000	87.438721	-35.8650
134.000000	87.377640	-35.8908
136.000000	87.317642	-35.9089
138.000000	87.260368	-35.9186
140.000000	87.206703	-35.9308
143.000000	87.130356	-35.9508
145.000000	87.081444	-35.9716
147.500000	87.024010	-36.0168
150.000000	86.970062	-36.0940
152.500000	86.912704	-36.1850
155.000000	86.849747	-36.2586
157.500000	86.787994	-36.3231
160.000000	86.729408	-36.3939
162.500000	86.670731	-36.4522
165.000000	86.611435	-36.4982
167.500000	86.553261	-36.5396
170.000000	86.497269	-36.5666
172.500000	86.442200	-36.5900
175.000000	86.388969	-36.6337
177.500000	86.342148	-36.7113
180.000000	86.294327	-36.7787
182.500000	86.242752	-36.7443
185.000000	86.193275	-36.6805
187.500000	86.144608	-36.6494
190.000000	86.098991	-36.6356
192.500000	86.055984	-36.6256
195.000000	86.013000	-36.6241
197.500000	85.970139	-36.6270
200.000000	85.929283	-36.6225
203.000000	85.883041	-36.6082
206.000000	85.837753	-36.6020
209.000000	85.793564	-36.6001
212.000000	85.751305	-36.5888
214.000000	85.723686	-36.5731
218.000000	85.669731	-36.5388
220.000000	85.643753	-36.5302
224.000000	85.593742	-36.5241
227.000000	85.557014	-36.5097
230.000000	85.521645	-36.4829
233.000000	85.487892	-36.4612
236.000000	85.455124	-36.4532
240.000000	85.413025	-36.4510
243.000000	85.383652	-36.4398
247.000000	85.346519	-36.4144
250.000000	85.319145	-36.3953
254.000000	85.284531	-36.3810
258.000000	85.251495	-36.3655
262.000000	85.219467	-36.3455
265.000000	85.197166	-36.3309
269.000000	85.168846	-36.3149
272.000000	85.147995	-36.3106
276.000000	85.121536	-36.3043
280.000000	85.096893	-36.2897
285.000000	85.067688	-36.2751
290.000000	85.040863	-36.2704
295.000000	85.019348	-36.2717
300.000000	84.998840	-36.2659
304.000000	84.979805	-36.2317
307.000000	84.967186	-36.2078
311.000000	84.953041	-36.1867
315.000000	84.940460	-36.1587
320.000000	84.926071	-36.1122
325.000000	84.911804	-36.0448
330.000000	84.901016	-35.8923
335.000000	84.918083	-35.6115
340.000000	84.987656	-35.4821
345.000000	85.058899	-35.8411
350.000000	85.069763	-36.3578
355.000000	85.047325	-36.6805
360.000000	85.026550	-36.8528
365.000000	85.015381	-36.9763
370.000000	85.009781	-37.0855
375.000000	85.007919	-37.1983
382.000000	85.010239	-37.3528
387.000000	85.015656	-37.4595
395.000000	85.030792	-37.6167
400.000000	85.043526	-37.7172
