* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -18.7 dBFS, measurement signal peak level -19.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: Oct 11, 2020 8:03:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0161 ms (-5.5 mm, -0.22 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: U12t Left M15
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.755638	24.4052
20.600000	95.773666	23.5771
20.900000	95.784920	22.7910
21.200001	95.796516	22.0517
21.400000	95.807434	21.5688
21.799999	95.836838	20.5890
22.000000	95.853699	20.0833
22.400000	95.886795	19.0477
22.700001	95.907715	18.2718
23.000000	95.924805	17.5167
23.299999	95.939072	16.7915
23.600000	95.951927	16.0947
24.000000	95.968224	15.1960
24.299999	95.980011	14.5362
24.700001	95.995743	13.6717
25.000000	96.008667	13.0325
25.400000	96.028954	12.1824
25.799999	96.051758	11.3140
26.200001	96.072090	10.4159
26.500000	96.081833	9.7318
26.900000	96.084755	8.8380
27.200001	96.080132	8.2030
27.600000	96.069695	7.4174
28.000000	96.060204	6.6868
28.500000	96.055145	5.7952
29.000000	96.056000	4.8723
29.500000	96.057274	3.9144
30.000000	96.055305	2.9607
30.400000	96.051399	2.2277
30.700001	96.047813	1.7027
31.100000	96.043167	1.0341
31.500000	96.039352	0.3886
32.000000	96.034950	-0.4162
32.500000	96.027420	-1.2422
33.000000	96.012886	-2.0811
33.500000	95.991791	-2.8996
34.000000	95.969749	-3.6750
34.500000	95.952400	-4.4208
35.000000	95.940216	-5.1708
35.500000	95.928665	-5.9400
36.000000	95.912941	-6.7084
36.500000	95.891998	-7.4427
37.000000	95.868355	-8.1282
37.500000	95.844696	-8.7786
38.200001	95.812355	-9.6865
38.700001	95.788193	-10.3607
39.500000	95.745392	-11.4731
40.000000	95.717369	-12.1553
40.599998	95.685951	-12.9310
41.200001	95.658524	-13.6702
41.799999	95.631828	-14.4059
42.500000	95.594635	-15.2768
43.099998	95.557373	-16.0139
43.700001	95.520172	-16.7281
44.400002	95.479805	-17.5361
45.000000	95.445656	-18.2026
45.500000	95.416496	-18.7344
46.200001	95.375107	-19.4590
46.799999	95.338341	-20.0877
47.500000	95.292336	-20.8291
48.200001	95.246231	-21.5474
48.700001	95.215897	-22.0457
49.400002	95.173561	-22.7436
50.000000	95.131271	-23.3304
50.799999	95.069542	-24.0519
51.500000	95.022652	-24.6663
52.200001	94.980186	-25.3308
53.000000	94.924164	-26.0780
53.799999	94.866974	-26.7141
54.500000	94.823380	-27.2593
55.200001	94.778221	-27.8768
56.000000	94.715973	-28.6235
57.000000	94.633469	-29.4224
58.000000	94.575867	-30.1287
59.000000	94.511261	-31.0449
60.000000	94.418472	-31.8114
60.799999	94.374954	-32.2888
61.500000	94.341522	-32.8228
62.200001	94.284760	-33.3529
63.000000	94.217720	-33.8241
64.000000	94.155113	-34.4672
65.000000	94.085686	-35.1412
66.000000	94.018311	-35.8106
67.000000	93.938332	-36.4729
68.000000	93.873970	-37.0265
69.000000	93.812401	-37.6641
70.000000	93.736992	-38.2432
71.000000	93.663803	-38.8441
72.000000	93.582077	-39.4078
73.000000	93.517403	-39.9292
74.000000	93.455856	-40.5239
75.000000	93.386024	-41.0912
76.199997	93.296829	-41.6826
77.500000	93.220718	-42.3530
78.800003	93.110840	-43.0373
80.000000	93.039337	-43.4325
81.199997	92.972198	-44.1393
82.500000	92.856171	-44.7251
83.800003	92.775185	-45.2323
85.000000	92.705330	-45.8023
86.199997	92.608864	-46.3496
87.500000	92.500160	-46.9403
88.500000	92.446297	-47.3493
90.000000	92.344193	-47.9768
91.199997	92.236565	-48.1685
92.500000	92.169044	-48.5806
93.800003	92.068176	-49.0540
95.000000	91.972214	-49.2635
96.199997	91.920364	-49.5121
97.500000	91.829582	-50.0453
98.800003	91.689705	-50.0998
100.000000	91.654243	-49.9913
101.500000	91.611298	-50.4273
103.000000	91.544914	-50.3860
104.400002	91.539696	-50.5336
106.000000	91.512718	-50.8456
107.500000	91.507614	-51.3604
109.000000	91.474213	-52.0765
110.599998	91.436676	-52.7817
112.000000	91.377480	-53.4533
113.800003	91.275299	-53.9945
115.000000	91.232635	-54.3458
117.199997	91.134323	-55.1887
118.000000	91.089363	-55.4921
120.599998	90.972916	-56.2538
122.000000	90.932770	-56.6752
124.099998	90.825035	-57.3430
125.000000	90.774467	-57.5186
126.500000	90.707260	-57.8278
128.000000	90.637177	-58.1845
131.500000	90.470947	-58.9516
132.000000	90.448608	-59.0708
134.000000	90.370987	-59.5846
136.000000	90.295326	-60.0665
138.000000	90.208923	-60.4919
140.000000	90.124756	-60.9836
143.000000	90.008781	-61.6491
145.000000	89.925499	-62.0069
147.500000	89.814735	-62.3795
150.000000	89.728760	-62.8690
152.500000	89.632729	-63.4429
155.000000	89.528358	-63.9048
157.500000	89.449219	-64.3130
160.000000	89.376282	-64.7751
162.500000	89.289772	-65.2530
165.000000	89.200661	-65.6945
167.500000	89.119659	-66.0307
170.000000	89.028748	-66.3679
172.500000	88.931465	-66.7581
175.000000	88.860474	-67.0972
177.500000	88.790962	-67.2659
180.000000	88.697266	-67.4807
182.500000	88.640884	-67.8803
185.000000	88.575172	-68.0653
187.500000	88.509087	-68.4700
190.000000	88.461975	-68.6947
192.500000	88.401237	-69.0324
195.000000	88.356430	-69.3205
197.500000	88.295914	-69.7074
200.000000	88.232620	-70.0025
203.000000	88.152573	-70.3671
206.000000	88.066940	-70.6432
209.000000	87.996918	-70.9051
212.000000	87.919144	-70.9964
214.000000	87.872566	-70.9767
218.000000	87.805893	-70.9036
220.000000	87.790733	-70.8025
224.000000	87.807785	-70.6178
227.000000	87.883423	-70.7588
230.000000	87.946671	-71.2981
233.000000	87.974907	-71.9954
236.000000	87.967903	-72.7524
240.000000	87.927689	-73.6671
243.000000	87.887520	-74.2894
247.000000	87.822273	-75.0863
250.000000	87.766914	-75.5534
254.000000	87.714859	-76.1646
258.000000	87.671349	-76.8036
262.000000	87.631302	-77.3913
265.000000	87.602043	-77.8063
269.000000	87.563416	-78.3348
272.000000	87.533524	-78.6984
276.000000	87.497513	-79.1506
280.000000	87.462044	-79.5888
285.000000	87.422157	-80.1784
290.000000	87.388329	-80.7631
295.000000	87.358574	-81.3827
300.000000	87.341324	-81.9288
304.000000	87.330338	-82.4631
307.000000	87.318054	-82.8562
311.000000	87.304947	-83.3595
315.000000	87.297066	-83.8282
