* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 2, 2021 8:57:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Apr 2
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	78.817787	55.6936
20.299999	78.908768	55.5620
20.600000	79.054268	55.3034
20.900000	79.229042	54.7245
21.200001	79.392761	53.7914
21.400000	79.478867	53.0633
21.799999	79.593712	51.5950
22.000000	79.629547	50.9653
22.400000	79.692940	50.0399
22.700001	79.762764	49.5449
23.000000	79.862007	49.0240
23.299999	79.971542	48.3331
23.600000	80.065887	47.4718
24.000000	80.136887	46.2439
24.299999	80.150185	45.5031
24.700001	80.155716	44.9608
25.000000	80.190239	44.8140
25.400000	80.300507	44.6091
25.799999	80.442566	43.9888
26.200001	80.537163	42.9812
26.500000	80.553497	42.2740
26.900000	80.534958	41.8115
27.200001	80.550301	41.8914
27.600000	80.681335	42.1739
28.000000	80.927444	41.8271
28.500000	81.212059	39.8691
29.000000	81.256744	37.1251
29.500000	81.067520	35.3173
30.000000	80.896942	35.2996
30.400000	80.931885	35.8156
30.700001	81.048897	35.8723
31.100000	81.219223	35.1990
31.500000	81.317169	34.0246
32.000000	81.328613	32.7961
32.500000	81.337708	32.2390
33.000000	81.417419	31.7608
33.500000	81.491913	30.9785
34.000000	81.509468	30.4575
34.500000	81.584045	30.6196
35.000000	81.828728	30.6022
35.500000	82.129913	29.1415
36.000000	82.245590	26.4171
36.500000	82.074333	23.9094
37.000000	81.758369	23.0957
37.500000	81.562592	23.9537
38.200001	81.662888	25.1060
38.700001	81.807098	24.7139
39.500000	81.878876	23.3810
40.000000	81.883583	22.7876
40.599998	81.913132	22.1713
41.200001	81.954903	21.4463
41.799999	81.992073	20.6710
42.500000	82.033470	19.8062
43.099998	82.082138	19.1215
43.700001	82.154465	18.3120
44.400002	82.213150	16.9509
45.000000	82.170868	15.7694
45.500000	82.095459	15.2636
46.200001	82.058891	15.2310
46.799999	82.124199	15.0550
47.500000	82.198631	14.2974
48.200001	82.232208	13.4475
48.700001	82.256180	12.8348
49.400002	82.271904	11.8174
50.000000	82.245522	11.0558
50.799999	82.232040	10.5258
51.500000	82.289413	10.0268
52.200001	82.347610	9.2294
53.000000	82.383629	8.3365
53.799999	82.422173	7.5040
54.500000	82.439804	6.7086
55.200001	82.429016	6.0220
56.000000	82.417480	5.4760
57.000000	82.436806	4.7686
58.000000	82.433449	3.8136
59.000000	82.400063	3.0262
60.000000	82.394463	2.3346
60.799999	82.401253	1.7246
61.500000	82.414589	1.1653
62.200001	82.431526	0.5486
63.000000	82.445778	-0.2013
64.000000	82.448784	-1.1504
65.000000	82.436203	-1.9219
66.000000	82.461288	-2.6263
67.000000	82.468704	-3.6793
68.000000	82.417282	-4.4471
69.000000	82.421265	-4.9459
70.000000	82.431427	-5.8297
71.000000	82.387482	-6.5421
72.000000	82.380569	-7.0461
73.000000	82.372910	-7.7240
74.000000	82.360962	-8.2979
75.000000	82.355392	-8.9545
76.199997	82.349426	-9.6229
77.500000	82.345604	-10.6367
78.800003	82.307320	-11.1116
80.000000	82.354340	-11.8873
81.199997	82.284363	-12.6445
82.500000	82.279831	-13.1426
83.800003	82.197433	-13.7427
85.000000	82.216148	-14.2556
86.199997	82.138054	-15.0553
87.500000	82.174538	-15.7466
88.500000	82.129906	-16.7422
90.000000	82.109299	-17.7294
91.199997	82.040298	-18.3213
92.500000	82.080269	-18.6819
93.800003	82.097054	-19.5603
95.000000	82.021500	-20.2839
96.199997	82.003052	-20.4771
97.500000	81.975647	-21.3519
98.800003	81.933319	-21.9859
100.000000	81.887138	-22.5447
101.500000	81.874962	-23.2279
103.000000	81.864853	-23.7672
104.400002	81.815994	-24.5547
106.000000	81.771492	-25.1708
107.500000	81.709442	-25.7203
109.000000	81.687599	-26.5250
110.599998	81.665688	-27.0416
112.000000	81.636971	-27.6459
113.800003	81.615074	-28.4161
115.000000	81.445831	-28.0035
117.199997	81.535843	-29.3932
118.000000	81.433945	-29.5670
120.599998	81.375473	-30.7151
122.000000	81.352768	-31.6632
124.099998	81.332550	-32.1604
125.000000	81.335815	-32.5429
126.500000	81.252441	-33.1113
128.000000	81.193451	-33.2864
131.500000	81.060410	-34.3755
132.000000	81.043045	-34.4791
134.000000	81.076279	-35.0309
136.000000	80.894150	-35.3545
138.000000	80.847321	-36.0291
140.000000	80.763969	-35.3677
143.000000	80.932320	-35.9719
145.000000	80.916222	-37.6426
147.500000	80.917274	-37.6340
150.000000	80.926506	-38.6069
152.500000	80.865005	-39.6902
155.000000	80.836914	-40.6187
157.500000	80.787193	-41.4728
160.000000	80.762375	-42.1628
162.500000	80.708710	-42.8797
165.000000	80.645905	-43.5421
167.500000	80.588692	-44.0951
170.000000	80.561836	-45.1063
172.500000	80.594604	-46.1552
175.000000	80.451340	-46.2643
177.500000	80.375031	-46.7957
180.000000	80.379517	-47.5194
182.500000	80.313232	-47.9518
185.000000	80.276665	-48.5154
187.500000	80.232231	-49.1625
190.000000	80.194000	-49.6660
192.500000	80.136688	-50.2589
195.000000	80.123589	-50.7733
197.500000	80.058968	-51.1382
200.000000	80.048721	-51.7982
203.000000	79.975082	-52.2972
206.000000	79.936913	-52.7428
209.000000	79.902924	-53.3496
212.000000	79.851418	-54.0676
214.000000	79.813171	-54.6762
218.000000	79.802635	-55.2788
220.000000	79.771751	-55.4432
224.000000	79.634613	-56.4714
227.000000	79.658928	-57.2022
230.000000	79.635422	-57.3095
233.000000	79.637321	-57.8356
236.000000	79.584366	-58.2705
240.000000	79.530258	-59.0526
243.000000	79.532104	-59.5317
247.000000	79.451324	-60.4430
250.000000	79.458786	-60.7260
254.000000	79.418945	-61.2648
258.000000	79.368774	-61.9502
262.000000	79.329437	-62.5599
265.000000	79.304276	-63.0054
269.000000	79.285172	-63.5719
272.000000	79.242897	-63.9136
276.000000	79.213120	-64.4238
280.000000	79.166008	-64.7495
285.000000	79.150696	-65.1288
290.000000	79.197922	-65.1001
295.000000	79.271057	-65.6772
300.000000	79.353790	-66.6601
304.000000	79.398804	-67.6364
307.000000	79.422890	-68.2732
311.000000	79.436073	-69.0919
315.000000	79.424118	-69.8676
320.000000	79.417175	-70.8496
325.000000	79.414383	-71.8391
330.000000	79.411087	-72.6210
335.000000	79.410278	-73.4105
340.000000	79.400818	-74.1476
345.000000	79.420914	-75.1042
350.000000	79.430031	-75.8539
355.000000	79.417725	-76.6721
360.000000	79.433441	-77.4583
365.000000	79.456245	-78.1242
370.000000	79.459610	-78.8928
375.000000	79.493721	-79.7495
382.000000	79.504524	-80.7542
387.000000	79.518707	-81.5536
395.000000	79.550911	-82.8146
400.000000	79.574051	-83.6922
406.000000	79.607437	-84.6069
412.000000	79.633339	-85.4254
418.000000	79.656578	-86.4911
425.000000	79.703285	-87.6311
431.000000	79.738419	-88.5865
437.000000	79.771004	-89.6641
444.000000	79.821709	-90.6595
450.000000	79.861298	-91.6606
455.000000	79.877350	-92.4614
462.000000	79.930260	-93.6927
468.000000	79.947182	-94.6368
475.000000	80.009499	-95.7782
482.000000	80.044556	-97.0196
487.000000	80.068077	-97.8706
494.000000	80.115982	-99.0659
500.000000	80.137665	-100.0271
508.000000	80.188179	-101.4258
515.000000	80.223267	-102.7394
522.000000	80.254349	-103.8076
530.000000	80.307007	-105.2670
538.000000	80.341194	-106.5955
545.000000	80.367859	-107.8542
552.000000	80.393349	-109.0271
560.000000	80.445992	-110.4468
570.000000	80.473816	-112.2074
580.000000	80.501511	-113.8983
590.000000	80.514954	-115.5382
600.000000	80.543709	-117.3445
608.000000	80.557396	-118.6091
615.000000	80.565811	-119.7749
622.000000	80.570885	-120.8951
630.000000	80.583969	-122.2383
640.000000	80.580482	-123.8058
650.000000	80.580429	-125.3228
660.000000	80.568214	-126.8670
670.000000	80.570389	-128.3332
680.000000	80.567894	-129.8401
690.000000	80.533997	-131.2281
700.000000	80.528748	-132.6475
710.000000	80.499588	-133.9324
720.000000	80.484192	-135.1643
730.000000	80.463661	-136.4895
740.000000	80.425293	-137.7001
750.000000	80.397324	-138.7868
762.000000	80.359222	-140.1445
775.000000	80.326859	-141.4965
788.000000	80.284843	-142.7599
800.000000	80.241180	-143.8455
812.000000	80.219910	-144.9144
825.000000	80.191238	-145.9575
838.000000	80.165016	-146.9531
850.000000	80.134712	-147.7202
862.000000	80.114952	-148.5108
875.000000	80.100868	-149.4126
885.000000	80.081512	-150.0540
900.000000	80.078766	-150.6145
912.000000	80.084473	-151.3262
925.000000	80.096962	-151.9064
938.000000	80.116989	-152.4629
950.000000	80.141220	-152.9691
962.000000	80.174088	-153.5076
975.000000	80.198372	-153.9668
988.000000	80.249237	-154.4237
1000.000000	80.301476	-154.8063
1015.000000	80.357315	-155.4336
1030.000000	80.445694	-155.9572
1044.000000	80.520210	-156.4331
1060.000000	80.613922	-157.0889
1075.000000	80.717239	-157.6554
1090.000000	80.824738	-158.2786
1106.000000	80.933586	-158.9551
1120.000000	81.040321	-159.5765
1138.000000	81.165604	-160.4420
1150.000000	81.248108	-161.0742
1172.000000	81.407242	-162.0997
1180.000000	81.458237	-162.5129
1206.000000	81.629364	-163.8781
1220.000000	81.728073	-164.6951
1241.000000	81.856468	-165.7947
1250.000000	81.919243	-166.2850
1265.000000	81.999939	-167.0466
1280.000000	82.075249	-167.8907
1315.000000	82.251266	-169.5962
1320.000000	82.272430	-169.8387
1340.000000	82.373634	-170.8065
1360.000000	82.456680	-171.7090
1380.000000	82.539169	-172.6714
1400.000000	82.624252	-173.4465
1430.000000	82.744400	-174.5920
1450.000000	82.834244	-175.3362
1475.000000	82.922592	-176.2767
1500.000000	83.020210	-176.9631
1525.000000	83.129723	-177.6987
1550.000000	83.242188	-178.4261
1575.000000	83.359818	-178.9803
1600.000000	83.473007	-179.5667
1625.000000	83.610764	179.9009
1650.000000	83.744339	179.3179
1675.000000	83.875572	178.8608
1700.000000	84.024612	178.3500
1725.000000	84.189545	177.8458
1750.000000	84.356636	177.3898
1775.000000	84.531898	176.8577
1800.000000	84.712234	176.2092
1825.000000	84.908691	175.6630
1850.000000	85.109245	174.9747
1875.000000	85.309929	174.2319
1900.000000	85.518646	173.3427
1925.000000	85.738319	172.4105
1950.000000	85.953613	171.4304
1975.000000	86.168663	170.2845
2000.000000	86.379166	168.9734
2030.000000	86.632050	167.2753
2060.000000	86.854660	165.3416
2090.000000	87.068230	163.2043
2120.000000	87.242386	160.9479
2140.000000	87.338730	159.2840
2180.000000	87.483337	155.8855
2200.000000	87.521484	154.0881
2240.000000	87.527756	150.5782
2270.000000	87.473503	147.9296
2300.000000	87.358162	145.4158
2330.000000	87.197121	143.0668
2360.000000	87.004730	141.0508
2400.000000	86.675171	138.6213
2430.000000	86.398193	137.2119
2470.000000	86.004974	135.7155
2500.000000	85.703804	135.0363
2540.000000	85.305313	134.5073
2580.000000	84.918663	134.4639
2620.000000	84.576233	134.8527
2650.000000	84.333633	135.2451
2690.000000	84.036224	136.0112
2720.000000	83.840904	136.7581
2760.000000	83.605598	137.7113
2800.000000	83.366364	138.8362
2850.000000	83.127518	140.3707
2900.000000	82.913269	142.0903
2950.000000	82.743591	143.9156
3000.000000	82.610947	145.9753
3040.000000	82.525665	147.5076
3070.000000	82.486343	148.8011
3110.000000	82.435837	150.6624
3150.000000	82.442932	152.3887
3200.000000	82.463318	154.6003
3250.000000	82.521523	156.8843
3300.000000	82.649391	159.0217
3350.000000	82.793312	161.0363
3400.000000	82.997490	163.0198
3450.000000	83.227692	164.9089
3500.000000	83.482735	166.5402
3550.000000	83.781296	167.8762
3600.000000	84.112076	168.9624
3650.000000	84.456131	169.6875
3700.000000	84.813004	170.0887
3750.000000	85.178871	170.1404
3820.000000	85.657074	169.4601
3870.000000	85.959305	168.6332
3950.000000	86.358566	166.7510
4000.000000	86.530052	165.3502
4060.000000	86.683174	163.6119
4120.000000	86.769638	161.9913
4180.000000	86.811813	160.5453
4250.000000	86.837280	159.1482
4310.000000	86.839653	158.1368
4370.000000	86.831062	157.1605
4440.000000	86.817764	156.2698
4500.000000	86.815201	155.5870
4550.000000	86.804115	155.0142
4620.000000	86.825539	154.3718
4680.000000	86.852081	153.7567
4750.000000	86.891602	152.9299
4820.000000	86.947716	152.0127
4870.000000	86.989510	151.2100
4940.000000	87.046875	149.8424
5000.000000	87.091034	148.3666
5080.000000	87.100517	145.9641
5150.000000	87.039810	143.5416
5220.000000	86.884888	140.8400
5300.000000	86.538246	137.9321
5380.000000	86.039093	135.6361
5450.000000	85.520790	134.7687
5520.000000	84.989967	134.8973
5600.000000	84.474930	136.0879
5700.000000	84.064156	138.5569
5800.000000	83.783356	141.1366
5900.000000	83.653687	143.2491
6000.000000	83.425316	145.3539
6080.000000	83.410385	148.0631
6150.000000	83.528877	149.7371
6220.000000	83.677849	151.1069
6300.000000	83.870895	152.0656
6400.000000	84.107002	152.6385
6500.000000	84.368965	152.5092
6600.000000	84.586235	151.6797
6700.000000	84.748154	149.9918
6800.000000	84.799042	147.6971
6900.000000	84.672737	145.1589
7000.000000	84.387863	142.8861
7100.000000	83.959160	141.2839
7200.000000	83.496826	140.2783
7300.000000	82.939018	140.1777
7400.000000	82.443565	140.9185
7500.000000	81.962410	142.2517
7620.000000	81.429573	144.3074
7750.000000	80.927879	147.2294
7880.000000	80.534996	150.3760
8000.000000	80.181862	153.3361
8120.000000	79.894493	156.6832
8250.000000	79.622803	160.6487
8380.000000	79.305702	164.9739
8500.000000	79.298447	170.4119
8620.000000	79.447479	174.7562
8750.000000	79.737045	179.0902
8850.000000	79.984863	-178.9324
9000.000000	80.600784	-175.8619
9120.000000	81.023277	-175.4786
9250.000000	81.269920	-176.7672
9380.000000	81.132202	-177.6882
9500.000000	80.895538	-177.6240
9620.000000	80.587799	-176.1141
9750.000000	80.363441	-172.9856
9880.000000	80.338074	-169.0426
10000.000000	80.551697	-165.3582
10150.000000	81.088394	-162.2912
10300.000000	81.834244	-161.3525
10440.000000	82.485161	-163.7487
10600.000000	82.801682	-170.1870
10750.000000	82.357506	-177.1296
10900.000000	81.284348	177.8141
11060.000000	79.770538	176.3805
11200.000000	78.496506	178.1105
11380.000000	76.983856	-176.3788
11500.000000	76.145874	-171.6069
11720.000000	74.926392	-160.6432
11800.000000	74.515778	-156.3608
12060.000000	73.814362	-143.1714
12200.000000	73.574883	-133.1882
12410.000000	73.753510	-121.0339
12500.000000	73.939964	-116.2482
12650.000000	74.460785	-108.1746
12800.000000	75.142120	-100.9110
