* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 18, 2021 2:40:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Apr 18
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.576477	31.3365
20.299999	96.625824	30.4490
20.600000	96.667107	29.5911
20.900000	96.703659	28.7857
21.200001	96.740829	28.0340
21.400000	96.768013	27.5466
21.799999	96.826599	26.5662
22.000000	96.855789	26.0582
22.400000	96.906204	25.0012
22.700001	96.932167	24.2063
23.000000	96.947708	23.4591
23.299999	96.958847	22.7902
23.600000	96.972878	22.1946
24.000000	97.005280	21.4572
24.299999	97.040337	20.8743
24.700001	97.091370	19.9852
25.000000	97.121742	19.2343
25.400000	97.140900	18.1903
25.799999	97.136703	17.2181
26.200001	97.123940	16.3984
26.500000	97.120010	15.8748
26.900000	97.130707	15.2321
27.200001	97.150314	14.7347
27.600000	97.185074	14.0026
28.000000	97.219681	13.1887
28.500000	97.253342	12.1061
29.000000	97.273560	11.0153
29.500000	97.280182	9.9666
30.000000	97.276482	9.0233
30.400000	97.273872	8.3757
30.700001	97.277649	7.9442
31.100000	97.294716	7.3895
31.500000	97.322754	6.7928
32.000000	97.357811	5.9325
32.500000	97.374977	5.0000
33.000000	97.372787	4.1235
33.500000	97.366180	3.3546
34.000000	97.367287	2.6278
34.500000	97.371895	1.8600
35.000000	97.369751	1.0535
35.500000	97.359299	0.2655
36.000000	97.347725	-0.4846
36.500000	97.338402	-1.2299
37.000000	97.327408	-1.9855
37.500000	97.312973	-2.7203
38.200001	97.297852	-3.6942
38.700001	97.293159	-4.4114
39.500000	97.271431	-5.6177
40.000000	97.246300	-6.2948
40.599998	97.223495	-6.9917
41.200001	97.216614	-7.6986
41.799999	97.207657	-8.4849
42.500000	97.181877	-9.3806
43.099998	97.161560	-10.0846
43.700001	97.145645	-10.8244
44.400002	97.115097	-11.7364
45.000000	97.078148	-12.4609
45.500000	97.049049	-13.0178
46.200001	97.011429	-13.7839
46.799999	96.977524	-14.4092
47.500000	96.946594	-15.0734
48.200001	96.930145	-15.7804
48.700001	96.916275	-16.3499
49.400002	96.882584	-17.1504
50.000000	96.848480	-17.7719
50.799999	96.807671	-18.5596
51.500000	96.770546	-19.2508
52.200001	96.731262	-19.9058
53.000000	96.691628	-20.6377
53.799999	96.648109	-21.3922
54.500000	96.606010	-21.9811
55.200001	96.578033	-22.5285
56.000000	96.550568	-23.2686
57.000000	96.490692	-24.0997
58.000000	96.471916	-24.8403
59.000000	96.427078	-25.9501
60.000000	96.335571	-26.6965
60.799999	96.296967	-27.2181
61.500000	96.256241	-27.7662
62.200001	96.213654	-28.2271
63.000000	96.184662	-28.8304
64.000000	96.113174	-29.7477
65.000000	96.036194	-30.3802
66.000000	95.982155	-31.1257
67.000000	95.907967	-31.8301
68.000000	95.847580	-32.5002
69.000000	95.776505	-33.1502
70.000000	95.724678	-33.7301
71.000000	95.666893	-34.4760
72.000000	95.581352	-35.0724
73.000000	95.523338	-35.4949
74.000000	95.473396	-36.1292
75.000000	95.380814	-36.5919
76.199997	95.341141	-36.9025
77.500000	95.286110	-37.6188
78.800003	95.269081	-38.3436
80.000000	95.180077	-39.3438
81.199997	95.109077	-39.7911
82.500000	95.073021	-40.5362
83.800003	95.025749	-41.4016
85.000000	94.951126	-42.1364
86.199997	94.889343	-42.7327
87.500000	94.815193	-43.4117
88.500000	94.763428	-43.8814
90.000000	94.673637	-44.6638
91.199997	94.608284	-45.1802
92.500000	94.528763	-45.7963
93.800003	94.462105	-46.3164
95.000000	94.390442	-46.8550
96.199997	94.329903	-47.4200
97.500000	94.223885	-48.0232
98.800003	94.162048	-48.4141
100.000000	94.106087	-48.9967
101.500000	94.030418	-49.6971
103.000000	93.940224	-50.2086
104.400002	93.885239	-50.8009
106.000000	93.781723	-51.1729
107.500000	93.725082	-51.9720
109.000000	93.639694	-52.1473
110.599998	93.559624	-53.3541
112.000000	93.462563	-53.2502
113.800003	93.416092	-54.2596
115.000000	93.341095	-54.6675
117.199997	93.132744	-55.5502
118.000000	93.076324	-55.3918
120.599998	93.029793	-55.9449
