* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 27, 2021 11:22:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: M20
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.504807	16.6647
20.299999	89.481476	16.1835
20.600000	89.488724	15.7432
20.900000	89.519806	15.2075
21.200001	89.554214	14.5239
21.400000	89.569672	14.0273
21.799999	89.582092	13.0486
22.000000	89.582268	12.6123
22.400000	89.585175	11.8806
22.700001	89.597824	11.4053
23.000000	89.619164	10.9315
23.299999	89.642822	10.4389
23.600000	89.664505	9.9385
24.000000	89.688210	9.2905
24.299999	89.704132	8.8311
24.700001	89.725311	8.2391
25.000000	89.740280	7.7948
25.400000	89.756149	7.2005
25.799999	89.767242	6.6232
26.200001	89.777756	6.0665
26.500000	89.787056	5.6448
26.900000	89.799744	5.0523
27.200001	89.806549	4.5843
27.600000	89.809425	3.9527
28.000000	89.809372	3.3455
28.500000	89.811775	2.6219
29.000000	89.820885	1.8865
29.500000	89.830124	1.1224
30.000000	89.836266	0.3703
30.400000	89.841721	-0.2064
30.700001	89.847145	-0.6312
31.100000	89.854622	-1.1972
31.500000	89.860092	-1.7565
32.000000	89.864059	-2.4223
32.500000	89.868759	-3.0510
33.000000	89.874420	-3.6783
33.500000	89.875549	-4.3141
34.000000	89.870392	-4.9248
34.500000	89.864899	-5.4977
35.000000	89.862778	-6.0725
35.500000	89.859131	-6.6831
36.000000	89.848274	-7.3018
36.500000	89.833191	-7.8813
37.000000	89.822052	-8.4216
37.500000	89.817520	-8.9653
38.200001	89.813393	-9.7705
38.700001	89.807426	-10.3476
39.500000	89.798729	-11.2263
40.000000	89.796074	-11.7704
40.599998	89.791328	-12.4363
41.200001	89.780869	-13.0882
41.799999	89.768173	-13.6978
