* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 2, 2021 8:35:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: MX
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.425323	71.2852
20.299999	85.518837	70.7505
20.600000	85.604477	70.2707
20.900000	85.687202	69.8735
21.200001	85.776131	69.5651
21.400000	85.844254	69.3811
21.799999	86.002739	68.9629
22.000000	86.089371	68.6754
22.400000	86.258385	67.8630
22.700001	86.360100	67.0775
23.000000	86.424698	66.2554
23.299999	86.453766	65.5497
23.600000	86.462074	65.0692
24.000000	86.477135	64.8404
24.299999	86.519539	64.8871
24.700001	86.632462	64.9946
25.000000	86.749420	64.9429
25.400000	86.921005	64.6020
25.799999	87.083511	64.0000
26.200001	87.225128	63.2331
26.500000	87.314705	62.5858
26.900000	87.405380	61.6675
27.200001	87.446396	61.0077
27.600000	87.467262	60.3216
28.000000	87.478165	60.0293
28.500000	87.553673	60.1575
29.000000	87.744324	60.2000
29.500000	87.985664	59.5366
30.000000	88.162788	58.2606
30.400000	88.230438	57.2326
30.700001	88.254288	56.6429
31.100000	88.287910	56.1230
31.500000	88.346619	55.7482
32.000000	88.446274	55.2014
32.500000	88.538498	54.5274
33.000000	88.614418	53.9005
33.500000	88.694809	53.3522
34.000000	88.781601	52.7458
34.500000	88.851173	52.0791
35.000000	88.900131	51.5364
35.500000	88.961281	51.1964
36.000000	89.057770	50.8515
36.500000	89.166176	50.2821
37.000000	89.245415	49.5646
37.500000	89.292046	48.9710
38.200001	89.372917	48.5097
38.700001	89.470482	48.1659
39.500000	89.618286	47.1703
40.000000	89.665359	46.5192
40.599998	89.703781	46.0313
41.200001	89.779633	45.7208
41.799999	89.883446	45.1686
42.500000	89.951164	44.1953
43.099998	89.949440	43.6248
43.700001	89.972778	43.4850
44.400002	90.085281	43.2342
45.000000	90.187859	42.5569
45.500000	90.235077	41.8963
46.200001	90.277946	41.1950
46.799999	90.336983	40.6774
47.500000	90.407318	39.9075
48.200001	90.447380	39.1665
48.700001	90.472298	38.7762
49.400002	90.525787	38.3388
50.000000	90.586945	37.9475
50.799999	90.672279	37.3044
51.500000	90.724686	36.6623
52.200001	90.754906	36.1567
53.000000	90.809341	35.7517
53.799999	90.882172	35.1845
54.500000	90.926353	34.6224
55.200001	90.971954	34.1322
56.000000	91.032249	33.4410
57.000000	91.060104	32.5610
58.000000	91.103836	32.0086
59.000000	91.163132	31.2835
60.000000	91.207504	30.7200
60.799999	91.271446	30.1905
61.500000	91.303848	29.5644
62.200001	91.311684	29.0893
63.000000	91.343628	28.6813
64.000000	91.386574	27.9651
65.000000	91.405472	27.4033
66.000000	91.454803	26.8633
67.000000	91.489700	26.2169
68.000000	91.522766	25.6743
69.000000	91.559753	25.1072
70.000000	91.594460	24.5195
71.000000	91.614632	23.9056
72.000000	91.636169	23.4473
73.000000	91.683388	22.8611
74.000000	91.696007	22.1522
75.000000	91.703964	21.6951
76.199997	91.739120	21.0447
77.500000	91.746635	20.4158
78.800003	91.774948	19.8313
80.000000	91.791290	19.3207
81.199997	91.828560	18.6880
82.500000	91.831390	17.9741
83.800003	91.849350	17.2906
85.000000	91.847450	16.7170
86.199997	91.861359	16.1333
87.500000	91.860168	15.6613
88.500000	91.893913	15.2269
90.000000	91.886429	14.4976
91.199997	91.904938	14.0962
92.500000	91.915665	13.5121
93.800003	91.921631	12.9601
95.000000	91.915451	12.4516
96.199997	91.912201	12.0173
97.500000	91.912575	11.5363
98.800003	91.921494	11.0480
100.000000	91.918480	10.5127
101.500000	91.909943	10.0332
103.000000	91.914383	9.4547
104.400002	91.902359	8.9469
106.000000	91.895836	8.4547
107.500000	91.896713	7.8777
109.000000	91.884972	7.3782
110.599998	91.867447	6.9080
112.000000	91.873077	6.4294
113.800003	91.842308	5.8640
115.000000	91.815178	5.4727
117.199997	91.822845	4.8784
118.000000	91.809669	4.5722
120.599998	91.762695	3.8567
122.000000	91.759460	3.4829
124.099998	91.744225	2.9883
125.000000	91.734100	2.6126
126.500000	91.693756	2.2727
128.000000	91.686188	1.8244
131.500000	91.619812	1.1710
132.000000	91.623871	1.0021
134.000000	91.548874	0.4158
136.000000	91.495354	-0.1260
138.000000	91.455238	-0.3231
140.000000	91.417496	-0.5679
143.000000	91.300293	-0.7043
145.000000	91.263687	-0.4260
147.500000	91.310020	-0.1866
150.000000	91.382286	-0.4535
152.500000	91.455032	-1.0156
155.000000	91.479561	-1.8100
157.500000	91.461983	-2.4651
160.000000	91.441284	-3.2082
162.500000	91.407867	-3.7917
165.000000	91.390480	-4.2202
167.500000	91.338989	-4.7638
170.000000	91.291458	-5.3689
172.500000	91.266396	-6.4505
175.000000	91.216637	-6.1729
177.500000	91.215027	-6.5530
180.000000	91.150902	-6.8305
182.500000	91.098206	-7.0939
185.000000	91.057274	-7.4335
187.500000	91.021576	-7.6908
190.000000	90.977318	-8.0303
192.500000	90.939629	-8.2970
195.000000	90.906662	-8.5988
197.500000	90.864487	-8.8519
200.000000	90.835457	-9.0253
203.000000	90.808014	-9.4243
206.000000	90.767105	-9.6625
209.000000	90.731651	-9.9658
212.000000	90.680992	-10.3355
