* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -52.8 dBFS, measurement signal peak level -20.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: Dec 12, 2020 3:15:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0734 ms (-25 mm, -0.99 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter R with no timing offset
* Measurement: Dec 12
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.420998	5.9619
20.600000	94.408722	5.5672
20.900000	94.394279	5.1503
21.200001	94.381660	4.6803
21.400000	94.374817	4.3471
21.799999	94.364014	3.6632
22.000000	94.358765	3.3320
22.400000	94.344131	2.7356
22.700001	94.325485	2.3835
23.000000	94.298309	2.1464
23.299999	94.265976	2.0319
23.600000	94.234970	2.0096
24.000000	94.206833	2.0082
24.299999	94.199188	1.8925
24.700001	94.198067	1.4278
25.000000	94.189407	0.8190
25.400000	94.148857	-0.2190
25.799999	94.072388	-1.2079
26.200001	93.986954	-1.8242
26.500000	93.944878	-1.9699
26.900000	93.944954	-1.8623
27.200001	93.987061	-1.7472
27.600000	94.070641	-1.7868
28.000000	94.134537	-2.1357
28.500000	94.135399	-2.8015
29.000000	94.064445	-3.3576
29.500000	93.985733	-3.6941
30.000000	93.942299	-3.9756
30.400000	93.926598	-4.2265
30.700001	93.917686	-4.3860
31.100000	93.909554	-4.4748
31.500000	93.915688	-4.4255
32.000000	93.952454	-4.3940
32.500000	93.994583	-4.7283
33.000000	93.992119	-5.4758
33.500000	93.933670	-6.3270
34.000000	93.863686	-6.9611
34.500000	93.833511	-7.3765
35.000000	93.834106	-7.7590
35.500000	93.823784	-8.1530
36.000000	93.774902	-8.4131
36.500000	93.709900	-8.4899
37.000000	93.667038	-8.5903
37.500000	93.655945	-8.9469
38.200001	93.666611	-9.7784
38.700001	93.680801	-10.2744
39.500000	93.694893	-10.5446
40.000000	93.669167	-10.4761
40.599998	93.591911	-10.3225
41.200001	93.501678	-10.3535
41.799999	93.438721	-10.8077
42.500000	93.408440	-11.6956
43.099998	93.410194	-12.2618
43.700001	93.422707	-12.4557
44.400002	93.407516	-12.4666
45.000000	93.346214	-12.5189
45.500000	93.285240	-12.6696
46.200001	93.233276	-13.1607
46.799999	93.212669	-13.8093
47.500000	93.165756	-14.3851
48.200001	93.107956	-14.4335
48.700001	93.093498	-14.3611
49.400002	93.110512	-14.6256
50.000000	93.118553	-15.1790
50.799999	93.093033	-15.7633
51.500000	93.050606	-15.9429
52.200001	92.982483	-16.1053
53.000000	92.885536	-16.4339
53.799999	92.838554	-16.8409
54.500000	92.844749	-17.1556
55.200001	92.849655	-17.2551
56.000000	92.833458	-17.2060
57.000000	92.778053	-17.6906
58.000000	92.670197	-18.6019
59.000000	92.606804	-18.9488
60.000000	92.581070	-19.2348
60.799999	92.497139	-19.3980
61.500000	92.434517	-19.2956
62.200001	92.417793	-19.3456
63.000000	92.387558	-19.7094
64.000000	92.326042	-20.0460
65.000000	92.277664	-20.4170
66.000000	92.215744	-20.6602
67.000000	92.180168	-21.0027
68.000000	92.099068	-21.3342
69.000000	92.068237	-21.2642
70.000000	92.051994	-21.7479
71.000000	91.936668	-22.1816
72.000000	91.880272	-22.1818
73.000000	91.864555	-22.5466
74.000000	91.784035	-22.7778
75.000000	91.728264	-22.7457
76.199997	91.654602	-23.0895
77.500000	91.572906	-23.3061
78.800003	91.507103	-23.7183
80.000000	91.403824	-23.8903
81.199997	91.358810	-23.9549
82.500000	91.322418	-24.3499
83.800003	91.258026	-24.4856
85.000000	91.175354	-24.6673
86.199997	91.105881	-24.8120
87.500000	91.033630	-25.1260
88.500000	90.977127	-25.1752
90.000000	90.875099	-25.4115
91.199997	90.794250	-25.4505
92.500000	90.757820	-25.7055
93.800003	90.698654	-25.8459
95.000000	90.628860	-25.9554
96.199997	90.555290	-26.0456
97.500000	90.460670	-26.2909
98.800003	90.417648	-26.1766
100.000000	90.348373	-26.3969
101.500000	90.260544	-26.3692
103.000000	90.187134	-26.5952
104.400002	90.119675	-26.6386
106.000000	90.029900	-26.7710
107.500000	89.932373	-26.7340
109.000000	89.854218	-26.7572
110.599998	89.769325	-26.7672
112.000000	89.697067	-26.8093
113.800003	89.599762	-26.8489
115.000000	89.541527	-26.8108
117.199997	89.424789	-26.8582
118.000000	89.379379	-26.8930
120.599998	89.272964	-26.8022
122.000000	89.157944	-26.7280
124.099998	89.077614	-26.6734
125.000000	89.032425	-26.6140
126.500000	88.944168	-26.6224
128.000000	88.880203	-26.4585
131.500000	88.688507	-26.3923
132.000000	88.671242	-26.3179
134.000000	88.577301	-26.2073
136.000000	88.494888	-26.0223
138.000000	88.390358	-25.8334
140.000000	88.307236	-25.6830
143.000000	88.174469	-25.3825
145.000000	88.092636	-25.1290
147.500000	87.979050	-24.8910
150.000000	87.863617	-24.5333
152.500000	87.769997	-24.2878
155.000000	87.651123	-23.8978
157.500000	87.569389	-23.6591
160.000000	87.456596	-23.2558
162.500000	87.375908	-22.8749
165.000000	87.263176	-22.5746
167.500000	87.207047	-22.1696
170.000000	87.099922	-21.8958
172.500000	87.018860	-21.1269
175.000000	86.932976	-20.7842
177.500000	86.861755	-20.3787
180.000000	86.787071	-19.9342
182.500000	86.698723	-19.4887
185.000000	86.633621	-19.0684
187.500000	86.544640	-18.6718
190.000000	86.481461	-18.2643
192.500000	86.450905	-17.8144
195.000000	86.332474	-17.3384
197.500000	86.315521	-16.7048
200.000000	86.225349	-16.2490
203.000000	86.155685	-15.6241
206.000000	86.093536	-15.0554
209.000000	86.013298	-14.4448
212.000000	85.964462	-13.8818
214.000000	85.925758	-13.3850
218.000000	85.817123	-12.6277
220.000000	85.780701	-12.1797
224.000000	85.681702	-11.1262
227.000000	85.629387	-10.4859
230.000000	85.564690	-9.3421
233.000000	85.539482	-8.2023
236.000000	85.521828	-7.0940
240.000000	85.580925	-5.7581
243.000000	85.720848	-4.8772
247.000000	85.822014	-4.7083
250.000000	85.852173	-4.5563
254.000000	85.859276	-4.3599
258.000000	85.841797	-4.0345
262.000000	85.807404	-3.6635
265.000000	85.803978	-3.3381
269.000000	85.782196	-2.7641
272.000000	85.764206	-2.4381
276.000000	85.756912	-1.8801
280.000000	85.740219	-1.3712
285.000000	85.731491	-0.7350
290.000000	85.725868	-0.0663
295.000000	85.715088	0.4954
300.000000	85.731934	1.0885
304.000000	85.731926	1.6151
307.000000	85.731789	1.9544
311.000000	85.727547	2.5035
315.000000	85.734238	2.9060
320.000000	85.743935	3.4875
325.000000	85.753418	4.0610
330.000000	85.760834	4.5380
335.000000	85.769714	5.0060
340.000000	85.786697	5.6128
345.000000	85.803719	6.0418
350.000000	85.819061	6.4888
355.000000	85.827194	7.0142
360.000000	85.831505	7.4042
365.000000	85.846825	7.8019
370.000000	85.867386	8.2760
375.000000	85.873932	8.6791
382.000000	85.902290	9.1599
387.000000	85.907669	9.5878
395.000000	85.924721	10.1974
400.000000	85.946861	10.5602
406.000000	85.955673	10.9821
412.000000	85.973045	11.4251
418.000000	85.985275	11.8472
425.000000	86.003494	12.2951
431.000000	86.008041	12.6632
437.000000	86.023376	13.0595
444.000000	86.042763	13.4458
450.000000	86.050949	13.8447
455.000000	86.059105	14.1185
462.000000	86.069839	14.4967
468.000000	86.078575	14.8721
475.000000	86.089539	15.3012
482.000000	86.092407	15.6824
487.000000	86.099060	15.9783
494.000000	86.106331	16.3669
500.000000	86.113113	16.7232
508.000000	86.120529	17.1915
515.000000	86.129379	17.5096
522.000000	86.129120	17.9481
530.000000	86.136253	18.3836
538.000000	86.145615	18.7858
545.000000	86.142838	19.1691
552.000000	86.143593	19.5399
560.000000	86.143883	19.9755
570.000000	86.150970	20.4815
580.000000	86.138466	21.0638
590.000000	86.143639	21.5929
600.000000	86.140167	22.0261
608.000000	86.133453	22.5730
615.000000	86.135612	22.9708
622.000000	86.128914	23.3799
630.000000	86.131531	23.8090
640.000000	86.125786	24.4549
650.000000	86.123322	25.0417
660.000000	86.115852	25.5831
670.000000	86.113617	26.1717
680.000000	86.101532	26.8155
690.000000	86.091690	27.4179
700.000000	86.099457	28.0483
710.000000	86.092583	28.7128
720.000000	86.080872	29.4120
730.000000	86.088943	30.0482
740.000000	86.083755	30.7410
750.000000	86.079948	31.4169
762.000000	86.079185	32.2762
775.000000	86.081825	33.1321
788.000000	86.089874	34.1233
800.000000	86.092804	35.0449
812.000000	86.108994	35.9438
825.000000	86.118736	36.9588
838.000000	86.141144	37.9721
850.000000	86.162979	38.9193
862.000000	86.192650	39.8808
875.000000	86.223618	40.9640
885.000000	86.258598	41.7872
900.000000	86.316536	43.0723
912.000000	86.361176	44.0057
925.000000	86.424545	45.0794
938.000000	86.490471	46.1619
950.000000	86.558685	47.0881
962.000000	86.628784	48.0094
975.000000	86.724396	48.9875
988.000000	86.813339	49.9872
1000.000000	86.910263	50.8585
1015.000000	87.033913	51.9204
1030.000000	87.153313	52.8614
1044.000000	87.277466	53.7521
1060.000000	87.429764	54.6723
1075.000000	87.574432	55.4174
1090.000000	87.709320	56.1312
1106.000000	87.867203	56.8060
1120.000000	87.998749	57.3444
1138.000000	88.164543	57.9820
1150.000000	88.274521	58.2970
1172.000000	88.468529	58.9055
1180.000000	88.535172	59.0533
1206.000000	88.746544	59.5757
1220.000000	88.857788	59.8068
1241.000000	89.004784	60.1094
1250.000000	89.064095	60.2124
1265.000000	89.161072	60.4180
1280.000000	89.259712	60.5271
1315.000000	89.455566	60.8552
1320.000000	89.477600	60.8812
1340.000000	89.570625	61.0447
1360.000000	89.659714	61.1728
1380.000000	89.738609	61.3607
1400.000000	89.810455	61.5093
1430.000000	89.903206	61.8253
1450.000000	89.952667	62.0820
1475.000000	90.021835	62.4022
1500.000000	90.080269	62.7882
1525.000000	90.133148	63.1909
1550.000000	90.176666	63.6210
1575.000000	90.224060	64.1074
1600.000000	90.272278	64.6430
1625.000000	90.329185	65.2202
1650.000000	90.379547	65.7826
1675.000000	90.435173	66.3772
1700.000000	90.490639	66.9697
1725.000000	90.543854	67.6184
1750.000000	90.605789	68.2881
1775.000000	90.664078	68.9651
1800.000000	90.732460	69.6293
1825.000000	90.794968	70.3097
1850.000000	90.864220	71.0073
1875.000000	90.946053	71.7073
1900.000000	91.016418	72.3659
1925.000000	91.103149	73.0294
1950.000000	91.179802	73.6836
1975.000000	91.271141	74.3703
2000.000000	91.357262	75.0117
2030.000000	91.468330	75.7636
2060.000000	91.583199	76.4966
2090.000000	91.703880	77.2068
2120.000000	91.822060	77.9199
2140.000000	91.907387	78.3570
2180.000000	92.075485	79.1857
2200.000000	92.164070	79.5667
2240.000000	92.338898	80.3026
2270.000000	92.477341	80.8362
2300.000000	92.615425	81.2955
2330.000000	92.752029	81.7606
2360.000000	92.894608	82.1180
2400.000000	93.081505	82.5565
2430.000000	93.219955	82.8283
2470.000000	93.403297	83.1416
2500.000000	93.536385	83.2791
2540.000000	93.716988	83.3912
2580.000000	93.893425	83.3866
2620.000000	94.051903	83.3540
2650.000000	94.171265	83.2351
2690.000000	94.320892	83.0558
2720.000000	94.422333	82.8595
2760.000000	94.554176	82.5535
2800.000000	94.667633	82.1635
2850.000000	94.790779	81.6029
2900.000000	94.884361	80.9868
2950.000000	94.957039	80.3549
3000.000000	94.999748	79.7156
3040.000000	95.021599	79.2469
3070.000000	95.027779	78.8615
3110.000000	95.024071	78.4394
3150.000000	95.012375	78.0157
3200.000000	94.979431	77.5216
3250.000000	94.933357	77.0892
3300.000000	94.870377	76.6924
3350.000000	94.786636	76.4041
3400.000000	94.692902	76.2052
3450.000000	94.592682	76.1602
3500.000000	94.491180	76.2152
3550.000000	94.388847	76.3313
3600.000000	94.292297	76.4758
3650.000000	94.189247	76.6966
3700.000000	94.084534	76.9854
3750.000000	93.979027	77.3428
3820.000000	93.831505	77.8714
3870.000000	93.728630	78.2845
3950.000000	93.559669	79.1181
4000.000000	93.456680	79.7091
4060.000000	93.329666	80.4674
4120.000000	93.209236	81.2865
4180.000000	93.087379	82.1653
4250.000000	92.965332	83.2946
4310.000000	92.866432	84.3013
4370.000000	92.783340	85.2828
4440.000000	92.678322	86.4225
4500.000000	92.601639	87.4860
4550.000000	92.535095	88.3070
