* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 22, 2021 10:36:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.154800	35.3196
20.299999	99.191513	34.6042
20.600000	99.224556	33.8947
20.900000	99.253929	33.2017
21.200001	99.280830	32.5333
21.400000	99.298302	32.1010
21.799999	99.332916	31.2598
22.000000	99.350060	30.8463
22.400000	99.382782	30.0259
22.700001	99.404579	29.4205
23.000000	99.423454	28.8347
23.299999	99.440765	28.2794
23.600000	99.458801	27.7559
24.000000	99.487709	27.0927
24.299999	99.514305	26.5957
24.700001	99.554031	25.8974
25.000000	99.582748	25.3334
25.400000	99.613144	24.5380
25.799999	99.630104	23.7380
26.200001	99.635109	22.9894
26.500000	99.635185	22.4828
26.900000	99.636818	21.8785
27.200001	99.642639	21.4580
27.600000	99.657486	20.9012
28.000000	99.676208	20.3104
28.500000	99.693878	19.5179
29.000000	99.697197	18.7391
29.500000	99.692703	18.0591
30.000000	99.696953	17.4702
30.400000	99.711220	16.9875
30.700001	99.724335	16.5803
31.100000	99.734894	15.9765
31.500000	99.730637	15.3600
32.000000	99.709213	14.6925
32.500000	99.692368	14.1726
33.000000	99.695007	13.6590
33.500000	99.701630	13.0080
34.000000	99.683670	12.2683
34.500000	99.636559	11.6460
35.000000	99.585388	11.2612
35.500000	99.557762	11.0322
36.000000	99.555565	10.7991
36.500000	99.565346	10.5071
37.000000	99.581734	10.1873
37.500000	99.609039	9.8272
38.200001	99.654144	9.1339
38.700001	99.669731	8.5283
39.500000	99.663391	7.6843
40.000000	99.664825	7.2638
40.599998	99.679657	6.7134
41.200001	99.685806	6.0474
41.799999	99.669266	5.3875
42.500000	99.637459	4.7660
43.099998	99.618019	4.3146
43.700001	99.605247	3.8423
44.400002	99.586082	3.2446
45.000000	99.562042	2.7477
45.500000	99.542168	2.3695
46.200001	99.521790	1.8456
46.799999	99.505470	1.3463
47.500000	99.474968	0.7536
48.200001	99.438606	0.2533
48.700001	99.418304	-0.0540
49.400002	99.399162	-0.4860
50.000000	99.384338	-0.8746
50.799999	99.363579	-1.3799
51.500000	99.348190	-1.8147
52.200001	99.332062	-2.2830
53.000000	99.300919	-2.8320
53.799999	99.260292	-3.2871
54.500000	99.233345	-3.6317
55.200001	99.210861	-4.0315
56.000000	99.173241	-4.5130
57.000000	99.125290	-5.0182
58.000000	99.082916	-5.5607
59.000000	99.034103	-6.0408
60.000000	99.001541	-6.5229
60.799999	98.967484	-6.9636
61.500000	98.933044	-7.2904
62.200001	98.904251	-7.5974
63.000000	98.869278	-7.9696
64.000000	98.821831	-8.3714
65.000000	98.782364	-8.7756
66.000000	98.735893	-9.1914
67.000000	98.692375	-9.5587
68.000000	98.652092	-9.9609
69.000000	98.605698	-10.3647
70.000000	98.557755	-10.7257
71.000000	98.514236	-11.0686
72.000000	98.469185	-11.4343
73.000000	98.418007	-11.7643
74.000000	98.372162	-12.0557
75.000000	98.327087	-12.3834
76.199997	98.268318	-12.7307
77.500000	98.214401	-13.1304
78.800003	98.150452	-13.5035
80.000000	98.099945	-13.8221
81.199997	98.041893	-14.1345
82.500000	97.981773	-14.4167
83.800003	97.921646	-14.7158
85.000000	97.860245	-14.9869
86.199997	97.801804	-15.2206
87.500000	97.742950	-15.5153
88.500000	97.692009	-15.7339
90.000000	97.626907	-15.9976
91.199997	97.567169	-16.2867
92.500000	97.496094	-16.4294
93.800003	97.440201	-16.6110
95.000000	97.388008	-16.7825
96.199997	97.329041	-16.9957
97.500000	97.276428	-17.1033
98.800003	97.220940	-17.3801
100.000000	97.151093	-17.4559
101.500000	97.097504	-17.4308
103.000000	97.028214	-17.7318
104.400002	96.953804	-17.5094
106.000000	96.922592	-17.7286
107.500000	96.875092	-17.7698
109.000000	96.842087	-17.9667
110.599998	96.790100	-18.1198
112.000000	96.749588	-18.2560
113.800003	96.682945	-18.4759
115.000000	96.627014	-18.5947
117.199997	96.547112	-18.7943
118.000000	96.515846	-18.8656
120.599998	96.413513	-19.0594
122.000000	96.353264	-19.0898
124.099998	96.264465	-19.1815
125.000000	96.224243	-19.1395
126.500000	96.169861	-19.1713
128.000000	96.113235	-19.1329
131.500000	96.004242	-19.0016
132.000000	95.988930	-18.9821
134.000000	95.938477	-18.8992
136.000000	95.897026	-18.9294
138.000000	95.849380	-18.9631
140.000000	95.799889	-19.0376
143.000000	95.723816	-19.0938
145.000000	95.671669	-19.1675
147.500000	95.610497	-19.2090
150.000000	95.538330	-19.2521
152.500000	95.465996	-19.3127
155.000000	95.395988	-19.4435
157.500000	95.315086	-19.4230
160.000000	95.227310	-19.4320
162.500000	95.154694	-19.3514
165.000000	95.072983	-19.2204
167.500000	94.989609	-18.8541
170.000000	94.937065	-18.4955
172.500000	94.905365	-18.1957
175.000000	94.900200	-18.0689
177.500000	94.890205	-18.0779
180.000000	94.869888	-18.2096
