* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 14, 2021 3:04:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.689598	-111.2214
20.299999	87.746506	-112.0534
20.600000	87.782822	-112.7677
20.900000	87.806465	-113.3114
21.200001	87.830643	-113.6505
21.400000	87.856613	-113.7755
21.799999	87.945328	-113.8895
22.000000	88.011154	-113.9527
22.400000	88.178902	-114.2662
22.700001	88.316193	-114.7492
23.000000	88.440094	-115.4396
23.299999	88.536942	-116.2373
23.600000	88.605293	-117.0276
24.000000	88.665176	-117.9136
24.299999	88.706085	-118.4087
24.700001	88.776855	-118.9160
25.000000	88.845413	-119.2824
25.400000	88.945969	-119.8455
25.799999	89.038147	-120.4714
26.200001	89.116829	-121.0461
26.500000	89.174988	-121.3967
26.900000	89.264420	-121.7825
27.200001	89.343742	-122.0767
27.600000	89.458344	-122.5574
28.000000	89.566116	-123.1497
28.500000	89.676178	-123.9258
29.000000	89.769043	-124.6039
29.500000	89.862946	-125.2026
30.000000	89.958534	-125.8195
30.400000	90.028671	-126.3355
30.700001	90.076408	-126.7146
31.100000	90.137428	-127.1956
31.500000	90.198936	-127.6696
32.000000	90.273300	-128.3013
32.500000	90.333946	-128.9585
33.000000	90.380867	-129.5356
33.500000	90.431709	-129.9845
34.000000	90.502068	-130.3995
34.500000	90.584953	-130.9082
35.000000	90.662201	-131.5145
35.500000	90.727135	-132.1167
36.000000	90.790451	-132.6524
36.500000	90.862297	-133.1647
37.000000	90.939125	-133.7258
37.500000	91.010460	-134.3375
38.200001	91.095917	-135.1812
38.700001	91.152946	-135.7514
39.500000	91.236732	-136.6699
40.000000	91.278290	-137.2207
40.599998	91.323639	-137.8006
41.200001	91.376312	-138.3504
41.799999	91.426437	-138.9748
42.500000	91.453323	-139.6968
43.099998	91.462090	-140.0673
43.700001	91.503311	-140.2405
44.400002	91.601715	-140.5943
45.000000	91.682693	-141.1765
45.500000	91.727859	-141.6959
46.200001	91.783722	-142.3068
46.799999	91.843964	-142.8640
47.500000	91.892982	-143.6705
48.200001	91.902710	-144.3150
48.700001	91.917915	-144.5732
49.400002	91.980980	-144.9495
50.000000	92.037689	-145.4915
50.799999	92.070885	-146.2079
51.500000	92.103592	-146.5988
52.200001	92.164146	-147.0367
53.000000	92.221199	-147.6923
53.799999	92.266296	-148.2541
54.500000	92.316978	-148.7831
55.200001	92.348312	-149.4173
56.000000	92.357346	-149.9674
57.000000	92.402168	-150.5190
58.000000	92.423775	-151.2836
59.000000	92.432816	-151.6454
60.000000	92.516159	-152.1582
60.799999	92.553078	-152.8895
61.500000	92.556404	-153.4061
