* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 4, 2021 6:15:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: OVERTONE
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.417694	3.8659
20.299999	103.435287	3.5067
20.600000	103.449860	3.1073
20.900000	103.458755	2.6847
21.200001	103.461235	2.2627
21.400000	103.460220	1.9931
21.799999	103.454803	1.4896
22.000000	103.452003	1.2558
22.400000	103.448845	0.8117
22.700001	103.448944	0.4847
23.000000	103.450203	0.1523
23.299999	103.451241	-0.1859
23.600000	103.451286	-0.5256
24.000000	103.449600	-0.9709
24.299999	103.447739	-1.2940
24.700001	103.445633	-1.7111
25.000000	103.444702	-2.0177
25.400000	103.444000	-2.4237
25.799999	103.443016	-2.8274
26.200001	103.441315	-3.2257
26.500000	103.439674	-3.5192
26.900000	103.437225	-3.9038
27.200001	103.435265	-4.1883
27.600000	103.432388	-4.5639
28.000000	103.429100	-4.9358
28.500000	103.424477	-5.3972
29.000000	103.418846	-5.8601
29.500000	103.410812	-6.3249
30.000000	103.399414	-6.7794
30.400000	103.388977	-7.1251
30.700001	103.381561	-7.3733
31.100000	103.373421	-7.6981
31.500000	103.366997	-8.0288
32.000000	103.358337	-8.4615
32.500000	103.345268	-8.8989
33.000000	103.328629	-9.3049
33.500000	103.314018	-9.6681
34.000000	103.305840	-10.0189
34.500000	103.301689	-10.3966
35.000000	103.295601	-10.8032
35.500000	103.285080	-11.2057
36.000000	103.273552	-11.5814
36.500000	103.264725	-11.9441
37.000000	103.257553	-12.3202
37.500000	103.248276	-12.7103
38.200001	103.230568	-13.2417
38.700001	103.217728	-13.6037
39.500000	103.197838	-14.1869
40.000000	103.183342	-14.5526
40.599998	103.164505	-14.9785
41.200001	103.145988	-15.3978
41.799999	103.126572	-15.8202
42.500000	103.101425	-16.3046
43.099998	103.079582	-16.7081
43.700001	103.057632	-17.1110
44.400002	103.030258	-17.5764
45.000000	103.006317	-17.9623
45.500000	102.987000	-18.2800
46.200001	102.959892	-18.7262
46.799999	102.935951	-19.1054
47.500000	102.907837	-19.5456
48.200001	102.877777	-19.9859
48.700001	102.854607	-20.2897
49.400002	102.822456	-20.6934
50.000000	102.796005	-21.0355
50.799999	102.758987	-21.4911
51.500000	102.725525	-21.8748
52.200001	102.692444	-22.2612
53.000000	102.650246	-22.7107
