* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 4, 2021 5:44:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: No switches
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.532928	1.1910
20.299999	103.535934	0.8341
20.600000	103.539673	0.4565
20.900000	103.541016	0.0626
21.200001	103.538330	-0.3304
21.400000	103.534912	-0.5822
21.799999	103.526649	-1.0574
22.000000	103.523018	-1.2829
22.400000	103.518295	-1.7245
22.700001	103.516243	-2.0605
23.000000	103.513817	-2.4057
23.299999	103.509842	-2.7545
23.600000	103.504120	-3.0995
24.000000	103.494583	-3.5436
24.299999	103.487152	-3.8623
24.700001	103.477997	-4.2712
25.000000	103.471924	-4.5692
25.400000	103.464806	-4.9564
25.799999	103.459137	-5.3312
26.200001	103.455894	-5.6959
26.500000	103.455505	-5.9690
26.900000	103.457336	-6.3432
27.200001	103.459366	-6.6377
27.600000	103.460793	-7.0507
28.000000	103.458481	-7.4772
28.500000	103.449318	-8.0037
29.000000	103.435753	-8.4996
29.500000	103.421532	-8.9658
30.000000	103.408195	-9.4204
30.400000	103.397392	-9.7840
30.700001	103.388741	-10.0564
31.100000	103.376442	-10.4167
31.500000	103.363579	-10.7731
32.000000	103.346840	-11.2152
32.500000	103.328957	-11.6519
33.000000	103.310471	-12.0767
33.500000	103.292923	-12.4921
34.000000	103.275833	-12.9114
34.500000	103.256004	-13.3308
35.000000	103.232895	-13.7188
35.500000	103.212669	-14.0558
36.000000	103.201569	-14.3812
36.500000	103.195900	-14.7584
37.000000	103.183533	-15.1893
37.500000	103.159332	-15.5969
38.200001	103.125336	-16.0273
38.700001	103.115662	-16.3071
39.500000	103.106415	-16.9128
40.000000	103.087486	-17.3307
40.599998	103.057732	-17.7617
41.200001	103.035706	-18.1550
41.799999	103.015976	-18.5987
42.500000	102.979462	-19.1264
