* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -14.5 dBFS, measurement signal peak level -14.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 28, 2021 12:39:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.1081 ms (-37 mm, -1.46 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.967590	-129.8496
20.299999	92.045647	-130.3332
20.600000	92.125175	-130.9224
20.900000	92.194138	-131.6136
21.200001	92.242668	-132.3480
21.400000	92.263191	-132.8104
21.799999	92.285385	-133.6002
22.000000	92.293961	-133.9085
22.400000	92.322571	-134.3743
22.700001	92.361290	-134.6709
23.000000	92.413132	-135.0093
23.299999	92.468140	-135.4290
23.600000	92.516541	-135.9168
24.000000	92.560478	-136.5925
24.299999	92.579384	-137.0303
24.700001	92.600685	-137.4497
25.000000	92.627914	-137.6619
25.400000	92.690018	-137.9247
25.799999	92.772400	-138.3261
26.200001	92.848267	-138.9179
26.500000	92.887573	-139.4152
26.900000	92.917313	-140.0071
27.200001	92.936653	-140.3364
27.600000	92.981949	-140.6740
28.000000	93.057648	-141.1120
28.500000	93.151741	-142.0728
29.000000	93.169685	-143.2996
29.500000	93.103882	-144.1924
30.000000	93.045776	-144.4263
30.400000	93.063576	-144.4320
30.700001	93.110199	-144.5817
31.100000	93.170807	-145.1022
31.500000	93.188171	-145.8112
32.000000	93.148979	-146.4465
32.500000	93.123421	-146.5728
33.000000	93.171707	-146.6553
33.500000	93.241539	-147.1560
34.000000	93.253548	-147.8355
34.500000	93.228859	-148.1287
35.000000	93.258133	-148.0395
35.500000	93.367104	-148.2086
36.000000	93.468262	-148.9907
36.500000	93.483635	-149.9865
37.000000	93.438560	-150.5830
37.500000	93.417908	-150.7118
38.200001	93.480415	-150.9194
38.700001	93.532562	-151.3583
39.500000	93.578857	-152.0934
40.000000	93.606293	-152.5568
40.599998	93.613647	-153.2133
41.200001	93.571800	-153.6401
41.799999	93.544914	-153.5974
42.500000	93.599838	-153.5201
43.099998	93.654236	-153.8681
43.700001	93.661674	-154.2745
44.400002	93.657478	-154.5215
45.000000	93.665161	-154.7429
45.500000	93.659523	-154.9342
46.200001	93.659363	-154.9888
46.799999	93.711937	-155.1006
47.500000	93.761772	-155.7837
48.200001	93.718437	-156.3867
48.700001	93.695549	-156.3929
49.400002	93.763268	-156.4819
50.000000	93.812988	-157.1905
50.799999	93.736328	-157.9529
51.500000	93.699295	-157.7259
52.200001	93.774033	-157.7167
53.000000	93.820404	-158.3171
53.799999	93.825760	-158.6618
54.500000	93.856865	-159.0353
55.200001	93.850502	-159.5155
56.000000	93.839813	-159.6931
57.000000	93.883125	-160.1351
58.000000	93.855515	-160.4925
59.000000	93.889565	-160.5106
60.000000	93.899651	-160.7693
60.799999	93.925270	-160.7090
61.500000	93.969917	-161.0029
62.200001	93.941231	-161.4412
63.000000	93.885994	-161.3252
64.000000	93.955780	-161.2552
65.000000	93.970703	-162.0799
66.000000	93.899513	-162.4031
67.000000	93.901886	-162.3663
68.000000	93.930359	-162.5515
69.000000	93.973312	-162.6302
70.000000	94.040482	-163.1635
71.000000	93.987389	-163.6021
72.000000	94.012970	-163.4396
73.000000	94.011932	-163.8996
74.000000	94.014130	-163.3727
75.000000	94.184532	-163.9465
76.199997	94.075798	-164.7405
77.500000	94.136917	-164.7223
78.800003	94.022888	-164.9504
80.000000	94.046516	-164.8457
81.199997	93.984055	-164.7020
82.500000	94.132172	-165.3413
83.800003	93.921837	-166.3758
85.000000	93.984962	-165.5868
86.199997	94.022079	-166.4819
87.500000	94.022911	-166.2851
88.500000	94.039696	-166.5905
90.000000	94.053955	-166.4930
91.199997	94.057808	-166.8718
92.500000	94.055023	-167.1397
93.800003	94.019547	-167.3048
95.000000	94.071167	-167.2690
96.199997	94.068619	-167.9147
97.500000	93.985695	-167.4542
98.800003	94.147964	-167.5944
100.000000	94.075905	-168.9074
101.500000	93.894699	-168.5750
103.000000	94.030960	-167.9102
104.400002	94.072006	-168.7667
106.000000	94.073898	-168.3734
107.500000	94.166122	-168.8289
109.000000	94.061157	-169.3520
110.599998	93.992599	-169.6367
112.000000	93.979919	-168.7166
113.800003	94.160004	-169.2042
115.000000	94.131897	-169.4015
117.199997	94.196167	-169.4829
118.000000	94.165672	-169.3576
120.599998	93.997147	-169.5832
122.000000	94.084610	-169.8708
124.099998	94.039536	-170.4085
125.000000	93.977646	-170.0513
126.500000	93.976540	-169.9862
128.000000	94.082825	-170.0052
131.500000	94.151596	-170.5088
132.000000	94.103691	-170.9604
134.000000	94.121620	-170.2436
136.000000	94.096161	-170.9621
138.000000	94.168854	-170.5594
140.000000	93.993835	-170.0869
143.000000	94.060913	-170.6104
145.000000	94.083733	-170.9601
147.500000	94.035660	-170.4842
150.000000	93.958916	-171.1245
152.500000	93.941681	-171.2664
155.000000	94.138367	-172.0361
157.500000	93.861374	-171.3401
160.000000	93.944916	-171.6993
162.500000	93.992195	-171.9293
165.000000	93.986992	-171.9614
167.500000	93.977806	-171.7573
170.000000	93.948540	-172.0693
172.500000	93.951141	-172.0081
175.000000	93.995888	-171.9808
177.500000	93.921356	-172.1235
180.000000	93.945358	-172.1618
182.500000	93.969727	-172.1566
185.000000	93.962860	-172.5896
187.500000	93.960602	-172.5578
190.000000	93.938324	-172.4336
192.500000	93.932549	-172.4258
195.000000	93.961945	-172.5065
197.500000	93.916321	-172.3988
200.000000	93.898384	-172.3795
203.000000	93.902306	-172.5571
206.000000	93.895920	-172.3979
209.000000	93.886032	-172.4872
212.000000	93.834518	-172.5436
214.000000	93.884613	-172.7515
218.000000	93.845894	-172.7319
220.000000	93.853622	-172.7622
224.000000	93.856712	-172.7906
227.000000	93.838280	-172.6418
230.000000	93.796356	-172.5947
233.000000	93.782333	-172.7977
236.000000	93.794678	-172.7385
240.000000	93.746162	-172.7584
243.000000	93.794601	-172.6405
247.000000	93.670761	-172.8804
250.000000	93.682503	-172.8154
254.000000	93.692970	-172.3437
258.000000	93.721542	-172.6641
262.000000	93.716446	-172.5104
265.000000	93.692574	-172.5431
269.000000	93.674606	-172.7502
272.000000	93.641052	-172.6954
276.000000	93.660416	-172.6082
280.000000	93.641495	-172.6360
285.000000	93.581390	-172.6476
290.000000	93.574936	-172.4892
295.000000	93.522064	-172.5875
300.000000	93.532471	-172.4575
304.000000	93.542984	-172.6116
307.000000	93.507591	-172.5307
311.000000	93.493591	-172.3970
315.000000	93.479340	-172.4291
320.000000	93.453026	-172.2272
325.000000	93.395927	-172.3421
330.000000	93.415230	-171.9561
335.000000	93.378082	-172.0905
340.000000	93.341034	-172.0056
345.000000	93.327423	-171.9380
350.000000	93.326164	-171.7465
355.000000	93.263344	-171.6657
360.000000	93.260429	-171.7469
365.000000	93.213348	-171.3540
370.000000	93.190155	-171.2853
375.000000	93.174438	-171.1097
382.000000	93.140205	-171.1196
387.000000	93.111763	-171.0571
395.000000	93.065147	-170.8737
400.000000	93.036087	-170.7308
406.000000	92.993538	-170.4056
412.000000	92.976707	-170.3274
418.000000	92.933502	-170.1687
425.000000	92.892708	-169.8236
431.000000	92.876289	-169.6869
437.000000	92.840103	-169.5189
444.000000	92.786240	-169.2458
450.000000	92.756882	-169.0000
455.000000	92.729752	-168.8270
462.000000	92.682724	-168.6385
468.000000	92.651161	-168.5241
475.000000	92.632088	-167.9367
482.000000	92.568596	-167.7216
487.000000	92.557152	-167.6157
494.000000	92.521645	-167.1440
500.000000	92.486565	-167.0012
508.000000	92.435349	-166.5757
