* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -22.7 dBFS, measurement signal peak level -20.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 14, 2021 3:24:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0304 ms (-10 mm, -0.41 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.060509	-165.0089
20.299999	96.069839	-165.5280
20.600000	96.080910	-166.0917
20.900000	96.087288	-166.6901
21.200001	96.085602	-167.2841
21.400000	96.081726	-167.6552
21.799999	96.074196	-168.3358
22.000000	96.073479	-168.6573
22.400000	96.080490	-169.3188
22.700001	96.087471	-169.8721
23.000000	96.086983	-170.4771
23.299999	96.073723	-171.0847
23.600000	96.049393	-171.6382
24.000000	96.011597	-172.2289
24.299999	95.992737	-172.5746
24.700001	95.990776	-173.0112
25.000000	96.002510	-173.4146
25.400000	96.017342	-174.1149
25.799999	96.008438	-174.9298
26.200001	95.969460	-175.6898
26.500000	95.930145	-176.1396
26.900000	95.883331	-176.5655
27.200001	95.862602	-176.8125
27.600000	95.855362	-177.1546
28.000000	95.858498	-177.5903
28.500000	95.854820	-178.2353
29.000000	95.837914	-178.8612
29.500000	95.820625	-179.4210
30.000000	95.809265	-179.9813
30.400000	95.798241	179.5378
30.700001	95.785217	179.1715
31.100000	95.761826	178.7131
31.500000	95.736809	178.3084
32.000000	95.712326	177.8485
32.500000	95.695831	177.3611
33.000000	95.676041	176.8077
33.500000	95.643677	176.2405
34.000000	95.602638	175.7426
34.500000	95.566963	175.3247
35.000000	95.544449	174.9065
35.500000	95.526169	174.3994
36.000000	95.494835	173.8256
36.500000	95.445724	173.3091
37.000000	95.395615	172.9432
37.500000	95.365005	172.6670
38.200001	95.350304	172.1535
38.700001	95.331650	171.6562
39.500000	95.270737	170.9612
40.000000	95.237274	170.6492
40.599998	95.211815	170.2585
41.200001	95.182747	169.7892
41.799999	95.142014	169.3453
42.500000	95.097397	168.9080
43.099998	95.065628	168.5063
43.700001	95.027840	168.0686
44.400002	94.975693	167.5957
45.000000	94.932709	167.2284
45.500000	94.898361	166.9245
46.200001	94.849808	166.5131
46.799999	94.810661	166.1853
47.500000	94.769745	165.7966
48.200001	94.726860	165.3856
48.700001	94.692345	165.1032
49.400002	94.642761	164.7548
50.000000	94.604225	164.4775
50.799999	94.554062	164.0774
51.500000	94.504166	163.7252
