* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -41.4 dBFS, measurement signal peak level -20.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 4, 2022 2:54:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0.1511 ms (52 mm, 2.04 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter R with no timing offset
* Measurement: l
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.366684	173.7170
20.299999	95.416870	173.7473
20.600000	95.495003	173.5101
20.900000	95.562386	172.9476
21.200001	95.585777	172.1979
21.400000	95.573822	171.7267
21.799999	95.506073	171.0219
22.000000	95.465767	170.8318
22.400000	95.407677	170.7137
22.700001	95.395470	170.6847
23.000000	95.403458	170.5557
23.299999	95.415207	170.2921
23.600000	95.420212	169.9296
24.000000	95.410614	169.3866
24.299999	95.396095	168.9909
24.700001	95.376236	168.4847
25.000000	95.363144	168.0973
25.400000	95.344872	167.5559
25.799999	95.322197	167.0199
26.200001	95.299332	166.5344
26.500000	95.287186	166.2016
26.900000	95.280510	165.7620
27.200001	95.279968	165.4071
27.600000	95.277969	164.8953
28.000000	95.268753	164.3809
28.500000	95.250275	163.8072
29.000000	95.235176	163.3083
29.500000	95.224846	162.8137
30.000000	95.209381	162.2967
30.400000	95.189659	161.9003
30.700001	95.172501	161.6299
31.100000	95.151070	161.2988
31.500000	95.133553	160.9715
32.000000	95.114014	160.5227
32.500000	95.089981	160.0309
33.000000	95.060219	159.5438
33.500000	95.031708	159.0861
34.000000	95.010857	158.6262
34.500000	94.995270	158.1186
35.000000	94.977554	157.5650
35.500000	94.954399	157.0142
36.000000	94.930229	156.5031
36.500000	94.909943	156.0176
37.000000	94.891670	155.5256
37.500000	94.869370	155.0329
38.200001	94.831261	154.4203
38.700001	94.808586	154.0481
39.500000	94.787262	153.4138
40.000000	94.771530	152.9421
40.599998	94.739746	152.3530
41.200001	94.698959	151.8147
41.799999	94.660065	151.3280
42.500000	94.621811	150.7705
43.099998	94.593132	150.2837
43.700001	94.568871	149.7813
44.400002	94.541901	149.1314
45.000000	94.506622	148.5339
45.500000	94.466431	148.0952
46.200001	94.417709	147.6225
46.799999	94.397804	147.1701
47.500000	94.358154	146.3987
48.200001	94.263580	145.7105
48.700001	94.193535	145.4687
49.400002	94.143379	145.2039
50.000000	94.109634	144.7338
50.799999	94.012344	144.1486
51.500000	93.942596	144.0067
52.200001	93.916359	143.7757
53.000000	93.859436	143.4326
53.799999	93.827454	143.4450
54.500000	93.845139	143.1524
55.200001	93.784332	142.6084
56.000000	93.655197	142.8484
57.000000	93.699120	143.7230
58.000000	93.819290	143.4696
59.000000	93.890617	142.8231
60.000000	93.940590	141.9304
60.799999	93.970047	141.1484
61.500000	93.989639	140.3224
62.200001	93.978302	139.4621
63.000000	93.952583	138.6600
64.000000	93.927124	137.6451
65.000000	93.864304	136.7515
66.000000	93.824173	136.0802
67.000000	93.787643	135.2550
68.000000	93.737381	134.4803
69.000000	93.686096	133.6805
70.000000	93.622665	132.9771
71.000000	93.574631	132.3130
72.000000	93.509911	131.6334
73.000000	93.449753	131.1328
74.000000	93.401306	130.5749
75.000000	93.348053	130.0178
76.199997	93.278099	129.2536
77.500000	93.198982	128.5784
78.800003	93.124298	127.7211
80.000000	93.050293	127.2173
81.199997	93.004440	126.5190
82.500000	92.913879	125.9545
83.800003	92.862885	125.4442
85.000000	92.802933	124.9337
86.199997	92.770012	124.4005
87.500000	92.719383	123.7067
88.500000	92.697708	123.2365
90.000000	92.648468	122.4240
91.199997	92.629494	121.8597
92.500000	92.560646	121.0559
93.800003	92.510162	120.5538
95.000000	92.455109	119.7131
96.199997	92.376770	119.0940
97.500000	92.325302	118.3877
98.800003	92.262932	117.7642
100.000000	92.228973	117.2027
101.500000	92.126915	116.5319
103.000000	92.058662	115.8002
104.400002	91.929558	115.1489
106.000000	91.868225	114.2632
107.500000	91.849197	113.6435
109.000000	91.728439	113.1411
110.599998	91.834030	112.8361
112.000000	91.564308	112.1663
113.800003	91.382652	112.7100
115.000000	91.392235	112.0087
117.199997	91.366371	110.3140
118.000000	91.371529	110.7048
120.599998	91.213074	105.6653
122.000000	91.427650	109.1483
124.099998	91.281677	108.6783
125.000000	91.239990	107.7150
126.500000	91.078659	107.3074
128.000000	90.965988	106.0590
131.500000	90.781746	104.5566
132.000000	90.750298	104.5717
134.000000	90.614281	103.9992
136.000000	90.494110	103.3486
138.000000	90.301735	102.9283
140.000000	90.165367	102.5411
143.000000	89.886292	102.5760
145.000000	89.705856	103.1961
147.500000	89.533928	104.3074
150.000000	89.566742	106.3873
152.500000	89.866699	108.1646
155.000000	90.282883	107.5675
157.500000	90.652908	105.4422
160.000000	90.748421	103.1521
162.500000	90.736382	101.1141
165.000000	90.644882	99.3765
167.500000	90.520531	97.7148
170.000000	90.466232	96.2087
172.500000	90.335831	95.0209
175.000000	90.230476	94.1915
177.500000	90.142700	93.1519
180.000000	90.050446	92.4944
182.500000	89.999977	91.2636
185.000000	89.885986	91.0666
187.500000	89.870445	90.2065
190.000000	89.734367	89.5168
192.500000	89.635803	88.7350
195.000000	89.578163	87.8363
197.500000	89.531738	87.4414
200.000000	89.481422	86.8380
203.000000	89.372040	86.1377
206.000000	89.306862	85.4226
209.000000	89.246475	84.8059
212.000000	89.174133	84.0442
214.000000	89.098434	83.7120
218.000000	89.006874	82.8159
220.000000	89.326836	83.1471
224.000000	88.898102	82.0858
227.000000	88.827957	81.5100
230.000000	88.801598	80.6274
233.000000	88.784485	79.9362
236.000000	88.717590	79.2824
240.000000	88.640602	78.5206
243.000000	88.540283	78.1553
247.000000	88.486328	77.4695
250.000000	88.440353	76.9185
254.000000	88.376373	76.1117
258.000000	88.331223	75.5376
262.000000	88.289719	74.8544
265.000000	88.242828	74.3431
269.000000	88.215332	73.8925
272.000000	88.156136	73.3586
276.000000	88.113625	72.6643
280.000000	88.064201	71.9822
285.000000	88.041641	71.3554
290.000000	87.987114	70.6789
295.000000	87.911972	69.9437
300.000000	87.926003	69.1057
304.000000	87.839203	68.4620
307.000000	87.826027	68.0053
311.000000	87.830193	67.7721
315.000000	87.803070	67.1401
320.000000	87.745178	66.5381
325.000000	87.729080	65.8058
330.000000	87.679802	64.6924
335.000000	87.679756	64.4870
340.000000	87.649162	63.9685
345.000000	87.631363	63.2745
350.000000	87.596039	62.5502
355.000000	87.573944	61.9676
360.000000	87.559662	61.4091
365.000000	87.562851	60.7993
370.000000	87.551697	60.1270
375.000000	87.515144	59.5111
382.000000	87.507706	58.7376
387.000000	87.510857	58.2150
395.000000	87.479500	57.2522
400.000000	87.472778	56.6440
406.000000	87.462738	55.9689
412.000000	87.439278	55.1504
418.000000	87.429169	54.6541
425.000000	87.427658	53.8365
431.000000	87.408691	53.1952
437.000000	87.418518	52.5709
444.000000	87.385651	51.7663
450.000000	87.383606	51.2187
455.000000	87.395508	50.7338
462.000000	87.363007	50.0056
468.000000	87.370766	49.3780
475.000000	87.340370	48.6306
482.000000	87.350311	48.1005
487.000000	87.340599	47.4831
494.000000	87.323425	46.7798
500.000000	87.323425	46.1628
508.000000	87.309776	45.6521
515.000000	87.332611	45.0128
522.000000	87.332748	44.2305
530.000000	87.305695	43.5749
538.000000	87.287201	42.7737
545.000000	87.304108	42.5376
552.000000	87.272545	41.7722
560.000000	87.260010	41.1076
570.000000	87.264580	40.3305
580.000000	87.258698	39.5666
590.000000	87.242271	38.8440
600.000000	87.245674	38.1502
608.000000	87.244987	37.4816
615.000000	87.234650	37.0898
622.000000	87.241585	36.5490
630.000000	87.221466	35.9701
640.000000	87.209946	35.4464
650.000000	87.215485	34.7515
660.000000	87.219803	34.1106
670.000000	87.195915	33.5483
680.000000	87.197762	32.9502
690.000000	87.190689	32.4130
700.000000	87.183075	31.8162
710.000000	87.190262	31.3126
720.000000	87.177635	30.8349
730.000000	87.170288	30.3371
740.000000	87.168938	29.9329
750.000000	87.169418	29.4088
762.000000	87.162651	28.9095
775.000000	87.158432	28.4476
788.000000	87.161636	27.9425
800.000000	87.163445	27.5525
812.000000	87.180084	27.1654
825.000000	87.183792	26.7640
838.000000	87.201118	26.4263
850.000000	87.223633	26.1013
862.000000	87.242500	25.8138
875.000000	87.261475	25.4666
885.000000	87.294174	25.2490
900.000000	87.335449	24.9893
912.000000	87.372353	24.7095
925.000000	87.414291	24.4391
938.000000	87.466499	24.1882
950.000000	87.521698	23.9645
962.000000	87.575142	23.7379
975.000000	87.642204	23.4675
988.000000	87.716072	23.1746
1000.000000	87.791695	22.8627
1015.000000	87.879913	22.5313
1030.000000	87.985420	22.1223
1044.000000	88.084793	21.7559
1060.000000	88.192291	21.1829
1075.000000	88.299088	20.6526
1090.000000	88.417267	20.0502
1106.000000	88.531998	19.4094
1120.000000	88.633949	18.7619
1138.000000	88.761307	17.8547
1150.000000	88.851807	17.2648
1172.000000	89.000374	16.0840
1180.000000	89.045570	15.6473
1206.000000	89.208817	14.1379
1220.000000	89.284286	13.2968
1241.000000	89.401649	12.0297
1250.000000	89.442276	11.4982
1265.000000	89.517487	10.5607
1280.000000	89.580299	9.5820
1315.000000	89.698853	7.3624
1320.000000	89.713394	7.0510
1340.000000	89.766777	5.8225
1360.000000	89.809448	4.6033
1380.000000	89.848434	3.4467
1400.000000	89.879570	2.3094
1430.000000	89.908630	0.7068
1450.000000	89.916763	-0.3032
1475.000000	89.930176	-1.4322
1500.000000	89.946022	-2.3180
1525.000000	89.976807	-3.0077
1550.000000	90.074646	-3.5975
1575.000000	90.214859	-4.6058
1600.000000	90.330673	-6.0543
1625.000000	90.395523	-7.5251
1650.000000	90.427315	-8.8886
1675.000000	90.446991	-10.0997
1700.000000	90.469170	-11.2378
1725.000000	90.494652	-12.2813
1750.000000	90.526909	-13.2727
1775.000000	90.552467	-14.2344
1800.000000	90.590492	-15.1680
1825.000000	90.624168	-16.0771
1850.000000	90.662903	-16.9417
1875.000000	90.703407	-17.7886
1900.000000	90.756027	-18.6038
1925.000000	90.801834	-19.4553
1950.000000	90.860275	-20.2297
1975.000000	90.918449	-21.0645
2000.000000	90.994583	-21.8675
2030.000000	91.085785	-22.8806
2060.000000	91.175262	-23.9576
2090.000000	91.258575	-25.0283
2120.000000	91.352615	-26.1228
2140.000000	91.410728	-26.8152
2180.000000	91.536942	-28.2426
2200.000000	91.604591	-29.0066
2240.000000	91.744629	-30.4738
2270.000000	91.849037	-31.6132
2300.000000	91.957092	-32.7803
2330.000000	92.061310	-33.9592
2360.000000	92.168152	-35.1617
2400.000000	92.319618	-36.8124
2430.000000	92.432373	-38.0242
2470.000000	92.592079	-39.7054
2500.000000	92.709480	-40.9924
2540.000000	92.874504	-42.7727
2580.000000	93.042862	-44.5952
2620.000000	93.216499	-46.5142
2650.000000	93.344330	-47.9662
2690.000000	93.521255	-50.0125
2720.000000	93.654053	-51.5942
2760.000000	93.830612	-53.8363
2800.000000	93.995842	-56.1411
2850.000000	94.196510	-59.1769
2900.000000	94.383568	-62.2663
2950.000000	94.562096	-65.5535
3000.000000	94.720695	-68.9158
3040.000000	94.840103	-71.6908
3070.000000	94.920319	-73.8307
3110.000000	95.010155	-76.7815
3150.000000	95.080002	-79.7615
3200.000000	95.130814	-83.5365
3250.000000	95.143692	-87.2990
3300.000000	95.128845	-90.9423
3350.000000	95.081261	-94.5068
3400.000000	94.996574	-97.9257
3450.000000	94.882858	-100.9542
3500.000000	94.790855	-103.5228
3550.000000	94.760017	-105.8945
3600.000000	94.783432	-108.2827
3650.000000	94.841080	-110.9125
3700.000000	94.905121	-113.8327
3750.000000	94.961624	-116.9254
3820.000000	95.010132	-121.4746
3870.000000	95.039314	-124.7294
3950.000000	95.083450	-130.0817
4000.000000	95.122810	-133.6219
4060.000000	95.150757	-138.2792
4120.000000	95.139099	-143.2957
4180.000000	95.039398	-148.7291
4250.000000	94.771606	-155.0822
4310.000000	94.418190	-160.2621
4370.000000	93.969833	-164.8657
4440.000000	93.373711	-169.3204
4500.000000	92.841507	-172.1841
4550.000000	92.418930	-173.9362
4620.000000	91.902466	-175.5753
4680.000000	91.551353	-176.4974
