* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 12, 2021 3:32:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Jan 12
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.214569	172.1708
20.299999	88.187485	172.0499
20.600000	88.183037	171.8930
20.900000	88.191719	171.6293
21.200001	88.200447	171.2425
21.400000	88.200562	170.9340
21.799999	88.182663	170.2828
22.000000	88.165771	169.9755
22.400000	88.123962	169.4361
22.700001	88.093430	169.0958
23.000000	88.067223	168.7842
23.299999	88.045189	168.4759
23.600000	88.025192	168.1579
24.000000	87.998260	167.7251
24.299999	87.977928	167.4054
24.700001	87.953003	166.9875
25.000000	87.936836	166.6665
25.400000	87.916389	166.2062
25.799999	87.891251	165.7101
26.200001	87.857208	165.2175
26.500000	87.827019	164.8820
26.900000	87.786888	164.4998
27.200001	87.761452	164.2532
27.600000	87.737099	163.9342
28.000000	87.721046	163.5778
28.500000	87.701035	163.0475
29.000000	87.668861	162.4746
29.500000	87.624390	161.9476
30.000000	87.578880	161.5068
30.400000	87.548241	161.1901
30.700001	87.528915	160.9484
31.100000	87.505005	160.6006
31.500000	87.478714	160.2259
32.000000	87.438950	159.7545
32.500000	87.394043	159.3183
33.000000	87.350029	158.9221
33.500000	87.310333	158.5407
34.000000	87.274231	158.1435
34.500000	87.238037	157.7124
35.000000	87.196213	157.2561
35.500000	87.145630	156.8188
36.000000	87.091476	156.4536
36.500000	87.045273	156.1605
37.000000	87.013168	155.8632
37.500000	86.987480	155.4829
38.200001	86.936806	154.8461
38.700001	86.886917	154.4254
39.500000	86.807823	153.8809
40.000000	86.764061	153.5576
40.599998	86.710976	153.1652
41.200001	86.657959	152.7978
41.799999	86.609802	152.4337
42.500000	86.553452	151.9597
43.099998	86.497124	151.5492
43.700001	86.438423	151.1855
44.400002	86.375946	150.7794
45.000000	86.322784	150.4044
45.500000	86.274689	150.0942
46.200001	86.206177	149.7034
46.799999	86.152176	149.3869
47.500000	86.091179	148.9979
48.200001	86.027832	148.6141
48.700001	85.983871	148.3529
49.400002	85.924583	147.9689
50.000000	85.869232	147.6221
50.799999	85.788422	147.2144
51.500000	85.722885	146.9091
52.200001	85.661339	146.5806
53.000000	85.584946	146.1967
53.799999	85.507042	145.8557
54.500000	85.441177	145.5648
55.200001	85.375496	145.2750
56.000000	85.302185	144.9344
57.000000	85.204071	144.4804
58.000000	85.104408	144.0897
