* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 17, 2021 8:31:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 11
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.252609	-169.8837
20.299999	97.232834	-170.3191
20.600000	97.206421	-170.7267
20.900000	97.180695	-171.1031
21.200001	97.160835	-171.4744
21.400000	97.150757	-171.7368
21.799999	97.134499	-172.3033
22.000000	97.126579	-172.6023
22.400000	97.109131	-173.1994
22.700001	97.096664	-173.6182
23.000000	97.088417	-174.0001
23.299999	97.086929	-174.3549
23.600000	97.092545	-174.6977
24.000000	97.108917	-175.1582
24.299999	97.124489	-175.5141
24.700001	97.145020	-175.9980
25.000000	97.157677	-176.3567
25.400000	97.168991	-176.8096
25.799999	97.174240	-177.2101
26.200001	97.176758	-177.5460
26.500000	97.179703	-177.7650
26.900000	97.186920	-178.0459
27.200001	97.193237	-178.2772
27.600000	97.196999	-178.6360
28.000000	97.187317	-179.0327
28.500000	97.152626	-179.4829
29.000000	97.108597	-179.7762
29.500000	97.080849	-179.9375
30.000000	97.081749	179.8740
30.400000	97.094742	179.6086
30.700001	97.103920	179.3358
31.100000	97.108284	178.9172
31.500000	97.103043	178.4970
32.000000	97.091003	178.0356
32.500000	97.083710	177.6435
33.000000	97.083954	177.2723
33.500000	97.086571	176.8990
34.000000	97.087044	176.5400
34.500000	97.085762	176.2127
35.000000	97.084320	175.9084
35.500000	97.081520	175.6062
36.000000	97.074455	175.3005
36.500000	97.062119	175.0007
37.000000	97.046188	174.7122
37.500000	97.028778	174.4273
38.200001	97.002907	174.0146
38.700001	96.983261	173.7090
39.500000	96.952896	173.2145
40.000000	96.936584	172.8986
40.599998	96.919220	172.5050
41.200001	96.901649	172.1048
41.799999	96.882843	171.7227
42.500000	96.861656	171.3206
43.099998	96.845779	171.0043
43.700001	96.830467	170.6988
44.400002	96.809921	170.3543
45.000000	96.789062	170.0793
45.500000	96.770630	169.8678
46.200001	96.745735	169.5858
46.799999	96.725494	169.3359
47.500000	96.700058	169.0285
48.200001	96.672264	168.7357
48.700001	96.654610	168.5476
49.400002	96.638046	168.2864
50.000000	96.629295	168.0263
50.799999	96.615288	167.6259
51.500000	96.597092	167.2751
52.200001	96.577240	166.9473
53.000000	96.554703	166.5762
53.799999	96.528275	166.1969
54.500000	96.501038	165.8773
55.200001	96.472649	165.5721
56.000000	96.439423	165.2264
57.000000	96.395752	164.8054
58.000000	96.352577	164.3915
59.000000	96.304657	163.9731
60.000000	96.251877	163.6168
60.799999	96.214104	163.3666
61.500000	96.183029	163.1401
62.200001	96.150185	162.9117
63.000000	96.110413	162.6727
64.000000	96.062134	162.4199
