* Measurement data measured by REW V5.20.5
* Source: C:\Users\Recode\Documents\iem data\Recode Preference Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 6, 2022 9:26:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Recode\Documents\iem data\Recode Preference Target.txt Format: Comma/Tab/Space delimited data 481 values loaded, 20 Hz to 20,040 Hz log spaced 
* Measurement: Recode Preference Target
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	114.423
20.299999	114.435
20.600000	114.456
20.900000	114.481
21.200001	114.509
21.400000	114.528
21.799999	114.565
22.000000	114.584
22.400000	114.621
22.700001	114.649
23.000000	114.676
23.299999	114.703
23.600000	114.729
24.000000	114.763
24.299999	114.789
24.700001	114.822
25.000000	114.847
25.400000	114.880
25.799999	114.912
26.200001	114.944
26.500000	114.967
26.900000	114.997
27.200001	115.020
27.600000	115.050
28.000000	115.079
28.500000	115.115
29.000000	115.148
29.500000	115.179
30.000000	115.206
30.400000	115.224
30.700001	115.236
31.100000	115.250
31.500000	115.262
32.000000	115.276
32.500000	115.288
33.000000	115.299
33.500000	115.307
34.000000	115.313
34.500000	115.317
35.000000	115.320
35.500000	115.321
36.000000	115.321
36.500000	115.320
37.000000	115.319
37.500000	115.318
38.200001	115.315
38.700001	115.314
39.500000	115.314
40.000000	115.314
40.599998	115.316
41.200001	115.320
41.799999	115.324
42.500000	115.328
43.099998	115.332
43.700001	115.335
44.400002	115.335
45.000000	115.334
45.500000	115.330
46.200001	115.324
46.799999	115.316
47.500000	115.305
48.200001	115.292
48.700001	115.283
49.400002	115.270
50.000000	115.260
50.799999	115.246
51.500000	115.234
52.200001	115.222
53.000000	115.208
53.799999	115.193
54.500000	115.179
55.200001	115.163
56.000000	115.144
57.000000	115.117
58.000000	115.089
59.000000	115.059
60.000000	115.028
60.799999	115.004
61.500000	114.982
62.200001	114.960
63.000000	114.935
64.000000	114.903
65.000000	114.871
66.000000	114.840
67.000000	114.807
68.000000	114.775
69.000000	114.742
70.000000	114.708
71.000000	114.674
72.000000	114.639
73.000000	114.603
74.000000	114.568
75.000000	114.532
76.199997	114.488
77.500000	114.441
78.800003	114.393
80.000000	114.348
81.199997	114.302
82.500000	114.251
83.800003	114.199
85.000000	114.150
86.199997	114.101
87.500000	114.048
88.500000	114.006
90.000000	113.943
91.199997	113.893
92.500000	113.839
93.800003	113.785
95.000000	113.736
96.199997	113.686
97.500000	113.634
98.800003	113.581
100.000000	113.533
101.500000	113.473
103.000000	113.413
104.400002	113.357
106.000000	113.291
107.500000	113.230
109.000000	113.168
110.599998	113.102
112.000000	113.045
113.800003	112.974
115.000000	112.927
117.199997	112.843
118.000000	112.813
120.599998	112.716
122.000000	112.664
124.099998	112.586
125.000000	112.553
126.500000	112.496
128.000000	112.440
131.500000	112.306
132.000000	112.287
134.000000	112.210
136.000000	112.132
138.000000	112.054
140.000000	111.976
143.000000	111.859
145.000000	111.781
147.500000	111.686
150.000000	111.593
152.500000	111.503
155.000000	111.415
157.500000	111.330
160.000000	111.247
162.500000	111.165
165.000000	111.084
167.500000	111.003
170.000000	110.922
172.500000	110.841
175.000000	110.760
177.500000	110.679
180.000000	110.598
182.500000	110.517
185.000000	110.437
187.500000	110.357
190.000000	110.278
192.500000	110.200
195.000000	110.122
197.500000	110.045
200.000000	109.970
203.000000	109.880
206.000000	109.792
209.000000	109.706
212.000000	109.621
214.000000	109.565
218.000000	109.455
220.000000	109.402
224.000000	109.297
227.000000	109.223
230.000000	109.151
233.000000	109.083
236.000000	109.018
240.000000	108.936
243.000000	108.877
247.000000	108.799
250.000000	108.742
254.000000	108.667
258.000000	108.592
262.000000	108.517
265.000000	108.462
269.000000	108.390
272.000000	108.337
276.000000	108.269
280.000000	108.203
285.000000	108.123
290.000000	108.047
295.000000	107.974
300.000000	107.906
304.000000	107.853
307.000000	107.815
311.000000	107.766
315.000000	107.718
320.000000	107.660
325.000000	107.604
330.000000	107.550
335.000000	107.497
340.000000	107.447
345.000000	107.399
350.000000	107.353
355.000000	107.308
360.000000	107.266
365.000000	107.225
370.000000	107.186
375.000000	107.148
382.000000	107.099
387.000000	107.065
395.000000	107.015
400.000000	106.985
406.000000	106.952
412.000000	106.920
418.000000	106.891
425.000000	106.859
431.000000	106.834
437.000000	106.811
444.000000	106.786
450.000000	106.766
455.000000	106.751
462.000000	106.732
468.000000	106.718
475.000000	106.702
482.000000	106.689
487.000000	106.681
494.000000	106.672
500.000000	106.665
508.000000	106.658
515.000000	106.653
522.000000	106.651
530.000000	106.649
538.000000	106.650
545.000000	106.652
552.000000	106.656
560.000000	106.662
570.000000	106.672
580.000000	106.684
590.000000	106.698
600.000000	106.715
608.000000	106.730
615.000000	106.744
622.000000	106.758
630.000000	106.776
640.000000	106.801
650.000000	106.826
660.000000	106.853
670.000000	106.882
680.000000	106.911
690.000000	106.942
700.000000	107.009
710.000000	107.036
720.000000	107.065
730.000000	107.096
740.000000	107.129
750.000000	107.164
762.000000	107.208
775.000000	107.259
788.000000	107.313
800.000000	107.365
812.000000	107.420
825.000000	107.482
838.000000	107.546
850.000000	107.608
862.000000	107.671
875.000000	107.742
885.000000	107.797
900.000000	107.883
912.000000	107.953
925.000000	108.030
938.000000	108.108
950.000000	108.181
962.000000	108.255
975.000000	108.336
988.000000	108.418
1000.000000	108.494
1015.000000	108.589
1030.000000	108.684
1044.000000	108.773
1060.000000	108.875
1075.000000	108.970
1090.000000	109.065
1106.000000	109.165
1120.000000	109.252
1138.000000	109.364
1150.000000	109.437
1172.000000	109.570
1180.000000	109.618
1206.000000	109.772
1220.000000	109.854
1241.000000	109.974
1250.000000	110.025
1265.000000	110.109
1280.000000	110.192
1315.000000	110.380
1320.000000	110.407
1340.000000	110.512
1360.000000	110.614
1380.000000	110.715
1400.000000	110.814
1430.000000	110.959
1450.000000	111.054
1475.000000	111.170
1500.000000	111.284
1525.000000	111.395
1550.000000	111.504
1575.000000	111.610
1600.000000	111.715
1625.000000	111.817
1650.000000	111.918
1675.000000	112.017
1700.000000	112.113
1725.000000	112.208
1750.000000	112.301
1775.000000	112.392
1800.000000	112.482
1825.000000	112.570
1850.000000	112.656
1875.000000	112.740
1900.000000	112.823
1925.000000	112.903
1950.000000	112.982
1975.000000	113.060
2000.000000	113.135
2030.000000	113.224
2060.000000	113.309
2090.000000	113.393
2120.000000	113.473
2140.000000	113.526
2180.000000	113.627
2200.000000	113.676
2240.000000	113.770
2270.000000	113.838
2300.000000	113.903
2330.000000	113.965
2360.000000	114.025
2400.000000	114.101
2430.000000	114.155
2470.000000	114.223
2500.000000	114.271
2540.000000	114.332
2580.000000	114.388
2620.000000	114.439
2650.000000	114.475
2690.000000	114.519
2720.000000	114.550
2760.000000	114.587
2800.000000	114.621
2850.000000	114.657
2900.000000	114.688
2950.000000	114.713
3000.000000	114.734
3040.000000	114.746
3070.000000	114.754
3110.000000	114.761
3150.000000	114.765
3200.000000	114.767
3250.000000	114.764
3300.000000	114.758
3350.000000	114.748
3400.000000	114.735
3450.000000	114.718
3500.000000	114.699
3550.000000	114.677
3600.000000	114.652
3650.000000	114.625
3700.000000	114.595
3750.000000	114.564
3820.000000	114.516
3870.000000	114.481
3950.000000	114.420
4000.000000	114.381
4060.000000	114.332
4120.000000	114.281
4180.000000	114.230
4250.000000	114.168
4310.000000	114.114
4370.000000	114.059
4440.000000	113.994
4500.000000	113.938
4550.000000	113.891
4620.000000	113.825
4680.000000	113.769
4750.000000	113.702
4820.000000	113.636
4870.000000	113.589
4940.000000	113.523
5000.000000	113.467
5080.000000	113.393
5150.000000	113.328
5220.000000	113.265
5300.000000	113.193
5380.000000	113.122
5450.000000	113.061
5520.000000	113.002
5600.000000	112.935
5700.000000	112.853
5800.000000	112.773
5900.000000	112.696
6000.000000	112.621
6080.000000	112.563
6150.000000	112.514
6220.000000	112.465
6300.000000	112.412
6400.000000	112.347
6500.000000	112.284
6600.000000	112.224
6700.000000	112.166
6800.000000	112.109
6900.000000	112.055
7000.000000	112.002
7100.000000	111.951
7200.000000	111.900
7300.000000	111.851
7400.000000	111.803
7500.000000	111.755
7620.000000	111.697
7750.000000	111.635
7880.000000	111.572
8000.000000	111.512
8120.000000	111.451
8250.000000	111.382
8380.000000	111.310
8500.000000	111.240
8620.000000	111.167
8750.000000	111.083
8850.000000	111.015
9000.000000	110.908
9120.000000	110.817
9250.000000	110.713
9380.000000	110.604
9500.000000	110.498
9620.000000	110.387
9750.000000	110.262
9880.000000	110.133
10000.000000	110.009
10150.000000	109.849
10300.000000	109.683
10440.000000	109.525
10600.000000	109.339
10750.000000	109.162
10900.000000	108.982
11060.000000	108.788
11200.000000	108.616
11380.000000	108.394
11500.000000	108.246
11720.000000	107.975
11800.000000	107.877
12060.000000	107.561
12200.000000	107.392
12410.000000	107.143
12500.000000	107.037
12650.000000	106.864
12800.000000	106.693
13150.000000	106.305
13200.000000	106.251
13400.000000	106.039
13600.000000	105.833
13800.000000	105.631
14000.000000	105.436
14300.000000	105.151
14500.000000	104.967
14750.000000	104.743
15000.000000	104.524
15250.000000	104.309
15500.000000	104.098
15750.000000	103.889
16000.000000	103.682
16250.000000	103.476
16500.000000	103.270
16750.000000	103.065
17000.000000	102.859
17250.000000	102.653
17500.000000	102.445
17750.000000	102.237
18000.000000	102.029
18250.000000	101.820
18500.000000	101.612
18750.000000	101.403
19000.000000	101.196
19250.000000	100.991
19500.000000	100.787
19750.000000	100.587
20000.000000	100.391

