* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 2021-aug-23 14:41:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: stock tips M + stock cable (3.5mm)
* Measurement: Sony MH755 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	97.211	-19.733
20.586	97.193	-19.893
20.885	97.145	-20.250
21.189	97.086	-20.674
21.497	97.021	-21.134
21.810	96.953	-21.613
22.127	96.882	-22.108
22.449	96.809	-22.625
22.776	96.736	-23.165
23.107	96.660	-23.727
23.443	96.583	-24.303
23.784	96.506	-24.881
24.130	96.429	-25.449
24.481	96.356	-26.005
24.837	96.288	-26.552
25.198	96.224	-27.099
25.565	96.163	-27.653
25.937	96.102	-28.210
26.314	96.039	-28.757
26.697	95.971	-29.278
27.085	95.900	-29.756
27.479	95.829	-30.192
27.879	95.759	-30.601
28.284	95.691	-31.012
28.696	95.623	-31.450
29.113	95.551	-31.925
29.537	95.472	-32.432
29.966	95.386	-32.951
30.402	95.292	-33.463
30.844	95.196	-33.959
31.293	95.099	-34.439
31.748	95.003	-34.911
32.210	94.910	-35.380
32.678	94.820	-35.851
33.154	94.732	-36.323
33.636	94.647	-36.796
34.125	94.563	-37.266
34.621	94.479	-37.725
35.125	94.394	-38.164
35.636	94.308	-38.575
36.154	94.220	-38.957
36.680	94.132	-39.309
37.214	94.043	-39.640
37.755	93.954	-39.969
38.304	93.865	-40.314
38.861	93.772	-40.682
39.427	93.675	-41.067
40.000	93.573	-41.454
40.582	93.468	-41.835
41.172	93.365	-42.210
41.771	93.263	-42.579
42.379	93.165	-42.945
42.995	93.069	-43.305
43.620	92.976	-43.656
44.255	92.884	-43.996
44.898	92.792	-44.321
45.552	92.699	-44.630
46.214	92.605	-44.923
46.886	92.508	-45.203
47.568	92.408	-45.474
48.260	92.306	-45.741
48.962	92.201	-46.005
49.674	92.096	-46.270
50.397	91.990	-46.537
51.130	91.885	-46.806
51.874	91.779	-47.072
52.628	91.673	-47.330
53.394	91.568	-47.578
