* Measurement data measured by REW V5.20.4
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 2021-dec-04 15:22:03
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Stock tips (iem tip) M   Asus BT400  R
* Measurement: Tanchjim Echo R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	139.610	178.7639
20.600000	139.589	178.6106
20.900000	139.537	178.2829
21.200001	139.481	177.9110
21.400000	139.443	177.6541
21.799999	139.366	177.1309
22.000000	139.326	176.8662
22.400000	139.246	176.3182
22.700001	139.188	175.8640
23.000000	139.133	175.3388
23.299999	139.077	174.7299
23.600000	139.017	174.0595
24.000000	138.925	173.1600
24.299999	138.847	172.5839
24.700001	138.742	172.0597
25.000000	138.676	171.8675
25.400000	138.616	171.8040
25.799999	138.591	171.7936
26.200001	138.585	171.6955
26.500000	138.579	171.5496
26.900000	138.562	171.3124
27.200001	138.543	171.1542
27.600000	138.517	170.9998
28.000000	138.497	170.8711
28.500000	138.466	170.6340
29.000000	138.399	170.2708
29.500000	138.281	169.8809
30.000000	138.132	169.5863
30.400000	138.017	169.4298
30.700001	137.944	169.3367
31.100000	137.867	169.2157
31.500000	137.811	169.0877
32.000000	137.753	168.9248
32.500000	137.692	168.7700
33.000000	137.617	168.6278
33.500000	137.537	168.4994
34.000000	137.472	168.3741
34.500000	137.431	168.2381
35.000000	137.403	168.1237
35.500000	137.362	168.1057
36.000000	137.295	168.1488
36.500000	137.200	167.9773
37.000000	137.065	167.1979
37.500000	136.869	165.7302
38.200001	136.506	163.5269
38.700001	136.287	162.8666
39.500000	136.285	163.9438
40.000000	136.478	165.1781
40.599998	136.715	166.4264
41.200001	136.822	167.2773
41.799999	136.803	167.8386
42.500000	136.727	168.0775
43.099998	136.674	167.9205
43.700001	136.643	167.6810
44.400002	136.627	167.5977
45.000000	136.621	167.6894
45.500000	136.611	167.7595
46.200001	136.581	167.7410
46.799999	136.549	167.6412
47.500000	136.524	167.5301
48.200001	136.522	167.4690
48.700001	136.531	167.4329
49.400002	136.541	167.3503
50.000000	136.536	167.2597
50.799999	136.505	167.1929
51.500000	136.465	167.2289
52.200001	136.426	167.3142
53.000000	136.386	167.3974
53.799999	136.352	167.4345
54.500000	136.330	167.4220
55.200001	136.314	167.3594
56.000000	136.299	167.2473
57.000000	136.280	167.1205
58.000000	136.262	167.0313
59.000000	136.245	166.9323
60.000000	136.230	166.7938
60.799999	136.220	166.6598
61.500000	136.213	166.5391
62.200001	136.207	166.4262
63.000000	136.202	166.3104
64.000000	136.198	166.1770
65.000000	136.193	166.0419
66.000000	136.183	165.8919
67.000000	136.170	165.7186
68.000000	136.155	165.5225
69.000000	136.142	165.3050
70.000000	136.129	165.0641
71.000000	136.119	164.8064
72.000000	136.111	164.5497
73.000000	136.103	164.3045
