* Measurement data measured by REW V5.20.4
* Source:
* Format:
* Dated: 2022/02/11 21:34:19
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note:
* Measurement: Z1R L Volume 50
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 86.283 -154.0970
20.299999 86.315 -154.5868
20.600000 86.345 -155.0669
20.900000 86.376 -155.5377
21.200001 86.408 -156.0006
21.400000 86.431 -156.3062
21.799999 86.478 -156.9136
22.000000 86.502 -157.2173
22.400000 86.547 -157.8269
22.700001 86.578 -158.2822
23.000000 86.607 -158.7294
23.299999 86.634 -159.1626
23.600000 86.660 -159.5780
24.000000 86.695 -160.1037
24.299999 86.722 -160.4830
24.700001 86.757 -160.9819
25.000000 86.783 -161.3586
25.400000 86.815 -161.8666
25.799999 86.844 -162.3729
26.200001 86.868 -162.8649
26.500000 86.884 -163.2206
26.900000 86.902 -163.6785
27.200001 86.913 -164.0151
27.600000 86.926 -164.4626
28.000000 86.938 -164.9124
28.500000 86.951 -165.4741
29.000000 86.962 -166.0264
29.500000 86.972 -166.5660
30.000000 86.983 -167.0953
30.400000 86.992 -167.5118
30.700001 87.000 -167.8190
31.100000 87.009 -168.2200
31.500000 87.018 -168.6111
32.000000 87.028 -169.0887
32.500000 87.038 -169.5568
33.000000 87.046 -170.0159
33.500000 87.053 -170.4654
34.000000 87.060 -170.9058
34.500000 87.069 -171.3391
35.000000 87.078 -171.7654
35.500000 87.085 -172.1839
36.000000 87.092 -172.5956
36.500000 87.098 -173.0027
37.000000 87.102 -173.4048
37.500000 87.103 -173.7961
38.200001 87.102 -174.3188
38.700001 87.099 -174.6819
39.500000 87.092 -175.2682
40.000000 87.086 -175.6315
40.599998 87.078 -176.0506
41.200001 87.070 -176.4575
41.799999 87.062 -176.8696
42.500000 87.050 -177.3513
43.099998 87.038 -177.7422
43.700001 87.028 -178.1168
44.400002 87.018 -178.5602
45.000000 87.007 -178.9478
45.500000 86.996 -179.2610
46.200001 86.980 -179.6763
46.799999 86.967 179.9773
47.500000 86.952 179.5747
48.200001 86.933 179.1922
48.700001 86.920 178.9430
49.400002 86.903 178.6187
50.000000 86.891 178.3366
50.799999 86.871 177.9406
51.500000 86.847 177.6175
52.200001 86.823 177.3436
53.000000 86.802 177.0478
53.799999 86.784 176.7223
54.500000 86.765 176.4269
55.200001 86.746 176.1442
56.000000 86.729 175.8302
57.000000 86.711 175.4084
58.000000 86.688 174.9851
59.000000 86.664 174.6290
60.000000 86.646 174.3011
60.799999 86.634 174.0303
61.500000 86.622 173.7780
62.200001 86.608 173.5152
63.000000 86.587 173.2244
64.000000 86.561 172.8746
65.000000 86.536 172.5123
66.000000 86.509 172.1470
67.000000 86.484 171.7803
68.000000 86.460 171.4122
69.000000 86.434 171.0540
70.000000 86.408 170.7206
71.000000 86.383 170.4049
72.000000 86.358 170.0875
73.000000 86.332 169.7667
74.000000 86.303 169.4480
75.000000 86.273 169.1346
76.199997 86.236 168.7671
77.500000 86.193 168.3752
78.800003 86.149 167.9972
80.000000 86.109 167.6680
81.199997 86.068 167.3428
82.500000 86.022 166.9962
83.800003 85.974 166.6757
85.000000 85.930 166.3981
86.199997 85.887 166.1131
87.500000 85.838 165.7939
88.500000 85.798 165.5542
90.000000 85.738 165.2576
91.199997 85.700 165.0232
92.500000 85.660 164.7334
93.800003 85.618 164.4529
95.000000 85.576 164.2192
96.199997 85.536 164.0046
97.500000 85.492 163.7760
98.800003 85.446 163.5505
100.000000 85.402 163.3445
101.500000 85.347 163.0961
103.000000 85.292 162.8581
104.400002 85.241 162.6402
106.000000 85.181 162.4028
107.500000 85.125 162.2018
109.000000 85.070 162.0089
110.599998 85.012 161.7993
112.000000 84.960 161.6233
113.800003 84.893 161.4222
115.000000 84.849 161.2965
117.199997 84.767 161.0700
118.000000 84.737 160.9881
120.599998 84.639 160.7324
122.000000 84.587 160.6076
124.099998 84.512 160.4333
125.000000 84.480 160.3622
126.500000 84.427 160.2499
128.000000 84.374 160.1440
131.500000 84.249 159.9226
132.000000 84.231 159.8940
134.000000 84.159 159.7894
136.000000 84.088 159.6981
138.000000 84.016 159.6137
140.000000 83.945 159.5404
143.000000 83.837 159.4539
145.000000 83.766 159.4135
147.500000 83.677 159.3748
150.000000 83.589 159.3442
152.500000 83.501 159.3342
155.000000 83.414 159.3401
157.500000 83.327 159.3483
160.000000 83.239 159.3656
162.500000 83.153 159.3971
165.000000 83.068 159.4513
167.500000 82.986 159.5200
170.000000 82.903 159.5985
172.500000 82.821 159.6876
175.000000 82.739 159.7891
177.500000 82.658 159.8996
180.000000 82.578 160.0159
182.500000 82.500 160.1478
185.000000 82.424 160.2943
187.500000 82.348 160.4486
190.000000 82.273 160.6111
192.500000 82.199 160.7794
195.000000 82.127 160.9625
197.500000 82.056 161.1640
200.000000 81.987 161.3729
203.000000 81.906 161.6247
206.000000 81.825 161.8823
209.000000 81.747 162.1520
212.000000 81.669 162.4273
214.000000 81.617 162.6158
218.000000 81.515 163.0092
220.000000 81.465 163.2117
224.000000 81.368 163.6284
227.000000 81.297 163.9543
230.000000 81.227 164.2957
233.000000 81.159 164.6431
236.000000 81.092 164.9897
240.000000 81.006 165.4530
243.000000 80.942 165.8072
247.000000 80.861 166.2963
250.000000 80.802 166.6689
254.000000 80.723 167.1756
258.000000 80.646 167.6893
262.000000 80.573 168.2147
265.000000 80.520 168.6095
269.000000 80.451 169.1361
272.000000 80.403 169.5440
276.000000 80.341 170.0916
280.000000 80.282 170.6223
285.000000 80.212 171.2943
290.000000 80.147 171.9884
295.000000 80.083 172.6731
300.000000 80.020 173.3655
304.000000 79.974 173.9245
307.000000 79.942 174.3365
311.000000 79.902 174.8804
315.000000 79.861 175.4358
320.000000 79.811 176.1350
325.000000 79.764 176.8229
330.000000 79.719 177.5198
335.000000 79.677 178.2174
340.000000 79.637 178.9034
345.000000 79.601 179.5850
350.000000 79.566 -179.7366
355.000000 79.532 -179.0627
360.000000 79.502 -178.3859
365.000000 79.474 -177.7135
370.000000 79.448 -177.0575
375.000000 79.421 -176.4175
382.000000 79.386 -175.5115
387.000000 79.364 -174.8626
395.000000 79.332 -173.8385
400.000000 79.314 -173.1992
406.000000 79.295 -172.4351
412.000000 79.276 -171.6879
418.000000 79.258 -170.9578
425.000000 79.242 -170.1096
431.000000 79.231 -169.3877
437.000000 79.222 -168.6714
444.000000 79.211 -167.8374
450.000000 79.203 -167.1322
455.000000 79.197 -166.5542
462.000000 79.191 -165.7568
468.000000 79.187 -165.0789
475.000000 79.184 -164.2895
482.000000 79.183 -163.5121
487.000000 79.184 -162.9634
494.000000 79.185 -162.2069
500.000000 79.186 -161.5621
508.000000 79.187 -160.6991
515.000000 79.190 -159.9542
522.000000 79.193 -159.2180
530.000000 79.199 -158.3790
538.000000 79.204 -157.5510
545.000000 79.207 -156.8307
552.000000 79.210 -156.1171
560.000000 79.215 -155.3135
570.000000 79.221 -154.3076
580.000000 79.227 -153.3152
590.000000 79.234 -152.3276
600.000000 79.242 -151.3446
608.000000 79.249 -150.5620
615.000000 79.257 -149.8815
622.000000 79.267 -149.2080
630.000000 79.278 -148.4343
640.000000 79.292 -147.4662
650.000000 79.306 -146.5092
660.000000 79.322 -145.5612
670.000000 79.338 -144.6111
680.000000 79.357 -143.6652
690.000000 79.375 -142.7278
700.000000 79.395 -141.7892
710.000000 79.417 -140.8615
720.000000 79.439 -139.9435
730.000000 79.461 -139.0278
740.000000 79.483 -138.1145
750.000000 79.505 -137.2107
762.000000 79.527 -136.1474
775.000000 79.539 -134.9965
788.000000 79.531 -133.7755
800.000000 79.510 -132.3840
812.000000 79.533 -130.6019
825.000000 79.671 -128.8230
838.000000 79.828 -127.7816
850.000000 79.901 -127.1258
862.000000 79.914 -126.2519
875.000000 79.937 -124.8466
885.000000 79.998 -123.6932
900.000000 80.125 -122.2222
912.000000 80.224 -121.2151
925.000000 80.325 -120.1875
938.000000 80.422 -119.1834
950.000000 80.513 -118.2732
962.000000 80.604 -117.3866
975.000000 80.702 -116.4526
988.000000 80.801 -115.5490
1000.000000 80.894 -114.7480
1015.000000 81.012 -113.7843
1030.000000 81.130 -112.8607
1044.000000 81.242 -112.0447
1060.000000 81.368 -111.1669
1075.000000 81.483 -110.3904
1090.000000 81.596 -109.6542
1106.000000 81.722 -108.9168
1120.000000 81.831 -108.3102
1138.000000 81.968 -107.5793
1150.000000 82.057 -107.1226
1172.000000 82.214 -106.3430
1180.000000 82.270 -106.0766
1206.000000 82.447 -105.2690
1220.000000 82.542 -104.8774
1241.000000 82.683 -104.2978
1250.000000 82.741 -104.0446
1265.000000 82.834 -103.6418
1280.000000 82.924 -103.2676
1315.000000 83.122 -102.4586
1320.000000 83.148 -102.3469
1340.000000 83.249 -101.9048
1360.000000 83.343 -101.4742
1380.000000 83.434 -101.0568
1400.000000 83.522 -100.6498
1430.000000 83.644 -100.0446
1450.000000 83.721 -99.6440
1475.000000 83.811 -99.1529
1500.000000 83.895 -98.6635
1525.000000 83.972 -98.1848
1550.000000 84.042 -97.7480
1575.000000 84.097 -97.3977
1600.000000 84.120 -97.0538
1625.000000 84.121 -96.5016
1650.000000 84.139 -95.7867
1675.000000 84.174 -95.0948
1700.000000 84.211 -94.4614
1725.000000 84.246 -93.8544
1750.000000 84.276 -93.2574
1775.000000 84.302 -92.6644
1800.000000 84.324 -92.0686
1825.000000 84.342 -91.4633
1850.000000 84.357 -90.8499
1875.000000 84.370 -90.2319
1900.000000 84.380 -89.6086
1925.000000 84.387 -88.9777
1950.000000 84.393 -88.3394
1975.000000 84.397 -87.6939
2000.000000 84.400 -87.0439
2030.000000 84.402 -86.2603
2060.000000 84.402 -85.4767
2090.000000 84.402 -84.7195
2120.000000 84.396 -84.0188
2140.000000 84.385 -83.5643
2180.000000 84.352 -82.6090
2200.000000 84.334 -82.1198
2240.000000 84.296 -81.1716
2270.000000 84.259 -80.5098
2300.000000 84.212 -79.8963
2330.000000 84.150 -79.3269
2360.000000 84.066 -78.7901
2400.000000 83.911 -78.0781
2430.000000 83.756 -77.4831
2470.000000 83.494 -76.4438
2500.000000 83.261 -75.3389
2540.000000 82.928 -73.2737
2580.000000 82.616 -70.5167
2620.000000 82.368 -67.2653
2650.000000 82.232 -64.6772
2690.000000 82.109 -61.2026
2720.000000 82.045 -58.6335
2760.000000 81.981 -55.2546
2800.000000 81.930 -51.8659
2850.000000 81.882 -47.4957
2900.000000 81.862 -42.8757
2950.000000 81.893 -37.9438
3000.000000 81.997 -32.7346
3040.000000 82.151 -28.4528
3070.000000 82.312 -25.2358
3110.000000 82.590 -21.0239
3150.000000 82.938 -16.9991
3200.000000 83.464 -12.3934
3250.000000 84.069 -8.4121
3300.000000 84.726 -5.1622
3350.000000 85.404 -2.6923
3400.000000 86.078 -1.0051
3450.000000 86.719 -0.0663
3500.000000 87.306 0.1903
3550.000000 87.821 -0.1348
3600.000000 88.249 -0.9104
3650.000000 88.582 -1.9792
3700.000000 88.815 -3.1752
3750.000000 88.954 -4.3412
3820.000000 89.009 -5.6786
3870.000000 88.968 -6.3090
3950.000000 88.809 -6.6696
4000.000000 88.675 -6.4993
4060.000000 88.503 -5.9319
4120.000000 88.334 -5.0485
4180.000000 88.177 -3.9529
4250.000000 88.012 -2.5197
4310.000000 87.884 -1.2314
4370.000000 87.763 0.0593
4440.000000 87.624 1.5216
4500.000000 87.494 2.7408
4550.000000 87.375 3.7522
4620.000000 87.185 5.2054
4680.000000 87.004 6.5159
4750.000000 86.770 8.1064
4820.000000 86.502 9.7692
4870.000000 86.284 11.0687
4940.000000 85.949 13.1762
5000.000000 85.649 15.2619
5080.000000 85.238 18.4033
5150.000000 84.871 21.5211
5220.000000 84.510 24.9977
5300.000000 84.120 29.3866
5380.000000 83.765 34.1647
5450.000000 83.488 38.6025
5520.000000 83.244 43.2218
5600.000000 83.011 48.6671
5700.000000 82.789 55.6580
5800.000000 82.648 62.8469
5900.000000 82.599 70.2839
6000.000000 82.695 78.0005
6080.000000 82.938 84.2048
