* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 22, 2022 5:36:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: (pre-op) L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.906357	-173.0492
20.600000	104.886543	-173.7228
20.900000	104.861618	-174.3269
21.200001	104.836014	-174.9317
21.400000	104.818962	-175.3391
21.799999	104.784126	-176.1543
22.000000	104.766190	-176.5541
22.400000	104.729935	-177.3204
22.700001	104.704102	-177.8581
23.000000	104.680893	-178.3705
23.299999	104.660675	-178.8719
23.600000	104.642540	-179.3787
24.000000	104.617737	179.9218
24.299999	104.595924	179.3851
24.700001	104.560928	178.6794
25.000000	104.531570	178.1770
25.400000	104.491783	177.5539
25.799999	104.454430	176.9701
26.200001	104.418808	176.3978
26.500000	104.390900	175.9662
26.900000	104.349220	175.3945
27.200001	104.314400	174.9809
27.600000	104.266403	174.4645
28.000000	104.221512	173.9852
28.500000	104.174744	173.4019
29.000000	104.134949	172.7925
29.500000	104.093315	172.1600
30.000000	104.044609	171.5515
30.400000	104.002205	171.1042
30.700001	103.970352	170.7896
31.100000	103.929367	170.3825
31.500000	103.889984	169.9706
32.000000	103.840416	169.4371
32.500000	103.787880	168.8981
33.000000	103.732574	168.3843
33.500000	103.677132	167.9127
34.000000	103.624008	167.4753
34.500000	103.573212	167.0521
35.000000	103.522751	166.6297
35.500000	103.470978	166.2096
36.000000	103.418045	165.7997
36.500000	103.365128	165.4022
37.000000	103.312691	165.0135
37.500000	103.260391	164.6328
38.200001	103.187637	164.1204
38.700001	103.136795	163.7693
39.500000	103.056038	163.2272
40.000000	103.004471	162.9077
40.599998	102.942528	162.5485
41.200001	102.881836	162.1965
41.799999	102.820869	161.8358
42.500000	102.748474	161.4244
43.099998	102.689064	161.0970
43.700001	102.633095	160.7765
44.400002	102.565422	160.4046
45.000000	102.503265	160.1174
45.500000	102.452408	159.9039
46.200001	102.385849	159.6034
46.799999	102.328888	159.3284
47.500000	102.259377	159.0313
48.200001	102.192482	158.7737
48.700001	102.147400	158.5830
49.400002	102.083084	158.2938
50.000000	102.026489	158.0620
50.799999	101.955719	157.8063
51.500000	101.898140	157.5981
52.200001	101.838127	157.3651
53.000000	101.761642	157.0735
53.799999	101.685951	156.8370
54.500000	101.633759	156.6691
55.200001	101.582130	156.4489
56.000000	101.501816	156.2104
57.000000	101.419403	155.9855
