* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 1, 2022 7:59:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.053612	-170.6362
20.600000	103.040619	-171.2819
20.900000	103.027435	-171.8814
21.200001	103.016037	-172.5055
21.400000	103.008926	-172.9384
21.799999	102.992966	-173.8299
22.000000	102.982986	-174.2779
22.400000	102.957916	-175.1535
22.700001	102.935059	-175.7751
23.000000	102.910126	-176.3637
23.299999	102.884506	-176.9266
23.600000	102.859131	-177.4768
24.000000	102.825813	-178.2107
24.299999	102.800812	-178.7650
24.700001	102.767502	-179.4972
25.000000	102.743835	179.9728
25.400000	102.716858	179.3026
25.799999	102.696983	178.6612
26.200001	102.681587	178.0181
26.500000	102.668839	177.5207
26.900000	102.644302	176.8425
27.200001	102.618294	176.3373
27.600000	102.575287	175.6940
28.000000	102.527863	175.0943
28.500000	102.469032	174.3895
29.000000	102.409950	173.7197
29.500000	102.346573	173.1204
30.000000	102.282486	172.6354
30.400000	102.236443	172.3067
30.700001	102.205818	172.0569
31.100000	102.166779	171.6746
31.500000	102.123047	171.2214
32.000000	102.056602	170.6058
32.500000	101.984589	170.0187
33.000000	101.923569	169.4857
33.500000	101.881195	168.9584
34.000000	101.849594	168.3937
34.500000	101.815201	167.8137
35.000000	101.770126	167.2848
35.500000	101.715881	166.8559
36.000000	101.660271	166.5173
36.500000	101.609924	166.2019
37.000000	101.563995	165.8258
37.500000	101.514580	165.3564
38.200001	101.429657	164.6592
38.700001	101.365822	164.2474
39.500000	101.285713	163.7447
40.000000	101.247017	163.4302
40.599998	101.195847	163.0109
41.200001	101.134506	162.5866
41.799999	101.069389	162.1786
42.500000	100.995285	161.7213
43.099998	100.935196	161.3629
43.700001	100.879341	161.0331
44.400002	100.812584	160.6464
45.000000	100.746964	160.3286
45.500000	100.690277	160.0974
46.200001	100.620178	159.7817
46.799999	100.567993	159.4437
47.500000	100.501823	158.9951
48.200001	100.429207	158.6343
48.700001	100.383133	158.4586
49.400002	100.331558	158.2166
50.000000	100.284966	157.9272
50.799999	100.198532	157.5178
51.500000	100.118095	157.2906
52.200001	100.056839	157.1197
53.000000	99.991974	156.8622
53.799999	99.920410	156.6310
54.500000	99.869141	156.4036
55.200001	99.815094	156.0908
56.000000	99.737053	155.8375
57.000000	99.642990	155.5793
58.000000	99.534050	155.2182
59.000000	99.516243	154.8883
60.000000	99.490250	154.0893
60.799999	99.352570	154.0433
61.500000	99.257668	154.4620
62.200001	99.207176	154.5171
63.000000	99.132500	154.1688
64.000000	99.048553	153.9431
65.000000	98.981018	153.8389
66.000000	98.899292	153.7745
67.000000	98.826256	153.5378
68.000000	98.746750	153.3566
69.000000	98.671295	153.2635
70.000000	98.590576	153.1564
71.000000	98.521614	153.0118
72.000000	98.445107	152.8820
73.000000	98.368568	152.8650
74.000000	98.304138	152.8425
75.000000	98.249535	152.8151
76.199997	98.183479	152.7769
77.500000	98.108810	152.6837
78.800003	98.042328	152.5056
80.000000	97.978409	152.3778
81.199997	97.905838	152.3145
82.500000	97.815926	152.2397
83.800003	97.737381	152.1794
85.000000	97.667633	152.0891
86.199997	97.597977	152.0527
87.500000	97.520592	152.0193
88.500000	97.459587	152.0161
90.000000	97.373352	151.9596
91.199997	97.307266	151.9616
92.500000	97.238686	151.9393
93.800003	97.164574	151.9434
95.000000	97.105621	151.9603
96.199997	97.041428	151.9853
97.500000	96.976555	152.0009
98.800003	96.907745	152.0046
100.000000	96.848854	152.0500
101.500000	96.774712	152.0779
103.000000	96.702377	152.1391
104.400002	96.643250	152.1705
106.000000	96.564949	152.2313
107.500000	96.497467	152.2953
109.000000	96.429810	152.3518
110.599998	96.363411	152.4433
112.000000	96.298843	152.5056
113.800003	96.231903	152.5874
115.000000	96.174149	152.7379
117.199997	96.086082	152.7863
118.000000	96.078926	152.9277
120.599998	95.903839	153.5086
122.000000	95.899750	152.9376
124.099998	95.828789	153.2812
125.000000	95.783287	153.3261
126.500000	95.739067	153.3837
128.000000	95.685211	153.5368
131.500000	95.565521	153.7994
132.000000	95.546654	153.8338
134.000000	95.478882	153.9895
136.000000	95.415779	154.1324
138.000000	95.349365	154.3120
140.000000	95.289658	154.4372
143.000000	95.199875	154.7093
145.000000	95.140900	154.8681
147.500000	95.063705	155.1128
150.000000	95.000015	155.3026
152.500000	94.922592	155.5220
155.000000	94.862801	155.7797
157.500000	94.797226	155.9813
160.000000	94.731308	156.1701
162.500000	94.669647	156.4045
165.000000	94.606827	156.6448
167.500000	94.546036	156.8641
170.000000	94.488533	157.0858
172.500000	94.425896	157.3289
175.000000	94.372231	157.5437
177.500000	94.314850	157.8064
180.000000	94.266060	157.9855
182.500000	94.204689	158.2856
185.000000	94.148155	158.5381
187.500000	94.093124	158.7958
190.000000	94.040863	159.0530
192.500000	93.987473	159.3084
195.000000	93.934792	159.6240
197.500000	93.880806	159.9349
200.000000	93.835609	160.2364
203.000000	93.783539	160.6635
206.000000	93.740936	161.0806
209.000000	93.702614	161.4329
212.000000	93.665077	161.7585
214.000000	93.641899	161.9608
218.000000	93.587204	162.3834
220.000000	93.556778	162.5897
224.000000	93.491684	163.0258
227.000000	93.448524	163.4034
230.000000	93.404068	163.8226
233.000000	93.355667	164.2869
236.000000	93.330238	164.8093
240.000000	93.313957	164.9484
243.000000	93.298759	166.0991
247.000000	93.331337	166.7079
250.000000	93.361275	167.0426
254.000000	93.393082	167.2287
258.000000	93.413086	167.3251
262.000000	93.405403	167.3732
265.000000	93.394112	167.4033
269.000000	93.371475	167.4935
272.000000	93.343803	167.6122
276.000000	93.312073	167.7149
280.000000	93.277924	167.9509
285.000000	93.232330	168.2115
290.000000	93.192505	168.4693
295.000000	93.143372	168.7731
300.000000	93.052170	169.1714
304.000000	93.071411	169.3665
307.000000	93.048767	169.5124
311.000000	93.023705	169.8590
315.000000	92.987282	170.1455
320.000000	92.957558	170.4589
325.000000	92.928673	170.8597
330.000000	92.901009	171.1537
335.000000	92.868515	171.5607
340.000000	92.845001	171.9197
345.000000	92.817734	172.2379
350.000000	92.795654	172.6200
355.000000	92.769455	172.9424
360.000000	92.736076	173.2827
365.000000	92.720833	173.6228
370.000000	92.700645	173.9948
375.000000	92.680847	174.3524
382.000000	92.655518	174.8449
387.000000	92.640472	175.1700
395.000000	92.610672	175.7302
400.000000	92.596939	176.0922
406.000000	92.573235	176.4830
412.000000	92.560997	176.9270
418.000000	92.546844	177.2663
425.000000	92.526367	177.7999
431.000000	92.513885	178.1845
437.000000	92.506783	178.6267
444.000000	92.489136	179.0982
450.000000	92.478592	179.5162
455.000000	92.474518	179.8358
462.000000	92.468109	-179.6804
468.000000	92.459351	-179.2941
475.000000	92.459076	-178.8135
482.000000	92.451035	-178.4314
487.000000	92.443077	-178.0078
494.000000	92.446442	-177.6013
500.000000	92.438278	-177.2198
508.000000	92.435471	-176.7616
515.000000	92.432281	-176.2901
522.000000	92.435089	-175.8654
530.000000	92.433807	-175.3903
538.000000	92.432350	-174.8987
545.000000	92.435265	-174.4427
552.000000	92.434967	-173.9955
560.000000	92.433670	-173.4983
570.000000	92.438400	-172.8775
580.000000	92.440186	-172.2562
590.000000	92.447174	-171.5927
600.000000	92.457024	-170.9557
608.000000	92.468468	-170.4666
615.000000	92.473244	-170.0303
622.000000	92.482231	-169.5894
630.000000	92.492996	-169.0606
640.000000	92.508881	-168.4515
650.000000	92.520004	-167.7804
660.000000	92.514175	-167.1850
670.000000	92.562614	-166.4912
680.000000	92.584579	-165.8452
690.000000	92.605530	-165.2120
700.000000	92.634476	-164.5725
710.000000	92.663040	-163.8904
720.000000	92.699425	-163.2492
730.000000	92.724312	-162.5847
740.000000	92.756393	-161.9098
750.000000	92.790947	-161.2507
762.000000	92.837715	-160.4706
775.000000	92.885017	-159.5691
788.000000	92.947304	-158.7027
800.000000	93.002724	-157.8600
812.000000	93.057877	-157.0704
825.000000	93.129211	-156.2060
838.000000	93.202515	-155.2643
850.000000	93.275726	-154.4741
862.000000	93.351120	-153.6679
875.000000	93.439835	-152.8037
885.000000	93.507454	-152.1220
900.000000	93.585281	-151.1383
912.000000	93.720001	-150.3636
925.000000	93.824020	-149.5161
938.000000	93.941917	-148.6907
950.000000	94.050369	-147.9330
962.000000	94.169800	-147.2361
975.000000	94.299072	-146.4566
988.000000	94.433174	-145.7393
1000.000000	94.560616	-145.0992
1015.000000	94.732986	-144.3577
1030.000000	94.902283	-143.6376
1044.000000	95.066895	-143.0535
1060.000000	95.259781	-142.4132
1075.000000	95.437935	-141.9203
1090.000000	95.620621	-141.4610
1106.000000	95.811287	-141.0478
1120.000000	95.973671	-140.7386
1138.000000	96.181122	-140.3815
1150.000000	96.315331	-140.1796
1172.000000	96.555450	-139.8625
1180.000000	96.637367	-139.7443
1206.000000	96.907913	-139.4501
1220.000000	97.050072	-139.2848
1241.000000	97.255417	-139.0827
1250.000000	97.340469	-138.9909
1265.000000	97.482101	-138.8642
1280.000000	97.622162	-138.7108
1315.000000	97.942047	-138.3594
1320.000000	97.972702	-138.3034
1340.000000	98.163185	-138.0725
1360.000000	98.348099	-137.7954
1380.000000	98.548363	-137.4456
1400.000000	98.750664	-137.2219
1430.000000	99.082214	-137.0138
1450.000000	99.297684	-137.0366
1475.000000	99.553925	-137.1253
1500.000000	99.796974	-137.2396
1525.000000	100.037949	-137.3574
1550.000000	100.278923	-137.4560
1575.000000	100.524361	-137.5743
1600.000000	100.775467	-137.7542
1625.000000	101.033058	-137.9699
1650.000000	101.303596	-138.2598
1675.000000	101.583824	-138.6778
1700.000000	101.881897	-139.2935
1725.000000	102.191833	-140.1373
1750.000000	102.518013	-141.3800
1775.000000	102.843582	-143.2975
1800.000000	103.110199	-146.2271
1825.000000	103.160255	-150.3862
1850.000000	102.698250	-154.6878
1875.000000	101.785889	-154.0977
1900.000000	101.502579	-149.1002
1925.000000	101.775871	-145.5232
1950.000000	102.149361	-143.8989
1975.000000	102.500168	-143.3953
2000.000000	102.816986	-143.4650
2030.000000	103.150879	-143.9589
2060.000000	103.443558	-144.6890
2090.000000	103.696678	-145.5882
2120.000000	103.922386	-146.5971
2140.000000	104.057037	-147.3428
2180.000000	104.292343	-148.8856
2200.000000	104.390633	-149.6673
2240.000000	104.558075	-151.2701
2270.000000	104.654091	-152.4778
2300.000000	104.725815	-153.6490
2330.000000	104.773468	-154.6874
2360.000000	104.820183	-155.5513
2400.000000	104.917572	-156.8019
2430.000000	104.966125	-157.9795
2470.000000	104.977165	-159.4762
2500.000000	104.964050	-160.4660
2540.000000	104.932259	-161.6853
2580.000000	104.894386	-162.7782
2620.000000	104.851135	-163.8185
2650.000000	104.823242	-164.6162
2690.000000	104.788490	-165.8504
2720.000000	104.754662	-167.0611
2760.000000	104.637009	-169.3631
2800.000000	104.239777	-172.3588
2850.000000	103.096550	-171.7745
2900.000000	102.807007	-166.0923
2950.000000	102.933487	-162.8837
3000.000000	103.075089	-161.6032
3040.000000	103.130798	-160.9474
3070.000000	103.154160	-160.5089
3110.000000	103.175117	-159.9390
3150.000000	103.189491	-159.3323
3200.000000	103.211304	-158.5209
3250.000000	103.251442	-157.5956
3300.000000	103.358002	-156.7114
3350.000000	103.470909	-156.3449
3400.000000	103.550568	-156.0864
3450.000000	103.615524	-155.5992
3500.000000	103.766403	-154.9799
3550.000000	103.993126	-154.7783
3600.000000	104.280495	-155.1252
3650.000000	104.634262	-156.2580
3700.000000	105.043419	-158.7102
3750.000000	105.444656	-163.1683
3820.000000	105.656296	-174.3324
3870.000000	105.124130	172.0403
3950.000000	98.247025	167.1252
4000.000000	96.915634	-163.0918
4060.000000	98.235291	-147.6151
4120.000000	99.287170	-143.0671
4180.000000	99.918015	-141.0106
4250.000000	100.346817	-139.5522
4310.000000	100.612961	-138.1435
4370.000000	100.890457	-137.1050
4440.000000	101.119003	-136.7244
4500.000000	101.172783	-135.8204
4550.000000	101.338547	-134.8531
4620.000000	101.600784	-134.4541
4680.000000	101.789162	-134.7659
4750.000000	101.925903	-135.8672
4820.000000	101.905075	-137.7377
4870.000000	101.678421	-139.5055
4940.000000	100.902428	-137.8528
5000.000000	101.052170	-134.2314
5080.000000	101.310509	-134.6403
5150.000000	101.204178	-135.8806
5220.000000	100.851120	-136.5476
5300.000000	100.405357	-134.9427
5380.000000	100.174561	-133.4701
5450.000000	99.773941	-131.6870
5520.000000	99.580322	-127.7959
5600.000000	99.699959	-124.1561
5700.000000	99.963051	-120.7759
5800.000000	100.338837	-118.5039
5900.000000	100.744377	-117.2397
6000.000000	101.172813	-116.8775
6080.000000	101.493073	-117.2695
6150.000000	101.726624	-117.9941
6220.000000	101.933044	-118.5653
6300.000000	102.230362	-119.5609
6400.000000	102.540619	-121.7720
6500.000000	102.698975	-124.2650
6600.000000	102.755737	-126.3147
6700.000000	102.760239	-127.2702
6800.000000	102.904236	-127.2083
6900.000000	103.288925	-126.4833
7000.000000	104.045319	-126.6318
7100.000000	104.983597	-129.2949
7200.000000	105.879890	-134.1570
7300.000000	106.741638	-142.8730
7400.000000	106.182739	-155.4694
7500.000000	104.935478	-149.3077
7620.000000	106.978737	-146.9817
7750.000000	108.520012	-157.6205
7880.000000	109.389038	-171.0851
8000.000000	109.563454	174.2086
8120.000000	108.862053	160.8260
8250.000000	107.869919	150.1108
8380.000000	106.491211	140.2007
8500.000000	104.616318	135.3590
8620.000000	102.964218	138.7952
8750.000000	102.608658	143.9341
8850.000000	102.592812	144.1733
9000.000000	102.344620	142.3459
9120.000000	101.959404	140.5952
9250.000000	101.480530	138.9890
9380.000000	100.903412	137.4381
9500.000000	100.229874	136.4537
9620.000000	99.464241	136.7210
9750.000000	98.694412	138.3527
9880.000000	98.031563	140.7860
10000.000000	97.506470	143.4608
10150.000000	96.947578	147.0564
10300.000000	96.527847	151.4677
10440.000000	96.247574	155.3406
10600.000000	96.111000	159.8186
10750.000000	96.091934	163.5042
10900.000000	96.209198	166.7017
11060.000000	96.424797	169.0918
11200.000000	96.662445	170.4166
11380.000000	97.019913	170.7505
11500.000000	97.208435	169.6706
11720.000000	97.132599	167.9928
11800.000000	97.150406	168.1297
12060.000000	97.618172	168.2938
12200.000000	98.178650	167.1266
12410.000000	99.236526	161.7774
12500.000000	99.712875	158.1930
12650.000000	100.508194	150.3833
12800.000000	101.226608	140.0823
13150.000000	102.275787	108.1408
13200.000000	102.328461	102.6417
13400.000000	102.024460	78.9948
13600.000000	100.918709	56.9170
13800.000000	99.573318	38.9496
14000.000000	98.386635	24.3848
14300.000000	97.199005	6.4357
14500.000000	96.827728	-3.8509
14750.000000	96.819344	-15.6080
15000.000000	97.377586	-27.4724
15250.000000	98.511383	-41.2546
15500.000000	100.090927	-60.5401
15750.000000	101.420128	-88.5836
16000.000000	101.314209	-123.3466
16250.000000	99.518356	-155.1484
16500.000000	97.154945	-179.9465
16750.000000	94.832909	159.5160
17000.000000	92.667595	141.1517
17250.000000	90.806366	124.0580
17500.000000	89.289230	105.2943
17750.000000	87.660500	83.9932
18000.000000	85.840385	63.3163
18250.000000	84.535744	44.0633
18500.000000	84.378990	19.5087
18750.000000	84.147446	-17.1826
19000.000000	82.875214	-59.8513
19250.000000	81.388748	-102.3698
19500.000000	80.728172	-153.1975
19750.000000	79.943604	140.8641
