* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 15, 2021 9:32:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Blon Prometheus
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	109.488091	-134.5449
20.600000	109.547501	-135.3100
20.900000	109.598618	-136.0033
21.200001	109.645882	-136.6936
21.400000	109.675842	-137.1538
21.799999	109.732346	-138.0694
22.000000	109.759109	-138.5213
22.400000	109.810623	-139.4071
22.700001	109.848709	-140.0540
23.000000	109.887169	-140.6896
23.299999	109.926094	-141.3178
23.600000	109.964890	-141.9398
24.000000	110.014793	-142.7500
24.299999	110.050316	-143.3299
24.700001	110.095978	-144.0500
25.000000	110.130402	-144.5524
25.400000	110.177788	-145.1958
25.799999	110.225204	-145.8529
26.200001	110.267799	-146.5574
26.500000	110.293602	-147.1170
26.900000	110.319084	-147.8782
27.200001	110.333443	-148.4378
27.600000	110.351860	-149.1454
28.000000	110.374710	-149.8078
28.500000	110.411392	-150.5991
29.000000	110.449532	-151.3757
29.500000	110.480591	-152.1299
30.000000	110.503952	-152.8442
30.400000	110.521027	-153.3952
30.700001	110.534729	-153.8097
31.100000	110.554535	-154.3763
31.500000	110.574631	-154.9579
32.000000	110.597748	-155.6787
32.500000	110.618393	-156.3587
33.000000	110.638161	-156.9931
33.500000	110.657211	-157.6086
34.000000	110.673622	-158.2305
34.500000	110.686386	-158.8589
35.000000	110.697464	-159.4776
35.500000	110.709869	-160.0769
36.000000	110.724503	-160.6619
36.500000	110.739136	-161.2415
37.000000	110.750648	-161.8164
37.500000	110.758003	-162.3783
38.200001	110.765045	-163.1333
38.700001	110.771088	-163.6565
39.500000	110.782852	-164.4872
40.000000	110.789078	-165.0008
40.599998	110.794327	-165.6018
41.200001	110.798035	-166.1868
41.799999	110.800674	-166.7618
42.500000	110.802277	-167.4182
43.099998	110.803070	-167.9662
43.700001	110.803482	-168.5084
44.400002	110.802170	-169.1376
45.000000	110.799850	-169.6659
45.500000	110.797745	-170.0988
46.200001	110.792595	-170.6957
46.799999	110.784645	-171.1806
47.500000	110.777023	-171.7046
48.200001	110.776161	-172.2494
48.700001	110.774437	-172.6797
49.400002	110.763062	-173.2744
50.000000	110.752159	-173.7123
50.799999	110.748901	-174.2510
51.500000	110.745979	-174.7611
52.200001	110.733704	-175.2644
53.000000	110.719467	-175.8119
53.799999	110.706375	-176.3973
54.500000	110.689514	-176.9019
55.200001	110.672348	-177.3597
56.000000	110.655899	-177.8654
57.000000	110.639404	-178.5150
58.000000	110.620110	-179.1770
59.000000	110.592010	-179.6441
60.000000	110.582138	179.9249
60.799999	110.559692	179.3730
61.500000	110.521942	178.8943
62.200001	110.492149	178.5068
63.000000	110.475449	178.0998
64.000000	110.453941	177.6211
65.000000	110.424530	177.2115
66.000000	110.404808	176.8244
67.000000	110.396179	176.3605
68.000000	110.379982	175.8973
69.000000	110.366676	175.4297
70.000000	110.345520	174.8931
71.000000	110.325600	174.3983
72.000000	110.307167	173.8820
73.000000	110.279785	173.4173
74.000000	110.253197	172.9310
75.000000	110.215973	172.4253
76.199997	110.181580	171.9192
77.500000	110.146873	171.3351
78.800003	110.093933	170.8166
80.000000	110.056007	170.3214
81.199997	110.011559	169.7994
82.500000	109.966423	169.3175
83.800003	109.913490	168.8082
85.000000	109.865273	168.3898
86.199997	109.815643	167.9908
87.500000	109.760208	167.5488
88.500000	109.714409	167.1936
90.000000	109.649315	166.7388
91.199997	109.595474	166.4970
92.500000	109.525795	166.2013
93.800003	109.470741	166.0716
95.000000	109.436020	165.8747
96.199997	109.397797	165.8245
97.500000	109.385811	165.6722
98.800003	109.379951	165.4260
100.000000	109.377113	165.0852
101.500000	109.360474	164.6351
103.000000	109.334076	164.1048
104.400002	109.297913	163.6283
106.000000	109.245644	163.1156
107.500000	109.195900	162.6677
109.000000	109.138710	162.2300
110.599998	109.084373	161.8034
112.000000	109.031563	161.4326
113.800003	108.962090	160.9954
115.000000	108.919281	160.7167
117.199997	108.829582	160.2546
118.000000	108.793709	160.0262
120.599998	108.730423	159.4247
122.000000	108.639809	159.3389
124.099998	108.558952	158.8794
125.000000	108.527054	158.7421
126.500000	108.461807	158.4810
128.000000	108.403053	158.2186
131.500000	108.258934	157.7068
132.000000	108.238441	157.6403
134.000000	108.151947	157.3561
136.000000	108.066139	157.1076
138.000000	107.976601	156.8828
140.000000	107.885605	156.6787
143.000000	107.745155	156.4508
145.000000	107.645592	156.3432
147.500000	107.520683	156.3036
150.000000	107.391235	156.3820
152.500000	107.264366	156.6367
155.000000	107.145035	157.0840
157.500000	107.054268	157.7979
160.000000	107.025421	158.7594
162.500000	107.082146	159.6092
165.000000	107.219849	160.0135
167.500000	107.359116	159.6937
170.000000	107.442085	158.9026
172.500000	107.459305	157.9905
175.000000	107.432716	157.1832
177.500000	107.381813	156.4630
180.000000	107.316704	155.8480
182.500000	107.248405	155.3446
185.000000	107.171463	154.8789
187.500000	107.093193	154.5022
190.000000	107.014999	154.1542
192.500000	106.932930	153.8501
195.000000	106.855324	153.5842
197.500000	106.775444	153.3555
200.000000	106.696846	153.1464
203.000000	106.602402	152.9310
206.000000	106.511292	152.7477
209.000000	106.421791	152.5937
212.000000	106.334343	152.4580
214.000000	106.276215	152.3715
218.000000	106.162491	152.2207
220.000000	106.107620	152.1510
224.000000	105.997498	152.0464
227.000000	105.916206	151.9737
230.000000	105.835854	151.9211
233.000000	105.756409	151.8775
236.000000	105.678314	151.8416
240.000000	105.609276	151.7545
243.000000	105.502495	151.7905
247.000000	105.402969	151.7772
250.000000	105.329277	151.7780
254.000000	105.233475	151.7904
258.000000	105.140610	151.8224
262.000000	105.046722	151.8494
265.000000	104.977829	151.8854
269.000000	104.887650	151.9543
272.000000	104.821976	151.9928
276.000000	104.732300	152.0527
280.000000	104.647240	152.1366
285.000000	104.541382	152.2505
290.000000	104.435532	152.3732
295.000000	104.334610	152.4938
300.000000	104.253021	152.6212
304.000000	104.152489	152.7635
307.000000	104.093552	152.8827
311.000000	104.017853	153.0204
315.000000	103.942673	153.1577
320.000000	103.848755	153.3459
325.000000	103.756363	153.5354
330.000000	103.666458	153.7342
335.000000	103.579498	153.9468
340.000000	103.490875	154.1628
345.000000	103.405846	154.3939
350.000000	103.321304	154.6243
355.000000	103.238480	154.8616
360.000000	103.154152	155.1046
365.000000	103.078064	155.3571
370.000000	102.999763	155.6216
375.000000	102.922516	155.8784
382.000000	102.816322	156.2501
387.000000	102.742516	156.5141
395.000000	102.627533	156.9727
400.000000	102.557228	157.2522
406.000000	102.472359	157.6079
412.000000	102.390770	157.9570
418.000000	102.312424	158.3092
425.000000	102.218521	158.7489
431.000000	102.144348	159.1244
437.000000	102.068504	159.4918
444.000000	101.982994	159.9443
450.000000	101.910797	160.3229
455.000000	101.852142	160.6562
462.000000	101.772911	161.1130
468.000000	101.704506	161.5184
475.000000	101.627625	161.9807
482.000000	101.553940	162.4808
487.000000	101.499535	162.8010
494.000000	101.427933	163.2822
500.000000	101.368050	163.7117
508.000000	101.289360	164.2766
515.000000	101.222420	164.7805
522.000000	101.155701	165.2879
530.000000	101.082993	165.8536
538.000000	101.010811	166.4380
545.000000	100.952530	166.9493
552.000000	100.893967	167.4721
560.000000	100.827667	168.0563
570.000000	100.749985	168.8221
580.000000	100.676025	169.5798
590.000000	100.601639	170.3345
600.000000	100.536995	171.1512
608.000000	100.478386	171.7398
615.000000	100.433495	172.2914
622.000000	100.388672	172.8305
630.000000	100.339523	173.4703
640.000000	100.280609	174.2629
650.000000	100.225166	175.0558
660.000000	100.173111	175.7896
670.000000	100.121460	176.6750
680.000000	100.075966	177.5016
690.000000	100.029694	178.3105
700.000000	99.986847	179.1359
710.000000	99.949608	179.9659
720.000000	99.918823	-179.2191
730.000000	99.877991	-178.3686
740.000000	99.847260	-177.5331
750.000000	99.819176	-176.6894
762.000000	99.788948	-175.6792
775.000000	99.762527	-174.5665
788.000000	99.740341	-173.4843
800.000000	99.723961	-172.4826
812.000000	99.713531	-171.4991
825.000000	99.704788	-170.4557
838.000000	99.679871	-169.5577
850.000000	99.604820	-168.4653
862.000000	99.609238	-166.9448
875.000000	99.651443	-165.6489
885.000000	99.683891	-164.7427
900.000000	99.754112	-163.4057
912.000000	99.761337	-162.4643
925.000000	99.801071	-161.3997
938.000000	99.845139	-160.3126
950.000000	99.888382	-159.3446
