* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2022 11:52:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.308014	30.7178
20.600000	104.334564	30.3358
20.900000	104.356674	29.9984
21.200001	104.379547	29.6571
21.400000	104.395805	29.4213
21.799999	104.429245	28.9317
22.000000	104.445496	28.6831
22.400000	104.475662	28.1961
22.700001	104.495949	27.8546
23.000000	104.514992	27.5381
23.299999	104.533638	27.2424
23.600000	104.552490	26.9576
24.000000	104.577751	26.5772
24.299999	104.596184	26.2846
24.700001	104.619324	25.8874
25.000000	104.635849	25.5917
25.400000	104.657768	25.2105
25.799999	104.680756	24.8474
26.200001	104.704712	24.4969
26.500000	104.722382	24.2376
26.900000	104.743820	23.8946
27.200001	104.757545	23.6410
27.600000	104.772881	23.3129
28.000000	104.786240	23.0002
28.500000	104.803329	22.6287
29.000000	104.823059	22.2662
29.500000	104.844536	21.9028
30.000000	104.865021	21.5418
30.400000	104.879662	21.2625
30.700001	104.889839	21.0615
31.100000	104.903107	20.8038
31.500000	104.916710	20.5516
32.000000	104.934113	20.2345
32.500000	104.950676	19.9141
33.000000	104.965714	19.6022
33.500000	104.980072	19.3076
34.000000	104.994843	19.0254
34.500000	105.009598	18.7448
35.000000	105.023010	18.4638
35.500000	105.034836	18.1907
36.000000	105.046547	17.9316
36.500000	105.059372	17.6812
37.000000	105.072754	17.4309
37.500000	105.085106	17.1793
38.200001	105.099823	16.8370
38.700001	105.109795	16.6037
39.500000	105.126785	16.2384
40.000000	105.137352	16.0114
40.599998	105.148987	15.7461
41.200001	105.159607	15.4933
41.799999	105.169853	15.2507
42.500000	105.181885	14.9700
43.099998	105.191872	14.7250
43.700001	105.200668	14.4812
44.400002	105.209961	14.2153
45.000000	105.218750	14.0045
45.500000	105.226624	13.8303
46.200001	105.236290	13.5811
46.799999	105.243103	13.3718
47.500000	105.252365	13.1358
48.200001	105.262833	12.8950
48.700001	105.268875	12.7251
49.400002	105.275589	12.5047
50.000000	105.281601	12.3215
50.799999	105.289406	12.0687
51.500000	105.296631	11.8545
52.200001	105.304703	11.6441
53.000000	105.309402	11.4119
53.799999	105.313576	11.2085
54.500000	105.321289	11.0082
55.200001	105.325653	10.8081
56.000000	105.332962	10.6557
57.000000	105.346039	10.3673
58.000000	105.337257	10.0603
59.000000	105.381004	9.7895
60.000000	105.405365	9.2699
60.799999	105.374451	9.2128
61.500000	105.369759	9.3143
62.200001	105.377968	9.1945
63.000000	105.372322	8.9276
64.000000	105.378502	8.7168
65.000000	105.389847	8.5030
66.000000	105.387993	8.3302
67.000000	105.391090	8.1149
68.000000	105.395493	7.9087
69.000000	105.401161	7.7204
70.000000	105.401291	7.5281
71.000000	105.403648	7.3441
72.000000	105.407906	7.1604
73.000000	105.409447	6.9836
74.000000	105.409821	6.8134
75.000000	105.411728	6.6363
76.199997	105.413528	6.4344
77.500000	105.415871	6.2263
78.800003	105.415497	6.0145
80.000000	105.416748	5.8288
81.199997	105.418533	5.6379
82.500000	105.417572	5.4459
83.800003	105.417137	5.2600
85.000000	105.417770	5.0917
86.199997	105.417465	4.9199
87.500000	105.416374	4.7400
88.500000	105.414963	4.6080
90.000000	105.412720	4.4126
91.199997	105.411453	4.2663
92.500000	105.410255	4.0972
93.800003	105.407326	3.9388
95.000000	105.406693	3.7903
96.199997	105.405670	3.6528
97.500000	105.402084	3.4993
98.800003	105.398697	3.3502
100.000000	105.396545	3.2071
101.500000	105.393265	3.0577
103.000000	105.388695	2.8931
