* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 20, 2021 5:35:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R (reference)
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.698341	-123.8252
20.600000	97.742088	-124.5133
20.900000	97.783188	-125.0239
21.200001	97.838585	-125.5092
21.400000	97.885124	-125.8760
21.799999	97.986130	-126.7906
22.000000	98.031746	-127.3325
22.400000	98.099075	-128.4736
22.700001	98.127098	-129.2324
23.000000	98.147346	-129.8143
23.299999	98.175781	-130.2110
23.600000	98.225418	-130.4986
24.000000	98.326385	-130.9388
24.299999	98.411232	-131.4391
24.700001	98.502899	-132.3540
25.000000	98.540710	-133.1139
25.400000	98.553116	-134.0140
25.799999	98.554077	-134.6272
26.200001	98.582443	-135.0018
26.500000	98.631638	-135.2546
26.900000	98.720490	-135.7198
27.200001	98.787079	-136.2049
27.600000	98.853256	-136.9610
28.000000	98.888145	-137.7048
28.500000	98.908958	-138.4630
29.000000	98.939690	-139.0758
29.500000	98.990044	-139.7055
30.000000	99.043045	-140.4112
30.400000	99.078049	-140.9718
30.700001	99.100739	-141.3546
31.100000	99.130997	-141.8085
31.500000	99.165016	-142.2370
32.000000	99.209450	-142.8148
32.500000	99.245682	-143.4604
33.000000	99.269691	-144.1004
33.500000	99.290970	-144.6589
34.000000	99.322685	-145.1469
34.500000	99.366135	-145.6433
35.000000	99.408890	-146.2021
35.500000	99.438744	-146.7963
36.000000	99.456100	-147.3574
36.500000	99.471718	-147.8542
37.000000	99.494751	-148.3153
37.500000	99.525055	-148.7794
38.200001	99.568237	-149.4337
38.700001	99.594971	-149.8776
39.500000	99.631836	-150.5562
40.000000	99.651886	-150.9874
40.599998	99.673874	-151.5119
41.200001	99.695908	-152.0233
41.799999	99.717308	-152.5055
42.500000	99.737091	-153.0144
43.099998	99.751122	-153.4156
43.700001	99.767883	-153.8468
44.400002	99.789772	-154.4558
45.000000	99.804871	-155.0139
45.500000	99.816124	-155.4257
46.200001	99.837204	-155.8991
46.799999	99.857483	-156.2906
47.500000	99.870110	-156.7773
48.200001	99.878265	-157.2050
48.700001	99.895683	-157.4683
49.400002	99.930717	-157.8822
50.000000	99.944092	-158.2728
50.799999	99.935982	-158.7058
51.500000	99.941841	-159.1450
52.200001	99.949829	-159.8115
53.000000	99.930771	-160.3808
53.799999	99.944847	-160.4187
54.500000	99.994934	-160.6152
55.200001	100.002716	-161.1818
56.000000	99.971817	-161.6529
57.000000	100.024490	-161.9224
58.000000	100.055214	-162.3743
59.000000	100.024559	-162.5310
60.000000	100.053329	-163.1969
60.799999	100.061829	-163.9914
61.500000	100.067871	-164.3671
62.200001	100.088814	-164.6043
63.000000	100.092896	-164.9741
64.000000	100.079727	-165.3940
65.000000	100.100311	-165.8676
66.000000	100.096664	-166.3111
67.000000	100.097099	-166.5792
68.000000	100.110680	-166.9804
69.000000	100.116699	-167.3579
70.000000	100.112854	-167.7509
71.000000	100.106529	-168.0771
72.000000	100.128288	-168.4750
73.000000	100.115280	-168.9754
74.000000	100.102242	-169.3141
75.000000	100.121185	-169.8525
76.199997	100.105072	-170.1681
77.500000	100.137505	-170.3353
78.800003	100.119263	-170.8850
80.000000	100.165932	-171.0431
81.199997	100.156136	-171.5786
82.500000	100.101341	-171.9888
83.800003	100.105064	-172.4214
85.000000	100.113800	-172.6695
