* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 1, 2021 5:36:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Engineering prototype
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.965591	-135.2297
20.600000	101.007858	-135.9566
20.900000	101.048203	-136.6555
21.200001	101.089088	-137.3912
21.400000	101.116280	-137.8970
21.799999	101.168930	-138.9090
22.000000	101.194107	-139.3981
22.400000	101.242584	-140.3187
22.700001	101.278145	-140.9541
23.000000	101.313232	-141.5564
23.299999	101.347145	-142.1455
23.600000	101.378525	-142.7400
24.000000	101.413811	-143.5557
24.299999	101.434837	-144.1776
24.700001	101.457848	-144.9932
25.000000	101.474915	-145.5745
25.400000	101.503052	-146.2961
25.799999	101.541367	-146.9713
26.200001	101.587921	-147.6391
26.500000	101.623428	-148.1570
26.900000	101.663033	-148.8757
27.200001	101.682724	-149.4225
27.600000	101.695236	-150.1247
28.000000	101.698524	-150.7670
28.500000	101.706085	-151.4951
29.000000	101.729004	-152.2273
29.500000	101.760796	-153.0332
30.000000	101.785828	-153.8754
30.400000	101.797226	-154.5076
30.700001	101.803246	-154.9345
31.100000	101.812675	-155.4494
31.500000	101.826202	-155.9450
32.000000	101.844604	-156.6012
32.500000	101.856262	-157.3053
33.000000	101.859550	-158.0011
33.500000	101.861923	-158.6482
34.000000	101.870377	-159.2629
34.500000	101.883614	-159.8797
35.000000	101.895248	-160.5018
35.500000	101.901711	-161.1043
36.000000	101.904709	-161.6718
36.500000	101.906937	-162.2170
37.000000	101.908180	-162.7617
37.500000	101.906326	-163.3065
38.200001	101.900101	-164.0239
38.700001	101.900330	-164.4920
39.500000	101.916557	-165.2742
40.000000	101.925392	-165.8419
40.599998	101.919220	-166.5373
41.200001	101.900948	-167.1251
