* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 18, 2021 3:18:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: EE ESR II
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.158730	-131.2251
20.600000	106.211395	-131.9230
20.900000	106.263489	-132.4743
21.200001	106.322502	-132.9895
21.400000	106.365829	-133.3395
21.799999	106.454346	-134.0955
22.000000	106.495361	-134.5049
22.400000	106.564163	-135.3588
22.700001	106.602303	-135.9891
23.000000	106.632164	-136.5828
23.299999	106.659035	-137.1329
23.600000	106.688049	-137.6526
24.000000	106.734406	-138.3410
24.299999	106.773613	-138.8764
24.700001	106.826538	-139.6151
25.000000	106.863640	-140.1640
25.400000	106.908936	-140.8552
25.799999	106.952003	-141.4949
26.200001	106.994095	-142.1252
26.500000	107.022972	-142.6258
26.900000	107.052856	-143.3460
27.200001	107.066887	-143.9090
27.600000	107.077957	-144.6303
28.000000	107.090492	-145.2586
28.500000	107.125870	-145.8832
29.000000	107.185226	-146.3911
29.500000	107.246933	-146.8486
30.000000	107.285568	-147.2663
30.400000	107.296814	-147.5857
30.700001	107.298172	-147.8540
31.100000	107.296867	-148.3199
31.500000	107.295319	-148.9692
32.000000	107.293091	-150.0036
32.500000	107.293831	-151.0799
33.000000	107.310883	-151.9340
33.500000	107.354866	-152.4695
34.000000	107.416618	-152.7882
34.500000	107.471481	-153.0421
35.000000	107.500801	-153.3218
35.500000	107.507751	-153.6617
36.000000	107.510597	-154.0902
36.500000	107.523331	-154.6227
37.000000	107.546410	-155.2183
37.500000	107.572624	-155.7900
38.200001	107.603493	-156.4403
38.700001	107.618103	-156.8198
39.500000	107.627823	-157.4271
40.000000	107.629913	-157.8399
40.599998	107.637436	-158.3497
41.200001	107.653641	-158.8549
41.799999	107.672836	-159.3397
42.500000	107.690285	-159.8591
43.099998	107.700165	-160.2654
43.700001	107.707016	-160.6465
44.400002	107.713844	-161.0498
45.000000	107.723328	-161.3670
45.500000	107.734756	-161.6455
46.200001	107.750580	-162.0866
46.799999	107.761383	-162.4754
47.500000	107.777550	-162.8960
48.200001	107.800888	-163.3230
48.700001	107.817497	-163.6676
49.400002	107.834190	-164.2157
50.000000	107.840866	-164.7147
50.799999	107.844101	-165.2976
51.500000	107.856018	-165.6605
52.200001	107.880386	-165.9827
53.000000	107.901230	-166.4240
53.799999	107.903404	-166.8848
54.500000	107.901909	-167.2509
55.200001	107.904289	-167.5961
56.000000	107.908806	-168.0281
57.000000	107.897911	-168.6612
58.000000	107.884636	-169.1695
59.000000	107.903183	-169.6205
60.000000	107.906960	-170.1178
60.799999	107.897018	-170.4675
61.500000	107.892136	-170.7768
62.200001	107.893555	-171.0833
63.000000	107.903824	-171.4245
64.000000	107.909050	-171.9041
65.000000	107.889893	-172.3349
66.000000	107.883583	-172.6421
67.000000	107.897881	-173.0510
68.000000	107.885918	-173.5404
69.000000	107.870216	-173.8552
70.000000	107.874809	-174.2408
71.000000	107.860298	-174.6308
72.000000	107.859673	-174.9392
73.000000	107.854691	-175.3450
74.000000	107.844658	-175.6278
75.000000	107.841522	-175.9952
76.199997	107.820618	-176.3922
77.500000	107.808846	-176.7810
78.800003	107.812813	-177.0840
80.000000	107.801514	-177.6440
81.199997	107.778450	-177.8973
82.500000	107.756729	-178.3761
83.800003	107.748459	-178.6699
85.000000	107.733505	-179.1716
86.199997	107.721649	-179.2703
87.500000	107.687134	-179.7915
88.500000	107.644531	-179.7219
90.000000	107.661896	179.6801
91.199997	107.583153	179.5985
92.500000	107.634766	179.0997
93.800003	107.525986	178.6545
95.000000	107.568596	178.8827
96.199997	107.566574	178.2676
97.500000	107.499519	178.5884
98.800003	107.536652	178.0457
100.000000	107.455467	177.5393
101.500000	107.570816	177.9560
103.000000	107.491356	177.0748
104.400002	107.412170	177.2471
106.000000	107.405426	176.1822
107.500000	107.318817	176.4045
109.000000	107.312782	176.5058
110.599998	107.185837	176.2324
112.000000	107.132988	176.7932
113.800003	107.084373	177.0934
115.000000	107.024597	177.2231
117.199997	107.080986	179.2807
118.000000	107.157341	179.8236
120.599998	107.511688	-179.7135
122.000000	107.731888	-179.7392
124.099998	108.013252	178.0551
125.000000	108.040848	177.1846
126.500000	108.008621	175.9889
128.000000	107.981293	175.1410
131.500000	107.915367	173.4047
132.000000	107.901047	173.1700
134.000000	107.843529	172.3450
136.000000	107.770027	171.7890
138.000000	107.720993	171.5305
140.000000	107.673180	171.1765
143.000000	107.642921	170.4564
145.000000	107.625458	169.9965
147.500000	107.571953	169.4813
150.000000	107.510025	168.9799
152.500000	107.464729	168.6175
155.000000	107.399193	168.2594
157.500000	107.371025	167.9063
160.000000	107.330505	167.4861
162.500000	107.299950	167.1406
165.000000	107.258194	166.6971
167.500000	107.228920	166.3177
170.000000	107.199974	166.0136
172.500000	107.155029	165.7479
175.000000	107.104073	165.5075
177.500000	107.051460	165.2383
180.000000	106.999077	164.8737
182.500000	106.961075	164.5255
185.000000	106.926819	164.2877
187.500000	106.883438	164.0726
190.000000	106.830811	163.8592
192.500000	106.788300	163.5356
195.000000	106.753403	163.3440
197.500000	106.706604	163.1445
200.000000	106.666336	162.8969
203.000000	106.620430	162.6690
206.000000	106.569366	162.4045
209.000000	106.518776	162.1953
212.000000	106.467781	161.9514
214.000000	106.435356	161.7932
218.000000	106.370209	161.5254
220.000000	106.333405	161.4066
224.000000	106.268784	161.1376
227.000000	106.209732	160.9954
230.000000	106.158913	160.8626
233.000000	106.104065	160.7610
