* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 18, 2021 3:22:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.448608	-174.4075
20.600000	107.447418	-174.8815
20.900000	107.440208	-175.3154
21.200001	107.432304	-175.7669
21.400000	107.427475	-176.0827
21.799999	107.419189	-176.7424
22.000000	107.415787	-177.0788
22.400000	107.410690	-177.7450
22.700001	107.408676	-178.2244
23.000000	107.408165	-178.6820
23.299999	107.408485	-179.1194
23.600000	107.408379	-179.5407
24.000000	107.405212	179.9183
24.299999	107.399689	179.5281
24.700001	107.388786	179.0292
25.000000	107.379494	178.6667
25.400000	107.367821	178.1856
25.799999	107.357552	177.6893
26.200001	107.347130	177.1714
26.500000	107.338028	176.7760
26.900000	107.323952	176.2579
27.200001	107.312805	175.8863
27.600000	107.299149	175.4155
28.000000	107.287926	174.9615
28.500000	107.275436	174.3943
29.000000	107.259995	173.8236
29.500000	107.240074	173.2707
30.000000	107.219406	172.7487
30.400000	107.204994	172.3422
30.700001	107.195511	172.0338
31.100000	107.183334	171.6122
31.500000	107.169838	171.1836
32.000000	107.150185	170.6573
32.500000	107.128799	170.1567
33.000000	107.107475	169.6780
33.500000	107.086334	169.2107
34.000000	107.064911	168.7497
34.500000	107.043640	168.2930
35.000000	107.022789	167.8341
35.500000	107.001167	167.3690
36.000000	106.977142	166.9068
36.500000	106.951126	166.4635
37.000000	106.925659	166.0426
37.500000	106.902573	165.6305
38.200001	106.872101	165.0443
38.700001	106.848923	164.6257
39.500000	106.809364	163.9884
40.000000	106.784897	163.6053
40.599998	106.755600	163.1395
41.200001	106.724670	162.6617
41.799999	106.692093	162.1880
42.500000	106.655220	161.6630
43.099998	106.626060	161.2296
43.700001	106.595932	160.7917
44.400002	106.554405	160.2816
45.000000	106.517044	159.8690
