* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 4, 2021 5:03:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.631935	-164.8648
20.600000	104.631477	-165.4661
20.900000	104.623695	-166.0143
21.200001	104.613968	-166.5557
21.400000	104.607864	-166.9117
21.799999	104.598328	-167.6090
22.000000	104.595154	-167.9494
22.400000	104.591248	-168.6134
22.700001	104.588989	-169.0977
23.000000	104.585907	-169.5718
23.299999	104.580978	-170.0373
23.600000	104.573624	-170.4961
24.000000	104.560036	-171.0990
24.299999	104.547630	-171.5442
24.700001	104.529587	-172.1245
25.000000	104.516159	-172.5459
25.400000	104.499962	-173.0848
25.799999	104.486595	-173.5992
26.200001	104.475189	-174.0984
26.500000	104.466377	-174.4692
26.900000	104.451775	-174.9626
27.200001	104.437622	-175.3296
27.600000	104.415092	-175.8071
28.000000	104.391365	-176.2661
28.500000	104.366310	-176.8230
29.000000	104.349960	-177.3900
29.500000	104.338715	-177.9836
30.000000	104.324921	-178.5824
30.400000	104.309052	-179.0379
30.700001	104.294426	-179.3557
31.100000	104.272575	-179.7473
31.500000	104.249695	179.8871
32.000000	104.221214	179.4434
32.500000	104.193520	178.9962
33.000000	104.166870	178.5393
33.500000	104.141068	178.0749
34.000000	104.115219	177.6110
34.500000	104.088516	177.1593
35.000000	104.061279	176.7288
35.500000	104.034401	176.3196
36.000000	104.008148	175.9256
36.500000	103.982101	175.5422
37.000000	103.955780	175.1678
37.500000	103.928665	174.8004
38.200001	103.888199	174.2975
38.700001	103.857803	173.9521
39.500000	103.811264	173.4206
40.000000	103.784416	173.0842
40.599998	103.751160	172.6730
41.200001	103.714951	172.2826
41.799999	103.678703	171.9294
42.500000	103.639328	171.5300
43.099998	103.604866	171.1714
43.700001	103.567825	170.8120
44.400002	103.525002	170.4134
45.000000	103.489647	170.0901
45.500000	103.459839	169.8427
46.200001	103.419472	169.5392
46.799999	103.389084	169.2810
47.500000	103.353188	168.9223
48.200001	103.309746	168.5415
48.700001	103.277786	168.2956
49.400002	103.236526	167.9661
50.000000	103.197479	167.6814
50.799999	103.138931	167.3694
51.500000	103.099197	167.1175
52.200001	103.063942	166.7623
53.000000	103.009117	166.3858
53.799999	102.971336	166.1786
54.500000	102.955414	165.9009
55.200001	102.914238	165.5450
56.000000	102.846695	165.3547
57.000000	102.795929	165.2110
58.000000	102.741234	164.8491
59.000000	102.672394	164.4232
60.000000	102.596680	164.0900
60.799999	102.566124	163.9587
61.500000	102.551743	163.7006
62.200001	102.506096	163.3770
63.000000	102.432922	163.2130
64.000000	102.378677	163.0809
65.000000	102.335907	162.7525
66.000000	102.283516	162.4788
67.000000	102.232071	162.2987
68.000000	102.179787	162.0919
69.000000	102.119171	161.8990
70.000000	102.072830	161.7428
71.000000	102.025589	161.4973
72.000000	101.967285	161.3141
73.000000	101.917274	161.1412
74.000000	101.866875	160.9312
75.000000	101.817047	160.7664
76.199997	101.758759	160.6552
77.500000	101.694115	160.4352
78.800003	101.613243	160.2178
80.000000	101.573250	160.1477
81.199997	101.516541	159.9234
82.500000	101.441826	159.7846
83.800003	101.384720	159.5963
85.000000	101.328300	159.5201
86.199997	101.272675	159.4329
87.500000	101.217049	159.3000
88.500000	101.166962	159.1663
90.000000	101.094757	159.0717
91.199997	101.041756	159.0054
92.500000	100.989967	158.9392
93.800003	100.931854	158.8540
95.000000	100.885773	158.7486
96.199997	100.827583	158.6683
97.500000	100.772522	158.6385
98.800003	100.718513	158.5593
100.000000	100.674675	158.5323
101.500000	100.611855	158.5034
103.000000	100.553505	158.4191
104.400002	100.495720	158.4116
106.000000	100.437759	158.3522
107.500000	100.376900	158.3417
109.000000	100.321167	158.3188
110.599998	100.260109	158.2866
112.000000	100.211990	158.2760
113.800003	100.148483	158.2667
115.000000	100.102760	158.2389
117.199997	100.022881	158.2671
118.000000	99.984833	158.3483
120.599998	99.921265	158.1591
122.000000	99.865067	158.3594
124.099998	99.789108	158.3484
125.000000	99.765114	158.3938
126.500000	99.719749	158.4435
128.000000	99.665695	158.4714
131.500000	99.557961	158.5910
132.000000	99.544342	158.6060
134.000000	99.483231	158.6576
136.000000	99.424812	158.7188
138.000000	99.368210	158.8236
140.000000	99.311035	158.8984
143.000000	99.230019	159.0336
145.000000	99.170891	159.1570
147.500000	99.101967	159.2953
150.000000	99.042816	159.3842
152.500000	98.973946	159.5472
155.000000	98.918282	159.6948
157.500000	98.848076	159.8854
160.000000	98.789185	160.0648
162.500000	98.732292	160.2453
165.000000	98.671249	160.5168
167.500000	98.623230	160.7231
170.000000	98.573898	160.9998
172.500000	98.530670	161.2499
175.000000	98.498894	161.5085
177.500000	98.476372	161.7495
180.000000	98.446625	162.0383
182.500000	98.426041	162.0816
185.000000	98.404999	162.1863
187.500000	98.380234	162.2650
190.000000	98.349777	162.2996
192.500000	98.320869	162.3438
195.000000	98.281921	162.4455
197.500000	98.242508	162.5655
200.000000	98.205795	162.6123
203.000000	98.161781	162.7259
206.000000	98.115433	162.8365
209.000000	98.068550	162.9647
212.000000	98.022873	163.1229
214.000000	97.993988	163.2226
218.000000	97.936348	163.4368
220.000000	97.909889	163.5534
224.000000	97.852036	163.7689
227.000000	97.809631	163.9537
230.000000	97.771141	164.1291
233.000000	97.730804	164.3389
236.000000	97.694656	164.4669
240.000000	97.645630	164.6893
243.000000	97.608444	164.9296
247.000000	97.563423	165.2085
250.000000	97.530090	165.3983
254.000000	97.488289	165.6390
258.000000	97.447067	165.9141
262.000000	97.407364	166.1855
265.000000	97.379608	166.3948
269.000000	97.349014	166.7038
272.000000	97.326210	166.8708
276.000000	97.288239	167.1417
280.000000	97.262840	167.3861
285.000000	97.228561	167.6666
290.000000	97.189514	167.9651
295.000000	97.158554	168.2241
300.000000	97.124191	168.5152
304.000000	97.092392	168.7065
307.000000	97.071548	168.8630
311.000000	97.045387	169.0991
315.000000	97.015503	169.2905
320.000000	96.985672	169.5643
325.000000	96.952690	169.8475
330.000000	96.917534	170.1395
335.000000	96.888176	170.4089
340.000000	96.859634	170.6737
345.000000	96.829124	170.9537
350.000000	96.801758	171.2387
355.000000	96.773643	171.5116
360.000000	96.746407	171.7806
365.000000	96.721054	172.0781
370.000000	96.694199	172.3320
375.000000	96.670990	172.6033
382.000000	96.636505	172.9910
387.000000	96.614731	173.2612
395.000000	96.577759	173.6864
400.000000	96.556358	173.9537
406.000000	96.531723	174.2659
412.000000	96.509201	174.5862
418.000000	96.484215	174.9211
425.000000	96.458061	175.2860
431.000000	96.439186	175.6150
437.000000	96.418480	175.8953
444.000000	96.394608	176.2844
450.000000	96.374451	176.5927
455.000000	96.358627	176.8447
462.000000	96.338760	177.2031
468.000000	96.321091	177.5073
475.000000	96.301865	177.8821
482.000000	96.286545	178.2149
487.000000	96.272911	178.4713
494.000000	96.256767	178.7975
500.000000	96.239929	179.1064
508.000000	96.222549	179.4764
515.000000	96.203079	179.8080
522.000000	96.185760	-179.8419
530.000000	96.168266	-179.4646
538.000000	96.150314	-179.0760
545.000000	96.134491	-178.7353
552.000000	96.121155	-178.3778
560.000000	96.102707	-177.9901
570.000000	96.083916	-177.5038
580.000000	96.065300	-177.0029
590.000000	96.048775	-176.5269
600.000000	96.030083	-176.0243
608.000000	96.018661	-175.6291
615.000000	96.008255	-175.2954
622.000000	95.996368	-174.9648
630.000000	95.986099	-174.5512
640.000000	95.971924	-174.0588
650.000000	95.959465	-173.5725
660.000000	95.948143	-173.0512
670.000000	95.935707	-172.5612
680.000000	95.926224	-172.0685
690.000000	95.918259	-171.5532
700.000000	95.907654	-171.0595
710.000000	95.899231	-170.5391
720.000000	95.891975	-170.0553
730.000000	95.887375	-169.5486
740.000000	95.878174	-169.0527
750.000000	95.869644	-168.5406
