* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 9, 2022 4:39:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: (pre-prod) Light L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.121277	-146.6744
20.600000	105.136986	-147.2786
20.900000	105.149315	-147.8021
21.200001	105.164017	-148.3206
21.400000	105.175674	-148.6722
21.799999	105.201744	-149.3908
22.000000	105.215225	-149.7535
22.400000	105.241692	-150.4710
22.700001	105.260422	-150.9924
23.000000	105.277908	-151.4983
23.299999	105.293716	-151.9918
23.600000	105.307198	-152.4758
24.000000	105.320839	-153.1044
24.299999	105.328499	-153.5563
24.700001	105.338013	-154.1242
25.000000	105.347046	-154.5261
25.400000	105.363525	-155.0441
25.799999	105.383904	-155.5644
26.200001	105.404007	-156.0999
26.500000	105.416275	-156.5087
26.900000	105.427551	-157.0497
27.200001	105.432915	-157.4438
27.600000	105.438774	-157.9498
28.000000	105.446121	-158.4402
28.500000	105.459106	-159.0494
29.000000	105.472748	-159.6609
29.500000	105.481178	-160.2512
30.000000	105.482208	-160.7795
30.400000	105.480560	-161.1473
30.700001	105.480423	-161.4022
31.100000	105.483704	-161.7425
31.500000	105.490036	-162.1172
32.000000	105.496033	-162.6498
32.500000	105.493622	-163.2067
33.000000	105.484863	-163.7035
33.500000	105.479317	-164.1070
34.000000	105.483765	-164.4675
34.500000	105.494667	-164.8551
35.000000	105.503105	-165.2874
35.500000	105.505356	-165.7281
36.000000	105.505402	-166.1427
36.500000	105.507881	-166.5341
37.000000	105.512039	-166.9222
37.500000	105.514168	-167.3105
38.200001	105.511871	-167.8372
38.700001	105.508438	-168.2070
39.500000	105.499924	-168.8058
40.000000	105.493019	-169.1613
40.599998	105.488609	-169.5533
41.200001	105.489922	-169.9495
41.799999	105.487885	-170.3760
42.500000	105.472458	-170.8353
43.099998	105.458427	-171.1389
43.700001	105.454811	-171.4275
44.400002	105.452568	-171.8580
45.000000	105.438232	-172.2605
45.500000	105.420860	-172.5475
46.200001	105.403854	-172.8763
46.799999	105.397743	-173.1686
47.500000	105.386436	-173.5468
48.200001	105.367805	-173.8858
48.700001	105.357819	-174.0879
49.400002	105.354446	-174.3694
50.000000	105.354675	-174.6388
50.799999	105.347969	-174.9914
51.500000	105.340118	-175.2687
52.200001	105.336784	-175.5867
53.000000	105.330002	-176.0284
53.799999	105.317574	-176.4112
54.500000	105.312904	-176.6734
55.200001	105.307526	-176.9757
56.000000	105.283150	-177.3507
57.000000	105.261459	-177.7065
58.000000	105.265816	-178.1912
59.000000	105.219879	-178.6214
60.000000	105.182480	-178.7168
60.799999	105.187439	-178.9970
61.500000	105.179947	-179.3871
62.200001	105.162247	-179.6819
63.000000	105.149254	-179.9268
64.000000	105.125481	179.7265
65.000000	105.094994	179.4203
66.000000	105.076431	179.1064
67.000000	105.057915	178.8043
68.000000	105.040268	178.5073
69.000000	105.015755	178.1971
70.000000	104.988647	177.9282
71.000000	104.966202	177.6532
72.000000	104.944427	177.3550
73.000000	104.923294	177.0794
74.000000	104.900452	176.8226
75.000000	104.874779	176.5902
76.199997	104.847130	176.2952
77.500000	104.816208	175.9755
78.800003	104.785339	175.6671
80.000000	104.756416	175.4158
81.199997	104.726776	175.1464
82.500000	104.692451	174.8674
83.800003	104.660156	174.5939
85.000000	104.630470	174.3860
86.199997	104.600822	174.1293
87.500000	104.564095	173.9024
88.500000	104.542206	173.7787
90.000000	104.505310	173.5095
91.199997	104.468437	173.2861
92.500000	104.443344	173.0576
93.800003	104.412659	172.8274
95.000000	104.384224	172.6489
96.199997	104.346085	172.4720
97.500000	104.312546	172.3658
98.800003	104.286987	172.2200
100.000000	104.249535	171.9808
101.500000	104.200363	171.7353
103.000000	104.170769	171.5812
104.400002	104.129982	171.4259
106.000000	104.084557	171.2552
107.500000	104.053772	171.0499
109.000000	104.011620	170.9742
110.599998	103.968040	170.8228
112.000000	103.932426	170.6610
113.800003	103.889145	170.5978
115.000000	103.863251	170.5900
117.199997	103.814659	170.3601
118.000000	103.811905	170.3418
120.599998	103.726807	170.3409
122.000000	103.743004	169.8895
124.099998	103.666420	169.9529
125.000000	103.642487	169.8176
126.500000	103.609489	169.7492
