* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 15, 2022 5:02:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Silver L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	109.260307	-151.3277
20.600000	109.280479	-152.0037
20.900000	109.292740	-152.6101
21.200001	109.302780	-153.2113
21.400000	109.309486	-153.6123
21.799999	109.323975	-154.4151
22.000000	109.331833	-154.8153
22.400000	109.348206	-155.6063
22.700001	109.360245	-156.1845
23.000000	109.371506	-156.7455
23.299999	109.381638	-157.2877
23.600000	109.390549	-157.8116
24.000000	109.400734	-158.4857
24.299999	109.407494	-158.9772
24.700001	109.416000	-159.6207
25.000000	109.422295	-160.0984
25.400000	109.430611	-160.7333
25.799999	109.438103	-161.3664
26.200001	109.443748	-161.9920
26.500000	109.446472	-162.4497
26.900000	109.448807	-163.0364
27.200001	109.450645	-163.4568
27.600000	109.454880	-163.9994
28.000000	109.461449	-164.5389
28.500000	109.469604	-165.2337
29.000000	109.470749	-165.9444
29.500000	109.462112	-166.6255
30.000000	109.449867	-167.2372
30.400000	109.443535	-167.6864
30.700001	109.442261	-168.0195
31.100000	109.443710	-168.4802
31.500000	109.444794	-168.9640
32.000000	109.440865	-169.5711
32.500000	109.432098	-170.1385
33.000000	109.423866	-170.6618
33.500000	109.418030	-171.1767
34.000000	109.410919	-171.7078
34.500000	109.399521	-172.2397
35.000000	109.386299	-172.7440
35.500000	109.375992	-173.2202
36.000000	109.369263	-173.6934
36.500000	109.362076	-174.1784
37.000000	109.350739	-174.6622
37.500000	109.335968	-175.1257
38.200001	109.316101	-175.7429
38.700001	109.304413	-176.1814
39.500000	109.285416	-176.8858
40.000000	109.271034	-177.3076
40.599998	109.251953	-177.7807
41.200001	109.232971	-178.2291
41.799999	109.215263	-178.6769
42.500000	109.195007	-179.2182
43.099998	109.175728	-179.6891
43.700001	109.154137	179.8584
44.400002	109.128677	179.3699
45.000000	109.108932	178.9705
45.500000	109.093544	178.6348
46.200001	109.070969	178.1555
46.799999	109.049477	177.7519
47.500000	109.023987	177.3046
48.200001	108.999985	176.8669
48.700001	108.982758	176.5485
49.400002	108.956543	176.1019
50.000000	108.932709	175.7366
50.799999	108.901352	175.2874
51.500000	108.875206	174.9173
52.200001	108.849915	174.5399
53.000000	108.820160	174.0769
53.799999	108.789185	173.6110
54.500000	108.762131	173.2316
55.200001	108.731873	172.8886
56.000000	108.694077	172.5468
57.000000	108.655647	172.0624
58.000000	108.609940	171.4990
59.000000	108.572975	171.1861
60.000000	108.559425	170.7899
60.799999	108.516014	170.3084
61.500000	108.465225	169.9643
62.200001	108.430626	169.6797
63.000000	108.403130	169.3395
64.000000	108.359207	168.9495
65.000000	108.307861	168.5681
66.000000	108.261581	168.1600
67.000000	108.225624	167.7643
68.000000	108.183884	167.4250
69.000000	108.138474	167.1172
70.000000	108.093773	166.7622
71.000000	108.048775	166.4160
72.000000	108.005157	166.1013
73.000000	107.960487	165.7792
74.000000	107.914856	165.4725
75.000000	107.872780	165.1864
76.199997	107.818893	164.8314
77.500000	107.758720	164.4632
78.800003	107.700943	164.1075
80.000000	107.648048	163.7997
81.199997	107.594177	163.4806
82.500000	107.536194	163.1578
83.800003	107.479538	162.8499
85.000000	107.424255	162.5860
86.199997	107.371689	162.3165
87.500000	107.313515	162.0209
88.500000	107.268616	161.8216
90.000000	107.200775	161.5153
91.199997	107.147064	161.2845
92.500000	107.091103	161.0338
93.800003	107.031342	160.7985
95.000000	106.977394	160.5887
96.199997	106.926231	160.3797
97.500000	106.865952	160.1662
98.800003	106.813950	159.9832
100.000000	106.757545	159.7642
101.500000	106.691574	159.5662
103.000000	106.624298	159.3442
104.400002	106.558495	159.1443
106.000000	106.496338	158.9367
107.500000	106.435562	158.7643
109.000000	106.360580	158.5951
110.599998	106.282875	158.3802
112.000000	106.223747	158.2241
113.800003	106.137131	158.0401
115.000000	106.085052	157.9063
117.199997	105.983543	157.7111
118.000000	105.940086	157.6562
120.599998	105.814049	157.2599
122.000000	105.756203	157.3376
124.099998	105.640335	157.1768
125.000000	105.595482	157.0961
126.500000	105.511604	157.0479
128.000000	105.422150	156.9663
131.500000	105.196930	156.9613
132.000000	105.162163	156.9803
134.000000	105.010162	157.1753
136.000000	104.847023	157.6074
138.000000	104.687004	158.4139
140.000000	104.574921	159.7454
143.000000	104.641266	162.0250
145.000000	104.819221	162.7223
147.500000	105.006256	162.4096
150.000000	105.075600	161.6354
152.500000	105.067719	160.9390
155.000000	105.022896	160.4219
157.500000	104.961296	160.0541
160.000000	104.899841	159.7867
162.500000	104.837166	159.5811
165.000000	104.773560	159.4258
167.500000	104.712219	159.3077
170.000000	104.651794	159.1940
172.500000	104.590752	159.0817
175.000000	104.529694	158.9744
177.500000	104.465530	158.8734
180.000000	104.392914	158.8138
182.500000	104.330856	158.7356
185.000000	104.261986	158.6990
187.500000	104.195007	158.6880
190.000000	104.126465	158.6898
192.500000	104.058594	158.7199
195.000000	103.993599	158.7498
197.500000	103.925751	158.7988
200.000000	103.864677	158.8653
203.000000	103.790253	158.9499
206.000000	103.714104	159.0471
209.000000	103.643250	159.1591
212.000000	103.574066	159.2854
214.000000	103.527130	159.3759
218.000000	103.437691	159.5635
220.000000	103.393463	159.6529
224.000000	103.306854	159.8618
227.000000	103.243210	160.0285
230.000000	103.181976	160.1899
233.000000	103.119881	160.3748
236.000000	103.061127	160.5511
240.000000	102.961037	160.7267
243.000000	102.923752	161.0243
247.000000	102.851372	161.3130
250.000000	102.797028	161.5303
254.000000	102.730606	161.8623
258.000000	102.670265	162.1843
262.000000	102.618805	162.4866
265.000000	102.581108	162.6937
269.000000	102.527405	162.9361
272.000000	102.487991	163.1037
276.000000	102.431503	163.3428
280.000000	102.374870	163.5863
285.000000	102.302750	163.9039
290.000000	102.233841	164.2461
295.000000	102.163956	164.5967
300.000000	102.081078	164.9441
304.000000	102.048050	165.2560
307.000000	102.010147	165.4691
311.000000	101.962532	165.7810
315.000000	101.917267	166.0721
320.000000	101.861221	166.4507
325.000000	101.804893	166.8126
330.000000	101.752098	167.1992
335.000000	101.700241	167.5791
340.000000	101.649811	167.9536
345.000000	101.600677	168.3462
350.000000	101.553947	168.7303
355.000000	101.508224	169.1089
360.000000	101.465073	169.4799
365.000000	101.421227	169.8834
370.000000	101.378967	170.2770
375.000000	101.338638	170.6635
382.000000	101.285614	171.2046
387.000000	101.245972	171.5977
395.000000	101.189995	172.2158
400.000000	101.155899	172.5954
406.000000	101.115753	173.0712
412.000000	101.076797	173.5378
418.000000	101.040527	174.0021
425.000000	100.998497	174.5391
431.000000	100.965004	175.0108
437.000000	100.932060	175.4724
444.000000	100.894577	176.0143
450.000000	100.864853	176.4727
455.000000	100.841843	176.8546
462.000000	100.810333	177.3980
468.000000	100.782692	177.8625
475.000000	100.752563	178.3937
482.000000	100.724014	178.9219
487.000000	100.705673	179.2990
494.000000	100.679871	179.8379
500.000000	100.660301	-179.7044
508.000000	100.632568	-179.1100
515.000000	100.610863	-178.5699
522.000000	100.592278	-178.0450
530.000000	100.571007	-177.4401
538.000000	100.548904	-176.8469
545.000000	100.534248	-176.3104
552.000000	100.518478	-175.7883
560.000000	100.501724	-175.1942
570.000000	100.483139	-174.4402
580.000000	100.465988	-173.7052
590.000000	100.451996	-172.9570
600.000000	100.436089	-172.1986
608.000000	100.432503	-171.6213
615.000000	100.425186	-171.0980
622.000000	100.421043	-170.5778
630.000000	100.416077	-169.9903
640.000000	100.410309	-169.2490
650.000000	100.410461	-168.5134
660.000000	100.417244	-167.8313
670.000000	100.409813	-167.0253
680.000000	100.412834	-166.2969
690.000000	100.419182	-165.5632
700.000000	100.424675	-164.8159
710.000000	100.434227	-164.0911
720.000000	100.443398	-163.3545
730.000000	100.458214	-162.6068
740.000000	100.473175	-161.8683
750.000000	100.489410	-161.1401
762.000000	100.511955	-160.2528
775.000000	100.538925	-159.2877
788.000000	100.566025	-158.3291
800.000000	100.597542	-157.4392
812.000000	100.628502	-156.5409
825.000000	100.663193	-155.5665
838.000000	100.699524	-154.5582
850.000000	100.732697	-153.6007
862.000000	100.766098	-152.5396
875.000000	100.815620	-151.2225
885.000000	100.886475	-150.0173
900.000000	101.124451	-148.6654
912.000000	101.287201	-148.3436
925.000000	101.369049	-148.0574
938.000000	101.421082	-147.4980
950.000000	101.464462	-146.8177
962.000000	101.507576	-145.9293
975.000000	101.624611	-144.6703
988.000000	101.798157	-143.9981
1000.000000	101.908409	-143.5639
1015.000000	102.029198	-142.9312
1030.000000	102.150826	-142.2439
1044.000000	102.268898	-141.6254
1060.000000	102.406677	-140.9278
1075.000000	102.541313	-140.2958
1090.000000	102.679024	-139.7225
1106.000000	102.825798	-139.1405
1120.000000	102.956879	-138.6589
1138.000000	103.125328	-138.1004
1150.000000	103.238289	-137.7586
1172.000000	103.443985	-137.1858
1180.000000	103.519455	-136.9996
1206.000000	103.759293	-136.4371
1220.000000	103.887779	-136.1631
1241.000000	104.077820	-135.8088
1250.000000	104.158882	-135.6676
1265.000000	104.291374	-135.4503
1280.000000	104.423080	-135.2583
1315.000000	104.727608	-134.8728
1320.000000	104.768837	-134.8033
1340.000000	104.940567	-134.6426
1360.000000	105.109192	-134.4878
1380.000000	105.278099	-134.3506
1400.000000	105.444351	-134.2692
1430.000000	105.696259	-134.1665
1450.000000	105.862366	-134.1194
1475.000000	106.071487	-134.1102
1500.000000	106.279648	-134.1578
1525.000000	106.489304	-134.2355
1550.000000	106.699814	-134.3716
1575.000000	106.909676	-134.5737
1600.000000	107.120926	-134.8220
1625.000000	107.330658	-135.1447
1650.000000	107.540489	-135.5326
1675.000000	107.748314	-136.0016
1700.000000	107.954292	-136.5441
1725.000000	108.156479	-137.1665
1750.000000	108.353737	-137.8732
1775.000000	108.546356	-138.6636
1800.000000	108.730362	-139.5407
1825.000000	108.908394	-140.4978
1850.000000	109.074295	-141.5337
1875.000000	109.229591	-142.6519
1900.000000	109.372383	-143.8459
1925.000000	109.501373	-145.1082
1950.000000	109.615440	-146.4195
1975.000000	109.712158	-147.7896
2000.000000	109.792267	-149.2028
2030.000000	109.862694	-150.9337
2060.000000	109.905014	-152.6735
2090.000000	109.920273	-154.4112
2120.000000	109.909073	-156.1109
2140.000000	109.887108	-157.2202
2180.000000	109.811966	-159.3419
2200.000000	109.758995	-160.3503
2240.000000	109.624763	-162.2161
