* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 23, 2021 8:23:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Dusk
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.981697	11.3404
20.600000	100.979675	11.1848
20.900000	100.974541	10.8066
21.200001	100.969818	10.3625
21.400000	100.967377	10.0471
21.799999	100.963707	9.3898
22.000000	100.962036	9.0554
22.400000	100.958046	8.3915
22.700001	100.954086	7.9135
23.000000	100.949493	7.4609
23.299999	100.944633	7.0350
23.600000	100.939835	6.6310
24.000000	100.933479	6.1130
24.299999	100.928307	5.7310
24.700001	100.920052	5.2232
25.000000	100.912567	4.8434
25.400000	100.900925	4.3416
25.799999	100.887894	3.8488
26.200001	100.873917	3.3670
26.500000	100.862968	3.0136
26.900000	100.848083	2.5547
27.200001	100.837135	2.2206
27.600000	100.823898	1.7876
28.000000	100.813210	1.3643
28.500000	100.803543	0.8367
29.000000	100.795090	0.3021
29.500000	100.783707	-0.2324
30.000000	100.766754	-0.7472
30.400000	100.749695	-1.1360
30.700001	100.735809	-1.4148
31.100000	100.717087	-1.7755
31.500000	100.699005	-2.1323
32.000000	100.677605	-2.5823
32.500000	100.657074	-3.0365
33.000000	100.636780	-3.4858
33.500000	100.616470	-3.9210
34.000000	100.596085	-4.3389
34.500000	100.575439	-4.7420
35.000000	100.554428	-5.1353
35.500000	100.532990	-5.5232
36.000000	100.511230	-5.9087
36.500000	100.489258	-6.2937
37.000000	100.467026	-6.6787
37.500000	100.444473	-7.0622
38.200001	100.412590	-7.5911
38.700001	100.389824	-7.9591
39.500000	100.353508	-8.5244
40.000000	100.330650	-8.8617
40.599998	100.302917	-9.2536
41.200001	100.274811	-9.6400
41.799999	100.246071	-10.0295
42.500000	100.211319	-10.4898
43.099998	100.180603	-10.8817
43.700001	100.149597	-11.2623
44.400002	100.113754	-11.6866
45.000000	100.083519	-12.0348
45.500000	100.058487	-12.3172
46.200001	100.023346	-12.7056
46.799999	99.992859	-13.0350
47.500000	99.956772	-13.4159
48.200001	99.920151	-13.7894
48.700001	99.893791	-14.0484
49.400002	99.857033	-14.3999
50.000000	99.825790	-14.6981
50.799999	99.783501	-15.1074
51.500000	99.744423	-15.4772
52.200001	99.703163	-15.8405
53.000000	99.654205	-16.2251
53.799999	99.604012	-16.5703
54.500000	99.560539	-16.8467
55.200001	99.520271	-17.1029
56.000000	99.481667	-17.3456
57.000000	99.449310	-17.4981
58.000000	99.432693	-17.5327
59.000000	99.409042	-17.7006
60.000000	99.354317	-18.1513
60.799999	99.291122	-18.6389
61.500000	99.233406	-19.0624
62.200001	99.181808	-19.4390
63.000000	99.132149	-19.8150
64.000000	99.076706	-20.2412
65.000000	99.021538	-20.6382
66.000000	98.966156	-21.0041
67.000000	98.910843	-21.3412
68.000000	98.854973	-21.6610
69.000000	98.799110	-21.9751
70.000000	98.744102	-22.2895
71.000000	98.688766	-22.6007
72.000000	98.631439	-22.9007
73.000000	98.572433	-23.1887
74.000000	98.512939	-23.4675
75.000000	98.454140	-23.7327
76.199997	98.386047	-24.0290
77.500000	98.314140	-24.3316
78.800003	98.240051	-24.6165
80.000000	98.168991	-24.8706
81.199997	98.098839	-25.1328
82.500000	98.027298	-25.4236
83.800003	97.958717	-25.7003
85.000000	97.894745	-25.9399
86.199997	97.829247	-26.1725
87.500000	97.757172	-26.4174
88.500000	97.701256	-26.5997
90.000000	97.616760	-26.8634
91.199997	97.548790	-27.0621
92.500000	97.474434	-27.2655
93.800003	97.398933	-27.4629
95.000000	97.328903	-27.6385
96.199997	97.259933	-27.8009
97.500000	97.187019	-27.9583
98.800003	97.114792	-28.1007
100.000000	97.047058	-28.2285
101.500000	96.960434	-28.3912
103.000000	96.873283	-28.5502
104.400002	96.792625	-28.6830
106.000000	96.701782	-28.8112
107.500000	96.617805	-28.9138
109.000000	96.534264	-29.0056
110.599998	96.445267	-29.0915
112.000000	96.367752	-29.1532
113.800003	96.269211	-29.2041
115.000000	96.204185	-29.2101
117.199997	96.086189	-29.1357
118.000000	96.043610	-29.0871
120.599998	95.905563	-29.0417
122.000000	95.831017	-29.1347
124.099998	95.719429	-29.2695
125.000000	95.671951	-29.2965
126.500000	95.593605	-29.3062
128.000000	95.516098	-29.2882
131.500000	95.337021	-29.1958
132.000000	95.311829	-29.1779
134.000000	95.212379	-29.0918
136.000000	95.113884	-28.9784
138.000000	95.014786	-28.8389
140.000000	94.915398	-28.6822
143.000000	94.766960	-28.4226
145.000000	94.669250	-28.2249
147.500000	94.549515	-27.9379
150.000000	94.433090	-27.5921
152.500000	94.322174	-27.1841
155.000000	94.222740	-26.7414
157.500000	94.139671	-26.2947
160.000000	94.069824	-25.8806
162.500000	94.005585	-25.5342
165.000000	93.940369	-25.2509
167.500000	93.870689	-24.9970
170.000000	93.796417	-24.7409
172.500000	93.718872	-24.4657
175.000000	93.639969	-24.1643
177.500000	93.561768	-23.8369
180.000000	93.485847	-23.4904
182.500000	93.412888	-23.1335
185.000000	93.342941	-22.7674
187.500000	93.275665	-22.3907
190.000000	93.210564	-22.0062
192.500000	93.147552	-21.6186
195.000000	93.086800	-21.2284
197.500000	93.028465	-20.8327
200.000000	92.972443	-20.4310
203.000000	92.908333	-19.9381
206.000000	92.848053	-19.4341
209.000000	92.791550	-18.9271
