* Measurement data measured by REW V5.20
* Source: Frequency Response Averaged data
* Format: Averaged data produced from Apr 14, Apr 14, Apr 14, Apr 14
* Dated: Apr 14, 2022 4:09:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from Apr 14, Apr 14, Apr 14, Apr 14
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.633453	0
20.600000	100.634743	0
20.900000	100.619164	0
21.200001	100.598106	0
21.400000	100.584610	0
21.799999	100.565887	0
22.000000	100.563065	0
22.400000	100.573090	0
22.700001	100.594627	0
23.000000	100.626114	0
23.299999	100.663986	0
23.600000	100.703789	0
24.000000	100.752495	0
24.299999	100.782387	0
24.700001	100.812256	0
25.000000	100.828735	0
25.400000	100.845917	0
25.799999	100.860550	0
26.200001	100.874031	0
26.500000	100.883614	0
26.900000	100.895500	0
27.200001	100.903122	0
27.600000	100.909019	0
28.000000	100.906403	0
28.500000	100.888062	0
29.000000	100.861610	0
29.500000	100.846756	0
30.000000	100.858788	0
30.400000	100.883621	0
30.700001	100.902931	0
31.100000	100.919312	0
31.500000	100.919525	0
32.000000	100.902878	0
32.500000	100.881470	0
33.000000	100.861710	0
33.500000	100.838539	0
34.000000	100.811646	0
34.500000	100.794449	0
35.000000	100.800034	0
35.500000	100.820358	0
36.000000	100.829720	0
36.500000	100.813805	0
37.000000	100.787773	0
37.500000	100.778625	0
38.200001	100.802872	0
38.700001	100.821167	0
39.500000	100.822189	0
40.000000	100.818596	0
40.599998	100.815155	0
41.200001	100.795670	0
41.799999	100.758461	0
42.500000	100.724098	0
43.099998	100.717583	0
43.700001	100.718719	0
44.400002	100.709526	0
45.000000	100.690498	0
45.500000	100.671303	0
46.200001	100.647751	0
46.799999	100.632912	0
47.500000	100.614235	0
48.200001	100.592781	0
48.700001	100.581863	0
49.400002	100.569962	0
50.000000	100.549026	0
50.799999	100.506393	0
51.500000	100.477844	0
52.200001	100.455566	0
53.000000	100.420868	0
53.799999	100.394325	0
54.500000	100.382927	0
55.200001	100.361519	0
56.000000	100.322777	0
57.000000	100.282074	0
58.000000	100.260132	0
59.000000	100.256294	0
60.000000	100.218315	0
60.799999	100.171829	0
61.500000	100.154739	0
62.200001	100.152313	0
63.000000	100.130615	0
64.000000	100.062881	0
65.000000	100.008110	0
66.000000	99.981934	0
67.000000	99.949829	0
68.000000	99.914375	0
69.000000	99.874901	0
70.000000	99.837036	0
71.000000	99.801888	0
72.000000	99.762245	0
73.000000	99.724838	0
74.000000	99.688042	0
75.000000	99.650581	0
76.199997	99.606766	0
77.500000	99.553368	0
78.800003	99.505424	0
80.000000	99.447777	0
81.199997	99.399803	0
82.500000	99.345779	0
83.800003	99.294411	0
85.000000	99.241623	0
86.199997	99.187134	0
87.500000	99.125961	0
88.500000	99.084167	0
90.000000	99.005547	0
91.199997	98.946060	0
92.500000	98.875031	0
93.800003	98.799118	0
95.000000	98.730141	0
96.199997	98.657356	0
97.500000	98.545029	0
98.800003	98.445320	0
100.000000	98.355835	0
101.500000	98.236443	0
103.000000	98.105583	0
104.400002	97.988441	0
106.000000	97.871452	0
107.500000	97.825241	0
109.000000	97.879082	0
110.599998	98.036209	0
112.000000	98.263557	0
113.800003	98.502541	0
115.000000	98.611000	0
117.199997	98.703804	0
118.000000	98.663841	0
120.599998	98.691429	0
122.000000	98.653091	0
124.099998	98.543564	0
125.000000	98.530380	0
126.500000	98.477837	0
128.000000	98.458534	0
131.500000	98.479401	0
132.000000	98.488678	0
134.000000	98.519669	0
136.000000	98.559341	0
138.000000	98.605232	0
140.000000	98.615936	0
143.000000	98.594322	0
145.000000	98.558823	0
147.500000	98.497604	0
150.000000	98.435631	0
152.500000	98.379776	0
155.000000	98.324356	0
157.500000	98.270569	0
160.000000	98.218979	0
162.500000	98.169350	0
165.000000	98.118767	0
167.500000	98.068375	0
170.000000	98.027870	0
172.500000	97.977821	0
175.000000	97.936714	0
177.500000	97.894432	0
180.000000	97.848793	0
182.500000	97.813675	0
185.000000	97.780823	0
187.500000	97.749825	0
190.000000	97.716064	0
192.500000	97.683479	0
195.000000	97.650208	0
197.500000	97.616760	0
200.000000	97.586975	0
203.000000	97.547668	0
206.000000	97.508751	0
209.000000	97.471985	0
212.000000	97.436996	0
214.000000	97.413086	0
218.000000	97.366386	0
220.000000	97.342743	0
224.000000	97.301430	0
227.000000	97.277618	0
230.000000	97.260506	0
233.000000	97.254944	0
236.000000	97.249008	0
240.000000	97.246399	0
243.000000	97.227173	0
247.000000	97.198128	0
250.000000	97.174400	0
254.000000	97.142052	0
258.000000	97.112434	0
262.000000	97.081810	0
265.000000	97.061058	0
269.000000	97.032501	0
272.000000	97.011620	0
276.000000	96.984596	0
280.000000	96.960052	0
285.000000	96.931152	0
290.000000	96.906136	0
295.000000	96.885941	0
300.000000	96.881943	0
304.000000	96.845802	0
307.000000	96.832939	0
311.000000	96.812088	0
315.000000	96.791878	0
320.000000	96.768738	0
325.000000	96.745857	0
330.000000	96.723099	0
