* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 7, 2021 4:52:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: S4 - L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000 91.707458	-105.3866
20.299999	91.707458	-105.3866
20.600000	91.801849	-106.2381
20.900000	91.895027	-106.8632
21.200001	91.997650	-107.3402
21.400000	92.072662	-107.5968
21.799999	92.231422	-108.0370
22.000000	92.310501	-108.2494
22.400000	92.458755	-108.6986
22.700001	92.556259	-109.0800
23.000000	92.642426	-109.5137
23.299999	92.720123	-110.0123
23.600000	92.792542	-110.5848
24.000000	92.883896	-111.4548
24.299999	92.948563	-112.1496
24.700001	93.029190	-113.0433
25.000000	93.087151	-113.6234
25.400000	93.166565	-114.2284
25.799999	93.255142	-114.6801
26.200001	93.352959	-115.1080
26.500000	93.426407	-115.4990
26.900000	93.511833	-116.1671
27.200001	93.560150	-116.7607
27.600000	93.604065	-117.5747
28.000000	93.637619	-118.2918
28.500000	93.697838	-118.9437
29.000000	93.802971	-119.4100
29.500000	93.939537	-119.8807
30.000000	94.066978	-120.4473
30.400000	94.144661	-120.9289
30.700001	94.189346	-121.2735
31.100000	94.239647	-121.6993
31.500000	94.290604	-122.1145
32.000000	94.363541	-122.6836
32.500000	94.442764	-123.3295
33.000000	94.519592	-123.9931
33.500000	94.590942	-124.6047
34.000000	94.658524	-125.1460
34.500000	94.723900	-125.6451
35.000000	94.787216	-126.1395
35.500000	94.848206	-126.6494
36.000000	94.907188	-127.1749
36.500000	94.965057	-127.7066
37.000000	95.022560	-128.2401
37.500000	95.078217	-128.7755
38.200001	95.147552	-129.4939
38.700001	95.193222	-129.9427
39.500000	95.277069	-130.6017
40.000000	95.332565	-131.0800
40.599998	95.382172	-131.7061
41.200001	95.413483	-132.2037
41.799999	95.454269	-132.4962
42.500000	95.529984	-132.8066
43.099998	95.590073	-133.2031
43.700001	95.627747	-133.6373
44.400002	95.669548	-134.1129
45.000000	95.721466	-134.5834
45.500000	95.770348	-135.0268
46.200001	95.841995	-135.5972
46.799999	95.913246	-136.0150
47.500000	95.994514	-136.5725
48.200001	96.035858	-137.1779
48.700001	96.043930	-137.4840
49.400002	96.075867	-137.7244
50.000000	96.141205	-138.0314
50.799999	96.228317	-138.7750
51.500000	96.271835	-139.3911
52.200001	96.307388	-139.8200
53.000000	96.330078	-140.3005
53.799999	96.332146	-140.7269
54.500000	96.369972	-141.1128
55.200001	96.434906	-141.6278
56.000000	96.500893	-142.0793
57.000000	96.555023	-142.6897
58.000000	96.507050	-143.5910
59.000000	96.600578	-144.1993
60.000000	96.750931	-145.3889
60.799999	96.700630	-145.4367
61.500000	96.694466	-144.8776
62.200001	96.744240	-145.1082
63.000000	96.747589	-146.0193
64.000000	96.800293	-146.4344
65.000000	96.904526	-146.9127
66.000000	96.883385	-147.3777
67.000000	96.901833	-147.7162
68.000000	96.956390	-148.2178
69.000000	96.994064	-148.5941
70.000000	97.010674	-149.0100
71.000000	97.037155	-149.4130
72.000000	97.079422	-149.8543
73.000000	97.099457	-150.2778
74.000000	97.112122	-150.6701
75.000000	97.131569	-151.0509
76.199997	97.178024	-151.4752
77.500000	97.214386	-151.9920
78.800003	97.218155	-152.4999
80.000000	97.233032	-152.9375
81.199997	97.270889	-153.3955
82.500000	97.285400	-153.6808
83.800003	97.311043	-154.1013
85.000000	97.331276	-154.4556
86.199997	97.362335	-154.8237
87.500000	97.376076	-155.2469
88.500000	97.395317	-155.5456
90.000000	97.416550	-155.9843
91.199997	97.441536	-156.3787
92.500000	97.462700	-156.7348
93.800003	97.478561	-157.0816
95.000000	97.481201	-157.3776
96.199997	97.509705	-157.7868
97.500000	97.516129	-158.0860
98.800003	97.544167	-158.3318
100.000000	97.535484	-158.6011
101.500000	97.546860	-159.0535
103.000000	97.569229	-159.4594
104.400002	97.579605	-159.8151
106.000000	97.573105	-160.1907
107.500000	97.599426	-160.6362
109.000000	97.598320	-160.8244
110.599998	97.626678	-161.1951
112.000000	97.630318	-161.5440
113.800003	97.653854	-161.8658
115.000000	97.646698	-162.0854
117.199997	97.680099	-162.6262
118.000000	97.696045	-162.6736
120.599998	97.613670	-162.7167
122.000000	97.745117	-163.9738
124.099998	97.687065	-163.7492
125.000000	97.678787	-164.0789
126.500000	97.694908	-164.3395
128.000000	97.687363	-164.5341
131.500000	97.696648	-165.2007
132.000000	97.693237	-165.2651
134.000000	97.696976	-165.6065
136.000000	97.706009	-165.8999
138.000000	97.704308	-166.2366
140.000000	97.706337	-166.5552
143.000000	97.704330	-167.0065
145.000000	97.700447	-167.2355
147.500000	97.702927	-167.6505
150.000000	97.703491	-167.9451
152.500000	97.694748	-168.2724
155.000000	97.684540	-168.6292
157.500000	97.674980	-168.9531
160.000000	97.666130	-169.1934
162.500000	97.664299	-169.4833
165.000000	97.648666	-169.7704
167.500000	97.642227	-169.9943
170.000000	97.638374	-170.2085
172.500000	97.632751	-170.4733
175.000000	97.627663	-170.6546
177.500000	97.622635	-170.9734
180.000000	97.645691	-171.1560
182.500000	97.611610	-171.4473
185.000000	97.613129	-171.6164
187.500000	97.593246	-171.8212
190.000000	97.584702	-172.0712
192.500000	97.594200	-172.3222
195.000000	97.573013	-172.5402
197.500000	97.565430	-172.6557
200.000000	97.545998	-172.8952
203.000000	97.545433	-173.1089
206.000000	97.519821	-173.4371
209.000000	97.508591	-173.6446
212.000000	97.492889	-173.8647
214.000000	97.484489	-174.0099
218.000000	97.460632	-174.3168
220.000000	97.452271	-174.4124
224.000000	97.420235	-174.7157
227.000000	97.398460	-174.8932
230.000000	97.378159	-175.0986
233.000000	97.360291	-175.2538
236.000000	97.331268	-175.3862
240.000000	97.308746	-176.0450
243.000000	97.276237	-175.6723
247.000000	97.278748	-175.7969
250.000000	97.248779	-175.8707
254.000000	97.231956	-176.1074
258.000000	97.211121	-176.2635
262.000000	97.186249	-176.4392
265.000000	97.169441	-176.5797
269.000000	97.154190	-176.7837
272.000000	97.127380	-176.9267
276.000000	97.100151	-177.0520
280.000000	97.090767	-177.2570
285.000000	97.048653	-177.3240
290.000000	97.009293	-177.5041
295.000000	96.969482	-177.6160
300.000000	96.886253	-177.6251
