* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 7, 2021 4:53:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: S4 - R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000 91.417038	-106.0395
20.299999	91.417038	-106.0395
20.600000	91.472511	-106.6310
20.900000	91.527718	-107.0443
21.200001	91.597458	-107.4204
21.400000	91.653992	-107.6894
21.799999	91.785332	-108.3178
22.000000	91.856468	-108.6798
22.400000	92.001968	-109.4710
22.700001	92.108185	-110.0900
23.000000	92.208206	-110.7122
23.299999	92.298668	-111.3295
23.600000	92.376328	-111.9357
24.000000	92.456627	-112.7007
24.299999	92.502228	-113.2119
24.700001	92.556198	-113.7777
25.000000	92.604538	-114.1296
25.400000	92.693497	-114.5813
25.799999	92.809982	-115.1422
26.200001	92.933174	-115.8824
26.500000	93.013306	-116.5187
26.900000	93.091896	-117.3345
27.200001	93.132812	-117.8270
27.600000	93.184731	-118.2759
28.000000	93.257423	-118.5925
28.500000	93.384628	-119.1423
29.000000	93.504677	-120.0904
29.500000	93.566612	-121.2012
30.000000	93.582359	-121.9752
30.400000	93.606766	-122.2224
30.700001	93.652939	-122.2894
31.100000	93.752563	-122.4377
31.500000	93.867882	-122.8287
32.000000	93.981445	-123.6208
32.500000	94.041458	-124.4510
33.000000	94.080841	-125.0803
33.500000	94.137436	-125.5614
34.000000	94.213928	-126.0639
34.500000	94.290291	-126.6257
35.000000	94.355896	-127.1712
35.500000	94.415070	-127.6704
36.000000	94.471458	-128.1698
36.500000	94.522926	-128.6980
37.000000	94.571060	-129.2316
37.500000	94.623032	-129.7542
38.200001	94.705215	-130.5000
38.700001	94.761589	-131.0325
39.500000	94.838966	-131.7692
40.000000	94.886421	-132.1586
40.599998	94.946991	-132.6413
41.200001	95.006470	-133.1993
41.799999	95.058434	-133.8117
42.500000	95.109299	-134.4879
43.099998	95.155266	-134.9735
43.700001	95.212563	-135.4273
44.400002	95.281212	-136.0206
45.000000	95.325745	-136.5247
45.500000	95.356750	-136.8619
46.200001	95.408524	-137.2433
46.799999	95.460564	-137.6234
47.500000	95.513023	-138.1911
48.200001	95.553177	-138.7987
48.700001	95.579758	-139.1985
49.400002	95.620667	-139.6684
50.000000	95.660728	-140.0308
50.799999	95.704147	-140.6082
51.500000	95.719505	-141.1452
52.200001	95.748665	-141.5751
53.000000	95.824844	-142.1624
53.799999	95.862816	-142.8681
54.500000	95.855148	-143.1223
55.200001	95.891518	-143.2131
56.000000	95.962799	-143.7927
57.000000	95.991257	-144.3928
