* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 27, 2021 12:38:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: -6: Custom
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	92.981735	-141.8724
20.600000	93.024368	-142.4297
20.900000	93.063026	-142.9652
21.200001	93.095947	-143.5434
21.400000	93.113480	-143.9480
21.799999	93.139145	-144.7689
22.000000	93.148964	-145.1732
22.400000	93.167229	-145.9636
22.700001	93.182663	-146.5503
23.000000	93.199478	-147.1438
23.299999	93.216026	-147.7462
23.600000	93.230705	-148.3469
24.000000	93.247322	-149.1142
24.299999	93.259926	-149.6496
24.700001	93.280441	-150.3148
25.000000	93.298553	-150.7955
25.400000	93.322418	-151.4330
25.799999	93.340073	-152.0628
26.200001	93.350006	-152.6593
26.500000	93.355354	-153.0757
26.900000	93.365898	-153.6068
27.200001	93.379028	-154.0111
27.600000	93.402863	-154.5893
28.000000	93.429825	-155.2135
28.500000	93.461807	-156.0050
29.000000	93.490791	-156.7339
29.500000	93.518181	-157.3844
30.000000	93.540596	-157.9950
30.400000	93.551453	-158.4754
30.700001	93.555237	-158.8327
31.100000	93.556915	-159.3041
31.500000	93.559006	-159.7734
32.000000	93.566986	-160.3687
32.500000	93.580872	-160.9755
33.000000	93.596352	-161.5725
33.500000	93.609467	-162.1359
34.000000	93.618515	-162.6614
34.500000	93.623901	-163.1637
35.000000	93.627594	-163.6637
35.500000	93.631760	-164.1761
36.000000	93.637077	-164.7015
36.500000	93.642517	-165.2256
37.000000	93.647171	-165.7293
37.500000	93.651215	-166.2071
38.200001	93.656113	-166.8582
38.700001	93.658432	-167.3275
39.500000	93.661011	-168.0735
40.000000	93.663841	-168.5229
40.599998	93.668404	-169.0445
41.200001	93.671150	-169.5552
41.799999	93.668930	-170.0626
42.500000	93.659248	-170.6477
43.099998	93.648811	-171.1294
43.700001	93.642197	-171.5965
44.400002	93.639397	-172.1566
45.000000	93.635094	-172.6456
45.500000	93.629318	-173.0314
46.200001	93.622955	-173.5304
46.799999	93.618919	-173.9489
47.500000	93.609306	-174.4262
48.200001	93.597511	-174.8735
48.700001	93.592010	-175.2041
49.400002	93.585388	-175.7122
50.000000	93.576897	-176.1422
50.799999	93.562111	-176.6357
51.500000	93.544579	-177.0140
52.200001	93.525146	-177.4183
53.000000	93.504082	-178.0083
53.799999	93.481461	-178.5694
54.500000	93.477180	-178.8733
55.200001	93.478172	-179.1929
56.000000	93.437195	-179.6558
57.000000	93.404144	179.7794
58.000000	93.404205	178.9164
59.000000	93.361084	179.2556
60.000000	93.462288	179.5069
60.799999	93.421463	178.2235
61.500000	93.278397	177.3543
62.200001	93.223534	177.0878
63.000000	93.256836	176.6730
64.000000	93.228043	176.2095
65.000000	93.191711	175.9342
66.000000	93.160896	175.3959
67.000000	93.140106	175.0194
68.000000	93.111664	174.5923
69.000000	93.067398	174.1752
70.000000	93.039169	173.7697
71.000000	93.009361	173.4006
72.000000	92.971565	173.0403
73.000000	92.935837	172.6757
74.000000	92.910332	172.3205
75.000000	92.882515	171.9514
76.199997	92.833847	171.5739
77.500000	92.790009	171.1980
78.800003	92.736320	170.7937
80.000000	92.706223	170.4413
81.199997	92.665123	170.0314
82.500000	92.610497	169.7398
83.800003	92.566490	169.4212
85.000000	92.529297	169.0809
86.199997	92.482834	168.7516
87.500000	92.436760	168.4833
88.500000	92.409531	168.2098
90.000000	92.361153	167.8459
91.199997	92.320808	167.5881
92.500000	92.275284	167.3292
93.800003	92.229027	167.0853
95.000000	92.193947	166.8211
96.199997	92.152870	166.5681
97.500000	92.115837	166.4052
98.800003	92.068436	166.1718
100.000000	92.019402	165.9906
101.500000	91.969803	165.7442
103.000000	91.926430	165.5318
104.400002	91.883804	165.2619
106.000000	91.813301	165.0417
107.500000	91.763306	164.8284
109.000000	91.720741	164.6682
110.599998	91.662369	164.4645
112.000000	91.622978	164.3223
113.800003	91.546379	164.1007
115.000000	91.528114	163.8809
117.199997	91.447830	163.7970
118.000000	91.379799	163.5179
120.599998	91.485474	162.5893
122.000000	91.306549	163.7232
124.099998	91.245216	163.2180
125.000000	91.240501	163.1988
126.500000	91.159348	163.1312
128.000000	91.128067	162.9066
131.500000	91.027832	162.8153
132.000000	91.011116	162.8154
134.000000	90.959579	162.7426
136.000000	90.903252	162.5837
138.000000	90.845253	162.5743
140.000000	90.779335	162.4689
143.000000	90.708473	162.4033
145.000000	90.656578	162.3210
147.500000	90.595596	162.2391
150.000000	90.521713	162.2173
152.500000	90.457680	162.2449
155.000000	90.397591	162.1821
157.500000	90.351913	162.1848
160.000000	90.295944	162.2701
162.500000	90.243057	162.2889
165.000000	90.176552	162.3560
167.500000	90.127220	162.3226
170.000000	90.081688	162.3728
172.500000	90.034096	162.4418
175.000000	89.980713	162.4723
177.500000	89.922272	162.5703
180.000000	89.868912	162.4509
182.500000	89.834763	162.7190
185.000000	89.796219	162.7965
187.500000	89.749786	162.8386
190.000000	89.722740	162.9648
192.500000	89.674004	162.8865
195.000000	89.635193	162.9846
